relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0475,9.1,2.726615728945561
-29.5,,,,,,,0.0475,9.1,2.726615728945561
-29.0,,,,,,,0.0475,9.1,2.726615728945561
-28.5,,,,,,,0.0475,9.1,2.726615728945561
-28.0,,,,,,,0.0475,9.1,2.726615728945561
-27.5,,,,,,,0.0475,9.1,2.726615728945561
-27.0,,,,,,,0.0475,9.1,2.726615728945561
-26.5,,,,,,,0.0475,9.1,2.726615728945561
-26.0,,,,,,,0.0475,9.1,2.726615728945561
-25.5,,,,,,,0.0475,9.1,2.726615728945561
-25.0,,,,,,,0.0475,9.1,2.726615728945561
-24.5,,,,,,,0.0475,9.1,2.726615728945561
-24.0,,,,,,,0.0475,9.1,2.726615728945561
-23.5,,,,,,,0.0475,9.1,2.726615728945561
-23.0,,,,,,,0.0475,9.1,2.726615728945561
-22.5,,,,,,,0.0475,9.1,2.726615728945561
-22.0,,,,,,,0.0475,9.1,2.726615728945561
-21.5,,,,,,,0.0475,9.1,2.726615728945561
-21.0,,,,,,,0.0475,9.1,2.726615728945561
-20.5,,,,,,,0.0475,9.1,2.726615728945561
-20.0,,,,,,,0.0475,9.1,2.726615728945561
-19.5,,,,,,,0.0475,9.1,2.726615728945561
-19.0,,9.864741227785103,-121.36363494781207,,50.379465073062,44.4140547794196,0.0475,9.1,2.726615728945561
-18.5,,,,,,,0.0475,9.1,2.726615728945561
-18.0,,6.011171084253109,14.14145798944504,,32.71698228527641,36.1279193125072,0.0475,9.1,2.726615728945561
-17.5,,,,,,,0.0475,9.1,2.726615728945561
-17.0,,0.0,,,44.6206662002031,,0.0475,9.1,2.726615728945561
-16.5,,,,,,,0.0475,9.1,2.726615728945561
-16.0,,-7.415106418146828,12.390462636805031,,32.05084601433437,23.5392614702095,0.0475,9.1,2.726615728945561
-15.5,,,,,,,0.0475,9.1,2.726615728945561
-15.0,,-20.58709873996768,11.001804615947963,,26.292588176408,20.9791627741481,0.0475,9.1,2.726615728945561
-14.5,,,,,,,0.0475,9.1,2.726615728945561
-14.0,,41.61514774454425,27.606817921528762,,37.4436026825992,45.544946189231034,0.0475,9.1,2.726615728945561
-13.5,,,,,,,0.0475,9.1,2.726615728945561
-13.0,,7.062313170759886,-5.7357014658751195,,29.886973548600132,23.367962708717688,0.0475,9.1,2.726615728945561
-12.5,,,,,,,0.0475,9.1,2.726615728945561
-12.0,,13.562152329858897,-21.374677577634834,,24.722714425266343,17.1616224899575,0.0475,9.1,2.726615728945561
-11.5,,,,,,,0.0475,9.1,2.726615728945561
-11.0,,-20.13127755011254,-19.616366309210747,,22.9321928126041,20.619890496317964,0.0475,9.1,2.726615728945561
-10.5,,,,,,,0.0475,9.1,2.726615728945561
-10.0,,-14.48574866419699,25.848207233588994,,57.17287010362721,37.52222776784208,0.0475,9.1,2.726615728945561
-9.5,,,,,,,0.0475,9.1,2.726615728945561
-9.0,,-1.4651816701037639,25.598644675259074,,38.253905567278366,31.6808935429739,0.0475,9.1,2.726615728945561
-8.5,,,,,,,0.0475,9.1,2.726615728945561
-8.0,,,,,,,0.0475,9.1,2.726615728945561
-7.5,,,,,,,0.0475,9.1,2.726615728945561
-7.0,,23.271111053363835,31.24500393977731,,44.59769546492239,35.25079253072234,0.0475,9.1,2.726615728945561
-6.5,,,,,,,0.0475,9.1,2.726615728945561
-6.0,,11.531079421042035,29.000195964510652,,53.7630910182615,47.964529165408,0.0475,9.1,2.726615728945561
-5.5,,,,,,,0.0475,9.1,2.726615728945561
-5.0,,85.12656515719259,,,45.24276951317272,,0.0475,9.1,2.726615728945561
-4.5,,,,,,,0.0475,9.1,2.726615728945561
-4.0,,138.06159844691263,166.00818060130274,,35.4523941024078,29.756803471081962,0.0475,9.1,2.726615728945561
-3.5,-328.934297995834,,,256.34848443025686,,,0.0475,9.1,2.726615728945561
-3.0,-107.05259979578437,-40.04973796828267,142.82308112904164,254.1126693679125,56.3607939942479,31.3842069020387,0.0475,9.1,2.726615728945561
-2.5,-0.7193513234780085,,,254.18643426850295,,,0.0475,9.1,2.726615728945561
-2.0,16.85009984787507,178.51858792142937,,252.02880362721783,34.7172880472381,,0.0475,9.1,2.726615728945561
-1.5,145.44159236083652,,,251.63351130669625,,,0.0475,9.1,2.726615728945561
-1.0,139.50815746683418,,,252.11474811489643,,,0.0475,9.1,2.726615728945561
-0.5,293.9646381001745,,,252.22667705518853,,,0.0475,9.1,2.726615728945561
0.0,138.43973832614716,405.5912114619065,435.14773816331484,253.46136500805042,50.09521751099932,39.226731376941444,0.0475,9.1,2.726615728945561
0.5,336.357539649542,,,254.0551273243769,,,0.0475,9.1,2.726615728945561
1.0,337.45449859844757,,,254.84251422386205,,,0.0475,9.1,2.726615728945561
1.5,510.94270135821444,,,255.25913981703076,,,0.0475,9.1,2.726615728945561
2.0,683.6770563990477,575.9686645196946,618.4243174067632,255.47372562769849,61.0387914441139,65.51233714364511,0.0475,9.1,2.726615728945561
2.5,789.0470775796555,,,254.462860341747,,,0.0475,9.1,2.726615728945561
3.0,982.5054658691031,,,253.9121172305927,,,0.0475,9.1,2.726615728945561
3.5,935.3084635223056,,,253.0817307779382,,,0.0475,9.1,2.726615728945561
4.0,730.1827117154464,,,253.88889226462217,,,0.0475,9.1,2.726615728945561
