relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0764,20.8,4.704932400033914
-29.5,,,,,,,0.0764,20.8,4.704932400033914
-29.0,,,,,,,0.0764,20.8,4.704932400033914
-28.5,,,,,,,0.0764,20.8,4.704932400033914
-28.0,,-334.36918242685346,63.61110208805512,,57.4193511518308,38.3316313314564,0.0764,20.8,4.704932400033914
-27.5,,,,,,,0.0764,20.8,4.704932400033914
-27.0,,,,,,,0.0764,20.8,4.704932400033914
-26.5,,,,,,,0.0764,20.8,4.704932400033914
-26.0,,,,,,,0.0764,20.8,4.704932400033914
-25.5,,,,,,,0.0764,20.8,4.704932400033914
-25.0,,-39.254573797111846,-58.59295957117018,,31.0259584416771,26.1947074029455,0.0764,20.8,4.704932400033914
-24.5,,,,,,,0.0764,20.8,4.704932400033914
-24.0,,,,,,,0.0764,20.8,4.704932400033914
-23.5,,,,,,,0.0764,20.8,4.704932400033914
-23.0,,,-120.02859504389704,,,45.271206000294235,0.0764,20.8,4.704932400033914
-22.5,,,,,,,0.0764,20.8,4.704932400033914
-22.0,,-89.72568310392936,16.353879122077004,,27.092008138173,18.2200196721975,0.0764,20.8,4.704932400033914
-21.5,,,,,,,0.0764,20.8,4.704932400033914
-21.0,,36.32435656635282,,,24.628708707551972,,0.0764,20.8,4.704932400033914
-20.5,,,,,,,0.0764,20.8,4.704932400033914
-20.0,,,94.64586532974513,,,19.05471655261933,0.0764,20.8,4.704932400033914
-19.5,,,,,,,0.0764,20.8,4.704932400033914
-19.0,,189.61816473485223,4.811274297758996,,76.2658397994746,35.8611787800466,0.0764,20.8,4.704932400033914
-18.5,,,,,,,0.0764,20.8,4.704932400033914
-18.0,,112.19546269598979,,,34.49216194582428,,0.0764,20.8,4.704932400033914
-17.5,,,,,,,0.0764,20.8,4.704932400033914
-17.0,,,,,,,0.0764,20.8,4.704932400033914
-16.5,,,,,,,0.0764,20.8,4.704932400033914
-16.0,,56.86216161644109,-0.76530566493527,,47.0527110044323,34.7593355909521,0.0764,20.8,4.704932400033914
-15.5,,,,,,,0.0764,20.8,4.704932400033914
-15.0,,,,,,,0.0764,20.8,4.704932400033914
-14.5,,,,,,,0.0764,20.8,4.704932400033914
-14.0,,52.78220119309338,,,59.09087297666822,,0.0764,20.8,4.704932400033914
-13.5,,,,,,,0.0764,20.8,4.704932400033914
-13.0,,-43.17809127652062,25.73828724491395,,31.6680365090534,31.072535529829,0.0764,20.8,4.704932400033914
-12.5,-137.49098752783533,,,85.59131070982545,,,0.0764,20.8,4.704932400033914
-12.0,-62.4284024177106,,50.10251001595131,85.4316918681052,,24.041319983615633,0.0764,20.8,4.704932400033914
-11.5,-61.4731315547849,,,86.23163722123113,,,0.0764,20.8,4.704932400033914
-11.0,-105.12608788577965,-12.752397176555876,18.43142419871307,86.00430750356051,35.07223537546063,25.38418513705796,0.0764,20.8,4.704932400033914
-10.5,-82.97978567190704,,,86.10317325372233,,,0.0764,20.8,4.704932400033914
-10.0,-64.99073637522652,,4.070531326013959,86.4379983969409,,23.1244151540879,0.0764,20.8,4.704932400033914
-9.5,-127.01959713671494,,,86.668847946886,,,0.0764,20.8,4.704932400033914
-9.0,-49.35382304612774,-29.205877875535815,,85.93589021266422,37.0916154161079,,0.0764,20.8,4.704932400033914
-8.5,-36.18100965511578,,,85.7124936142414,,,0.0764,20.8,4.704932400033914
-8.0,-109.08324436282382,568.5108478704539,,85.51077050592392,129.489031546459,,0.0764,20.8,4.704932400033914
-7.5,61.83327932004545,,,84.96358217913539,,,0.0764,20.8,4.704932400033914
-7.0,27.92255195891828,-66.06375836871275,82.36733533134257,85.55044466777576,45.2548466776829,64.48753519339445,0.0764,20.8,4.704932400033914
-6.5,118.88961645367301,,,85.38278317944628,,,0.0764,20.8,4.704932400033914
-6.0,104.21306937781215,,,85.67367203767931,,,0.0764,20.8,4.704932400033914
-5.5,169.2776891607874,,,86.19105013918055,,,0.0764,20.8,4.704932400033914
-5.0,216.54445716276803,,,85.503376444553,,,0.0764,20.8,4.704932400033914
-4.5,206.45409710761777,,,85.31627010744307,,,0.0764,20.8,4.704932400033914
-4.0,172.08395518620063,,,85.15298361487334,,,0.0764,20.8,4.704932400033914
-3.5,212.57703653879753,,,85.82270155056985,,,0.0764,20.8,4.704932400033914
-3.0,340.4558232944074,287.3674440845792,,86.13167401375046,92.26327767628192,,0.0764,20.8,4.704932400033914
-2.5,413.35200375431793,,,87.01402726040291,,,0.0764,20.8,4.704932400033914
-2.0,291.04306162716176,266.37010679746584,,87.31909239775257,60.380309221884275,,0.0764,20.8,4.704932400033914
-1.5,358.3870961290038,,,87.51437610310546,,,0.0764,20.8,4.704932400033914
-1.0,374.8666887519535,322.8401442909434,,87.57381630643961,54.4792375225786,,0.0764,20.8,4.704932400033914
-0.5,,,,,,,0.0764,20.8,4.704932400033914
0.0,,744.9915641563297,305.77408178585534,,38.2721602934848,52.2506630929897,0.0764,20.8,4.704932400033914
0.5,,,,,,,0.0764,20.8,4.704932400033914
1.0,676.0889775419166,,,86.39390724574513,,,0.0764,20.8,4.704932400033914
1.5,709.8182417911997,,,86.63494646535305,,,0.0764,20.8,4.704932400033914
2.0,774.506339167423,,,87.06741905372041,,,0.0764,20.8,4.704932400033914
2.5,767.9601678562049,,,86.2311168010052,,,0.0764,20.8,4.704932400033914
3.0,798.9359684050557,,,85.90892636317282,,,0.0764,20.8,4.704932400033914
3.5,835.7290011337252,,,86.19281149303919,,,0.0764,20.8,4.704932400033914
4.0,935.8259076228939,,,86.73947689115896,,,0.0764,20.8,4.704932400033914
4.5,978.4432565544427,,,85.80240868047682,,,0.0764,20.8,4.704932400033914
5.0,973.9175151702159,,,85.57689209193123,,,0.0764,20.8,4.704932400033914
5.5,998.8097079044942,,,85.67445063586388,,,0.0764,20.8,4.704932400033914
6.0,1013.2145664461913,1241.2144215417406,,86.38755923520533,38.139229077769976,,0.0764,20.8,4.704932400033914
6.5,1131.5501582784382,,,86.51912315119996,,,0.0764,20.8,4.704932400033914
7.0,1112.9863209156988,,,85.71705288251651,,,0.0764,20.8,4.704932400033914
7.5,1219.3654771069955,,,86.01378083615174,,,0.0764,20.8,4.704932400033914
8.0,1161.5731687128932,,,85.57878705611371,,,0.0764,20.8,4.704932400033914
8.5,1145.466415814117,,,86.6249502013659,,,0.0764,20.8,4.704932400033914
9.0,1205.4140674889481,,,85.94426221701714,,,0.0764,20.8,4.704932400033914
9.5,1244.4671341463838,,,86.66155940667076,,,0.0764,20.8,4.704932400033914
10.0,1203.0907151723982,,,86.49104118811756,,,0.0764,20.8,4.704932400033914
10.5,1233.3352976589908,,,85.85881534104236,,,0.0764,20.8,4.704932400033914
11.0,1234.2562969561666,,,85.650601397922,,,0.0764,20.8,4.704932400033914
11.5,1249.7859076580603,,,85.15030785885452,,,0.0764,20.8,4.704932400033914
12.0,1185.3427288467549,1087.1307522517398,1398.5106198995884,85.91754694268549,37.9219052798015,30.7415191885949,0.0764,20.8,4.704932400033914
12.5,1302.3032147668512,,,86.10786982718226,,,0.0764,20.8,4.704932400033914
13.0,,,,,,,0.0764,20.8,4.704932400033914
13.5,,,,,,,0.0764,20.8,4.704932400033914
14.0,,,,,,,0.0764,20.8,4.704932400033914
14.5,,,,,,,0.0764,20.8,4.704932400033914
15.0,,,,,,,0.0764,20.8,4.704932400033914
15.5,,,,,,,0.0764,20.8,4.704932400033914
16.0,,1144.4962802835719,1353.918377957869,,39.8804360715893,31.6990061470109,0.0764,20.8,4.704932400033914
16.5,,,,,,,0.0764,20.8,4.704932400033914
17.0,,,,,,,0.0764,20.8,4.704932400033914
17.5,,,,,,,0.0764,20.8,4.704932400033914
18.0,,,,,,,0.0764,20.8,4.704932400033914
18.5,,,,,,,0.0764,20.8,4.704932400033914
19.0,,,1194.7433197538285,,,41.13044600694,0.0764,20.8,4.704932400033914
19.5,,,,,,,0.0764,20.8,4.704932400033914
20.0,,,,,,,0.0764,20.8,4.704932400033914
20.5,,,,,,,0.0764,20.8,4.704932400033914
21.0,,,,,,,0.0764,20.8,4.704932400033914
21.5,,,,,,,0.0764,20.8,4.704932400033914
22.0,,1639.8948871265798,1327.81335724801,,55.9547355132402,74.3342203971124,0.0764,20.8,4.704932400033914
22.5,,,,,,,0.0764,20.8,4.704932400033914
23.0,,,,,,,0.0764,20.8,4.704932400033914
23.5,,,,,,,0.0764,20.8,4.704932400033914
24.0,,,,,,,0.0764,20.8,4.704932400033914
24.5,,,,,,,0.0764,20.8,4.704932400033914
25.0,,,,,,,0.0764,20.8,4.704932400033914
25.5,,,,,,,0.0764,20.8,4.704932400033914
26.0,,967.1827337944371,,,134.924053584629,,0.0764,20.8,4.704932400033914
26.5,,,,,,,0.0764,20.8,4.704932400033914
27.0,,,,,,,0.0764,20.8,4.704932400033914
27.5,,,,,,,0.0764,20.8,4.704932400033914
28.0,,,,,,,0.0764,20.8,4.704932400033914
28.5,,,,,,,0.0764,20.8,4.704932400033914
29.0,,,,,,,0.0764,20.8,4.704932400033914
29.5,,,,,,,0.0764,20.8,4.704932400033914
30.0,,900.3241774608044,442.19419225680235,,43.2729649555086,33.8959367979105,0.0764,20.8,4.704932400033914
30.5,,,,,,,0.0764,20.8,4.704932400033914
31.0,,,,,,,0.0764,20.8,4.704932400033914
31.5,,,,,,,0.0764,20.8,4.704932400033914
32.0,,,,,,,0.0764,20.8,4.704932400033914
32.5,,,,,,,0.0764,20.8,4.704932400033914
33.0,,,,,,,0.0764,20.8,4.704932400033914
33.5,,,,,,,0.0764,20.8,4.704932400033914
34.0,,,,,,,0.0764,20.8,4.704932400033914
34.5,,,,,,,0.0764,20.8,4.704932400033914
35.0,,,,,,,0.0764,20.8,4.704932400033914
35.5,,,,,,,0.0764,20.8,4.704932400033914
36.0,,,,,,,0.0764,20.8,4.704932400033914
36.5,,,,,,,0.0764,20.8,4.704932400033914
37.0,,,376.12149804170446,,,27.4785449409093,0.0764,20.8,4.704932400033914
37.5,,,,,,,0.0764,20.8,4.704932400033914
38.0,,,,,,,0.0764,20.8,4.704932400033914
38.5,,,,,,,0.0764,20.8,4.704932400033914
39.0,,,,,,,0.0764,20.8,4.704932400033914
39.5,,,,,,,0.0764,20.8,4.704932400033914
40.0,,1002.2799961064809,,,32.6234831582105,,0.0764,20.8,4.704932400033914
40.5,,,,,,,0.0764,20.8,4.704932400033914
41.0,,,,,,,0.0764,20.8,4.704932400033914
41.5,,,,,,,0.0764,20.8,4.704932400033914
42.0,,,,,,,0.0764,20.8,4.704932400033914
42.5,,,,,,,0.0764,20.8,4.704932400033914
43.0,,656.42723843402,24.489083284328352,,28.9515850534007,24.628685110246,0.0764,20.8,4.704932400033914
43.5,,,,,,,0.0764,20.8,4.704932400033914
44.0,,,,,,,0.0764,20.8,4.704932400033914
44.5,,,,,,,0.0764,20.8,4.704932400033914
45.0,,,212.23197825872813,,,25.0520112610546,0.0764,20.8,4.704932400033914
45.5,,,,,,,0.0764,20.8,4.704932400033914
46.0,,,,,,,0.0764,20.8,4.704932400033914
46.5,,,,,,,0.0764,20.8,4.704932400033914
47.0,,,,,,,0.0764,20.8,4.704932400033914
47.5,,,,,,,0.0764,20.8,4.704932400033914
48.0,,,,,,,0.0764,20.8,4.704932400033914
48.5,,,,,,,0.0764,20.8,4.704932400033914
49.0,,,,,,,0.0764,20.8,4.704932400033914
49.5,,,,,,,0.0764,20.8,4.704932400033914
50.0,,,,,,,0.0764,20.8,4.704932400033914
50.5,,,,,,,0.0764,20.8,4.704932400033914
51.0,,,,,,,0.0764,20.8,4.704932400033914
51.5,,,,,,,0.0764,20.8,4.704932400033914
52.0,,,,,,,0.0764,20.8,4.704932400033914
52.5,,,,,,,0.0764,20.8,4.704932400033914
53.0,,327.93014457094705,235.3363923582288,,109.062589170287,137.674915712781,0.0764,20.8,4.704932400033914
53.5,,,,,,,0.0764,20.8,4.704932400033914
54.0,,,,,,,0.0764,20.8,4.704932400033914
54.5,,,,,,,0.0764,20.8,4.704932400033914
55.0,,,58.343739479625555,,,114.8737844701236,0.0764,20.8,4.704932400033914
55.5,,,,,,,0.0764,20.8,4.704932400033914
56.0,,379.6453953745136,,,63.4495637590913,,0.0764,20.8,4.704932400033914
56.5,,,,,,,0.0764,20.8,4.704932400033914
57.0,,,,,,,0.0764,20.8,4.704932400033914
57.5,,,,,,,0.0764,20.8,4.704932400033914
58.0,,,,,,,0.0764,20.8,4.704932400033914
58.5,,,,,,,0.0764,20.8,4.704932400033914
59.0,,461.71676581830593,79.69017026119808,,45.7251181742995,36.2656425471915,0.0764,20.8,4.704932400033914
59.5,,,,,,,0.0764,20.8,4.704932400033914
60.0,,,,,,,0.0764,20.8,4.704932400033914
60.5,,,,,,,0.0764,20.8,4.704932400033914
61.0,,,,,,,0.0764,20.8,4.704932400033914
61.5,,,,,,,0.0764,20.8,4.704932400033914
62.0,,,,,,,0.0764,20.8,4.704932400033914
62.5,,,,,,,0.0764,20.8,4.704932400033914
63.0,,,,,,,0.0764,20.8,4.704932400033914
63.5,,,,,,,0.0764,20.8,4.704932400033914
64.0,,210.52014763320736,223.02999394766024,,22.1392876857034,23.6852803342945,0.0764,20.8,4.704932400033914
64.5,,,,,,,0.0764,20.8,4.704932400033914
65.0,,,,,,,0.0764,20.8,4.704932400033914
65.5,,,,,,,0.0764,20.8,4.704932400033914
66.0,,,,,,,0.0764,20.8,4.704932400033914
66.5,,,,,,,0.0764,20.8,4.704932400033914
67.0,,,,,,,0.0764,20.8,4.704932400033914
67.5,,,,,,,0.0764,20.8,4.704932400033914
68.0,,,,,,,0.0764,20.8,4.704932400033914
68.5,,,,,,,0.0764,20.8,4.704932400033914
69.0,,,,,,,0.0764,20.8,4.704932400033914
69.5,,,,,,,0.0764,20.8,4.704932400033914
70.0,,,,,,,0.0764,20.8,4.704932400033914
