relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0529,11.5,7.234638899074369
-29.5,,,,,,,0.0529,11.5,7.234638899074369
-29.0,,,,,,,0.0529,11.5,7.234638899074369
-28.5,,,,,,,0.0529,11.5,7.234638899074369
-28.0,,,,,,,0.0529,11.5,7.234638899074369
-27.5,,,,,,,0.0529,11.5,7.234638899074369
-27.0,,,,,,,0.0529,11.5,7.234638899074369
-26.5,,,,,,,0.0529,11.5,7.234638899074369
-26.0,,,,,,,0.0529,11.5,7.234638899074369
-25.5,,,,,,,0.0529,11.5,7.234638899074369
-25.0,,,,,,,0.0529,11.5,7.234638899074369
-24.5,,,,,,,0.0529,11.5,7.234638899074369
-24.0,,,,,,,0.0529,11.5,7.234638899074369
-23.5,,,,,,,0.0529,11.5,7.234638899074369
-23.0,,,,,,,0.0529,11.5,7.234638899074369
-22.5,,,,,,,0.0529,11.5,7.234638899074369
-22.0,,34.1116668448304,-6.087266308425596,,62.999020686348,62.6718427503299,0.0529,11.5,7.234638899074369
-21.5,,,,,,,0.0529,11.5,7.234638899074369
-21.0,,,,,,,0.0529,11.5,7.234638899074369
-20.5,,,,,,,0.0529,11.5,7.234638899074369
-20.0,,,,,,,0.0529,11.5,7.234638899074369
-19.5,,,,,,,0.0529,11.5,7.234638899074369
-19.0,,,,,,,0.0529,11.5,7.234638899074369
-18.5,,,,,,,0.0529,11.5,7.234638899074369
-18.0,,,,,,,0.0529,11.5,7.234638899074369
-17.5,,,,,,,0.0529,11.5,7.234638899074369
-17.0,,,,,,,0.0529,11.5,7.234638899074369
-16.5,,,,,,,0.0529,11.5,7.234638899074369
-16.0,,,,,,,0.0529,11.5,7.234638899074369
-15.5,,,,,,,0.0529,11.5,7.234638899074369
-15.0,,,,,,,0.0529,11.5,7.234638899074369
-14.5,,,,,,,0.0529,11.5,7.234638899074369
-14.0,,,,,,,0.0529,11.5,7.234638899074369
-13.5,,,,,,,0.0529,11.5,7.234638899074369
-13.0,,67.8717241660888,,,43.926452057905,,0.0529,11.5,7.234638899074369
-12.5,,,,,,,0.0529,11.5,7.234638899074369
-12.0,,,,,,,0.0529,11.5,7.234638899074369
-11.5,,,,,,,0.0529,11.5,7.234638899074369
-11.0,,,,,,,0.0529,11.5,7.234638899074369
-10.5,,,,,,,0.0529,11.5,7.234638899074369
-10.0,115.58097057659188,,,85.81531819783844,,,0.0529,11.5,7.234638899074369
-9.5,-242.75122492810345,,,81.16332195770302,,,0.0529,11.5,7.234638899074369
-9.0,-86.75149897329189,,,76.2694822318918,,,0.0529,11.5,7.234638899074369
-8.5,12.891355619615027,,,74.86028004277775,,,0.0529,11.5,7.234638899074369
-8.0,79.93306963095976,,1.9208799436051138,74.76316328636916,,26.5614404384188,0.0529,11.5,7.234638899074369
-7.5,28.435502055998803,,,74.92876212659374,,,0.0529,11.5,7.234638899074369
-7.0,67.89648919217964,,,75.67669555835623,,,0.0529,11.5,7.234638899074369
-6.5,79.93522967654962,,,77.41943818761705,,,0.0529,11.5,7.234638899074369
-6.0,97.92221784438829,,,75.83744844052869,,,0.0529,11.5,7.234638899074369
-5.5,68.71727896788259,,,75.65379725030596,,,0.0529,11.5,7.234638899074369
-5.0,137.538142871959,,,76.93498611875047,,,0.0529,11.5,7.234638899074369
-4.5,237.35535820565013,,,76.14553513614872,,,0.0529,11.5,7.234638899074369
-4.0,205.86255057417586,,,75.99253831753028,,,0.0529,11.5,7.234638899074369
-3.5,176.76276873244754,,,77.24731268228877,,,0.0529,11.5,7.234638899074369
-3.0,177.76281507184032,,,76.5132990737653,,,0.0529,11.5,7.234638899074369
-2.5,200.49064295701123,,,76.58272246698475,,,0.0529,11.5,7.234638899074369
-2.0,250.29257839620706,,,76.37166787724293,,,0.0529,11.5,7.234638899074369
-1.5,357.0672659667121,,,77.99776668976186,,,0.0529,11.5,7.234638899074369
-1.0,298.42786507709826,,,77.15714306193831,,,0.0529,11.5,7.234638899074369
-0.5,305.3313046188643,,,76.67537681388625,,,0.0529,11.5,7.234638899074369
0.0,261.73295255869135,465.14468147784567,544.2336216723367,76.43408659159337,35.9722179693401,35.8110282940466,0.0529,11.5,7.234638899074369
0.5,,,,,,,0.0529,11.5,7.234638899074369
1.0,,,,,,,0.0529,11.5,7.234638899074369
1.5,,,,,,,0.0529,11.5,7.234638899074369
2.0,,,,,,,0.0529,11.5,7.234638899074369
2.5,,,,,,,0.0529,11.5,7.234638899074369
3.0,,,,,,,0.0529,11.5,7.234638899074369
3.5,,,,,,,0.0529,11.5,7.234638899074369
4.0,661.261448433337,552.4851781612853,,85.16652864540394,32.2526608514624,,0.0529,11.5,7.234638899074369
4.5,35.67172629587725,,,86.33543365108245,,,0.0529,11.5,7.234638899074369
5.0,258.9684675488777,,,84.37667503354213,,,0.0529,11.5,7.234638899074369
5.5,389.8916835109156,,,81.10843961636412,,,0.0529,11.5,7.234638899074369
6.0,430.34957356375713,,,79.91055621749526,,,0.0529,11.5,7.234638899074369
6.5,409.3802377299048,,,82.27569434922837,,,0.0529,11.5,7.234638899074369
7.0,412.6171712898406,210.91397376144488,,81.10096818986416,96.0325608447507,,0.0529,11.5,7.234638899074369
7.5,448.48873927671957,,,80.14884815448563,,,0.0529,11.5,7.234638899074369
8.0,491.36873718483827,,,80.90394178674639,,,0.0529,11.5,7.234638899074369
8.5,459.30627267389053,,,79.24121408837529,,,0.0529,11.5,7.234638899074369
9.0,482.64972329020645,,,78.6884196707448,,,0.0529,11.5,7.234638899074369
9.5,483.13572220962175,,,79.47593932230433,,,0.0529,11.5,7.234638899074369
10.0,410.4827936163235,,,79.35370882051673,,,0.0529,11.5,7.234638899074369
10.5,486.8389553641503,,,79.54548772993685,,,0.0529,11.5,7.234638899074369
11.0,457.98850761357556,,,79.59706477978534,,,0.0529,11.5,7.234638899074369
11.5,533.1776944653836,,,79.60851991239534,,,0.0529,11.5,7.234638899074369
12.0,499.2212608085842,606.2889996898774,,77.83121745349037,104.50360247404,,0.0529,11.5,7.234638899074369
12.5,514.8534115259954,,,78.66040353923033,,,0.0529,11.5,7.234638899074369
13.0,509.1967245016315,,,77.34841550525812,,,0.0529,11.5,7.234638899074369
13.5,442.2658925741928,,,75.85440060502161,,,0.0529,11.5,7.234638899074369
14.0,439.5738511915362,,,75.99720255185811,,,0.0529,11.5,7.234638899074369
14.5,,,,,,,0.0529,11.5,7.234638899074369
15.0,,,,,,,0.0529,11.5,7.234638899074369
15.5,,,,,,,0.0529,11.5,7.234638899074369
16.0,,,,,,,0.0529,11.5,7.234638899074369
16.5,,,,,,,0.0529,11.5,7.234638899074369
17.0,,528.9699850025487,291.9275249112173,,31.0175785027773,25.6355882181088,0.0529,11.5,7.234638899074369
17.5,,,,,,,0.0529,11.5,7.234638899074369
18.0,,,,,,,0.0529,11.5,7.234638899074369
18.5,,,,,,,0.0529,11.5,7.234638899074369
19.0,,,,,,,0.0529,11.5,7.234638899074369
19.5,,,,,,,0.0529,11.5,7.234638899074369
20.0,,,173.83039974784094,,,25.9023501642983,0.0529,11.5,7.234638899074369
20.5,,,,,,,0.0529,11.5,7.234638899074369
21.0,,,,,,,0.0529,11.5,7.234638899074369
21.5,,,,,,,0.0529,11.5,7.234638899074369
22.0,,,,,,,0.0529,11.5,7.234638899074369
22.5,,,,,,,0.0529,11.5,7.234638899074369
23.0,,,,,,,0.0529,11.5,7.234638899074369
23.5,,,,,,,0.0529,11.5,7.234638899074369
24.0,,,,,,,0.0529,11.5,7.234638899074369
24.5,,,,,,,0.0529,11.5,7.234638899074369
25.0,,,,,,,0.0529,11.5,7.234638899074369
25.5,,,,,,,0.0529,11.5,7.234638899074369
26.0,,369.4881088145392,114.55515442202714,,35.0996859621675,26.1606561103367,0.0529,11.5,7.234638899074369
26.5,,,,,,,0.0529,11.5,7.234638899074369
27.0,,,,,,,0.0529,11.5,7.234638899074369
27.5,,,,,,,0.0529,11.5,7.234638899074369
28.0,,,,,,,0.0529,11.5,7.234638899074369
28.5,,,,,,,0.0529,11.5,7.234638899074369
29.0,,,,,,,0.0529,11.5,7.234638899074369
29.5,,,,,,,0.0529,11.5,7.234638899074369
30.0,,,,,,,0.0529,11.5,7.234638899074369
30.5,,,,,,,0.0529,11.5,7.234638899074369
31.0,,,,,,,0.0529,11.5,7.234638899074369
31.5,,,,,,,0.0529,11.5,7.234638899074369
32.0,,,,,,,0.0529,11.5,7.234638899074369
32.5,,,,,,,0.0529,11.5,7.234638899074369
33.0,,,,,,,0.0529,11.5,7.234638899074369
33.5,,,,,,,0.0529,11.5,7.234638899074369
34.0,,,,,,,0.0529,11.5,7.234638899074369
34.5,,,,,,,0.0529,11.5,7.234638899074369
35.0,,,,,,,0.0529,11.5,7.234638899074369
35.5,,,,,,,0.0529,11.5,7.234638899074369
36.0,,172.2092384788732,137.90330022978733,,56.9676231077775,60.5668892773466,0.0529,11.5,7.234638899074369
36.5,,,,,,,0.0529,11.5,7.234638899074369
37.0,,,,,,,0.0529,11.5,7.234638899074369
37.5,,,,,,,0.0529,11.5,7.234638899074369
38.0,,,,,,,0.0529,11.5,7.234638899074369
38.5,,,,,,,0.0529,11.5,7.234638899074369
39.0,,,,,,,0.0529,11.5,7.234638899074369
39.5,,,,,,,0.0529,11.5,7.234638899074369
40.0,,,,,,,0.0529,11.5,7.234638899074369
40.5,,,,,,,0.0529,11.5,7.234638899074369
41.0,,,,,,,0.0529,11.5,7.234638899074369
41.5,,,,,,,0.0529,11.5,7.234638899074369
42.0,,,,,,,0.0529,11.5,7.234638899074369
42.5,,,,,,,0.0529,11.5,7.234638899074369
43.0,,,,,,,0.0529,11.5,7.234638899074369
43.5,,,,,,,0.0529,11.5,7.234638899074369
44.0,,,,,,,0.0529,11.5,7.234638899074369
44.5,,,,,,,0.0529,11.5,7.234638899074369
45.0,,,,,,,0.0529,11.5,7.234638899074369
45.5,,,,,,,0.0529,11.5,7.234638899074369
46.0,,,,,,,0.0529,11.5,7.234638899074369
46.5,,,,,,,0.0529,11.5,7.234638899074369
47.0,,,,,,,0.0529,11.5,7.234638899074369
47.5,,,,,,,0.0529,11.5,7.234638899074369
48.0,,,,,,,0.0529,11.5,7.234638899074369
48.5,,,,,,,0.0529,11.5,7.234638899074369
49.0,,,,,,,0.0529,11.5,7.234638899074369
49.5,,,,,,,0.0529,11.5,7.234638899074369
50.0,,,,,,,0.0529,11.5,7.234638899074369
50.5,,,,,,,0.0529,11.5,7.234638899074369
51.0,,,,,,,0.0529,11.5,7.234638899074369
51.5,,,,,,,0.0529,11.5,7.234638899074369
52.0,,,,,,,0.0529,11.5,7.234638899074369
52.5,,,,,,,0.0529,11.5,7.234638899074369
53.0,,114.22283187794861,100.06686069647074,,28.8103282047424,23.0447105618902,0.0529,11.5,7.234638899074369
53.5,,,,,,,0.0529,11.5,7.234638899074369
54.0,,,,,,,0.0529,11.5,7.234638899074369
54.5,,,,,,,0.0529,11.5,7.234638899074369
55.0,,,,,,,0.0529,11.5,7.234638899074369
55.5,,,,,,,0.0529,11.5,7.234638899074369
56.0,,,,,,,0.0529,11.5,7.234638899074369
56.5,,,,,,,0.0529,11.5,7.234638899074369
57.0,,126.0550772419051,,,30.6734371445809,,0.0529,11.5,7.234638899074369
57.5,,,,,,,0.0529,11.5,7.234638899074369
58.0,,,,,,,0.0529,11.5,7.234638899074369
58.5,,,,,,,0.0529,11.5,7.234638899074369
59.0,,,,,,,0.0529,11.5,7.234638899074369
59.5,,,,,,,0.0529,11.5,7.234638899074369
60.0,,129.91550825633757,13.225607520064978,,29.7774854522582,23.6717015152873,0.0529,11.5,7.234638899074369
60.5,,,,,,,0.0529,11.5,7.234638899074369
61.0,,,,,,,0.0529,11.5,7.234638899074369
61.5,,,,,,,0.0529,11.5,7.234638899074369
62.0,,,,,,,0.0529,11.5,7.234638899074369
62.5,,,,,,,0.0529,11.5,7.234638899074369
63.0,,115.6053933851074,,,61.3824046605415,,0.0529,11.5,7.234638899074369
63.5,,,,,,,0.0529,11.5,7.234638899074369
64.0,,,,,,,0.0529,11.5,7.234638899074369
64.5,,,,,,,0.0529,11.5,7.234638899074369
65.0,,,,,,,0.0529,11.5,7.234638899074369
65.5,,,,,,,0.0529,11.5,7.234638899074369
66.0,,,,,,,0.0529,11.5,7.234638899074369
66.5,,,,,,,0.0529,11.5,7.234638899074369
67.0,,,,,,,0.0529,11.5,7.234638899074369
67.5,,,,,,,0.0529,11.5,7.234638899074369
68.0,,141.81195098979052,-46.456451300244034,,81.2170143262909,121.424514024318,0.0529,11.5,7.234638899074369
68.5,,,,,,,0.0529,11.5,7.234638899074369
69.0,,,,,,,0.0529,11.5,7.234638899074369
69.5,,,,,,,0.0529,11.5,7.234638899074369
70.0,,,,,,,0.0529,11.5,7.234638899074369
