relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.1005,15.4,1.8352444584365928
-29.5,,,,,,,0.1005,15.4,1.8352444584365928
-29.0,,,,,,,0.1005,15.4,1.8352444584365928
-28.5,,,,,,,0.1005,15.4,1.8352444584365928
-28.0,,40.42159545330127,,,28.4901163189693,,0.1005,15.4,1.8352444584365928
-27.5,,,,,,,0.1005,15.4,1.8352444584365928
-27.0,,,,,,,0.1005,15.4,1.8352444584365928
-26.5,,,,,,,0.1005,15.4,1.8352444584365928
-26.0,,,,,,,0.1005,15.4,1.8352444584365928
-25.5,,,,,,,0.1005,15.4,1.8352444584365928
-25.0,,-4.860002028605872,11.079817828535306,,18.8124776244514,19.01674185259,0.1005,15.4,1.8352444584365928
-24.5,,,,,,,0.1005,15.4,1.8352444584365928
-24.0,,,,,,,0.1005,15.4,1.8352444584365928
-23.5,,,,,,,0.1005,15.4,1.8352444584365928
-23.0,,-32.89822160980445,,,30.547220695280515,,0.1005,15.4,1.8352444584365928
-22.5,,,,,,,0.1005,15.4,1.8352444584365928
-22.0,,-1.9302400225275704,,,26.94029158233296,,0.1005,15.4,1.8352444584365928
-21.5,,,,,,,0.1005,15.4,1.8352444584365928
-21.0,,18.634747554667527,27.989396176311825,,27.679911671784094,33.73717518069996,0.1005,15.4,1.8352444584365928
-20.5,,,,,,,0.1005,15.4,1.8352444584365928
-20.0,,-18.310357686002337,-18.31856344248369,,28.36511753001566,44.31864589093834,0.1005,15.4,1.8352444584365928
-19.5,,,,,,,0.1005,15.4,1.8352444584365928
-19.0,,-6.211778990282852,84.51604308354764,,43.72262356082473,60.346821452931444,0.1005,15.4,1.8352444584365928
-18.5,,,,,,,0.1005,15.4,1.8352444584365928
-18.0,,5.015503378565757,-41.08738915729641,,33.400383401280784,63.664485804815875,0.1005,15.4,1.8352444584365928
-17.5,,,,,,,0.1005,15.4,1.8352444584365928
-17.0,,19.402914961828305,-0.10308010462088646,,32.00729869060535,41.78477890118478,0.1005,15.4,1.8352444584365928
-16.5,,,,,,,0.1005,15.4,1.8352444584365928
-16.0,,-3.289613725577893,1.6215192263881253,,24.65906676742289,34.489271896373495,0.1005,15.4,1.8352444584365928
-15.5,,,,,,,0.1005,15.4,1.8352444584365928
-15.0,,3.7783568857856498,98.04098189914366,,29.0895898445751,44.4072228413366,0.1005,15.4,1.8352444584365928
-14.5,,,,,,,0.1005,15.4,1.8352444584365928
-14.0,,7.042751422219322,54.579539680562576,,23.304204215036624,32.7854173206482,0.1005,15.4,1.8352444584365928
-13.5,,,,,,,0.1005,15.4,1.8352444584365928
-13.0,,-30.55101180830334,,,22.2373714470274,,0.1005,15.4,1.8352444584365928
-12.5,,,,,,,0.1005,15.4,1.8352444584365928
-12.0,,,,,,,0.1005,15.4,1.8352444584365928
-11.5,,,,,,,0.1005,15.4,1.8352444584365928
-11.0,,-26.02235319387283,0.4324984269911063,,17.5958475458579,16.812561054014694,0.1005,15.4,1.8352444584365928
-10.5,,,,,,,0.1005,15.4,1.8352444584365928
-10.0,,,,,,,0.1005,15.4,1.8352444584365928
-9.5,,,,,,,0.1005,15.4,1.8352444584365928
-9.0,,5.883219139567881,5.065026178713594,,14.379299852491574,16.649587492405736,0.1005,15.4,1.8352444584365928
-8.5,,,,,,,0.1005,15.4,1.8352444584365928
-8.0,,5.431789490492934,26.958055465369785,,15.649370468019416,19.714389016485985,0.1005,15.4,1.8352444584365928
-7.5,,,,,,,0.1005,15.4,1.8352444584365928
-7.0,,8.4728992453482,,,20.579803893328936,,0.1005,15.4,1.8352444584365928
-6.5,,,,,,,0.1005,15.4,1.8352444584365928
-6.0,,11.917734463593728,14.60320251855148,,16.8526750493812,21.219240499341947,0.1005,15.4,1.8352444584365928
-5.5,,,,,,,0.1005,15.4,1.8352444584365928
-5.0,,12.854278943034647,-11.065534172633473,,16.27027251533009,16.9438268754233,0.1005,15.4,1.8352444584365928
-4.5,,,,,,,0.1005,15.4,1.8352444584365928
-4.0,,-26.47834172160595,25.153335569643524,,27.571557527790727,18.34751408931646,0.1005,15.4,1.8352444584365928
-3.5,,,,,,,0.1005,15.4,1.8352444584365928
-3.0,,26.094738167064143,10.883935271395202,,14.569292823476678,14.280028408792345,0.1005,15.4,1.8352444584365928
-2.5,,,,,,,0.1005,15.4,1.8352444584365928
-2.0,,62.054437184856546,65.7491491970124,,16.747430879422108,15.1310140031505,0.1005,15.4,1.8352444584365928
-1.5,,,,,,,0.1005,15.4,1.8352444584365928
-1.0,,139.56499383666562,,,22.197424190768068,,0.1005,15.4,1.8352444584365928
-0.5,,,,,,,0.1005,15.4,1.8352444584365928
0.0,,347.1869291033737,399.3226641787039,,20.1555747706743,21.2960490199512,0.1005,15.4,1.8352444584365928
0.5,,,,,,,0.1005,15.4,1.8352444584365928
1.0,,532.9940688077722,576.6531776501703,,20.450983862003124,18.3424297824618,0.1005,15.4,1.8352444584365928
1.5,,,,,,,0.1005,15.4,1.8352444584365928
2.0,,709.6191062894959,883.4179803811614,,22.333253086141845,20.9425516369871,0.1005,15.4,1.8352444584365928
2.5,,,,,,,0.1005,15.4,1.8352444584365928
3.0,,955.4928350500824,1083.7720431319492,,22.538258977476172,21.8492762559601,0.1005,15.4,1.8352444584365928
3.5,,,,,,,0.1005,15.4,1.8352444584365928
4.0,,1422.8588861435326,1525.4363298391456,,26.301085681940275,22.7933262478345,0.1005,15.4,1.8352444584365928
4.5,,,,,,,0.1005,15.4,1.8352444584365928
5.0,,1859.0346816211897,2081.5676328156032,,32.5883043367176,34.1871919444051,0.1005,15.4,1.8352444584365928
5.5,,,,,,,0.1005,15.4,1.8352444584365928
6.0,,2179.771404275327,2503.84466215275,,34.26197016872657,35.4917959019202,0.1005,15.4,1.8352444584365928
6.5,,,,,,,0.1005,15.4,1.8352444584365928
7.0,,2605.61129207037,3069.6563754744698,,35.6766446102397,39.018217937893,0.1005,15.4,1.8352444584365928
7.5,,,,,,,0.1005,15.4,1.8352444584365928
8.0,,3116.592962692109,3288.1923055490192,,38.03793360375108,49.6815976018378,0.1005,15.4,1.8352444584365928
8.5,,,,,,,0.1005,15.4,1.8352444584365928
9.0,,3508.683820401029,3602.9902525785947,,39.9198650658235,56.23075901104978,0.1005,15.4,1.8352444584365928
9.5,,,,,,,0.1005,15.4,1.8352444584365928
10.0,,3849.820020341711,4305.176967805928,,48.71513022273482,58.09058104062857,0.1005,15.4,1.8352444584365928
10.5,,,,,,,0.1005,15.4,1.8352444584365928
11.0,,4211.054476173528,4588.260268676071,,45.1292415235511,66.3441218986445,0.1005,15.4,1.8352444584365928
11.5,,,,,,,0.1005,15.4,1.8352444584365928
12.0,,4430.624175588621,4853.332429084197,,45.614052679778695,55.907607435778345,0.1005,15.4,1.8352444584365928
12.5,,,,,,,0.1005,15.4,1.8352444584365928
13.0,,,4995.215668509042,,,50.3501514524557,0.1005,15.4,1.8352444584365928
13.5,,,,,,,0.1005,15.4,1.8352444584365928
14.0,,4372.762672652249,2284.3790785173887,,42.0603005460337,59.6256118824423,0.1005,15.4,1.8352444584365928
14.5,,,,,,,0.1005,15.4,1.8352444584365928
15.0,,4666.623262490117,5150.531889089982,,40.567592543680945,45.027482683075654,0.1005,15.4,1.8352444584365928
15.5,,,,,,,0.1005,15.4,1.8352444584365928
16.0,,4605.880472072633,5191.031205630741,,40.29755632800575,44.892552697976,0.1005,15.4,1.8352444584365928
16.5,,,,,,,0.1005,15.4,1.8352444584365928
17.0,,4536.656146347064,4992.103656091625,,38.7194167237408,42.55289157879728,0.1005,15.4,1.8352444584365928
17.5,,,,,,,0.1005,15.4,1.8352444584365928
18.0,,4577.5010840098785,4977.335644659298,,38.2721549829464,41.83351729538147,0.1005,15.4,1.8352444584365928
18.5,,,,,,,0.1005,15.4,1.8352444584365928
19.0,,4404.428554002044,4736.959822304075,,36.9899983892935,41.7017508207508,0.1005,15.4,1.8352444584365928
19.5,,,,,,,0.1005,15.4,1.8352444584365928
20.0,,4054.2576746484438,4242.012319082778,,44.9690463463207,40.605016040228215,0.1005,15.4,1.8352444584365928
20.5,,,,,,,0.1005,15.4,1.8352444584365928
21.0,,4066.572193188093,4166.300170395367,,36.1716402889721,37.335169802891,0.1005,15.4,1.8352444584365928
21.5,,,,,,,0.1005,15.4,1.8352444584365928
22.0,,1182.7647107768967,1680.9211960613463,,32.7627490285132,31.2014338135421,0.1005,15.4,1.8352444584365928
22.5,,,,,,,0.1005,15.4,1.8352444584365928
23.0,,3760.376957590594,3798.4575145270996,,33.882601272405,34.598248428083,0.1005,15.4,1.8352444584365928
23.5,,,,,,,0.1005,15.4,1.8352444584365928
