relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,78.27430500106264,-73.29080456069154,,46.7241561952236,66.7444284414762,0.0394,3.0,1.0916653944012942
-29.5,,,,,,,0.0394,3.0,1.0916653944012942
-29.0,,-47.51749082848709,-13.164097987623292,,36.7631047566585,39.2276880221623,0.0394,3.0,1.0916653944012942
-28.5,,,,,,,0.0394,3.0,1.0916653944012942
-28.0,,-22.646884164374654,78.81585833800497,,35.6428548858498,38.7367790465664,0.0394,3.0,1.0916653944012942
-27.5,,,,,,,0.0394,3.0,1.0916653944012942
-27.0,,-36.81432559833482,-15.137322010453373,,38.7665315449592,46.3142621565467,0.0394,3.0,1.0916653944012942
-26.5,,,,,,,0.0394,3.0,1.0916653944012942
-26.0,,106.65283595859111,24.23995844993621,,42.6532499341696,39.2588264115255,0.0394,3.0,1.0916653944012942
-25.5,,,,,,,0.0394,3.0,1.0916653944012942
-25.0,,9.667372611006728,-35.5711971701026,,29.533897845715,21.65210572614264,0.0394,3.0,1.0916653944012942
-24.5,,,,,,,0.0394,3.0,1.0916653944012942
-24.0,,,,,,,0.0394,3.0,1.0916653944012942
-23.5,,,,,,,0.0394,3.0,1.0916653944012942
-23.0,,32.79515408749276,14.480799032606011,,33.056884481289075,20.061397013049806,0.0394,3.0,1.0916653944012942
-22.5,,,,,,,0.0394,3.0,1.0916653944012942
-22.0,,,,,,,0.0394,3.0,1.0916653944012942
-21.5,,,,,,,0.0394,3.0,1.0916653944012942
-21.0,,3.059840871117614,47.731056544930205,,25.95362880225683,18.79136271405699,0.0394,3.0,1.0916653944012942
-20.5,,,,,,,0.0394,3.0,1.0916653944012942
-20.0,,9.969951732447736,12.74518073594136,,23.8622469231064,17.93592272577113,0.0394,3.0,1.0916653944012942
-19.5,,,,,,,0.0394,3.0,1.0916653944012942
-19.0,,23.06506523994006,-20.029217967086097,,28.779432798111745,19.427026087128247,0.0394,3.0,1.0916653944012942
-18.5,,,,,,,0.0394,3.0,1.0916653944012942
-18.0,,-25.067376103310814,-14.23648147905708,,29.28982980445651,20.05575884923643,0.0394,3.0,1.0916653944012942
-17.5,,,,,,,0.0394,3.0,1.0916653944012942
-17.0,,-85.92397657988302,,,26.6354370089013,,0.0394,3.0,1.0916653944012942
-16.5,,,,,,,0.0394,3.0,1.0916653944012942
-16.0,,149.25815066611025,84.84870612477128,,40.3905057348622,23.1048995231607,0.0394,3.0,1.0916653944012942
-15.5,,,,,,,0.0394,3.0,1.0916653944012942
-15.0,,-49.50254385293219,-35.15632756584644,,25.520848014458686,19.397365962133044,0.0394,3.0,1.0916653944012942
-14.5,,,,,,,0.0394,3.0,1.0916653944012942
-14.0,,-38.892110079681714,12.34450501667153,,27.738181386407657,24.222410878880346,0.0394,3.0,1.0916653944012942
-13.5,,,,,,,0.0394,3.0,1.0916653944012942
-13.0,,29.067103986777287,54.338594052512704,,33.74765950258384,25.10618196075286,0.0394,3.0,1.0916653944012942
-12.5,,,,,,,0.0394,3.0,1.0916653944012942
-12.0,,-16.992690219222208,-11.244354974567033,,27.431663874856,24.383131342809914,0.0394,3.0,1.0916653944012942
-11.5,,,,,,,0.0394,3.0,1.0916653944012942
-11.0,,-48.70427449956952,9.678592546280887,,25.58550777108236,20.834181904105186,0.0394,3.0,1.0916653944012942
-10.5,,,,,,,0.0394,3.0,1.0916653944012942
-10.0,,-75.73227765519697,-3.8491634434615625,,27.3226164305216,29.832696139852846,0.0394,3.0,1.0916653944012942
-9.5,,,,,,,0.0394,3.0,1.0916653944012942
-9.0,,-4.733655144545146,19.979992960363592,,34.57612072007236,21.2414294045067,0.0394,3.0,1.0916653944012942
-8.5,,,,,,,0.0394,3.0,1.0916653944012942
-8.0,,-8.213038516956596,-2.364156902968361,,30.72407007932247,27.617706407578826,0.0394,3.0,1.0916653944012942
-7.5,,,,,,,0.0394,3.0,1.0916653944012942
-7.0,,0.567741882100016,33.80905329299756,,35.5170626372462,37.26353283084149,0.0394,3.0,1.0916653944012942
-6.5,,,,,,,0.0394,3.0,1.0916653944012942
-6.0,,-14.316801923452656,9.556476980629222,,36.53927298705558,40.3043230702177,0.0394,3.0,1.0916653944012942
-5.5,,,,,,,0.0394,3.0,1.0916653944012942
-5.0,,,-28.084587197468842,,,38.706681809568,0.0394,3.0,1.0916653944012942
-4.5,,,,,,,0.0394,3.0,1.0916653944012942
-4.0,,-69.90582803111835,13.22215840478448,,39.21726806635021,49.83802588198425,0.0394,3.0,1.0916653944012942
-3.5,,,,,,,0.0394,3.0,1.0916653944012942
-3.0,,16.594759505534167,-0.6719516027580577,,42.4038061447975,51.237143858848135,0.0394,3.0,1.0916653944012942
-2.5,,,,,,,0.0394,3.0,1.0916653944012942
-2.0,,92.79503558303051,150.47954135902697,,42.016481406657974,47.9365645888039,0.0394,3.0,1.0916653944012942
-1.5,,,,,,,0.0394,3.0,1.0916653944012942
-1.0,,381.3516426263863,295.7424767529267,,49.0396825250162,61.58485189569953,0.0394,3.0,1.0916653944012942
-0.5,720.9713235285489,,,118.50243063893478,,,0.0394,3.0,1.0916653944012942
0.0,769.9870083678952,569.6757680937947,543.9210929274518,118.5469414319173,45.80610484749974,46.17068564815247,0.0394,3.0,1.0916653944012942
0.5,833.1779259518892,,,118.81415716300789,,,0.0394,3.0,1.0916653944012942
1.0,827.5674397664043,,592.0227434520508,122.89973603752037,,38.03046219610971,0.0394,3.0,1.0916653944012942
1.5,807.5131156015268,,,125.90748694915014,,,0.0394,3.0,1.0916653944012942
2.0,811.8910671555756,,126.41763061495864,128.77538164653916,,48.51838553838798,0.0394,3.0,1.0916653944012942
2.5,745.4691901951693,,,128.89601359341688,,,0.0394,3.0,1.0916653944012942
3.0,752.7638614415769,679.3234964854823,574.2914567634654,131.2529372486238,39.07693583375222,28.112579370360546,0.0394,3.0,1.0916653944012942
3.5,660.2746313916242,,,131.10175764436988,,,0.0394,3.0,1.0916653944012942
4.0,748.1980363225687,737.9839017856448,560.266589897948,133.5961907809166,40.69385895229715,34.1759441870023,0.0394,3.0,1.0916653944012942
4.5,548.6355887860857,,,133.04307622883874,,,0.0394,3.0,1.0916653944012942
5.0,478.9588240801464,682.2413798383765,417.4009337888214,135.7324825165196,42.2073287461815,32.109018823107675,0.0394,3.0,1.0916653944012942
5.5,546.8359898609434,,,135.14708842936025,,,0.0394,3.0,1.0916653944012942
6.0,506.8049039490112,512.8477578404171,365.05358358783263,138.5197363786643,37.8575747278972,32.7666810976148,0.0394,3.0,1.0916653944012942
6.5,534.0814102860235,,,138.39528208061532,,,0.0394,3.0,1.0916653944012942
7.0,443.6794104423541,473.88302397481476,320.8903598893582,143.1654840919314,33.9984616286549,25.08704454815936,0.0394,3.0,1.0916653944012942
7.5,467.64650264302304,,,143.98462710167317,,,0.0394,3.0,1.0916653944012942
8.0,508.2931861718082,467.1367756716512,225.3572236673205,148.25915360934457,39.9728179222654,39.698154101370065,0.0394,3.0,1.0916653944012942
8.5,332.42250171490394,,,149.16042056725436,,,0.0394,3.0,1.0916653944012942
9.0,441.9408102257022,321.55512909277223,201.96039724386935,156.97277514241446,41.01729201341786,24.402545604703604,0.0394,3.0,1.0916653944012942
9.5,406.05333458547875,,,159.35175144015287,,,0.0394,3.0,1.0916653944012942
10.0,135.4112345454023,248.31630532085424,55.40256700787614,169.9847791687169,35.4696530587243,35.80940651709131,0.0394,3.0,1.0916653944012942
10.5,-67.33575108468256,,,175.3962990240689,,,0.0394,3.0,1.0916653944012942
11.0,223.7918971943041,262.58246635100517,193.16828426209423,181.46886263550556,35.4509571055391,23.8810204991276,0.0394,3.0,1.0916653944012942
11.5,159.90912595045995,,,174.3741015740052,,,0.0394,3.0,1.0916653944012942
12.0,463.03929511284366,214.39788220197238,154.0129096378713,136.48700739847624,26.5341002139505,21.833412008250985,0.0394,3.0,1.0916653944012942
12.5,,,,,,,0.0394,3.0,1.0916653944012942
13.0,,161.70166012620288,108.90737101218438,,29.074132819353977,24.627968309656943,0.0394,3.0,1.0916653944012942
13.5,438.10332299779463,,,119.15233731945692,,,0.0394,3.0,1.0916653944012942
14.0,433.2471719700412,107.90889327195131,81.23945574669263,119.19639496338388,25.9431409884345,22.224145965699776,0.0394,3.0,1.0916653944012942
14.5,379.36575514901,,,121.13859948977246,,,0.0394,3.0,1.0916653944012942
15.0,152.21191541667702,57.47333062806419,54.045512391320585,124.38903962445427,33.1529408655102,29.0316184596571,0.0394,3.0,1.0916653944012942
15.5,225.14829508735613,,,125.59601266927672,,,0.0394,3.0,1.0916653944012942
16.0,148.69958107921866,38.079713880592074,96.27644136654415,127.47146284089871,43.56125797988764,23.30826940045881,0.0394,3.0,1.0916653944012942
16.5,280.3068535292525,,,127.56930479554104,,,0.0394,3.0,1.0916653944012942
17.0,88.43990426007178,26.58422595977744,46.91079904977276,129.40262858653216,26.801453479009297,25.367497082879407,0.0394,3.0,1.0916653944012942
17.5,14.479560965922019,,,129.02853906544257,,,0.0394,3.0,1.0916653944012942
18.0,-20.99407162530656,,28.397487211909283,130.97254162886603,,28.0550831763946,0.0394,3.0,1.0916653944012942
18.5,-15.43385319184074,,,130.45330786869965,,,0.0394,3.0,1.0916653944012942
19.0,-28.906513670224513,15.688210839106924,59.179267007029615,132.95819737794375,38.417592968730126,29.3847360569075,0.0394,3.0,1.0916653944012942
19.5,-31.816843965271687,,,132.8670421866574,,,0.0394,3.0,1.0916653944012942
20.0,-159.38516304353925,7.117686788770919,-12.779466617787108,135.567829786722,69.841654772916,39.475018317133745,0.0394,3.0,1.0916653944012942
20.5,-107.124242303855,,,136.5743234041948,,,0.0394,3.0,1.0916653944012942
21.0,-295.29505895176453,28.619604213224587,27.939362835427723,140.0928660767679,32.76772777850305,27.837956250906895,0.0394,3.0,1.0916653944012942
21.5,-176.88251126486125,,,141.85145631166984,,,0.0394,3.0,1.0916653944012942
22.0,-168.2562670339721,42.27735939989936,19.013392185931437,147.65929955023853,37.128581928720585,31.598100166276552,0.0394,3.0,1.0916653944012942
22.5,-68.31327599629026,,,150.7251664876041,,,0.0394,3.0,1.0916653944012942
23.0,100.11495102674326,25.060276342718776,45.037884910474105,160.13575609730583,47.97439871623772,40.59042725507601,0.0394,3.0,1.0916653944012942
23.5,11.17739735798466,,,165.38397080938626,,,0.0394,3.0,1.0916653944012942
24.0,-89.98640668842188,36.703710512461534,47.896198285632266,177.18808823939972,42.46383009838363,40.88755366635885,0.0394,3.0,1.0916653944012942
24.5,-177.9747508636816,,,186.53752552663195,,,0.0394,3.0,1.0916653944012942
25.0,-162.18017306655327,-63.88448934146394,7.524480564857639,187.17630132131404,51.6547825350121,57.4378545780606,0.0394,3.0,1.0916653944012942
25.5,-18.405786347091862,,,163.7256921788713,,,0.0394,3.0,1.0916653944012942
26.0,,58.95648739367386,75.9434680122829,,51.5232287614564,42.32817080718095,0.0394,3.0,1.0916653944012942
26.5,,,,,,,0.0394,3.0,1.0916653944012942
27.0,,27.733218077009443,12.310257776838782,,56.9638754727978,56.547841202059665,0.0394,3.0,1.0916653944012942
27.5,,,,,,,0.0394,3.0,1.0916653944012942
28.0,,-12.205280549042335,48.00741814061657,,56.1115932885313,56.08152939083204,0.0394,3.0,1.0916653944012942
28.5,,,,,,,0.0394,3.0,1.0916653944012942
29.0,,-0.14312260299503654,-0.8897148970129933,,66.15683390632849,63.35590522751492,0.0394,3.0,1.0916653944012942
29.5,,,,,,,0.0394,3.0,1.0916653944012942
30.0,,9.604734918341082,-4.355143166962353,,42.3646461402433,50.5878051984153,0.0394,3.0,1.0916653944012942
30.5,,,,,,,0.0394,3.0,1.0916653944012942
31.0,,,-1.7460243965083138,,,35.993805982865,0.0394,3.0,1.0916653944012942
31.5,,,,,,,0.0394,3.0,1.0916653944012942
32.0,,26.606743848129245,2.6448447102733663,,32.3401936440515,36.266504852985804,0.0394,3.0,1.0916653944012942
32.5,,,,,,,0.0394,3.0,1.0916653944012942
33.0,,18.59204944498355,-22.170328284332832,,32.4283540834358,25.947276690232652,0.0394,3.0,1.0916653944012942
33.5,,,,,,,0.0394,3.0,1.0916653944012942
34.0,,-30.439935312886977,4.106213586637922,,30.275303406393977,22.399285947657802,0.0394,3.0,1.0916653944012942
34.5,,,,,,,0.0394,3.0,1.0916653944012942
35.0,,-65.47088576346758,-50.36671652358288,,25.1085259531769,30.9963788412415,0.0394,3.0,1.0916653944012942
35.5,,,,,,,0.0394,3.0,1.0916653944012942
36.0,,-47.87428350626409,-15.845201547707067,,35.89747604361045,32.84671737499297,0.0394,3.0,1.0916653944012942
36.5,,,,,,,0.0394,3.0,1.0916653944012942
37.0,,30.122240891573686,-2.5337127595810536,,46.77268100637973,35.25777153487568,0.0394,3.0,1.0916653944012942
37.5,,,,,,,0.0394,3.0,1.0916653944012942
38.0,,27.19040409215325,20.770349493357667,,36.09024418605686,26.368023438323615,0.0394,3.0,1.0916653944012942
38.5,,,,,,,0.0394,3.0,1.0916653944012942
39.0,,-34.385518668985775,-37.78388850100452,,51.52933164904022,33.8705818240874,0.0394,3.0,1.0916653944012942
39.5,,,,,,,0.0394,3.0,1.0916653944012942
40.0,,15.727770688537127,62.66249751037981,,37.359064113369165,36.4465794299542,0.0394,3.0,1.0916653944012942
40.5,,,,,,,0.0394,3.0,1.0916653944012942
41.0,,,,,,,0.0394,3.0,1.0916653944012942
41.5,,,,,,,0.0394,3.0,1.0916653944012942
42.0,,,,,,,0.0394,3.0,1.0916653944012942
42.5,,,,,,,0.0394,3.0,1.0916653944012942
43.0,,-37.52567626555744,-6.916012703694889,,26.953322879122847,29.146200740818546,0.0394,3.0,1.0916653944012942
43.5,,,,,,,0.0394,3.0,1.0916653944012942
44.0,,,,,,,0.0394,3.0,1.0916653944012942
44.5,,,,,,,0.0394,3.0,1.0916653944012942
45.0,,,,,,,0.0394,3.0,1.0916653944012942
45.5,,,,,,,0.0394,3.0,1.0916653944012942
46.0,,47.130714673089216,12.636544973164234,,57.7970994720518,27.7765662928668,0.0394,3.0,1.0916653944012942
46.5,,,,,,,0.0394,3.0,1.0916653944012942
47.0,,16.529516844422314,-42.88595100780925,,44.4179921866465,32.0512657620983,0.0394,3.0,1.0916653944012942
47.5,,,,,,,0.0394,3.0,1.0916653944012942
48.0,,,,,,,0.0394,3.0,1.0916653944012942
48.5,,,,,,,0.0394,3.0,1.0916653944012942
49.0,,-23.904283522747075,-14.463293263655396,,43.1833941777071,30.651070185799938,0.0394,3.0,1.0916653944012942
