relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-136.3128853671589,-188.0794836180427,,88.53565187442095,44.11350727195589,0.0374,6.0,4.142897536748888
-29.5,,,,,,,0.0374,6.0,4.142897536748888
-29.0,,32.04996370928698,-50.099167332748436,,55.54072985575,33.26787277107618,0.0374,6.0,4.142897536748888
-28.5,,,,,,,0.0374,6.0,4.142897536748888
-28.0,,-81.01490271808281,29.419006901796532,,55.42973634796434,33.110521423665595,0.0374,6.0,4.142897536748888
-27.5,,,,,,,0.0374,6.0,4.142897536748888
-27.0,,98.54674128054359,,,107.20671800715904,,0.0374,6.0,4.142897536748888
-26.5,,,,,,,0.0374,6.0,4.142897536748888
-26.0,,-135.52366350409886,6.882065488938933,,52.08358826861665,41.516293608638975,0.0374,6.0,4.142897536748888
-25.5,,,,,,,0.0374,6.0,4.142897536748888
-25.0,,-48.51438718573714,-27.539782027051903,,52.235762018641495,38.82286829643531,0.0374,6.0,4.142897536748888
-24.5,,,,,,,0.0374,6.0,4.142897536748888
-24.0,,-73.45547511298618,35.38966497721103,,71.6601659390763,35.21911179359624,0.0374,6.0,4.142897536748888
-23.5,,,,,,,0.0374,6.0,4.142897536748888
-23.0,,-108.85824519038516,-44.671326885124046,,64.77346519720699,33.78099980093938,0.0374,6.0,4.142897536748888
-22.5,,,,,,,0.0374,6.0,4.142897536748888
-22.0,,-105.45414527418902,-31.926811729055885,,69.55047126248257,34.40666774742427,0.0374,6.0,4.142897536748888
-21.5,,,,,,,0.0374,6.0,4.142897536748888
-21.0,,0.5924693080459034,15.85916658871255,,81.975822187709,58.76525541606455,0.0374,6.0,4.142897536748888
-20.5,,,,,,,0.0374,6.0,4.142897536748888
-20.0,,-118.97653969960565,-31.34675692064769,,84.78660700776777,61.70154886322688,0.0374,6.0,4.142897536748888
-19.5,,,,,,,0.0374,6.0,4.142897536748888
-19.0,,-47.783939898487674,-10.429602728197356,,86.24650265695117,70.50571686834701,0.0374,6.0,4.142897536748888
-18.5,,,,,,,0.0374,6.0,4.142897536748888
-18.0,,-40.400767111088484,34.591829742345624,,91.22767938990366,98.20951990054242,0.0374,6.0,4.142897536748888
-17.5,,,,,,,0.0374,6.0,4.142897536748888
-17.0,,3.958774073755248,,,101.52550615112987,,0.0374,6.0,4.142897536748888
-16.5,,,,,,,0.0374,6.0,4.142897536748888
-16.0,,-43.68224669517048,77.64530163417447,,103.2741226243036,96.0930393494571,0.0374,6.0,4.142897536748888
-15.5,,,,,,,0.0374,6.0,4.142897536748888
-15.0,,-79.24898584011171,40.23573827050385,,113.99316493865236,94.74589654144496,0.0374,6.0,4.142897536748888
