relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-15.391044901498834,,,22.594769424301607,,0.0587,18.0,2.2658233725415484
-29.5,,,,,,,0.0587,18.0,2.2658233725415484
-29.0,,-35.95263714675538,3.2693687905571536,,29.605259457918656,31.6122822704246,0.0587,18.0,2.2658233725415484
-28.5,,,,,,,0.0587,18.0,2.2658233725415484
-28.0,,-32.715143354969754,-25.77921120964563,,25.4549228502623,20.7998876110385,0.0587,18.0,2.2658233725415484
-27.5,,,,,,,0.0587,18.0,2.2658233725415484
-27.0,,-46.138449941376734,2.7269589400600247,,22.545623181169752,18.977491943668714,0.0587,18.0,2.2658233725415484
-26.5,,,,,,,0.0587,18.0,2.2658233725415484
-26.0,,-47.29439464754953,28.8943955743651,,24.546556479421493,18.6338360569447,0.0587,18.0,2.2658233725415484
-25.5,,,,,,,0.0587,18.0,2.2658233725415484
-25.0,,-29.056050024309503,-3.954417890144715,,23.38264270457412,19.1873786716052,0.0587,18.0,2.2658233725415484
-24.5,,,,,,,0.0587,18.0,2.2658233725415484
-24.0,,-37.062191849745254,-17.49389018511383,,24.393440952475537,20.2574867375809,0.0587,18.0,2.2658233725415484
-23.5,,,,,,,0.0587,18.0,2.2658233725415484
-23.0,,-0.9860225654116037,-8.77945817039775,,35.7769110145445,32.0973900998602,0.0587,18.0,2.2658233725415484
-22.5,,,,,,,0.0587,18.0,2.2658233725415484
-22.0,,-59.373500765322476,16.557568024958734,,33.57184744751725,31.999087856590553,0.0587,18.0,2.2658233725415484
-21.5,,,,,,,0.0587,18.0,2.2658233725415484
-21.0,,-17.48147784938433,-16.506497363624195,,33.1042106383998,29.18904485803625,0.0587,18.0,2.2658233725415484
-20.5,,,,,,,0.0587,18.0,2.2658233725415484
-20.0,,-48.455899931983325,-3.6683369638888257,,36.269973732472174,40.65205659794621,0.0587,18.0,2.2658233725415484
-19.5,,,,,,,0.0587,18.0,2.2658233725415484
-19.0,,8.172311307764595,-13.810610761321245,,41.2305690042007,53.34660926647076,0.0587,18.0,2.2658233725415484
-18.5,,,,,,,0.0587,18.0,2.2658233725415484
-18.0,,-91.39272908001954,-45.83940310356004,,42.513356924422,57.32570337657462,0.0587,18.0,2.2658233725415484
-17.5,,,,,,,0.0587,18.0,2.2658233725415484
-17.0,,-84.14526108099038,-6.104748452578231,,42.4703209919847,58.247372468063865,0.0587,18.0,2.2658233725415484
-16.5,,,,,,,0.0587,18.0,2.2658233725415484
-16.0,,-48.96595526109835,-23.554894651276044,,42.1594079438116,54.422903957488195,0.0587,18.0,2.2658233725415484
-15.5,,,,,,,0.0587,18.0,2.2658233725415484
-15.0,,,,,,,0.0587,18.0,2.2658233725415484
-14.5,,,,,,,0.0587,18.0,2.2658233725415484
-14.0,,,-2.244919212881604,,,51.387680960168666,0.0587,18.0,2.2658233725415484
-13.5,,,,,,,0.0587,18.0,2.2658233725415484
-13.0,,-62.32522423116187,-11.930177563377189,,32.8367497629498,34.28979126078654,0.0587,18.0,2.2658233725415484
-12.5,,,,,,,0.0587,18.0,2.2658233725415484
-12.0,,-8.533027201607814,-67.78298128379762,,31.7731203102046,35.3886613280277,0.0587,18.0,2.2658233725415484
-11.5,,,,,,,0.0587,18.0,2.2658233725415484
-11.0,,0.6633966175158483,0.971477868905394,,34.0360965613593,26.49421513749243,0.0587,18.0,2.2658233725415484
-10.5,,,,,,,0.0587,18.0,2.2658233725415484
-10.0,,-21.65868873386379,-14.622263316955566,,32.098922973584905,32.55480113238792,0.0587,18.0,2.2658233725415484
-9.5,,,,,,,0.0587,18.0,2.2658233725415484
-9.0,,11.271485661054308,-16.2250108750535,,29.1545383055303,33.5774322942208,0.0587,18.0,2.2658233725415484
-8.5,,,,,,,0.0587,18.0,2.2658233725415484
-8.0,,-43.63320721792257,-0.17127523676907153,,43.2853685852035,28.163289510880862,0.0587,18.0,2.2658233725415484
-7.5,,,,,,,0.0587,18.0,2.2658233725415484
-7.0,,-11.347241735164245,6.267290826884195,,28.707864437180717,21.813906462125853,0.0587,18.0,2.2658233725415484
-6.5,,,,,,,0.0587,18.0,2.2658233725415484
-6.0,,-40.87927418575668,13.04281740171421,,35.4703659971863,30.000097468552802,0.0587,18.0,2.2658233725415484
-5.5,,,,,,,0.0587,18.0,2.2658233725415484
-5.0,,-15.098109725366264,21.360812050049905,,25.32266427815502,19.6117315493838,0.0587,18.0,2.2658233725415484
-4.5,,,,,,,0.0587,18.0,2.2658233725415484
-4.0,,-14.44890800915149,-31.54266253626707,,23.5996236300474,24.121096070797048,0.0587,18.0,2.2658233725415484
-3.5,,,,,,,0.0587,18.0,2.2658233725415484
-3.0,,-1.174402265931425,-2.4628923441007182,,25.4543283855495,22.87492306310191,0.0587,18.0,2.2658233725415484
-2.5,,,,,,,0.0587,18.0,2.2658233725415484
-2.0,,-20.691949202469885,-0.9038487656957793,,25.3984778799296,22.92593178203771,0.0587,18.0,2.2658233725415484
-1.5,,,,,,,0.0587,18.0,2.2658233725415484
-1.0,,6.722848368220331,18.50305243514725,,29.4752831069134,23.2217159850633,0.0587,18.0,2.2658233725415484
-0.5,,,,,,,0.0587,18.0,2.2658233725415484
0.0,,132.70485096602246,158.12206729870246,,24.6273813925057,22.906032854702236,0.0587,18.0,2.2658233725415484
0.5,,,,,,,0.0587,18.0,2.2658233725415484
1.0,,,,,,,0.0587,18.0,2.2658233725415484
1.5,,,,,,,0.0587,18.0,2.2658233725415484
2.0,,,,,,,0.0587,18.0,2.2658233725415484
2.5,,,,,,,0.0587,18.0,2.2658233725415484
3.0,,364.5232002169364,424.85935054961124,,32.76715625071451,27.35747525926632,0.0587,18.0,2.2658233725415484
3.5,,,,,,,0.0587,18.0,2.2658233725415484
4.0,,,151.43467488688665,,,40.7768907166509,0.0587,18.0,2.2658233725415484
4.5,,,,,,,0.0587,18.0,2.2658233725415484
5.0,,743.3675586292517,797.8475496242648,,29.79833736016402,28.78069253770017,0.0587,18.0,2.2658233725415484
5.5,,,,,,,0.0587,18.0,2.2658233725415484
6.0,,982.4273652399945,996.2694471603113,,34.3326476211324,34.96632073628039,0.0587,18.0,2.2658233725415484
