relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-1.9090161616179853,-1.3144554785835831,,29.6269677378319,28.9859933099424,0.3098,1.0,2.5642326120866823
-29.5,,,,,,,0.3098,1.0,2.5642326120866823
-29.0,,-40.31361450084468,-115.893663911443,,31.420044740835,44.8239257708561,0.3098,1.0,2.5642326120866823
-28.5,,,,,,,0.3098,1.0,2.5642326120866823
-28.0,,3.579886563582314,41.976846211797046,,29.5883058789958,31.7581877992396,0.3098,1.0,2.5642326120866823
-27.5,,,,,,,0.3098,1.0,2.5642326120866823
-27.0,,3.509805495921115,-16.343431235257032,,29.9966413978448,56.5600691455578,0.3098,1.0,2.5642326120866823
-26.5,,,,,,,0.3098,1.0,2.5642326120866823
-26.0,,-61.67554029800701,-2.6022969692216,,34.3763374689197,56.4368557405137,0.3098,1.0,2.5642326120866823
-25.5,,,,,,,0.3098,1.0,2.5642326120866823
-25.0,,-156.27686240057375,35.558712692678476,,41.1348588800892,53.3708687576444,0.3098,1.0,2.5642326120866823
-24.5,,,,,,,0.3098,1.0,2.5642326120866823
-24.0,,-57.38444162938398,-4.517169641899513,,35.9719890235417,52.1509730205945,0.3098,1.0,2.5642326120866823
-23.5,,,,,,,0.3098,1.0,2.5642326120866823
-23.0,,-27.72428973967395,-31.417371809553536,,36.5036206873483,45.5443357399836,0.3098,1.0,2.5642326120866823
-22.5,,,,,,,0.3098,1.0,2.5642326120866823
-22.0,,,,,,,0.3098,1.0,2.5642326120866823
-21.5,,,,,,,0.3098,1.0,2.5642326120866823
-21.0,,,77.07993243514402,,,51.4065817661196,0.3098,1.0,2.5642326120866823
-20.5,,,,,,,0.3098,1.0,2.5642326120866823
-20.0,,-0.40970598036182004,6.993970569089841,,20.3998995574341,31.1324107747331,0.3098,1.0,2.5642326120866823
-19.5,,,,,,,0.3098,1.0,2.5642326120866823
-19.0,,25.981794913194378,71.82145094305145,,27.2111928590379,30.748453065265,0.3098,1.0,2.5642326120866823
-18.5,,,,,,,0.3098,1.0,2.5642326120866823
-18.0,,18.41012925783617,23.599072456371093,,26.6834504185169,27.2055697820187,0.3098,1.0,2.5642326120866823
-17.5,,,,,,,0.3098,1.0,2.5642326120866823
-17.0,,-115.27258552584722,-21.16175152862577,,24.934295083663,25.5451037443019,0.3098,1.0,2.5642326120866823
-16.5,,,,,,,0.3098,1.0,2.5642326120866823
