relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-44.33586081692869,14.061382217998663,,29.636377813201964,26.42460109110612,0.0388,11.1,4.388500123428656
-29.5,,,,,,,0.0388,11.1,4.388500123428656
-29.0,,-13.387241676537904,-27.895696642505143,,31.734661410925614,30.95095792938961,0.0388,11.1,4.388500123428656
-28.5,,,,,,,0.0388,11.1,4.388500123428656
-28.0,,-38.98349845951756,-22.850039188964253,,29.39611058509602,25.425199304102055,0.0388,11.1,4.388500123428656
-27.5,,,,,,,0.0388,11.1,4.388500123428656
-27.0,,-53.80726452013699,-26.424311453041135,,29.135435311594918,25.94530103335935,0.0388,11.1,4.388500123428656
-26.5,,,,,,,0.0388,11.1,4.388500123428656
-26.0,,-33.50151150858137,3.9732629750969433,,30.78463717772416,28.28679274957809,0.0388,11.1,4.388500123428656
-25.5,,,,,,,0.0388,11.1,4.388500123428656
-25.0,,-48.43876282839176,14.472413450998266,,39.88097877824048,33.06886846839351,0.0388,11.1,4.388500123428656
-24.5,,,,,,,0.0388,11.1,4.388500123428656
-24.0,,-49.95155438502383,5.059392489902113,,28.990386669879296,21.062983790759887,0.0388,11.1,4.388500123428656
-23.5,,,,,,,0.0388,11.1,4.388500123428656
-23.0,,-41.54910431821103,-1.0155108723549848,,35.6527255741955,23.40282710180643,0.0388,11.1,4.388500123428656
-22.5,,,,,,,0.0388,11.1,4.388500123428656
-22.0,,-18.309637145034074,-13.523503181922228,,25.71282775965327,21.38087557897245,0.0388,11.1,4.388500123428656
-21.5,,,,,,,0.0388,11.1,4.388500123428656
-21.0,,-33.22513597159478,-27.14167206996359,,22.60827325467651,20.126452561150767,0.0388,11.1,4.388500123428656
-20.5,,,,,,,0.0388,11.1,4.388500123428656
-20.0,,-10.478252293619454,-17.449608788200614,,30.6669483229105,23.68796288350364,0.0388,11.1,4.388500123428656
-19.5,,,,,,,0.0388,11.1,4.388500123428656
-19.0,,-32.422750311776355,-18.354474233056933,,26.764115326991025,22.082962154754878,0.0388,11.1,4.388500123428656
-18.5,,,,,,,0.0388,11.1,4.388500123428656
-18.0,,-35.718892519286236,-15.864763370283844,,27.57311355979194,21.931305516854778,0.0388,11.1,4.388500123428656
-17.5,,,,,,,0.0388,11.1,4.388500123428656
-17.0,,-38.81699025513452,-9.43725833180263,,25.981458174716927,19.68360521638584,0.0388,11.1,4.388500123428656
-16.5,,,,,,,0.0388,11.1,4.388500123428656
-16.0,,,,,,,0.0388,11.1,4.388500123428656
-15.5,,,,,,,0.0388,11.1,4.388500123428656
-15.0,,,,,,,0.0388,11.1,4.388500123428656
-14.5,,,,,,,0.0388,11.1,4.388500123428656
-14.0,,-35.569084894987,7.141713838357004,,30.728860891929898,24.333712167211413,0.0388,11.1,4.388500123428656
-13.5,,,,,,,0.0388,11.1,4.388500123428656
-13.0,,-21.023654359652017,-30.777895132469247,,54.03821663281801,35.8688077347302,0.0388,11.1,4.388500123428656
-12.5,,,,,,,0.0388,11.1,4.388500123428656
-12.0,,-26.023682259890716,-29.529824667633715,,29.483586147769657,23.177623096938103,0.0388,11.1,4.388500123428656
-11.5,,,,,,,0.0388,11.1,4.388500123428656
-11.0,,12.578986812744073,-26.174947453331498,,33.69013862664688,30.676084500632445,0.0388,11.1,4.388500123428656
-10.5,,,,,,,0.0388,11.1,4.388500123428656
-10.0,,13.258760019618538,-42.81297549806906,,42.59498656123609,36.95444783150252,0.0388,11.1,4.388500123428656
-9.5,,,,,,,0.0388,11.1,4.388500123428656
-9.0,,-34.297881878377815,-26.75699934252183,,40.353061571118474,43.95759584877004,0.0388,11.1,4.388500123428656
-8.5,,,,,,,0.0388,11.1,4.388500123428656
-8.0,,2.8856840769333036,-33.89755239222132,,49.84403956591733,52.59963461656199,0.0388,11.1,4.388500123428656
-7.5,,,,,,,0.0388,11.1,4.388500123428656
-7.0,,-49.38213888952853,-5.332927394520008,,61.87115327626397,64.17260248350506,0.0388,11.1,4.388500123428656
-6.5,,,,,,,0.0388,11.1,4.388500123428656
-6.0,-1.8575719187415203,-7.9875171791255,-30.8379988129867,83.50702204996078,53.50937132803459,58.2629061145959,0.0388,11.1,4.388500123428656
-5.5,53.45376283124634,,,83.42986777854989,,,0.0388,11.1,4.388500123428656
-5.0,79.94483748738647,-24.310111447586635,-20.359973763585764,84.11852308404481,52.33842100169953,51.28577352274194,0.0388,11.1,4.388500123428656
-4.5,78.48936220607406,,,85.88051682413264,,,0.0388,11.1,4.388500123428656
-4.0,146.38549095741953,-41.72815111804528,-1.7620532816713652,86.99165608852664,53.3492407114298,59.95000350037186,0.0388,11.1,4.388500123428656
-3.5,148.32985165677408,,,87.96369198047907,,,0.0388,11.1,4.388500123428656
-3.0,137.57387714905886,63.844168821540286,46.10840781279907,88.9102417986167,45.64993203649224,49.36535416637338,0.0388,11.1,4.388500123428656
-2.5,208.17135638299342,,,89.0255861158025,,,0.0388,11.1,4.388500123428656
-2.0,216.31829464420562,,44.92984245913355,90.61849264447733,,31.2964192547323,0.0388,11.1,4.388500123428656
-1.5,291.57902925011837,,,90.56274521350713,,,0.0388,11.1,4.388500123428656
-1.0,279.19407881809775,170.52793415115426,235.99252614312056,91.89200016027614,49.79110540897154,43.33310098713427,0.0388,11.1,4.388500123428656
-0.5,334.0944385184261,,,93.57850286329997,,,0.0388,11.1,4.388500123428656
0.0,291.1792234807613,348.4449537189449,332.2931601171772,95.48594076324608,45.66337012712647,37.369346365589244,0.0388,11.1,4.388500123428656
0.5,282.08154458300373,,,96.4457370373774,,,0.0388,11.1,4.388500123428656
1.0,362.52466360671855,437.24603905810477,467.9483295325789,100.3104703358091,39.909014602758454,29.354959340448417,0.0388,11.1,4.388500123428656
1.5,350.45576129469316,,,101.9232423111622,,,0.0388,11.1,4.388500123428656
2.0,68.96420974540156,453.9388226812511,468.5829338177595,106.0199035160863,40.48139252011974,35.82045306252609,0.0388,11.1,4.388500123428656
2.5,108.41379281801912,,,109.61097582833021,,,0.0388,11.1,4.388500123428656
3.0,386.0251729293692,488.0422919168999,465.30414082755107,118.65367115748425,30.54821698910068,29.724449894798443,0.0388,11.1,4.388500123428656
3.5,534.1813914150285,,,131.299377888108,,,0.0388,11.1,4.388500123428656
4.0,488.6582285041665,448.0583147599614,432.14742480841767,135.15280936582099,41.50126828797475,30.213028324425963,0.0388,11.1,4.388500123428656
4.5,,,,,,,0.0388,11.1,4.388500123428656
5.0,,530.4652113790361,479.5146142566941,,31.109519464887402,23.70162882551629,0.0388,11.1,4.388500123428656
5.5,,,,,,,0.0388,11.1,4.388500123428656
6.0,,488.90198354955254,453.05210090805195,,46.15111511894963,34.68077175542577,0.0388,11.1,4.388500123428656
6.5,,,,,,,0.0388,11.1,4.388500123428656
7.0,553.872958714821,501.9232508783184,420.94066863430805,83.94141359547783,38.736037652432145,30.138041478537758,0.0388,11.1,4.388500123428656
7.5,570.4889731529302,,,83.86012233850309,,,0.0388,11.1,4.388500123428656
8.0,544.7356401757003,,,83.86118408226538,,,0.0388,11.1,4.388500123428656
8.5,549.3545922242777,,,84.75380070061874,,,0.0388,11.1,4.388500123428656
9.0,532.4119507941895,,,85.92186708622042,,,0.0388,11.1,4.388500123428656
9.5,519.00231014705,,,86.49640958556948,,,0.0388,11.1,4.388500123428656
10.0,593.1098527499828,562.2612367548611,431.64933249280665,87.31791685748695,29.33934561390187,27.294046117550927,0.0388,11.1,4.388500123428656
10.5,564.9437499604841,,,87.55331175129665,,,0.0388,11.1,4.388500123428656
11.0,626.1193940911049,,,88.6619358294175,,,0.0388,11.1,4.388500123428656
11.5,682.9079932341219,,,88.80129743645925,,,0.0388,11.1,4.388500123428656
12.0,633.2218554713185,,,90.28827168655558,,,0.0388,11.1,4.388500123428656
12.5,624.8510068638979,,,90.27689163057212,,,0.0388,11.1,4.388500123428656
13.0,671.8021825836353,,444.5062917031081,91.6966426495223,,23.540273962630177,0.0388,11.1,4.388500123428656
13.5,658.9162149487598,,,91.57471680841965,,,0.0388,11.1,4.388500123428656
14.0,550.1234507882507,530.3753041675952,419.376002589847,94.49167202003392,36.14277875996872,25.649819442472705,0.0388,11.1,4.388500123428656
14.5,472.429586042492,,,95.76720230981641,,,0.0388,11.1,4.388500123428656
15.0,446.53769985700876,532.530228459598,382.39951666604946,99.31417939143209,35.94895738107455,30.203492252583334,0.0388,11.1,4.388500123428656
15.5,519.4139131523,,,101.72773836354989,,,0.0388,11.1,4.388500123428656
16.0,384.5158209785729,486.5406525694331,367.3739667058622,109.30184169026592,38.306932255428585,28.017218052851305,0.0388,11.1,4.388500123428656
16.5,591.8582450204328,,,115.36573080749385,,,0.0388,11.1,4.388500123428656
17.0,719.0560626062122,529.9706930011978,348.90183873989645,126.40861567172722,35.806660308422266,31.04184310157507,0.0388,11.1,4.388500123428656
17.5,,,,,,,0.0388,11.1,4.388500123428656
18.0,,497.44515256566285,321.1711246823073,,34.78211776773798,34.93754944826783,0.0388,11.1,4.388500123428656
18.5,,,,,,,0.0388,11.1,4.388500123428656
19.0,,449.43517468557184,320.99193190300934,,45.430604662690094,37.895068347041224,0.0388,11.1,4.388500123428656
19.5,,,,,,,0.0388,11.1,4.388500123428656
20.0,,485.376463662972,250.98820964267782,,33.509928050929865,38.33383211288431,0.0388,11.1,4.388500123428656
20.5,,,,,,,0.0388,11.1,4.388500123428656
