relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,68.62957963505691,13.858634759009218,,37.432779833546505,26.957910919801353,0.0262,1.8999999999999984,4.448564062955846
-29.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-29.0,,-10.188071616085606,-38.880646935118214,,27.60542550831,36.2155910210051,0.0262,1.8999999999999984,4.448564062955846
-28.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-28.0,,44.44798373445764,34.329090697359334,,33.3125727350931,34.7563902371337,0.0262,1.8999999999999984,4.448564062955846
-27.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-27.0,,-9.42077102725611,-3.5525792155925164,,28.7616039929371,25.5215888130606,0.0262,1.8999999999999984,4.448564062955846
-26.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-26.0,,-2.1481745178450384,37.45722159549738,,30.5505561818447,32.2677604761112,0.0262,1.8999999999999984,4.448564062955846
-25.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-25.0,,22.131228022006127,-24.04362816964902,,42.10193846171249,32.618349451147374,0.0262,1.8999999999999984,4.448564062955846
-24.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-24.0,,10.475087419619346,17.62959337175225,,25.1678717483783,24.7860406470462,0.0262,1.8999999999999984,4.448564062955846
-23.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-23.0,,-38.80107527673952,-23.59917970727452,,46.4257858983685,37.5741490906369,0.0262,1.8999999999999984,4.448564062955846
-22.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-22.0,,-14.211902955450558,1.8717192893962937,,20.5841510005732,20.7566374076808,0.0262,1.8999999999999984,4.448564062955846
-21.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-21.0,,-13.303057277576043,-9.097644640421017,,21.5058470636138,25.7309367320501,0.0262,1.8999999999999984,4.448564062955846
-20.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-20.0,,-12.319701569019465,-36.471879093403736,,25.1792220933908,24.6980725556092,0.0262,1.8999999999999984,4.448564062955846
-19.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-19.0,,52.80800325886568,-0.660679324688647,,21.9963341293745,21.593169807689456,0.0262,1.8999999999999984,4.448564062955846
-18.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-18.0,,-9.166519763704013,-19.656341169594516,,26.0595587143749,28.7562379871547,0.0262,1.8999999999999984,4.448564062955846
-17.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-17.0,,-12.465471933882151,-8.169758866153634,,28.94912895637742,19.12615300159807,0.0262,1.8999999999999984,4.448564062955846
-16.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-16.0,,-24.08762434805564,-17.122420494472728,,25.8717535851406,19.084082680026,0.0262,1.8999999999999984,4.448564062955846
-15.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-15.0,,,7.829243002302561,,,21.1734778087958,0.0262,1.8999999999999984,4.448564062955846
-14.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-14.0,,5.364924564974957,51.79419113711505,,30.41267196512243,27.5943194357918,0.0262,1.8999999999999984,4.448564062955846
-13.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-13.0,,-34.22066356636556,5.251650856007295,,63.143146765078896,40.37548889408592,0.0262,1.8999999999999984,4.448564062955846
-12.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-12.0,,2.9567649524923,-5.332389419221558,,26.560106790208863,25.748227170231324,0.0262,1.8999999999999984,4.448564062955846
-11.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-11.0,,11.77635966687472,4.663794015557384,,33.56917244583047,31.07333658477052,0.0262,1.8999999999999984,4.448564062955846
-10.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-10.0,,41.92915656134894,6.755639835618004,,34.70689847104435,40.05243821642169,0.0262,1.8999999999999984,4.448564062955846
-9.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-9.0,,33.893799041526776,-55.65699244683718,,40.885927499224756,42.77530429279944,0.0262,1.8999999999999984,4.448564062955846
-8.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
-8.0,,-10.80652621584639,13.891668313570454,,48.4516190818958,55.819349541626,0.0262,1.8999999999999984,4.448564062955846
-7.5,,,,,,,0.0262,1.8999999999999984,4.448564062955846
