relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,6.2288533002347295,7.271041149209969,,49.7935323136189,51.31327100685334,0.1121,12.0,6.313685312257986
-29.5,,,,,,,0.1121,12.0,6.313685312257986
-29.0,,,,,,,0.1121,12.0,6.313685312257986
-28.5,,,,,,,0.1121,12.0,6.313685312257986
-28.0,,,50.014187372916524,,,48.617050547479245,0.1121,12.0,6.313685312257986
-27.5,,,,,,,0.1121,12.0,6.313685312257986
-27.0,,-11.33225664994478,18.45393310851361,,37.57561541636783,33.74772469581073,0.1121,12.0,6.313685312257986
-26.5,,,,,,,0.1121,12.0,6.313685312257986
-26.0,,38.012919722300346,46.64931200780668,,37.1611917160295,35.8070688724696,0.1121,12.0,6.313685312257986
-25.5,,,,,,,0.1121,12.0,6.313685312257986
-25.0,,27.610627040807767,36.55665761033177,,30.7406139948849,23.66946217435146,0.1121,12.0,6.313685312257986
-24.5,,,,,,,0.1121,12.0,6.313685312257986
-24.0,,11.829095072099017,7.951335829902484,,31.94132667244404,28.847510404042474,0.1121,12.0,6.313685312257986
-23.5,,,,,,,0.1121,12.0,6.313685312257986
-23.0,,-15.389406406183992,15.14051569438115,,27.7455854760211,31.0933648444446,0.1121,12.0,6.313685312257986
-22.5,,,,,,,0.1121,12.0,6.313685312257986
-22.0,,55.96797323264567,-12.639381802847918,,37.52936330526393,27.275470819629533,0.1121,12.0,6.313685312257986
-21.5,,,,,,,0.1121,12.0,6.313685312257986
-21.0,,-14.301285771495827,12.27535969368953,,31.810515429283335,20.59363703557405,0.1121,12.0,6.313685312257986
-20.5,,,,,,,0.1121,12.0,6.313685312257986
-20.0,,9.738241874314722,19.67495258598785,,32.6364110358207,27.834438519046007,0.1121,12.0,6.313685312257986
-19.5,,,,,,,0.1121,12.0,6.313685312257986
-19.0,,-19.20385204599114,27.195914893062998,,22.15699245521095,20.2795873376999,0.1121,12.0,6.313685312257986
-18.5,,,,,,,0.1121,12.0,6.313685312257986
-18.0,,4.48251705371939,10.354855724563878,,20.980000717461,20.92366992349475,0.1121,12.0,6.313685312257986
-17.5,,,,,,,0.1121,12.0,6.313685312257986
-17.0,,2.591063198561309,16.045683058842005,,23.3493156556877,21.192029809393155,0.1121,12.0,6.313685312257986
-16.5,,,,,,,0.1121,12.0,6.313685312257986
-16.0,,30.169527779935503,15.156183119397255,,25.4784597458949,21.573565293810443,0.1121,12.0,6.313685312257986
-15.5,,,,,,,0.1121,12.0,6.313685312257986
-15.0,,19.301161154898367,5.836158082457976,,25.431604950426,21.7075627964095,0.1121,12.0,6.313685312257986
-14.5,,,,,,,0.1121,12.0,6.313685312257986
-14.0,,-12.108449556527805,19.933048895655823,,33.9499091497375,20.394408556215275,0.1121,12.0,6.313685312257986
-13.5,,,,,,,0.1121,12.0,6.313685312257986
-13.0,,,,,,,0.1121,12.0,6.313685312257986
-12.5,,,,,,,0.1121,12.0,6.313685312257986
-12.0,,,,,,,0.1121,12.0,6.313685312257986
-11.5,,,,,,,0.1121,12.0,6.313685312257986
