relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,26.34900089230959,-19.132923741588428,,19.149816915617,23.042331564279454,0.3885,-1.2999999999999972,0.7444237144709098
-29.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-29.0,,-7.557505660713829,,,21.62656623130865,,0.3885,-1.2999999999999972,0.7444237144709098
-28.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-28.0,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-27.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-27.0,,16.895686608728457,2.526348983056508,,26.66258377077551,23.336662925330025,0.3885,-1.2999999999999972,0.7444237144709098
-26.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-26.0,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-25.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-25.0,,33.26555193852458,-0.23525790185210838,,21.895319925426474,20.210867752735215,0.3885,-1.2999999999999972,0.7444237144709098
-24.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-24.0,,-3.4717336496166435,2.220428218558652,,24.991808624729515,26.255947531913527,0.3885,-1.2999999999999972,0.7444237144709098
-23.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-23.0,,-10.079825457951472,-4.997833664443756,,32.37505528552792,30.856010705322536,0.3885,-1.2999999999999972,0.7444237144709098
-22.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-22.0,,-12.936796022570205,14.307800926005717,,33.73336063447616,35.11648450396299,0.3885,-1.2999999999999972,0.7444237144709098
-21.5,,,-22.136956775306707,,,25.8102655836166,0.3885,-1.2999999999999972,0.7444237144709098
-21.0,,-18.932579201120543,11.524614737200938,,45.90965789389663,45.450405037075356,0.3885,-1.2999999999999972,0.7444237144709098
-20.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-20.0,,19.231675244576365,-16.94919762448853,,50.247532528322076,59.56588017618208,0.3885,-1.2999999999999972,0.7444237144709098
-19.5,,,1.6326863490018084,,,31.279564833030236,0.3885,-1.2999999999999972,0.7444237144709098
-19.0,,-7.543049946514986,-25.595022326066697,,54.914430334234964,67.90694070165138,0.3885,-1.2999999999999972,0.7444237144709098
-18.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-18.0,,-16.190850808190053,-89.59703528878798,,60.834610024889166,65.39995115736326,0.3885,-1.2999999999999972,0.7444237144709098
-17.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-17.0,,-8.593275549141524,18.267063646415153,,59.86464256237617,68.44123019121804,0.3885,-1.2999999999999972,0.7444237144709098
-16.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-16.0,,-32.23450861697456,-50.856157184398484,,56.02140046682953,62.92049476617273,0.3885,-1.2999999999999972,0.7444237144709098
-15.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-15.0,,,-23.468503388771914,,,60.00450973137847,0.3885,-1.2999999999999972,0.7444237144709098
-14.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-14.0,,-24.844966983346115,40.09751120889967,,50.04056541065787,46.71981826693451,0.3885,-1.2999999999999972,0.7444237144709098
-13.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-13.0,,-0.8083124580530535,-37.10182721610982,,40.14593866021943,37.174826322778436,0.3885,-1.2999999999999972,0.7444237144709098
-12.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-12.0,,21.52871081327516,2.326444378299239,,33.80028690066857,35.30406468653217,0.3885,-1.2999999999999972,0.7444237144709098
-11.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-11.0,,16.424331665127273,,,35.475608299166986,,0.3885,-1.2999999999999972,0.7444237144709098
-10.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-10.0,,33.155465475213056,-8.932857894808446,,29.8147373478049,23.46110386194355,0.3885,-1.2999999999999972,0.7444237144709098
-9.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-9.0,,13.744792719028817,-13.309668438654452,,31.630686809161496,26.03382254611512,0.3885,-1.2999999999999972,0.7444237144709098
-8.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-8.0,,15.394695764257904,-18.38617446317015,,26.73160129866074,22.729435317472202,0.3885,-1.2999999999999972,0.7444237144709098
-7.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-7.0,,-3.0637746280425966,-26.629978588098563,,40.52517882619529,28.786949148095342,0.3885,-1.2999999999999972,0.7444237144709098
-6.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-6.0,,-3.901833085942281,-31.569040664345287,,31.005440088924193,25.496993994134332,0.3885,-1.2999999999999972,0.7444237144709098
-5.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-5.0,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-4.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-4.0,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-3.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-3.0,,193.40614715476184,146.14137704356364,,26.13432223034876,21.444077533432125,0.3885,-1.2999999999999972,0.7444237144709098
-2.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-2.0,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-1.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-1.0,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
-0.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
0.0,,743.3641080133115,631.648432882128,,23.89519332608038,29.149016237885828,0.3885,-1.2999999999999972,0.7444237144709098
0.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
1.0,,772.4369671443061,613.4729381173881,,29.920462245110347,23.088717424404347,0.3885,-1.2999999999999972,0.7444237144709098
1.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
2.0,,694.8003093892208,567.1797156820878,,27.12800759618141,27.115500855854073,0.3885,-1.2999999999999972,0.7444237144709098
2.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
3.0,,626.7012664514242,486.36876723831875,,29.67530816966752,25.12516734901587,0.3885,-1.2999999999999972,0.7444237144709098
3.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
4.0,,510.7585368741061,390.62584091160676,,34.09885513221481,30.901316117565862,0.3885,-1.2999999999999972,0.7444237144709098
4.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
5.0,,483.04161472583434,347.69640333892283,,33.16780478119842,30.083102251048622,0.3885,-1.2999999999999972,0.7444237144709098
5.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
6.0,,272.3397550275339,223.27509640409593,,34.21540949929284,41.16146085117317,0.3885,-1.2999999999999972,0.7444237144709098
6.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
7.0,,,59.78510573707251,,,35.09615904061117,0.3885,-1.2999999999999972,0.7444237144709098
7.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
8.0,,,35.97346855112296,,,34.86747793525456,0.3885,-1.2999999999999972,0.7444237144709098
8.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
9.0,,,50.89313512909459,,,47.56228255426882,0.3885,-1.2999999999999972,0.7444237144709098
9.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
10.0,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
10.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
11.0,,,-41.75801232916339,,,69.51843362194239,0.3885,-1.2999999999999972,0.7444237144709098
11.5,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
12.0,,,,,,,0.3885,-1.2999999999999972,0.7444237144709098
