relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-22.24807785344233,-47.683317311610715,,44.02377022671022,34.8455088830453,0.0221,5.149999999999999,3.2814275348797004
-29.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-29.0,,,-54.183890721683255,,,41.0101362813223,0.0221,5.149999999999999,3.2814275348797004
-28.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-28.0,,15.895708530217526,13.840624835750907,,27.80921450435285,26.613567046766843,0.0221,5.149999999999999,3.2814275348797004
-27.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-27.0,,36.06247396789103,-9.378868440038527,,35.83737566867603,34.24128042689497,0.0221,5.149999999999999,3.2814275348797004
-26.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-26.0,,-17.69833906372018,17.65552891514049,,39.3258896651799,48.24979266624725,0.0221,5.149999999999999,3.2814275348797004
-25.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-25.0,,22.14718037900073,-21.251174784903405,,52.04309874699242,46.0556592999133,0.0221,5.149999999999999,3.2814275348797004
-24.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-24.0,,-30.099746080729926,,,54.5068034262698,,0.0221,5.149999999999999,3.2814275348797004
-23.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-23.0,,,-65.24578130788,,,46.2863853902023,0.0221,5.149999999999999,3.2814275348797004
-22.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-22.0,-110.47229320573724,24.826880961347527,-74.73678428817576,97.57411355352706,45.6654858594516,72.9000327893478,0.0221,5.149999999999999,3.2814275348797004
-21.5,-189.54377803294176,,,97.30628178880303,,,0.0221,5.149999999999999,3.2814275348797004
-21.0,-102.7704581718847,34.98295344907394,0.667457173320563,97.96043093374753,51.5906000148406,65.977304465296,0.0221,5.149999999999999,3.2814275348797004
-20.5,-132.07362796378112,,,99.57512187097419,,,0.0221,5.149999999999999,3.2814275348797004
-20.0,-158.0661412556098,87.40676304180305,-21.91450560974064,101.16541919636335,48.362370595317,73.7104991479278,0.0221,5.149999999999999,3.2814275348797004
-19.5,-69.39499194982648,,,101.93589571302785,,,0.0221,5.149999999999999,3.2814275348797004
-19.0,12.552248817320901,27.1955729215887,-80.89920893138444,103.51181914911864,37.2401998734956,47.7776636985019,0.0221,5.149999999999999,3.2814275348797004
-18.5,-118.0829341310901,,,103.38709824604365,,,0.0221,5.149999999999999,3.2814275348797004
-18.0,13.71296233806067,,,104.71484960250183,,,0.0221,5.149999999999999,3.2814275348797004
-17.5,-18.24992972440418,,,104.63654217611654,,,0.0221,5.149999999999999,3.2814275348797004
-17.0,99.76718443848848,32.76023830907442,-31.381902826225268,106.05220499701853,28.6079273786597,44.2444375201029,0.0221,5.149999999999999,3.2814275348797004
-16.5,92.72773856136874,,,106.82915485812342,,,0.0221,5.149999999999999,3.2814275348797004
-16.0,110.69117647059048,98.24842695466658,-13.317844704604674,108.52039552201265,28.7383366614178,26.3767886560273,0.0221,5.149999999999999,3.2814275348797004
-15.5,65.84312225658108,,,108.62454999049837,,,0.0221,5.149999999999999,3.2814275348797004
-15.0,50.40406229112743,6.507615984282204,83.04109633833505,111.45899559338254,22.9393162427373,27.1228381029219,0.0221,5.149999999999999,3.2814275348797004
-14.5,-74.73535788842925,,,113.1845109804506,,,0.0221,5.149999999999999,3.2814275348797004
-14.0,-21.517161567598183,-35.98073761689541,-12.333660633466176,116.36966888818789,28.169692227872,36.3320703553284,0.0221,5.149999999999999,3.2814275348797004
-13.5,-88.39139933206307,,,118.51891499884599,,,0.0221,5.149999999999999,3.2814275348797004
-13.0,-68.91510710130055,22.145772973639303,-16.453810799556152,125.26311097378229,26.9781889207185,24.8147765003343,0.0221,5.149999999999999,3.2814275348797004
-12.5,-159.58663670249382,,,132.98382658962333,,,0.0221,5.149999999999999,3.2814275348797004
-12.0,-121.76329549836923,0.30884532408935184,-1.8106607687064977,135.93501779796975,31.4553007474936,32.2307090974258,0.0221,5.149999999999999,3.2814275348797004
-11.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-11.0,,3.6942961434027515,-23.401293616688687,,27.2067708420813,25.1582065554448,0.0221,5.149999999999999,3.2814275348797004
-10.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-10.0,,78.45273228253426,46.372389175547696,,39.237675148599,44.0886135997033,0.0221,5.149999999999999,3.2814275348797004
-9.5,,,,,,,0.0221,5.149999999999999,3.2814275348797004
-9.0,-8.71435205973593,134.0529071757365,-15.67439935284881,96.88728186403088,40.4120486037719,36.8014871977168,0.0221,5.149999999999999,3.2814275348797004
-8.5,-3.596413870852012,,,96.79183478229199,,,0.0221,5.149999999999999,3.2814275348797004
-8.0,41.04681380358129,,,96.95922794658843,,,0.0221,5.149999999999999,3.2814275348797004
-7.5,42.942252388636796,,,98.2622291664628,,,0.0221,5.149999999999999,3.2814275348797004
-7.0,193.74416483002642,,,99.51340848171994,,,0.0221,5.149999999999999,3.2814275348797004
-6.5,182.66150125836523,,,100.05004709159897,,,0.0221,5.149999999999999,3.2814275348797004
-6.0,177.61381359152765,255.07733710563863,102.73119427228323,100.9223145522531,24.5974702568461,31.9442174946727,0.0221,5.149999999999999,3.2814275348797004
-5.5,192.42883600295193,,,100.87613752481212,,,0.0221,5.149999999999999,3.2814275348797004
