relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-6.042781932511465,-12.93192737583412,,50.80221039944804,63.425710254551134,0.0323,10.1,1.6804066968048736
-29.5,,,,,,,0.0323,10.1,1.6804066968048736
-29.0,,2.0011539892806334,-28.165179207953962,,41.92466004717654,49.901931136677554,0.0323,10.1,1.6804066968048736
-28.5,,,,,,,0.0323,10.1,1.6804066968048736
-28.0,,,-11.392091051617122,,,32.4566959634371,0.0323,10.1,1.6804066968048736
-27.5,,,,,,,0.0323,10.1,1.6804066968048736
-27.0,,16.265836755755405,-69.23905998689418,,40.71549383686702,45.509579392473604,0.0323,10.1,1.6804066968048736
-26.5,,,,,,,0.0323,10.1,1.6804066968048736
-26.0,,-30.622660395478007,-33.428857167107964,,35.82925704111651,38.11922203550718,0.0323,10.1,1.6804066968048736
-25.5,,,,,,,0.0323,10.1,1.6804066968048736
-25.0,,-17.307617563297008,-46.28465588707506,,33.59952072192502,32.27738810553512,0.0323,10.1,1.6804066968048736
-24.5,,,,,,,0.0323,10.1,1.6804066968048736
-24.0,,-14.99266619427423,-16.129662848898178,,34.55507170749594,29.750398005763202,0.0323,10.1,1.6804066968048736
-23.5,,,,,,,0.0323,10.1,1.6804066968048736
-23.0,,-26.76346115139402,-10.681284243106424,,30.141380189135944,29.416113275372446,0.0323,10.1,1.6804066968048736
-22.5,,,,,,,0.0323,10.1,1.6804066968048736
-22.0,,-23.324673529222263,-8.520546456404507,,33.07479896190319,28.659226593188656,0.0323,10.1,1.6804066968048736
-21.5,,,,,,,0.0323,10.1,1.6804066968048736
-21.0,,21.43042128500188,-31.908602122724268,,29.04904117223604,23.181578471797046,0.0323,10.1,1.6804066968048736
-20.5,,,,,,,0.0323,10.1,1.6804066968048736
-20.0,,1.6806540882707182,-15.294253991959598,,45.07624475603049,33.501347313386525,0.0323,10.1,1.6804066968048736
-19.5,,,,,,,0.0323,10.1,1.6804066968048736
-19.0,,-32.310596046028316,3.2365900387269697,,34.58615743916048,34.484820447540436,0.0323,10.1,1.6804066968048736
-18.5,,,,,,,0.0323,10.1,1.6804066968048736
-18.0,,,,,,,0.0323,10.1,1.6804066968048736
-17.5,,,,,,,0.0323,10.1,1.6804066968048736
-17.0,,,,,,,0.0323,10.1,1.6804066968048736
-16.5,,,,,,,0.0323,10.1,1.6804066968048736
-16.0,,-31.127557817108674,-25.086789980665007,,23.798033573342767,24.321661597454252,0.0323,10.1,1.6804066968048736
-15.5,,,,,,,0.0323,10.1,1.6804066968048736
-15.0,,,,,,,0.0323,10.1,1.6804066968048736
-14.5,,,,,,,0.0323,10.1,1.6804066968048736
-14.0,,,,,,,0.0323,10.1,1.6804066968048736
-13.5,,,,,,,0.0323,10.1,1.6804066968048736
