relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0444,2.700000000000003,2.589077484785309
-29.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-29.0,,,,,,,0.0444,2.700000000000003,2.589077484785309
-28.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-28.0,,,,,,,0.0444,2.700000000000003,2.589077484785309
-27.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-27.0,,,,,,,0.0444,2.700000000000003,2.589077484785309
-26.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-26.0,,,,,,,0.0444,2.700000000000003,2.589077484785309
-25.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-25.0,,,,,,,0.0444,2.700000000000003,2.589077484785309
-24.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-24.0,,-33.388082933327304,,,22.9593309263779,,0.0444,2.700000000000003,2.589077484785309
-23.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-23.0,,,-11.137976277070933,,,19.774374287613792,0.0444,2.700000000000003,2.589077484785309
-22.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-22.0,,6.2089421649037675,,,22.36854753901076,,0.0444,2.700000000000003,2.589077484785309
-21.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-21.0,,31.8425647761052,1.8768489778889237,,25.599928588117,23.001200499395758,0.0444,2.700000000000003,2.589077484785309
-20.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-20.0,,-0.6365343038359974,,,27.84372046155813,,0.0444,2.700000000000003,2.589077484785309
-19.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-19.0,,,,,,,0.0444,2.700000000000003,2.589077484785309
-18.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-18.0,,8.464166730227978,22.366311397333078,,27.271412449191033,23.4952337054792,0.0444,2.700000000000003,2.589077484785309
-17.5,,,,,,,0.0444,2.700000000000003,2.589077484785309
-17.0,-60.4178834946389,,29.79266939840695,4.7678221653724036,,35.32033120400713,0.0444,2.700000000000003,2.589077484785309
-16.5,-32.28320477310727,,,4.777687912474783,,,0.0444,2.700000000000003,2.589077484785309
-16.0,-126.56611297228936,,,4.796325715698732,,,0.0444,2.700000000000003,2.589077484785309
-15.5,-64.67999048014438,,,4.796147544534354,,,0.0444,2.700000000000003,2.589077484785309
-15.0,33.16161515678814,,60.591025353513885,4.791895740525427,,57.84341902330477,0.0444,2.700000000000003,2.589077484785309
-14.5,13.290008744582888,,,4.78636073807446,,,0.0444,2.700000000000003,2.589077484785309
-14.0,-46.26540673805209,,65.91778750931663,4.769283244438952,,111.68450312458017,0.0444,2.700000000000003,2.589077484785309
