relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0235,10.25,2.1753671465346307
-29.5,,,,,,,0.0235,10.25,2.1753671465346307
-29.0,,,,,,,0.0235,10.25,2.1753671465346307
-28.5,,,,,,,0.0235,10.25,2.1753671465346307
-28.0,,-1.85694231954057,8.931568403951637,,20.5374131159413,28.2300315027949,0.0235,10.25,2.1753671465346307
-27.5,,,,,,,0.0235,10.25,2.1753671465346307
-27.0,,,,,,,0.0235,10.25,2.1753671465346307
-26.5,,,,,,,0.0235,10.25,2.1753671465346307
-26.0,,,,,,,0.0235,10.25,2.1753671465346307
-25.5,,,,,,,0.0235,10.25,2.1753671465346307
-25.0,,,,,,,0.0235,10.25,2.1753671465346307
-24.5,,,,,,,0.0235,10.25,2.1753671465346307
-24.0,,9.422941544666951,-36.10205321316965,,33.5328916676741,38.2708324803112,0.0235,10.25,2.1753671465346307
-23.5,,,,,,,0.0235,10.25,2.1753671465346307
-23.0,,20.659258309809704,,,36.0973131947233,,0.0235,10.25,2.1753671465346307
-22.5,,,,,,,0.0235,10.25,2.1753671465346307
-22.0,,-23.978382123226268,48.97315770510746,,30.2016977855252,35.0627047143501,0.0235,10.25,2.1753671465346307
-21.5,,,,,,,0.0235,10.25,2.1753671465346307
-21.0,,2.224711179156384,-52.46929255981763,,29.1462019619685,37.6812712482078,0.0235,10.25,2.1753671465346307
-20.5,,,,,,,0.0235,10.25,2.1753671465346307
-20.0,,26.48152569068453,19.680274531057876,,29.8419860872611,35.9689328913407,0.0235,10.25,2.1753671465346307
-19.5,,,,,,,0.0235,10.25,2.1753671465346307
-19.0,,10.713341319281284,19.451251034773428,,33.9008396410998,39.1940155319879,0.0235,10.25,2.1753671465346307
-18.5,,,,,,,0.0235,10.25,2.1753671465346307
-18.0,,-0.7577216162544363,-78.5934791121949,,31.2916574298944,40.1068529273664,0.0235,10.25,2.1753671465346307
-17.5,,,,,,,0.0235,10.25,2.1753671465346307
-17.0,,53.793858815503576,23.648359239796928,,36.3249405067067,42.485478525154,0.0235,10.25,2.1753671465346307
-16.5,,,,,,,0.0235,10.25,2.1753671465346307
-16.0,,-38.95438740953557,10.854819532252092,,42.3438409433498,53.1068193543121,0.0235,10.25,2.1753671465346307
-15.5,,,,,,,0.0235,10.25,2.1753671465346307
-15.0,,-15.456786930141103,,,62.3149403769994,,0.0235,10.25,2.1753671465346307
-14.5,,,,,,,0.0235,10.25,2.1753671465346307
-14.0,,-16.445121581844226,53.16192353436843,,55.6110388693624,71.3979843380288,0.0235,10.25,2.1753671465346307
-13.5,,,,,,,0.0235,10.25,2.1753671465346307
-13.0,,49.816000669924435,-121.37800794057605,,51.8408312481429,76.6039101992861,0.0235,10.25,2.1753671465346307
-12.5,,,,,,,0.0235,10.25,2.1753671465346307
-12.0,,-4.422300468521293,119.05237995819986,,51.5984333895212,78.8247116634433,0.0235,10.25,2.1753671465346307
-11.5,,,,,,,0.0235,10.25,2.1753671465346307
-11.0,,12.55531395070287,-58.197169424970866,,55.0522911154918,75.1438928683502,0.0235,10.25,2.1753671465346307
-10.5,,,,,,,0.0235,10.25,2.1753671465346307
-10.0,,6.997164389010269,42.787722655228606,,38.8188056473807,58.741363136235,0.0235,10.25,2.1753671465346307
-9.5,,,,,,,0.0235,10.25,2.1753671465346307
-9.0,,16.62377324525801,-49.28624292265419,,39.315273682968,42.0907061090332,0.0235,10.25,2.1753671465346307
-8.5,,,,,,,0.0235,10.25,2.1753671465346307
-8.0,,14.57657680011037,7.611651473205717,,38.6624402045723,32.7434961021287,0.0235,10.25,2.1753671465346307
-7.5,,,,,,,0.0235,10.25,2.1753671465346307
-7.0,,99.71032400299592,30.953077004823975,,28.0787233995204,24.9725806266777,0.0235,10.25,2.1753671465346307
-6.5,,,,,,,0.0235,10.25,2.1753671465346307
-6.0,,73.16736646814772,55.49277447522537,,32.0594291351405,28.1352802245458,0.0235,10.25,2.1753671465346307
-5.5,,,,,,,0.0235,10.25,2.1753671465346307
-5.0,,66.86854675791812,102.2397543718456,,45.1270427721142,42.0194003824987,0.0235,10.25,2.1753671465346307
-4.5,,,,,,,0.0235,10.25,2.1753671465346307
