relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.519,10.1,2.537680480719001
-29.5,,,,,,,0.519,10.1,2.537680480719001
-29.0,,-85.8114051021176,-141.9224386839343,,24.88984260202047,22.3379130464983,0.519,10.1,2.537680480719001
-28.5,,,,,,,0.519,10.1,2.537680480719001
-28.0,,-93.5716391008894,-52.82163222889873,,24.534265082155738,22.22718078136025,0.519,10.1,2.537680480719001
-27.5,,,,,,,0.519,10.1,2.537680480719001
-27.0,,-116.64122404727935,-41.25792304001977,,32.30305804309319,20.23217586817649,0.519,10.1,2.537680480719001
-26.5,,,,,,,0.519,10.1,2.537680480719001
-26.0,,-268.17118169967466,-127.61257549982703,,28.52687146599482,33.29168084258981,0.519,10.1,2.537680480719001
-25.5,,,,,,,0.519,10.1,2.537680480719001
-25.0,,,-164.03935625421087,,,73.91008550818717,0.519,10.1,2.537680480719001
-24.5,,,,,,,0.519,10.1,2.537680480719001
-24.0,,,-87.58039238316658,,,47.351347573489825,0.519,10.1,2.537680480719001
-23.5,,,,,,,0.519,10.1,2.537680480719001
-23.0,,-146.89384240308485,-193.02051726153496,,54.501136285141484,66.859060376082,0.519,10.1,2.537680480719001
-22.5,,,,,,,0.519,10.1,2.537680480719001
-22.0,,-229.2434025942526,,,63.870300896002036,,0.519,10.1,2.537680480719001
-21.5,,,,,,,0.519,10.1,2.537680480719001
-21.0,,-265.96453010383675,,,76.53491261832791,,0.519,10.1,2.537680480719001
-20.5,,,,,,,0.519,10.1,2.537680480719001
-20.0,,,-64.3835933166036,,,88.59403536940023,0.519,10.1,2.537680480719001
-19.5,,,,,,,0.519,10.1,2.537680480719001
-19.0,,-269.69170361324075,,,45.92711869333197,,0.519,10.1,2.537680480719001
-18.5,,,,,,,0.519,10.1,2.537680480719001
-18.0,,-6.4172814872321435,,,64.57837907754907,,0.519,10.1,2.537680480719001
-17.5,,,,,,,0.519,10.1,2.537680480719001
-17.0,,-216.61542042293215,-129.86272958460418,,35.46726075754791,37.3874609608054,0.519,10.1,2.537680480719001
-16.5,,,,,,,0.519,10.1,2.537680480719001
-16.0,,38.99106275046602,,,37.50293327282044,,0.519,10.1,2.537680480719001
-15.5,,,,,,,0.519,10.1,2.537680480719001
-15.0,,16.760827814637405,,,39.088602291514306,,0.519,10.1,2.537680480719001
-14.5,,,,,,,0.519,10.1,2.537680480719001
-14.0,,65.55930608625748,6.130208891297176,,44.54541276361042,34.56699260791739,0.519,10.1,2.537680480719001
-13.5,,,,,,,0.519,10.1,2.537680480719001
-13.0,,-116.50466846521198,-64.49296091398314,,29.12078223060637,29.061884043508194,0.519,10.1,2.537680480719001
-12.5,,,,,,,0.519,10.1,2.537680480719001
-12.0,,,,,,,0.519,10.1,2.537680480719001
-11.5,,,,,,,0.519,10.1,2.537680480719001
-11.0,,-349.1494839928071,-280.8906514513554,,72.33859112673889,29.715827539500804,0.519,10.1,2.537680480719001
-10.5,,,,,,,0.519,10.1,2.537680480719001
-10.0,,-423.2445484665683,,,28.40644778304293,,0.519,10.1,2.537680480719001
-9.5,,,,,,,0.519,10.1,2.537680480719001
-9.0,,-218.60169816889012,,,48.8582799179446,,0.519,10.1,2.537680480719001
-8.5,,,,,,,0.519,10.1,2.537680480719001
-8.0,,,-16.22706291171805,,,46.651613266259716,0.519,10.1,2.537680480719001
-7.5,,,,,,,0.519,10.1,2.537680480719001
-7.0,,,-105.39868773738385,,,26.336307618062385,0.519,10.1,2.537680480719001
-6.5,,,,,,,0.519,10.1,2.537680480719001
-6.0,,,-24.971583151069936,,,37.933807070848715,0.519,10.1,2.537680480719001
-5.5,,,,,,,0.519,10.1,2.537680480719001
-5.0,,,,,,,0.519,10.1,2.537680480719001
-4.5,,,,,,,0.519,10.1,2.537680480719001
-4.0,,,35.229220949866104,,,26.24834565053593,0.519,10.1,2.537680480719001
-3.5,,,,,,,0.519,10.1,2.537680480719001
-3.0,,358.5204592805675,,,43.260688455244,,0.519,10.1,2.537680480719001
-2.5,,,,,,,0.519,10.1,2.537680480719001
-2.0,228.16062796552887,823.6246925835059,-3.38243755502862,173.93255847283135,33.108907050910396,24.831655794019927,0.519,10.1,2.537680480719001
-1.5,759.735768691578,,,175.01310672482686,,,0.519,10.1,2.537680480719001
-1.0,-238.1567589817314,1338.5932840511773,97.93381831190952,174.0542202617409,38.98968007111271,26.6185321793767,0.519,10.1,2.537680480719001
-0.5,570.9458464288396,,,173.95081017158432,,,0.519,10.1,2.537680480719001
0.0,789.2125082859584,1874.2513325717446,418.60793988550176,173.89374726983033,35.245999818893765,32.229229864533565,0.519,10.1,2.537680480719001
0.5,2185.7733536731566,,,173.9101825592552,,,0.519,10.1,2.537680480719001
1.0,2184.086904937432,2500.4352255190756,591.4705274321359,173.99519698709761,44.54406997681926,39.07105959311914,0.519,10.1,2.537680480719001
1.5,3785.3851063368365,,,174.18787645141302,,,0.519,10.1,2.537680480719001
2.0,3168.330158567885,3113.918270496173,748.1094214224323,174.27404803009784,43.15717234174183,40.09998004304271,0.519,10.1,2.537680480719001
2.5,3456.2134509346956,,,174.19817776328833,,,0.519,10.1,2.537680480719001
3.0,3844.359814149656,3510.23474109971,1041.6526940870986,174.28586037416014,51.436045233881394,46.54093359896207,0.519,10.1,2.537680480719001
3.5,4563.414748837599,,,174.4671802454818,,,0.519,10.1,2.537680480719001
4.0,4480.865754664396,3959.1231035748774,1036.0746332821568,174.7432760276928,66.80899531467797,62.386910599908546,0.519,10.1,2.537680480719001
4.5,4943.825499044912,,,174.8861848565498,,,0.519,10.1,2.537680480719001
5.0,4915.87249095255,4296.344655377034,1271.5354790246843,175.58881547033954,56.38930575085865,66.68229909239443,0.519,10.1,2.537680480719001
5.5,5395.528624383176,,,176.6793370155049,,,0.519,10.1,2.537680480719001
6.0,5649.266480863881,4893.529404709805,1366.6837645938804,178.53779893838913,68.23652456782797,89.77920392569469,0.519,10.1,2.537680480719001
6.5,5858.38500675362,,,180.2262459861451,,,0.519,10.1,2.537680480719001
7.0,6114.642487222299,5201.882628679446,,183.82143995663904,82.11341355614526,,0.519,10.1,2.537680480719001
7.5,,,,,,,0.519,10.1,2.537680480719001
8.0,,,1407.8452752613557,,,98.26652320441636,0.519,10.1,2.537680480719001
8.5,,,,,,,0.519,10.1,2.537680480719001
9.0,,3919.6135454825207,1566.6276420841198,,107.044611523966,91.13004709514546,0.519,10.1,2.537680480719001
9.5,,,,,,,0.519,10.1,2.537680480719001
10.0,,,1728.2247368857395,,,66.80793837473429,0.519,10.1,2.537680480719001
10.5,5622.555096238854,,,175.79660195081752,,,0.519,10.1,2.537680480719001
11.0,5365.116621638705,5839.730968589136,1508.2303021062191,175.71981424385808,51.59542231881054,59.03738664193588,0.519,10.1,2.537680480719001
11.5,5645.008447076703,,,175.7458962798797,,,0.519,10.1,2.537680480719001
12.0,5892.0092848195745,5400.726268834973,1612.3754524779097,175.91515480918926,67.29967371812852,45.92598370630019,0.519,10.1,2.537680480719001
12.5,5883.295536365013,,,176.00450221387962,,,0.519,10.1,2.537680480719001
13.0,5447.058624767663,5594.315309044065,1486.8198715596423,176.01071266968097,43.858876837412026,29.253168443933546,0.519,10.1,2.537680480719001
13.5,5135.704139266179,,,175.9509725385292,,,0.519,10.1,2.537680480719001
14.0,5178.250692840505,,1466.610430712597,176.0115744217218,,36.78749883080818,0.519,10.1,2.537680480719001
14.5,5508.870096858917,,,176.23924878345116,,,0.519,10.1,2.537680480719001
15.0,5264.31564676488,,,176.32163502470294,,,0.519,10.1,2.537680480719001
15.5,4374.448515154755,,,176.12004457573053,,,0.519,10.1,2.537680480719001
16.0,4762.596965051334,,,176.15767085109013,,,0.519,10.1,2.537680480719001
16.5,4828.2276692616915,,,176.35470973470575,,,0.519,10.1,2.537680480719001
17.0,4597.271565914076,,,176.38859441680688,,,0.519,10.1,2.537680480719001
17.5,4448.819266294686,,,176.3611561896567,,,0.519,10.1,2.537680480719001
18.0,4041.029271196314,,,176.8263612376955,,,0.519,10.1,2.537680480719001
18.5,4174.160682964837,,,177.5898764337824,,,0.519,10.1,2.537680480719001
19.0,4249.051658801022,3566.700162339381,1218.863878706762,178.83116954171777,46.1427358260106,31.774234760292746,0.519,10.1,2.537680480719001
19.5,4176.819311894006,,,180.3194339483234,,,0.519,10.1,2.537680480719001
20.0,3862.334942712171,4038.801553896887,1157.182557281674,183.06343068992874,35.63519972623477,25.855682669251742,0.519,10.1,2.537680480719001
20.5,4189.94918276807,,,185.5917171717172,,,0.519,10.1,2.537680480719001
21.0,,,866.5815588832397,,,52.83070605156589,0.519,10.1,2.537680480719001
21.5,,,,,,,0.519,10.1,2.537680480719001
22.0,,2995.4164378667865,,,38.49960893239605,,0.519,10.1,2.537680480719001
22.5,,,,,,,0.519,10.1,2.537680480719001
23.0,,,,,,,0.519,10.1,2.537680480719001
23.5,,,,,,,0.519,10.1,2.537680480719001
24.0,,,,,,,0.519,10.1,2.537680480719001
24.5,,,,,,,0.519,10.1,2.537680480719001
25.0,,,,,,,0.519,10.1,2.537680480719001
25.5,,,,,,,0.519,10.1,2.537680480719001
26.0,,,,,,,0.519,10.1,2.537680480719001
26.5,,,,,,,0.519,10.1,2.537680480719001
27.0,,273.53920262641884,600.5972710326469,,58.8639549768369,24.8182793943012,0.519,10.1,2.537680480719001
27.5,,,,,,,0.519,10.1,2.537680480719001
28.0,,265.2729676068186,405.66089818643013,,56.87104232922933,35.378908747818485,0.519,10.1,2.537680480719001
28.5,,,,,,,0.519,10.1,2.537680480719001
29.0,,,,,,,0.519,10.1,2.537680480719001
29.5,,,,,,,0.519,10.1,2.537680480719001
30.0,,,,,,,0.519,10.1,2.537680480719001
30.5,,,,,,,0.519,10.1,2.537680480719001
31.0,,594.0871350914728,,,73.81431991841976,,0.519,10.1,2.537680480719001
31.5,,,,,,,0.519,10.1,2.537680480719001
32.0,,,,,,,0.519,10.1,2.537680480719001
32.5,,,,,,,0.519,10.1,2.537680480719001
33.0,,,,,,,0.519,10.1,2.537680480719001
33.5,,,,,,,0.519,10.1,2.537680480719001
34.0,,,,,,,0.519,10.1,2.537680480719001
34.5,,,,,,,0.519,10.1,2.537680480719001
35.0,,3019.460840573657,,,78.7801106266394,,0.519,10.1,2.537680480719001
35.5,,,,,,,0.519,10.1,2.537680480719001
36.0,,,,,,,0.519,10.1,2.537680480719001
36.5,,,,,,,0.519,10.1,2.537680480719001
37.0,,,,,,,0.519,10.1,2.537680480719001
37.5,,,,,,,0.519,10.1,2.537680480719001
38.0,,3077.561156463488,442.8532951016919,,67.09177955991983,89.57264713876849,0.519,10.1,2.537680480719001
38.5,,,,,,,0.519,10.1,2.537680480719001
39.0,,,387.6422962683323,,,64.5703670134492,0.519,10.1,2.537680480719001
39.5,,,,,,,0.519,10.1,2.537680480719001
40.0,,,,,,,0.519,10.1,2.537680480719001
40.5,,,,,,,0.519,10.1,2.537680480719001
41.0,,1902.272396141042,,,55.720336406402346,,0.519,10.1,2.537680480719001
41.5,,,,,,,0.519,10.1,2.537680480719001
42.0,,,132.72696373336242,,,40.4090501568233,0.519,10.1,2.537680480719001
42.5,,,,,,,0.519,10.1,2.537680480719001
43.0,,,,,,,0.519,10.1,2.537680480719001
43.5,,,,,,,0.519,10.1,2.537680480719001
44.0,,1766.8948884200847,,,52.9913383625319,,0.519,10.1,2.537680480719001
44.5,,,,,,,0.519,10.1,2.537680480719001
45.0,,1171.925188964643,71.79023948861942,,45.5253018793587,33.8443922938359,0.519,10.1,2.537680480719001
45.5,,,,,,,0.519,10.1,2.537680480719001
46.0,,968.3737916930999,-219.27306528117037,,85.3459929060185,51.385637679279,0.519,10.1,2.537680480719001
46.5,,,,,,,0.519,10.1,2.537680480719001
47.0,,121.73243808811122,,,97.8435306626696,,0.519,10.1,2.537680480719001
47.5,,,,,,,0.519,10.1,2.537680480719001
48.0,,,,,,,0.519,10.1,2.537680480719001
48.5,,,,,,,0.519,10.1,2.537680480719001
49.0,,,,,,,0.519,10.1,2.537680480719001
49.5,,,,,,,0.519,10.1,2.537680480719001
50.0,,,,,,,0.519,10.1,2.537680480719001
50.5,,,,,,,0.519,10.1,2.537680480719001
51.0,,,,,,,0.519,10.1,2.537680480719001
51.5,,,,,,,0.519,10.1,2.537680480719001
52.0,,,,,,,0.519,10.1,2.537680480719001
52.5,,,,,,,0.519,10.1,2.537680480719001
53.0,,,,,,,0.519,10.1,2.537680480719001
53.5,,,,,,,0.519,10.1,2.537680480719001
54.0,,666.3831878504434,-73.22344782978115,,34.6573729643767,26.6602931256578,0.519,10.1,2.537680480719001
54.5,,,,,,,0.519,10.1,2.537680480719001
55.0,,,,,,,0.519,10.1,2.537680480719001
55.5,,,,,,,0.519,10.1,2.537680480719001
56.0,,,,,,,0.519,10.1,2.537680480719001
56.5,,,-37.115702739775095,,,27.1554727433166,0.519,10.1,2.537680480719001
57.0,,1040.7209837448831,-127.99313223531124,,32.104342047357775,26.8052273457707,0.519,10.1,2.537680480719001
57.5,,699.0246115327993,,,48.2335115203698,,0.519,10.1,2.537680480719001
58.0,,,-60.45566278557092,,,34.1958896789774,0.519,10.1,2.537680480719001
58.5,,,,,,,0.519,10.1,2.537680480719001
59.0,,,184.34035948002213,,,54.4497060286864,0.519,10.1,2.537680480719001
59.5,,,264.44164029115007,,,45.9692620633372,0.519,10.1,2.537680480719001
60.0,,811.7947279632226,23.407903306099513,,35.422055289253805,31.8071922330854,0.519,10.1,2.537680480719001
60.5,,,51.93061300243287,,,53.9585676588725,0.519,10.1,2.537680480719001
61.0,,706.8039029773353,,,51.7894150881795,,0.519,10.1,2.537680480719001
61.5,,,,,,,0.519,10.1,2.537680480719001
62.0,,443.1429347498418,,,109.545538594084,,0.519,10.1,2.537680480719001
62.5,,,,,,,0.519,10.1,2.537680480719001
63.0,,803.6933777084382,23.565684960208557,,69.9146030206333,78.40304858039009,0.519,10.1,2.537680480719001
63.5,,,,,,,0.519,10.1,2.537680480719001
64.0,,979.4884833181128,,,56.0001375491115,,0.519,10.1,2.537680480719001
64.5,,,,,,,0.519,10.1,2.537680480719001
65.0,,,,,,,0.519,10.1,2.537680480719001
65.5,,,,,,,0.519,10.1,2.537680480719001
66.0,,,,,,,0.519,10.1,2.537680480719001
66.5,,,-44.75743000888447,,,82.3090544723586,0.519,10.1,2.537680480719001
67.0,,337.6426826246105,,,62.433067576199036,,0.519,10.1,2.537680480719001
67.5,,,,,,,0.519,10.1,2.537680480719001
68.0,,824.4997954066483,,,55.0653853163666,,0.519,10.1,2.537680480719001
68.5,,,,,,,0.519,10.1,2.537680480719001
69.0,,582.4348783877235,-77.283145539059,,46.9334023671332,28.7028746766288,0.519,10.1,2.537680480719001
69.5,,,,,,,0.519,10.1,2.537680480719001
70.0,,,-67.71621049567527,,,24.3732884441438,0.519,10.1,2.537680480719001
