relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-39.1786129003587,-28.78201344203389,,37.39799408731,43.3559712408104,0.015,11.950000000000005,5.040833264451424
-29.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-29.0,,29.160293022409828,-8.608085684578874,,42.4289660305225,43.0924407483375,0.015,11.950000000000005,5.040833264451424
-28.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-28.0,,68.36203328244552,-16.79508810215314,,56.4171393515665,56.5513924312484,0.015,11.950000000000005,5.040833264451424
-27.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-27.0,,72.9740025954031,,,66.811311915796,,0.015,11.950000000000005,5.040833264451424
-26.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-26.0,,77.87348845296627,47.62714641421825,,61.9679084337753,66.3216998609896,0.015,11.950000000000005,5.040833264451424
-25.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-25.0,,-69.2513852526403,,,66.3128515434884,,0.015,11.950000000000005,5.040833264451424
-24.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-24.0,,-33.27416667574493,,,60.0598914471754,,0.015,11.950000000000005,5.040833264451424
-23.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-23.0,,12.630257614567267,,,71.9151965463389,,0.015,11.950000000000005,5.040833264451424
-22.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-22.0,,-27.482237969151043,-87.22253471477347,,51.8780577511127,76.0367793527987,0.015,11.950000000000005,5.040833264451424
-21.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-21.0,,-86.4508534444918,26.374425927320615,,59.3358617640966,54.9174934552937,0.015,11.950000000000005,5.040833264451424
-20.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-20.0,,-33.41653348212828,13.44469864149871,,48.8185449417475,40.6795290865426,0.015,11.950000000000005,5.040833264451424
-19.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-19.0,,3.4750261688664694,-24.898729876475638,,34.3264231628081,32.0079073221852,0.015,11.950000000000005,5.040833264451424
-18.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-18.0,,-11.263173158010398,48.11785406933654,,35.3237156926262,30.9913404588503,0.015,11.950000000000005,5.040833264451424
-17.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-17.0,,84.78546261332575,70.25836096640187,,57.9056946081584,48.8285016470337,0.015,11.950000000000005,5.040833264451424
-16.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-16.0,,-8.54070647665443,-15.100775750510653,,41.5523725948239,47.3713095586288,0.015,11.950000000000005,5.040833264451424
-15.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-15.0,,55.93742045448185,-39.65402305740468,,43.2824651029443,35.8854478176129,0.015,11.950000000000005,5.040833264451424
-14.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-14.0,,,,,,,0.015,11.950000000000005,5.040833264451424
-13.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-13.0,,,51.709598794939126,,,73.6792078356235,0.015,11.950000000000005,5.040833264451424
-12.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-12.0,,64.85500851696607,-16.083520493024697,,50.9506851999046,38.5159270511154,0.015,11.950000000000005,5.040833264451424
-11.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-11.0,,73.71530179622208,52.86683787657245,,51.8384191745799,44.1478870052251,0.015,11.950000000000005,5.040833264451424
-10.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-10.0,,,,,,,0.015,11.950000000000005,5.040833264451424
-9.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-9.0,,74.34366266218842,-25.042937116568737,,53.0562420651408,39.626397294498,0.015,11.950000000000005,5.040833264451424
-8.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-8.0,,-41.86344270163884,43.77104614749497,,59.4644779581461,49.4022399291111,0.015,11.950000000000005,5.040833264451424
-7.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-7.0,,,22.744565723493846,,,70.2682744872799,0.015,11.950000000000005,5.040833264451424
-6.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-6.0,,144.74762719753502,-16.182077211897184,,66.7745712754764,54.4736202436857,0.015,11.950000000000005,5.040833264451424
-5.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-5.0,,220.622970910884,48.88403229003519,,61.3381466802543,50.2565703799415,0.015,11.950000000000005,5.040833264451424
-4.5,,,,,,,0.015,11.950000000000005,5.040833264451424
-4.0,193.79534270143608,217.27362687853727,,125.13343989921084,53.4367911531308,,0.015,11.950000000000005,5.040833264451424
-3.5,91.2932424020845,,,127.03269340671729,,,0.015,11.950000000000005,5.040833264451424
-3.0,281.66224016871365,360.34188304889204,101.77198116981047,122.08198457275832,45.4739705432236,36.9660679829672,0.015,11.950000000000005,5.040833264451424
-2.5,360.4147616554146,,,123.0093424570798,,,0.015,11.950000000000005,5.040833264451424
-2.0,322.6810729106571,342.89670341639584,,124.23168191551237,58.7840976694624,,0.015,11.950000000000005,5.040833264451424
-1.5,427.8570615328298,,,124.21612966774076,,,0.015,11.950000000000005,5.040833264451424
-1.0,461.32513629815304,493.79927556777255,309.8627486463649,125.58092326948282,73.1015462854774,58.2458025606009,0.015,11.950000000000005,5.040833264451424
-0.5,467.089264567842,,,125.86953053591687,,,0.015,11.950000000000005,5.040833264451424
0.0,595.1469809948416,653.6237813767995,333.19011813186296,128.14077211532182,47.8989405147665,65.0863469950604,0.015,11.950000000000005,5.040833264451424
0.5,688.8469445433198,,,126.91752188031967,,,0.015,11.950000000000005,5.040833264451424
1.0,796.5185281344466,750.6710593665558,322.80171099574056,127.93572233187751,63.2427236289703,64.8133131846811,0.015,11.950000000000005,5.040833264451424
1.5,815.8879550380734,,,126.88169800700007,,,0.015,11.950000000000005,5.040833264451424
2.0,894.8101284181148,735.6579320550394,,126.9153657714737,70.6970114667425,,0.015,11.950000000000005,5.040833264451424
2.5,950.6365377414113,,,127.21942849977815,,,0.015,11.950000000000005,5.040833264451424
3.0,943.333170608591,,371.42373684567895,127.89491666902165,,74.9132061651309,0.015,11.950000000000005,5.040833264451424
3.5,982.85737982874,,,129.11457234359895,,,0.015,11.950000000000005,5.040833264451424
4.0,1096.9048770379848,,,131.8689815230988,,,0.015,11.950000000000005,5.040833264451424
4.5,1142.9601643499018,,,135.2610929144209,,,0.015,11.950000000000005,5.040833264451424
5.0,1138.5017733847753,,,135.50377575817495,,,0.015,11.950000000000005,5.040833264451424
5.5,1158.34786716745,,,139.75530266015417,,,0.015,11.950000000000005,5.040833264451424
6.0,963.8700252755057,,,144.9925825609939,,,0.015,11.950000000000005,5.040833264451424
6.5,,,,,,,0.015,11.950000000000005,5.040833264451424
7.0,,,,,,,0.015,11.950000000000005,5.040833264451424
7.5,,,,,,,0.015,11.950000000000005,5.040833264451424
8.0,,,,,,,0.015,11.950000000000005,5.040833264451424
8.5,,,,,,,0.015,11.950000000000005,5.040833264451424
9.0,1000.979789107515,,372.6458177846476,128.62671458228198,,38.5278555030293,0.015,11.950000000000005,5.040833264451424
9.5,1134.6390142971395,,,127.71349568181776,,,0.015,11.950000000000005,5.040833264451424
