relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-43.04349354731501,-17.31993898925434,,17.9365834148186,16.5262815173117,0.2203,13.0,4.050584319988085
-29.5,,,,,,,0.2203,13.0,4.050584319988085
-29.0,,,-16.24984370390751,,,24.975218531349785,0.2203,13.0,4.050584319988085
-28.5,,,,,,,0.2203,13.0,4.050584319988085
-28.0,,47.33632558097016,,,33.27356409217915,,0.2203,13.0,4.050584319988085
-27.5,,,,,,,0.2203,13.0,4.050584319988085
-27.0,,,,,,,0.2203,13.0,4.050584319988085
-26.5,,,,,,,0.2203,13.0,4.050584319988085
-26.0,,34.478559236362635,-13.420422520286595,,23.967021471974075,20.8768514106534,0.2203,13.0,4.050584319988085
-25.5,,,,,,,0.2203,13.0,4.050584319988085
-25.0,,6.507363362771392,-11.37269747830949,,23.001858391996173,23.29820790199103,0.2203,13.0,4.050584319988085
-24.5,,,,,,,0.2203,13.0,4.050584319988085
-24.0,,49.09945571372359,11.34334919658035,,29.864798348541356,19.748996070410822,0.2203,13.0,4.050584319988085
-23.5,,,,,,,0.2203,13.0,4.050584319988085
-23.0,,8.406308730223396,-14.306599561330765,,22.877487132522546,35.29061501558464,0.2203,13.0,4.050584319988085
-22.5,,,,,,,0.2203,13.0,4.050584319988085
-22.0,,,57.78135225325866,,,73.23668060870732,0.2203,13.0,4.050584319988085
-21.5,,,,,,,0.2203,13.0,4.050584319988085
-21.0,,,-93.79663939274207,,,54.56292284390876,0.2203,13.0,4.050584319988085
-20.5,,,,,,,0.2203,13.0,4.050584319988085
-20.0,,-13.845172487038703,12.69093241170883,,57.64088997648798,67.2297447325373,0.2203,13.0,4.050584319988085
-19.5,,,,,,,0.2203,13.0,4.050584319988085
-19.0,,-101.93676561451453,,,72.130091756931,,0.2203,13.0,4.050584319988085
-18.5,,,,,,,0.2203,13.0,4.050584319988085
-18.0,,-27.07832314025348,,,90.93052988850646,,0.2203,13.0,4.050584319988085
-17.5,,,,,,,0.2203,13.0,4.050584319988085
-17.0,,,-50.72675925937432,,,95.44315013652209,0.2203,13.0,4.050584319988085
-16.5,,,,,,,0.2203,13.0,4.050584319988085
-16.0,,-65.85030551703068,,,48.971625678945784,,0.2203,13.0,4.050584319988085
-15.5,,,,,,,0.2203,13.0,4.050584319988085
-15.0,,-79.95324415970215,,,78.07433137559939,,0.2203,13.0,4.050584319988085
-14.5,,,,,,,0.2203,13.0,4.050584319988085
-14.0,,-69.16474176400324,30.971650565700788,,37.552807201084185,42.97024201640393,0.2203,13.0,4.050584319988085
-13.5,,,,,,,0.2203,13.0,4.050584319988085
-13.0,,48.69647608500593,,,44.52489916551542,,0.2203,13.0,4.050584319988085
-12.5,,,,,,,0.2203,13.0,4.050584319988085
-12.0,,-20.594309995653184,,,42.285778636393886,,0.2203,13.0,4.050584319988085
-11.5,,,,,,,0.2203,13.0,4.050584319988085
-11.0,,47.082689249815765,-8.597338961815947,,43.77202999432822,32.828322060703584,0.2203,13.0,4.050584319988085
-10.5,,,,,,,0.2203,13.0,4.050584319988085
-10.0,,-30.87881726886172,-8.262476204154446,,30.198182648861128,30.3392646735271,0.2203,13.0,4.050584319988085
-9.5,,,,,,,0.2203,13.0,4.050584319988085
-9.0,,,,,,,0.2203,13.0,4.050584319988085
-8.5,,,,,,,0.2203,13.0,4.050584319988085
-8.0,,121.5847723305989,-79.37359483005409,,75.25026957322572,26.778083224329034,0.2203,13.0,4.050584319988085
-7.5,,,,,,,0.2203,13.0,4.050584319988085
-7.0,,18.90312038064306,-31.219413741247976,,29.965195565119505,19.9790401124194,0.2203,13.0,4.050584319988085
-6.5,,,,,,,0.2203,13.0,4.050584319988085
-6.0,,27.547900801151172,,,42.2891245283194,,0.2203,13.0,4.050584319988085
-5.5,,,,,,,0.2203,13.0,4.050584319988085
-5.0,,,-17.03160961970029,,,45.06978579438005,0.2203,13.0,4.050584319988085
-4.5,,,,,,,0.2203,13.0,4.050584319988085
-4.0,,,10.295769918869631,,,26.31333385431161,0.2203,13.0,4.050584319988085
-3.5,,,,,,,0.2203,13.0,4.050584319988085
-3.0,,,137.81046801033096,,,35.86594751325088,0.2203,13.0,4.050584319988085
-2.5,,,,,,,0.2203,13.0,4.050584319988085
-2.0,,,,,,,0.2203,13.0,4.050584319988085
-1.5,,,,,,,0.2203,13.0,4.050584319988085
-1.0,,,212.25332303123082,,,29.3688846136698,0.2203,13.0,4.050584319988085
-0.5,,,,,,,0.2203,13.0,4.050584319988085
