relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0823,9.35,4.010020781326035
-29.5,,,,,,,0.0823,9.35,4.010020781326035
-29.0,,,,,,,0.0823,9.35,4.010020781326035
-28.5,,10.329892484234122,0.3115267342620247,,27.9920458490989,42.2297828607719,0.0823,9.35,4.010020781326035
-28.0,,,,,,,0.0823,9.35,4.010020781326035
-27.5,,,,,,,0.0823,9.35,4.010020781326035
-27.0,,,,,,,0.0823,9.35,4.010020781326035
-26.5,,-21.883341269869934,93.1371893478814,,36.4396764578026,48.6081992342609,0.0823,9.35,4.010020781326035
-26.0,,,,,,,0.0823,9.35,4.010020781326035
-25.5,,19.299094042426372,,,48.9946817611797,,0.0823,9.35,4.010020781326035
-25.0,,,,,,,0.0823,9.35,4.010020781326035
-24.5,,,,,,,0.0823,9.35,4.010020781326035
-24.0,,,,,,,0.0823,9.35,4.010020781326035
-23.5,,-52.66351302611319,,,55.67258584859654,,0.0823,9.35,4.010020781326035
-23.0,,,,,,,0.0823,9.35,4.010020781326035
-22.5,,-17.87643563824175,,,60.9348717965821,,0.0823,9.35,4.010020781326035
-22.0,,,,,,,0.0823,9.35,4.010020781326035
-21.5,,-10.242295489233936,116.2657664606585,,51.31523602404259,69.8698558634903,0.0823,9.35,4.010020781326035
-21.0,,,,,,,0.0823,9.35,4.010020781326035
-20.5,,-8.170447014266262,-24.05796640887514,,54.21920853871176,74.9562244157041,0.0823,9.35,4.010020781326035
-20.0,,,,,,,0.0823,9.35,4.010020781326035
-19.5,,,-68.99090627522604,,,47.21038695055,0.0823,9.35,4.010020781326035
-19.0,,,,,,,0.0823,9.35,4.010020781326035
-18.5,,,,,,,0.0823,9.35,4.010020781326035
-18.0,,,,,,,0.0823,9.35,4.010020781326035
-17.5,,,,,,,0.0823,9.35,4.010020781326035
-17.0,,,,,,,0.0823,9.35,4.010020781326035
-16.5,,-7.262797456190076,,,41.2877754005493,,0.0823,9.35,4.010020781326035
-16.0,,,,,,,0.0823,9.35,4.010020781326035
-15.5,,,,,,,0.0823,9.35,4.010020781326035
-15.0,,,,,,,0.0823,9.35,4.010020781326035
-14.5,,,,,,,0.0823,9.35,4.010020781326035
-14.0,,,,,,,0.0823,9.35,4.010020781326035
-13.5,,,,,,,0.0823,9.35,4.010020781326035
-13.0,,,,,,,0.0823,9.35,4.010020781326035
-12.5,,,,,,,0.0823,9.35,4.010020781326035
-12.0,,,,,,,0.0823,9.35,4.010020781326035
-11.5,,,,,,,0.0823,9.35,4.010020781326035
-11.0,,,,,,,0.0823,9.35,4.010020781326035
-10.5,,,,,,,0.0823,9.35,4.010020781326035
-10.0,,,0.021808115394649073,,,26.514976931298,0.0823,9.35,4.010020781326035
-9.5,,8.612776579329028,,,30.455867568383987,,0.0823,9.35,4.010020781326035
-9.0,,,,,,,0.0823,9.35,4.010020781326035
-8.5,,,,,,,0.0823,9.35,4.010020781326035
-8.0,,,,,,,0.0823,9.35,4.010020781326035
-7.5,,,,,,,0.0823,9.35,4.010020781326035
-7.0,,,,,,,0.0823,9.35,4.010020781326035
-6.5,35.62887071368727,,,113.7402287531761,,,0.0823,9.35,4.010020781326035
-6.0,-39.39842785411454,,,113.88677750385139,,,0.0823,9.35,4.010020781326035
-5.5,34.05909296478322,,,113.95990709876175,,,0.0823,9.35,4.010020781326035
-5.0,-6.673361752260275,,,113.97190381381404,,,0.0823,9.35,4.010020781326035
-4.5,24.200904852213032,,,114.04599231425333,,,0.0823,9.35,4.010020781326035
-4.0,89.17436114874623,,,113.97032497759098,,,0.0823,9.35,4.010020781326035
