relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.03,9.9,2.412292593272125
-29.5,,,,,,,0.03,9.9,2.412292593272125
-29.0,,-39.951307433343516,13.434701976961858,,36.14600929872172,25.21244242270611,0.03,9.9,2.412292593272125
-28.5,,,,,,,0.03,9.9,2.412292593272125
-28.0,,,-2.552715651644222,,,19.84780179534342,0.03,9.9,2.412292593272125
-27.5,,,,,,,0.03,9.9,2.412292593272125
-27.0,,-49.66904947513327,16.881523974892623,,24.8358966217545,23.0144525426558,0.03,9.9,2.412292593272125
-26.5,,,,,,,0.03,9.9,2.412292593272125
-26.0,,-10.541776935957156,-7.2799415403435255,,20.18606063318874,16.5913193541785,0.03,9.9,2.412292593272125
-25.5,,,,,,,0.03,9.9,2.412292593272125
-25.0,,-10.170499935436812,7.727048315878128,,27.2582332826705,20.2224169880208,0.03,9.9,2.412292593272125
-24.5,,,,,,,0.03,9.9,2.412292593272125
-24.0,,-60.13160169285406,,,30.26585716728188,,0.03,9.9,2.412292593272125
-23.5,,,,,,,0.03,9.9,2.412292593272125
-23.0,,87.4625320045743,,,71.23336634035547,,0.03,9.9,2.412292593272125
-22.5,,,,,,,0.03,9.9,2.412292593272125
-22.0,,,,,,,0.03,9.9,2.412292593272125
-21.5,,,,,,,0.03,9.9,2.412292593272125
-21.0,,6.17978117524717,-146.85811078184565,,61.1219349583195,99.93204991266747,0.03,9.9,2.412292593272125
-20.5,,,,,,,0.03,9.9,2.412292593272125
-20.0,,-102.78981343735995,9.940785094757436,,58.855690432278664,68.6435671615792,0.03,9.9,2.412292593272125
-19.5,,,,,,,0.03,9.9,2.412292593272125
-19.0,,-155.67988097286184,-5.896123124521793,,76.0284684553076,104.31135499969042,0.03,9.9,2.412292593272125
-18.5,,,,,,,0.03,9.9,2.412292593272125
-18.0,,-60.55090997906404,18.470846059389125,,76.50271980748896,99.81103526943615,0.03,9.9,2.412292593272125
-17.5,,,,,,,0.03,9.9,2.412292593272125
-17.0,,-59.64111064915789,-80.94320267532119,,96.70377495873805,99.0160058395946,0.03,9.9,2.412292593272125
-16.5,,,,,,,0.03,9.9,2.412292593272125
-16.0,,,-125.79110994980933,,,106.008417810579,0.03,9.9,2.412292593272125
-15.5,,,,,,,0.03,9.9,2.412292593272125
-15.0,,16.740762511314294,-22.009036017714667,,60.109502352590695,77.2125473277392,0.03,9.9,2.412292593272125
-14.5,,,,,,,0.03,9.9,2.412292593272125
-14.0,,39.592357962691395,-58.25241745342258,,68.15903161987505,80.01058336809999,0.03,9.9,2.412292593272125
-13.5,,,,,,,0.03,9.9,2.412292593272125
-13.0,,-50.354376163104845,-0.7197446969836202,,67.82776315999897,73.3652802217978,0.03,9.9,2.412292593272125
-12.5,,,,,,,0.03,9.9,2.412292593272125
-12.0,,37.75464843853208,-64.85707569722503,,77.68896510957767,84.45567711233589,0.03,9.9,2.412292593272125
