relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-4.405971504954556,,,28.654248882473706,,0.0298,14.700000000000005,3.2393140563328457
-29.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
-29.0,,-20.941917104791116,-13.302058650478253,,25.3219838820703,24.356202321780522,0.0298,14.700000000000005,3.2393140563328457
-28.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
-28.0,,,40.87268423800913,,,24.276884614621192,0.0298,14.700000000000005,3.2393140563328457
-27.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
-27.0,,6.084583130535935,-18.720497090835664,,21.387361356411,22.124104178121232,0.0298,14.700000000000005,3.2393140563328457
-26.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
-26.0,,-4.640695438729708,17.559635195424274,,24.566895190368125,22.40114422397193,0.0298,14.700000000000005,3.2393140563328457
-25.5,-91.58404853959206,,,78.62146394201007,,,0.0298,14.700000000000005,3.2393140563328457
-25.0,-7.0548365460554505,-11.588639052956392,7.500485334161819,77.64900165231008,20.88123677507554,19.153522238440264,0.0298,14.700000000000005,3.2393140563328457
-24.5,10.826377808977144,,,78.36052361630188,,,0.0298,14.700000000000005,3.2393140563328457
-24.0,26.12653552333846,1.8820115301393916,,78.45720036347872,23.425284602634726,,0.0298,14.700000000000005,3.2393140563328457
-23.5,5.967399397068288,,,77.86062650203552,,,0.0298,14.700000000000005,3.2393140563328457
-23.0,13.269934716097662,-8.20030355634096,,77.57028356040328,49.40952655154,,0.0298,14.700000000000005,3.2393140563328457
-22.5,29.1724550416811,,,77.87320813853206,,,0.0298,14.700000000000005,3.2393140563328457
-22.0,12.737387137278247,,,77.5440277451464,,,0.0298,14.700000000000005,3.2393140563328457
-21.5,-3.743463375941425,,,76.99060087119868,,,0.0298,14.700000000000005,3.2393140563328457
-21.0,-1.3842335652454163,,,77.40625710876158,,,0.0298,14.700000000000005,3.2393140563328457
-20.5,38.18926931105997,,,78.24497934759424,,,0.0298,14.700000000000005,3.2393140563328457
-20.0,-10.510699003757265,-18.154960980589077,-61.38416550419238,78.44068430353992,50.9985242458882,47.8420900238687,0.0298,14.700000000000005,3.2393140563328457
-19.5,-31.890017721720486,,,78.38334510037318,,,0.0298,14.700000000000005,3.2393140563328457
-19.0,29.09043426933985,-64.0717484015338,-26.924740357128137,77.86698428824936,50.789246403655284,60.81869054637234,0.0298,14.700000000000005,3.2393140563328457
-18.5,-34.331481362449274,,,77.32353511117749,,,0.0298,14.700000000000005,3.2393140563328457
-18.0,26.774352301823814,5.20590368210852,-101.26107096717578,76.86020671088943,73.66553178036517,79.97309699448012,0.0298,14.700000000000005,3.2393140563328457
-17.5,4.191843537771435,,,76.76798847357144,,,0.0298,14.700000000000005,3.2393140563328457
-17.0,6.0484651275501164,7.1475853687786275,40.43471755257156,77.26466177798551,62.1838724968989,86.7329278582591,0.0298,14.700000000000005,3.2393140563328457
-16.5,-18.430038002556323,,,77.67832555982756,,,0.0298,14.700000000000005,3.2393140563328457
-16.0,-4.17029726380159,,,78.95407382956131,,,0.0298,14.700000000000005,3.2393140563328457
-15.5,-1.5029294703828662,,,79.60669033153498,,,0.0298,14.700000000000005,3.2393140563328457
-15.0,21.928453033611177,,,78.97837496091242,,,0.0298,14.700000000000005,3.2393140563328457
-14.5,3.830667914445372,,,80.42176917877273,,,0.0298,14.700000000000005,3.2393140563328457
-14.0,-36.022719837304656,72.10273823354977,-31.754134345858844,81.101630721884,65.40570781868406,79.68918169420245,0.0298,14.700000000000005,3.2393140563328457
-13.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
-13.0,,,64.24204057099521,,,78.2821693846339,0.0298,14.700000000000005,3.2393140563328457
-12.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
-12.0,,-57.261018008520104,108.77572018412751,,67.34334678853142,64.56351424191969,0.0298,14.700000000000005,3.2393140563328457
-11.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
-11.0,-46.36659117123594,-16.48576092519797,30.207144074804155,80.86715368707173,55.72078638725491,59.61230561842266,0.0298,14.700000000000005,3.2393140563328457
-10.5,-56.75853400131517,,,80.11591796772905,,,0.0298,14.700000000000005,3.2393140563328457
-10.0,-57.09635205103576,,,80.07157728622732,,,0.0298,14.700000000000005,3.2393140563328457
-9.5,-47.6515766409419,,,78.95797589824274,,,0.0298,14.700000000000005,3.2393140563328457
-9.0,-32.66289562923558,,,79.2555128962741,,,0.0298,14.700000000000005,3.2393140563328457
-8.5,-20.07909707039961,,,77.89843937281951,,,0.0298,14.700000000000005,3.2393140563328457
-8.0,-30.338217724745334,,,80.23495998074526,,,0.0298,14.700000000000005,3.2393140563328457
-7.5,8.226616614908682,,,79.94424946918416,,,0.0298,14.700000000000005,3.2393140563328457
-7.0,7.097582349769803,,,80.63056044909887,,,0.0298,14.700000000000005,3.2393140563328457
-6.5,5.039686433351556,,,81.00951881598031,,,0.0298,14.700000000000005,3.2393140563328457
-6.0,16.389924603853718,,,79.68092725691633,,,0.0298,14.700000000000005,3.2393140563328457
-5.5,41.04922212945878,,,78.70670789086437,,,0.0298,14.700000000000005,3.2393140563328457
-5.0,3.2434913304636153,17.586330675609176,8.123377921297312,79.54119883736605,34.0776105669514,29.7969589472037,0.0298,14.700000000000005,3.2393140563328457
-4.5,36.42805579976191,,,79.32372454922935,,,0.0298,14.700000000000005,3.2393140563328457
-4.0,76.59169578187567,23.975582946262314,-31.92181636932191,79.4321148645385,22.94870655408189,21.624685319432338,0.0298,14.700000000000005,3.2393140563328457
-3.5,31.013017372118554,,,79.01581076567425,,,0.0298,14.700000000000005,3.2393140563328457
-3.0,52.94379261651704,19.81737256673076,20.08285338490845,78.32415876344704,23.9782749519069,23.0996654151351,0.0298,14.700000000000005,3.2393140563328457
-2.5,67.30569563913241,,,79.47654734594713,,,0.0298,14.700000000000005,3.2393140563328457
-2.0,52.47852136353311,37.5257794890518,,79.93032670310305,30.13676375627445,,0.0298,14.700000000000005,3.2393140563328457
-1.5,43.10660625771237,,,79.47222184185468,,,0.0298,14.700000000000005,3.2393140563328457
-1.0,57.91644128473916,78.99581314795208,120.52122756679532,78.95361874366344,26.7209208794008,25.0637436245333,0.0298,14.700000000000005,3.2393140563328457
-0.5,78.60236832917786,,,80.85105037764296,,,0.0298,14.700000000000005,3.2393140563328457
0.0,92.64852261291088,157.92158616443334,188.81164149943754,82.24360384946388,27.620669521221153,28.591183978598924,0.0298,14.700000000000005,3.2393140563328457
0.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
1.0,,235.73350339516415,239.90554978690554,,29.2552017811815,23.0515422846187,0.0298,14.700000000000005,3.2393140563328457
1.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
2.0,,394.34217986483554,379.3121452353232,,25.0404971493713,26.1564434781744,0.0298,14.700000000000005,3.2393140563328457
2.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
3.0,,,,,,,0.0298,14.700000000000005,3.2393140563328457
3.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
4.0,,,,,,,0.0298,14.700000000000005,3.2393140563328457
4.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
5.0,,539.3850065268459,,,44.7102378132953,,0.0298,14.700000000000005,3.2393140563328457
5.5,,,,,,,0.0298,14.700000000000005,3.2393140563328457
6.0,,,,,,,0.0298,14.700000000000005,3.2393140563328457
