relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,405.91222985505544,-26.097593488504845,,81.9582231427096,74.3126599305085,0.039,10.6,2.838379819544946
-29.5,,,,,,,0.039,10.6,2.838379819544946
-29.0,,,,,,,0.039,10.6,2.838379819544946
-28.5,,,,,,,0.039,10.6,2.838379819544946
-28.0,,,,,,,0.039,10.6,2.838379819544946
-27.5,,,,,,,0.039,10.6,2.838379819544946
-27.0,,,,,,,0.039,10.6,2.838379819544946
-26.5,,,,,,,0.039,10.6,2.838379819544946
-26.0,,,,,,,0.039,10.6,2.838379819544946
-25.5,,,,,,,0.039,10.6,2.838379819544946
-25.0,,,,,,,0.039,10.6,2.838379819544946
-24.5,,,,,,,0.039,10.6,2.838379819544946
-24.0,,,,,,,0.039,10.6,2.838379819544946
-23.5,,,,,,,0.039,10.6,2.838379819544946
-23.0,,-97.75223644659297,,,38.3385736976824,,0.039,10.6,2.838379819544946
-22.5,,,,,,,0.039,10.6,2.838379819544946
-22.0,,,,,,,0.039,10.6,2.838379819544946
-21.5,,,,,,,0.039,10.6,2.838379819544946
-21.0,,-113.32090001211722,-31.24928573697977,,35.4141754025755,49.99219451639169,0.039,10.6,2.838379819544946
-20.5,,,,,,,0.039,10.6,2.838379819544946
-20.0,,25.82836552603023,5.820974220110719,,41.30775517961768,36.4290316388147,0.039,10.6,2.838379819544946
-19.5,,,,,,,0.039,10.6,2.838379819544946
-19.0,,,-14.384308618749547,,,40.3193578580594,0.039,10.6,2.838379819544946
-18.5,,,,,,,0.039,10.6,2.838379819544946
-18.0,,43.38581835527983,39.79795404899727,,30.3275323129856,32.3674346971974,0.039,10.6,2.838379819544946
-17.5,,,,,,,0.039,10.6,2.838379819544946
-17.0,,,,,,,0.039,10.6,2.838379819544946
-16.5,,,,,,,0.039,10.6,2.838379819544946
-16.0,,,,,,,0.039,10.6,2.838379819544946
-15.5,,,,,,,0.039,10.6,2.838379819544946
-15.0,,,7.030183509119172,,,29.306689494822393,0.039,10.6,2.838379819544946
-14.5,212.69253278482103,,,288.50328723616315,,,0.039,10.6,2.838379819544946
-14.0,462.06892903619445,-112.72960791546801,,280.1852996173677,29.6801480534722,,0.039,10.6,2.838379819544946
-13.5,262.8652394938548,,,276.08420785091437,,,0.039,10.6,2.838379819544946
-13.0,170.28853224655938,,,279.1616699140959,,,0.039,10.6,2.838379819544946
-12.5,241.9543463140752,,,273.2546342872944,,,0.039,10.6,2.838379819544946
-12.0,396.03564047135023,3.3094959084424675,141.08852687722634,271.3298425550205,43.38750059469398,27.0751119551145,0.039,10.6,2.838379819544946
-11.5,160.24966690552276,,,264.35021348045996,,,0.039,10.6,2.838379819544946
-11.0,79.66841546748643,,,281.48020262843085,,,0.039,10.6,2.838379819544946
-10.5,-6.507902511285996,,,276.30197479653594,,,0.039,10.6,2.838379819544946
-10.0,239.1012147398129,104.2706049887484,-12.70289325504193,280.53926555714025,46.71947646038884,36.8770556843409,0.039,10.6,2.838379819544946
-9.5,-161.5160015444826,,,278.5095181815327,,,0.039,10.6,2.838379819544946
-9.0,-203.4454913859425,,-21.425887116707344,280.2007070417702,,94.12193096869365,0.039,10.6,2.838379819544946
-8.5,-235.890301319856,,,271.65911115788583,,,0.039,10.6,2.838379819544946
-8.0,-180.84189480565314,,167.34383797080284,270.03552638385133,,120.316257774691,0.039,10.6,2.838379819544946
-7.5,-343.0512202749812,,,275.83085489188056,,,0.039,10.6,2.838379819544946
-7.0,-595.0271201400222,26.281819940882926,57.10497664224622,278.3840849662683,86.14989877504814,125.998788591719,0.039,10.6,2.838379819544946
-6.5,-310.87481277680837,,,280.1652879711646,,,0.039,10.6,2.838379819544946
-6.0,-104.95674319255669,11.958684471907873,51.46769835757599,275.54511917154883,65.33671766670435,97.59707994535617,0.039,10.6,2.838379819544946
-5.5,-66.85308298586071,,,284.50910932184235,,,0.039,10.6,2.838379819544946
-5.0,-45.51826603883156,,126.21253610717636,283.26316650060687,,144.01459088778296,0.039,10.6,2.838379819544946
-4.5,81.94080714706315,,,283.6865935043907,,,0.039,10.6,2.838379819544946
-4.0,324.2403777274593,201.81074053011352,198.48771826771986,284.38276216362465,85.33862581684659,120.61443028978523,0.039,10.6,2.838379819544946
-3.5,323.6345649790555,,,282.9180156331163,,,0.039,10.6,2.838379819544946
-3.0,459.85296390495745,450.05960667684786,447.7991329267824,287.5672794685079,70.64398414322706,97.11794449393182,0.039,10.6,2.838379819544946
-2.5,,,,,,,0.039,10.6,2.838379819544946
-2.0,,,619.4377914003811,,,161.903467616235,0.039,10.6,2.838379819544946
-1.5,536.4159653292694,,,286.5225145462875,,,0.039,10.6,2.838379819544946
-1.0,596.5491256134402,770.022751104138,893.3228959795252,281.9742128931778,91.03640886291562,81.95158209425925,0.039,10.6,2.838379819544946
-0.5,479.1759327166952,,,269.3422693744567,,,0.039,10.6,2.838379819544946
0.0,661.873845620413,1056.0583764363257,1037.9752738169377,268.71849425243715,49.2458482332946,79.11927686269844,0.039,10.6,2.838379819544946
0.5,1109.0572941602782,,,271.4948474400129,,,0.039,10.6,2.838379819544946
1.0,1304.733417701555,1202.9537039485722,,288.02887009915867,42.51898673867274,,0.039,10.6,2.838379819544946
1.5,1159.104322687692,,,282.6350136390153,,,0.039,10.6,2.838379819544946
2.0,1412.7680381030868,158.2248880567431,,284.6855806601922,82.97171284429665,,0.039,10.6,2.838379819544946
2.5,1350.209360005381,,,286.7938342097585,,,0.039,10.6,2.838379819544946
3.0,1574.6464212836383,,,289.29502949217647,,,0.039,10.6,2.838379819544946
3.5,1342.577461147749,,,283.29657236429347,,,0.039,10.6,2.838379819544946
4.0,1579.2775748661131,,,286.3970820044042,,,0.039,10.6,2.838379819544946
4.5,1716.0493846364443,,,285.98885828904235,,,0.039,10.6,2.838379819544946
5.0,1582.7263910269562,1862.5911373109075,2175.53544460305,280.82467945250795,35.66323626764308,38.56998525980273,0.039,10.6,2.838379819544946
5.5,1557.4381556457947,,,276.3785365603463,,,0.039,10.6,2.838379819544946
6.0,1803.3162258913037,1904.1430577398976,2126.1709284627436,278.9889982048727,44.85681020955382,41.71468250562015,0.039,10.6,2.838379819544946
6.5,1307.3081569015503,,,279.91637259798375,,,0.039,10.6,2.838379819544946
7.0,1413.6623899836695,895.5574995475184,955.0031751462625,283.2168607907126,70.4534669575255,49.92137372141939,0.039,10.6,2.838379819544946
7.5,1412.6926859590315,,,274.9655126424868,,,0.039,10.6,2.838379819544946
8.0,1390.3888911682661,1892.3695952176913,2061.169667341495,272.1897595746616,63.20905070997438,61.78098914922084,0.039,10.6,2.838379819544946
8.5,1886.6173129263645,,,287.0433604264408,,,0.039,10.6,2.838379819544946
9.0,1884.8217115805637,,,276.1049113309748,,,0.039,10.6,2.838379819544946
9.5,1957.101290802959,,,278.5943266782425,,,0.039,10.6,2.838379819544946
10.0,2125.366498337098,2034.6422348158108,2519.6299956268567,268.68134591307955,59.173829648768404,47.84612889065112,0.039,10.6,2.838379819544946
10.5,1826.5962990741639,,,271.12503335176035,,,0.039,10.6,2.838379819544946
11.0,1553.5312996644884,2200.575873358128,2496.880575044385,277.8886439720745,57.02203489924206,47.0916481262802,0.039,10.6,2.838379819544946
11.5,1035.1462826478005,,,297.1837916060735,,,0.039,10.6,2.838379819544946
12.0,,1339.2241382911523,714.2128026636491,,50.36892535481061,45.29430109123119,0.039,10.6,2.838379819544946
12.5,,,,,,,0.039,10.6,2.838379819544946
13.0,,,,,,,0.039,10.6,2.838379819544946
13.5,,,,,,,0.039,10.6,2.838379819544946
14.0,,2295.8821286829507,2201.001567007235,,64.59445366137972,56.72555262572374,0.039,10.6,2.838379819544946
14.5,,,,,,,0.039,10.6,2.838379819544946
15.0,,2164.0789056490758,2044.3140796042162,,56.341661542508355,51.9436291381131,0.039,10.6,2.838379819544946
15.5,,,,,,,0.039,10.6,2.838379819544946
16.0,,2059.7782680010937,2193.096657557425,,43.443729963465906,48.11436906796993,0.039,10.6,2.838379819544946
16.5,,,,,,,0.039,10.6,2.838379819544946
17.0,,2185.008574506119,2108.7531234464136,,43.57751561073379,44.48904379104049,0.039,10.6,2.838379819544946
17.5,,,,,,,0.039,10.6,2.838379819544946
18.0,,365.3241371593545,327.8939839292691,,96.85284525274747,75.37317577506856,0.039,10.6,2.838379819544946
18.5,,,,,,,0.039,10.6,2.838379819544946
19.0,,,271.2386438348952,,,136.498841125115,0.039,10.6,2.838379819544946
19.5,,,,,,,0.039,10.6,2.838379819544946
20.0,,,,,,,0.039,10.6,2.838379819544946
20.5,,,,,,,0.039,10.6,2.838379819544946
21.0,,,,,,,0.039,10.6,2.838379819544946
21.5,,,,,,,0.039,10.6,2.838379819544946
22.0,,1454.7790769627632,1341.3745614061077,,83.43912411489686,107.21787297099148,0.039,10.6,2.838379819544946
22.5,,,,,,,0.039,10.6,2.838379819544946
23.0,,1178.6945413058716,1430.2347006667528,,105.23586875291,129.8106932456943,0.039,10.6,2.838379819544946
23.5,,,,,,,0.039,10.6,2.838379819544946
24.0,,,,,,,0.039,10.6,2.838379819544946
24.5,,,,,,,0.039,10.6,2.838379819544946
25.0,,,,,,,0.039,10.6,2.838379819544946
25.5,,,,,,,0.039,10.6,2.838379819544946
26.0,,,,,,,0.039,10.6,2.838379819544946
26.5,,,,,,,0.039,10.6,2.838379819544946
27.0,,1020.0336907819699,307.5905246676508,,101.76336831928451,137.055116760572,0.039,10.6,2.838379819544946
