relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-72.67134983324718,67.114471866045,,76.45467255525799,92.6962879812121,0.0352,12.1,1.6932906818775486
-29.5,,,,,,,0.0352,12.1,1.6932906818775486
-29.0,,,,,,,0.0352,12.1,1.6932906818775486
-28.5,,,,,,,0.0352,12.1,1.6932906818775486
-28.0,,,,,,,0.0352,12.1,1.6932906818775486
-27.5,,,,,,,0.0352,12.1,1.6932906818775486
-27.0,,,,,,,0.0352,12.1,1.6932906818775486
-26.5,,,,,,,0.0352,12.1,1.6932906818775486
-26.0,,,,,,,0.0352,12.1,1.6932906818775486
-25.5,,,,,,,0.0352,12.1,1.6932906818775486
-25.0,,,,,,,0.0352,12.1,1.6932906818775486
-24.5,,,,,,,0.0352,12.1,1.6932906818775486
-24.0,,,,,,,0.0352,12.1,1.6932906818775486
-23.5,,,,,,,0.0352,12.1,1.6932906818775486
-23.0,,33.320846393044334,-26.62476268252976,,34.1084030191266,28.7844862900907,0.0352,12.1,1.6932906818775486
-22.5,,,,,,,0.0352,12.1,1.6932906818775486
-22.0,,-34.23224353109729,-14.470138949324754,,38.8193308506699,30.0893802577171,0.0352,12.1,1.6932906818775486
-21.5,,,,,,,0.0352,12.1,1.6932906818775486
-21.0,,,60.29871321798497,,,55.452241012732394,0.0352,12.1,1.6932906818775486
-20.5,,,,,,,0.0352,12.1,1.6932906818775486
-20.0,,11.257739669380555,-1.7723294931207385,,46.71908005331819,44.1256022142155,0.0352,12.1,1.6932906818775486
-19.5,,,,,,,0.0352,12.1,1.6932906818775486
-19.0,,28.861830630380048,24.9342549534032,,51.1573934983135,36.355351841945975,0.0352,12.1,1.6932906818775486
-18.5,,,,,,,0.0352,12.1,1.6932906818775486
-18.0,,-4.525820160140667,49.62759065688299,,42.1106378841432,34.2522021719637,0.0352,12.1,1.6932906818775486
-17.5,,,,,,,0.0352,12.1,1.6932906818775486
-17.0,,71.85395581188261,-13.83011111602258,,36.3487311686458,29.8357885748836,0.0352,12.1,1.6932906818775486
-16.5,,,,,,,0.0352,12.1,1.6932906818775486
-16.0,,,-77.92173086149985,,,29.1958804131614,0.0352,12.1,1.6932906818775486
-15.5,,,,,,,0.0352,12.1,1.6932906818775486
-15.0,,-21.88592146215444,51.55467159457377,,30.768830059368298,27.830437213391512,0.0352,12.1,1.6932906818775486
-14.5,-122.92500414470241,,,225.50503838422685,,,0.0352,12.1,1.6932906818775486
-14.0,-79.37069375627122,,,224.84118491653152,,,0.0352,12.1,1.6932906818775486
-13.5,-121.84823996394172,,,223.3420733330599,,,0.0352,12.1,1.6932906818775486
-13.0,-37.33714729535249,,,224.69065821613512,,,0.0352,12.1,1.6932906818775486
-12.5,54.322646061409394,,,226.08160177971385,,,0.0352,12.1,1.6932906818775486
-12.0,74.47889516873515,-18.095334244356792,-33.722516127620736,222.82017000708595,45.604076824393736,61.090527862308896,0.0352,12.1,1.6932906818775486
-11.5,-35.52364148955405,,,224.1934550406566,,,0.0352,12.1,1.6932906818775486
-11.0,-37.385988024430915,66.72389455945152,-23.158694174699257,223.23395927114922,45.8680848223988,39.5199330770416,0.0352,12.1,1.6932906818775486
-10.5,1.7738825335062884,,,220.80761939692118,,,0.0352,12.1,1.6932906818775486
-10.0,-67.12604902614936,23.21043614859115,,220.35453483254568,39.36435153073849,,0.0352,12.1,1.6932906818775486
-9.5,-5.558817979611256,,,221.2234314481989,,,0.0352,12.1,1.6932906818775486
-9.0,-36.49086122613013,57.982351866187834,48.67995768020936,220.26215557229062,79.2605124523304,85.42479914344436,0.0352,12.1,1.6932906818775486
-8.5,-11.242987986780882,,,223.08840818382427,,,0.0352,12.1,1.6932906818775486
-8.0,-12.885078392977812,,,222.1912089297456,,,0.0352,12.1,1.6932906818775486
-7.5,39.28884204275338,,,219.25307348791688,,,0.0352,12.1,1.6932906818775486
-7.0,9.684545283288108,-67.40400696054873,15.308760286883633,223.9477670122969,95.58731937664294,113.54058681527493,0.0352,12.1,1.6932906818775486
-6.5,51.45128555176973,,,220.83452139481173,,,0.0352,12.1,1.6932906818775486
-6.0,-29.737506244667813,,98.06339925340663,221.9982987885083,,101.96224495619407,0.0352,12.1,1.6932906818775486
-5.5,71.3769707643595,,,221.83996730248452,,,0.0352,12.1,1.6932906818775486
-5.0,17.29984430417874,,39.85047865180839,225.04725239561677,,143.4138679543911,0.0352,12.1,1.6932906818775486
-4.5,158.83107316923173,,,226.78821451128866,,,0.0352,12.1,1.6932906818775486
-4.0,266.6738253054843,146.5533822381022,,228.73889811485284,70.15851991918555,,0.0352,12.1,1.6932906818775486
