relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,36.20624062366448,-53.26052217828765,,67.4260972031606,69.3569409373611,0.3195,18.0,5.483319148917824
-29.5,,,,,,,0.3195,18.0,5.483319148917824
-29.0,,,,,,,0.3195,18.0,5.483319148917824
-28.5,,,,,,,0.3195,18.0,5.483319148917824
-28.0,,,,,,,0.3195,18.0,5.483319148917824
-27.5,,,,,,,0.3195,18.0,5.483319148917824
-27.0,,,,,,,0.3195,18.0,5.483319148917824
-26.5,,,,,,,0.3195,18.0,5.483319148917824
-26.0,,,,,,,0.3195,18.0,5.483319148917824
-25.5,,,,,,,0.3195,18.0,5.483319148917824
-25.0,,,,,,,0.3195,18.0,5.483319148917824
-24.5,,,,,,,0.3195,18.0,5.483319148917824
-24.0,,,,,,,0.3195,18.0,5.483319148917824
-23.5,,,,,,,0.3195,18.0,5.483319148917824
-23.0,,81.07668822379878,-22.731295769731776,,33.0651215163131,22.9621731894187,0.3195,18.0,5.483319148917824
-22.5,,,,,,,0.3195,18.0,5.483319148917824
-22.0,,,,,,,0.3195,18.0,5.483319148917824
-21.5,,,,,,,0.3195,18.0,5.483319148917824
-21.0,,-49.221098059391295,23.749227660814693,,24.9259537880502,19.6868526505237,0.3195,18.0,5.483319148917824
-20.5,,,,,,,0.3195,18.0,5.483319148917824
-20.0,,,,,,,0.3195,18.0,5.483319148917824
-19.5,,,,,,,0.3195,18.0,5.483319148917824
-19.0,,-10.12467148665156,-16.698907470667613,,30.8925762847364,25.1969575529444,0.3195,18.0,5.483319148917824
-18.5,,,,,,,0.3195,18.0,5.483319148917824
-18.0,,,,,,,0.3195,18.0,5.483319148917824
-17.5,,,,,,,0.3195,18.0,5.483319148917824
-17.0,,-22.306181585444325,-31.331436285566053,,27.4990396957463,24.212699218766,0.3195,18.0,5.483319148917824
-16.5,,,,,,,0.3195,18.0,5.483319148917824
-16.0,,,,,,,0.3195,18.0,5.483319148917824
-15.5,,,,,,,0.3195,18.0,5.483319148917824
-15.0,,,39.96129703348083,,,26.46848725646049,0.3195,18.0,5.483319148917824
-14.5,,,,,,,0.3195,18.0,5.483319148917824
-14.0,,4.692460091894512,-14.855013477295932,,24.4202699606665,27.7389331527409,0.3195,18.0,5.483319148917824
-13.5,,,,,,,0.3195,18.0,5.483319148917824
-13.0,,,,,,,0.3195,18.0,5.483319148917824
-12.5,,,,,,,0.3195,18.0,5.483319148917824
-12.0,,25.15107260621155,-7.0585701363485995,,34.1450753959324,21.779447061662687,0.3195,18.0,5.483319148917824
-11.5,,,,,,,0.3195,18.0,5.483319148917824
-11.0,,-23.72087694109183,-66.03767209927823,,28.1800462132456,24.5696773971212,0.3195,18.0,5.483319148917824
-10.5,,,,,,,0.3195,18.0,5.483319148917824
-10.0,,,14.67761575471972,,,24.30062613706695,0.3195,18.0,5.483319148917824
-9.5,,,,,,,0.3195,18.0,5.483319148917824
-9.0,,,26.484037967532522,,,37.8613200203,0.3195,18.0,5.483319148917824
-8.5,,,,,,,0.3195,18.0,5.483319148917824
-8.0,,43.764053035718945,-21.90052634184457,,50.18117299605225,60.26572124049569,0.3195,18.0,5.483319148917824
-7.5,,,,,,,0.3195,18.0,5.483319148917824
-7.0,,,,,,,0.3195,18.0,5.483319148917824
-6.5,,,,,,,0.3195,18.0,5.483319148917824
-6.0,,92.68856713742933,-46.46504504527454,,81.26195505473032,93.66731910314633,0.3195,18.0,5.483319148917824
-5.5,,,,,,,0.3195,18.0,5.483319148917824
-5.0,,,,,,,0.3195,18.0,5.483319148917824
-4.5,,,,,,,0.3195,18.0,5.483319148917824
-4.0,,,,,,,0.3195,18.0,5.483319148917824
-3.5,,,,,,,0.3195,18.0,5.483319148917824
-3.0,,,,,,,0.3195,18.0,5.483319148917824
-2.5,,,,,,,0.3195,18.0,5.483319148917824
-2.0,,262.5030408779587,419.91628980151006,,66.99898057402045,66.67436156172911,0.3195,18.0,5.483319148917824
-1.5,,,,,,,0.3195,18.0,5.483319148917824
-1.0,,280.38102195997743,,,103.972889728009,,0.3195,18.0,5.483319148917824
-0.5,,,,,,,0.3195,18.0,5.483319148917824
0.0,,417.48630083838407,296.82901135426516,,51.89414273771451,69.14145692907088,0.3195,18.0,5.483319148917824
0.5,,,,,,,0.3195,18.0,5.483319148917824
1.0,,418.4494712279283,392.51370377891334,,43.6379739878313,52.5574731472515,0.3195,18.0,5.483319148917824
1.5,,,,,,,0.3195,18.0,5.483319148917824
2.0,,563.5134708240098,482.08440383652373,,34.49122152420994,33.15723175614347,0.3195,18.0,5.483319148917824
2.5,,,,,,,0.3195,18.0,5.483319148917824
3.0,,578.5357401731835,,,30.1550557361285,,0.3195,18.0,5.483319148917824
3.5,,,,,,,0.3195,18.0,5.483319148917824
4.0,,,,,,,0.3195,18.0,5.483319148917824
4.5,,,,,,,0.3195,18.0,5.483319148917824
5.0,,,,,,,0.3195,18.0,5.483319148917824
5.5,,,,,,,0.3195,18.0,5.483319148917824
6.0,,608.2936349791042,461.6686813211883,,26.7612749555397,20.7485041073767,0.3195,18.0,5.483319148917824
6.5,,,,,,,0.3195,18.0,5.483319148917824
7.0,,610.8129547580961,443.8860844545802,,33.126140729684835,28.329743264360673,0.3195,18.0,5.483319148917824
7.5,,,,,,,0.3195,18.0,5.483319148917824
8.0,,757.4064999231028,205.4985325468306,,36.0844926863682,33.7559725577801,0.3195,18.0,5.483319148917824
8.5,,,,,,,0.3195,18.0,5.483319148917824
9.0,,685.7802495349739,440.872924771008,,53.14618968210694,47.60984000567476,0.3195,18.0,5.483319148917824
9.5,,,,,,,0.3195,18.0,5.483319148917824
10.0,,,,,,,0.3195,18.0,5.483319148917824
10.5,,,,,,,0.3195,18.0,5.483319148917824
11.0,,597.1466053383742,456.75240889006045,,46.22757616830114,32.54174552259056,0.3195,18.0,5.483319148917824
11.5,,,,,,,0.3195,18.0,5.483319148917824
12.0,,776.0926320830313,472.7859944989998,,40.6220554552402,31.3628035056686,0.3195,18.0,5.483319148917824
12.5,,,,,,,0.3195,18.0,5.483319148917824
13.0,,703.83878635673,444.3782329360746,,28.095730391562793,23.946545737520857,0.3195,18.0,5.483319148917824
13.5,,,,,,,0.3195,18.0,5.483319148917824
14.0,,,,,,,0.3195,18.0,5.483319148917824
14.5,,,,,,,0.3195,18.0,5.483319148917824
15.0,,,,,,,0.3195,18.0,5.483319148917824
15.5,,,,,,,0.3195,18.0,5.483319148917824
16.0,,763.5031300687729,568.5156270595854,,36.1577441977913,39.9082169349844,0.3195,18.0,5.483319148917824
16.5,,,,,,,0.3195,18.0,5.483319148917824
17.0,,,,,,,0.3195,18.0,5.483319148917824
17.5,,,,,,,0.3195,18.0,5.483319148917824
18.0,,700.3828674268279,479.6267049240896,,29.5784830857497,28.0326154309242,0.3195,18.0,5.483319148917824
18.5,,,,,,,0.3195,18.0,5.483319148917824
19.0,,,,,,,0.3195,18.0,5.483319148917824
19.5,,,,,,,0.3195,18.0,5.483319148917824
20.0,,,,,,,0.3195,18.0,5.483319148917824
20.5,,,,,,,0.3195,18.0,5.483319148917824
21.0,,,,,,,0.3195,18.0,5.483319148917824
21.5,,,,,,,0.3195,18.0,5.483319148917824
22.0,,,,,,,0.3195,18.0,5.483319148917824
22.5,,,,,,,0.3195,18.0,5.483319148917824
23.0,,,,,,,0.3195,18.0,5.483319148917824
23.5,,,,,,,0.3195,18.0,5.483319148917824
24.0,,,,,,,0.3195,18.0,5.483319148917824
24.5,,,,,,,0.3195,18.0,5.483319148917824
25.0,,,,,,,0.3195,18.0,5.483319148917824
25.5,,,,,,,0.3195,18.0,5.483319148917824
