relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-29.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-29.0,,-8.375090335471429,-13.352935189525523,,40.1814427872622,30.5227632225989,0.0374,-0.7999999999999972,3.0772913775302824
-28.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-28.0,,60.087178279590084,-3.7005005452320936,,29.61336425897318,25.426346453961276,0.0374,-0.7999999999999972,3.0772913775302824
-27.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-27.0,,-14.675472645426186,-8.483547899981879,,28.3841283351982,27.8475220268269,0.0374,-0.7999999999999972,3.0772913775302824
-26.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-26.0,,-13.836987968236514,18.695151378395657,,37.60214046324791,52.1086244113734,0.0374,-0.7999999999999972,3.0772913775302824
-25.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-25.0,,33.41541093216573,-6.726894903787901,,42.25185839503613,30.458925346706437,0.0374,-0.7999999999999972,3.0772913775302824
-24.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-24.0,,-141.64717067975096,26.97520244208047,,35.6712783378217,34.98774027558513,0.0374,-0.7999999999999972,3.0772913775302824
-23.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-23.0,,-12.192546301956632,54.28651657848153,,38.3453131932226,33.0121028417032,0.0374,-0.7999999999999972,3.0772913775302824
-22.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-22.0,,-52.246137401912904,-27.28163070877514,,29.3752934421979,24.8493644132982,0.0374,-0.7999999999999972,3.0772913775302824
-21.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-21.0,,,79.25788483025282,,,29.721409433988022,0.0374,-0.7999999999999972,3.0772913775302824
-20.5,,,,,,,0.0374,-0.7999999999999972,3.0772913775302824
-20.0,,40.24049658003337,-6.263905164705302,,34.71921866918079,29.03969412970317,0.0374,-0.7999999999999972,3.0772913775302824
-19.5,-708.4412740792043,,,323.9744750300516,,,0.0374,-0.7999999999999972,3.0772913775302824
-19.0,-336.0545458493979,,,338.914036542627,,,0.0374,-0.7999999999999972,3.0772913775302824
-18.5,-242.10822418733045,,,331.6128509503079,,,0.0374,-0.7999999999999972,3.0772913775302824
-18.0,-142.87879780504255,34.44715036588581,8.157744611254333,336.4888718173205,40.26183004046,37.435990791703176,0.0374,-0.7999999999999972,3.0772913775302824
-17.5,-281.9313773951275,,,341.16340309792184,,,0.0374,-0.7999999999999972,3.0772913775302824
-17.0,-169.10048981240132,-21.55238662263656,-17.214040733721856,330.0539623139457,43.215409882117164,57.889380424480386,0.0374,-0.7999999999999972,3.0772913775302824
-16.5,-212.35396105462237,,,323.60748626951164,,,0.0374,-0.7999999999999972,3.0772913775302824
-16.0,-98.63511204097723,74.23095291001165,-18.673520983209336,328.2564447280393,44.27081022680873,32.6559267378282,0.0374,-0.7999999999999972,3.0772913775302824
-15.5,-134.41204366273035,,,321.37473297377784,,,0.0374,-0.7999999999999972,3.0772913775302824
-15.0,-210.17636073952158,-9.853451809375041,42.72773216021244,316.8535699858471,42.426609873457934,43.2940383309432,0.0374,-0.7999999999999972,3.0772913775302824
-14.5,-156.07919017357017,,,311.9567554990964,,,0.0374,-0.7999999999999972,3.0772913775302824
-14.0,-226.646689573561,-29.241593994592503,123.55089132817118,303.9534621902407,61.050655495776,80.2993592034179,0.0374,-0.7999999999999972,3.0772913775302824
-13.5,-272.0790338962178,,,303.5304545004333,,,0.0374,-0.7999999999999972,3.0772913775302824
-13.0,-50.694924922846695,,,306.94833194058276,,,0.0374,-0.7999999999999972,3.0772913775302824
