relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.054,13.4,2.9215673114880576
-29.5,,,,,,,0.054,13.4,2.9215673114880576
-29.0,,,,,,,0.054,13.4,2.9215673114880576
-28.5,,,,,,,0.054,13.4,2.9215673114880576
-28.0,,,,,,,0.054,13.4,2.9215673114880576
-27.5,,,,,,,0.054,13.4,2.9215673114880576
-27.0,,,,,,,0.054,13.4,2.9215673114880576
-26.5,,,,,,,0.054,13.4,2.9215673114880576
-26.0,,26.39212717806457,-14.365915432617985,,32.00155588404949,29.803829008663456,0.054,13.4,2.9215673114880576
-25.5,,,,,,,0.054,13.4,2.9215673114880576
-25.0,,15.932114899649918,-22.366228711047217,,25.16109518859068,24.019198041649,0.054,13.4,2.9215673114880576
-24.5,,,,,,,0.054,13.4,2.9215673114880576
-24.0,,-9.307485421331254,-4.089102420947172,,24.8654831039356,23.7411637673934,0.054,13.4,2.9215673114880576
-23.5,,,,,,,0.054,13.4,2.9215673114880576
-23.0,,3.819529920082426,-10.949542279815514,,32.87804206708938,36.714893902031825,0.054,13.4,2.9215673114880576
-22.5,,,,,,,0.054,13.4,2.9215673114880576
-22.0,,-5.739417836953448,-6.50610323601056,,34.49747953942896,26.218682072907228,0.054,13.4,2.9215673114880576
-21.5,,,,,,,0.054,13.4,2.9215673114880576
-21.0,,8.62205206940826,-7.259486131162397,,36.07811262530252,32.529896963844536,0.054,13.4,2.9215673114880576
-20.5,,,,,,,0.054,13.4,2.9215673114880576
-20.0,,-5.538047538182536,-8.298691598172585,,36.88712199503252,27.323127523988695,0.054,13.4,2.9215673114880576
-19.5,,,,,,,0.054,13.4,2.9215673114880576
-19.0,,6.290493615093065,-0.9509844886220673,,24.952702353272503,22.076835686213546,0.054,13.4,2.9215673114880576
-18.5,,,,,,,0.054,13.4,2.9215673114880576
-18.0,,20.932439296040155,-8.74199410224306,,37.05660699079902,22.94113863102896,0.054,13.4,2.9215673114880576
-17.5,,,,,,,0.054,13.4,2.9215673114880576
-17.0,,-5.280713289871501,-9.403229060610316,,28.129517298671804,24.505119899764242,0.054,13.4,2.9215673114880576
-16.5,-101.44565559336104,,,106.92670108294595,,,0.054,13.4,2.9215673114880576
-16.0,-71.51967553909566,,0.5233325153506717,106.8343723189824,,28.474059481542916,0.054,13.4,2.9215673114880576
-15.5,-67.61272930766356,,,107.18582206267277,,,0.054,13.4,2.9215673114880576
-15.0,-47.32384706344812,1.3116184255175902,-34.28772978150576,106.87959002821769,26.126761361112713,35.43090812077315,0.054,13.4,2.9215673114880576
-14.5,-57.09279380958231,,,106.88527767779043,,,0.054,13.4,2.9215673114880576
-14.0,-18.062727091152965,5.0146842604079325,0.03317180791695584,107.17484878927769,41.09083375837879,41.14858249680328,0.054,13.4,2.9215673114880576
-13.5,51.986421596769816,,,107.48261421811706,,,0.054,13.4,2.9215673114880576
-13.0,7.594004865936224,,-12.109322889860046,108.08757765404202,,28.8415856479972,0.054,13.4,2.9215673114880576
-12.5,31.460861575558432,,,107.07579987979877,,,0.054,13.4,2.9215673114880576
-12.0,53.14323688245186,-37.44752431103528,,107.21063409935356,42.42129284279612,,0.054,13.4,2.9215673114880576
-11.5,35.75573012758163,,,107.6311197564461,,,0.054,13.4,2.9215673114880576
