relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-311.0755848264398,-12.62789951700828,,319.2780535391869,85.99054888956091,0.0727,10.6,6.530757145147023
-29.5,,,,,,,0.0727,10.6,6.530757145147023
-29.0,,-47.55700691073213,2.42955873833994,,313.1890663536052,82.63897885222964,0.0727,10.6,6.530757145147023
-28.5,,,,,,,0.0727,10.6,6.530757145147023
-28.0,,-130.9330898640774,35.84326243273735,,296.5292697217404,76.1859593073152,0.0727,10.6,6.530757145147023
-27.5,,,,,,,0.0727,10.6,6.530757145147023
-27.0,,-50.09304834724823,-177.68190770242643,,271.1807809703059,71.9937689382533,0.0727,10.6,6.530757145147023
-26.5,,,,,,,0.0727,10.6,6.530757145147023
-26.0,,,-129.45374010259837,,,73.01150508611778,0.0727,10.6,6.530757145147023
-25.5,,,,,,,0.0727,10.6,6.530757145147023
-25.0,,-53.668519868318576,-44.704336488432745,,405.7298897428029,64.77372024622997,0.0727,10.6,6.530757145147023
-24.5,75.15444778487476,,,122.3070461817204,,,0.0727,10.6,6.530757145147023
-24.0,42.11012671114845,,-22.92503045874455,121.71967240537856,,70.51796788274338,0.0727,10.6,6.530757145147023
-23.5,-12.34256730413114,,,121.75416952926466,,,0.0727,10.6,6.530757145147023
-23.0,-29.57334081916069,28.676894642803326,-14.929232092349894,122.24627124619718,293.6360561461071,78.5748852475705,0.0727,10.6,6.530757145147023
-22.5,-28.64584269069809,,,122.35713586122664,,,0.0727,10.6,6.530757145147023
-22.0,-2.8901747271232594,-130.12925113755938,14.060232294714016,121.337633931091,300.98354162266395,64.9785069439926,0.0727,10.6,6.530757145147023
-21.5,-45.876418716738286,,,121.84536700357368,,,0.0727,10.6,6.530757145147023
-21.0,-35.5528985441819,65.4006453257302,-109.40288611816815,122.4704232221646,324.5612503977309,75.69735957044611,0.0727,10.6,6.530757145147023
-20.5,-35.23956882426006,,,122.08361282064591,,,0.0727,10.6,6.530757145147023
-20.0,-67.93488289640268,68.28783256377181,-143.46703607499106,121.86978138838583,365.5895198110949,91.3577702536949,0.0727,10.6,6.530757145147023
-19.5,-1.365822905619332,,,121.95408604590038,,,0.0727,10.6,6.530757145147023
-19.0,-61.980699378616066,-104.14519902167571,15.876237290438596,121.8405212829321,413.6497762962745,166.66030336619048,0.0727,10.6,6.530757145147023
-18.5,9.963901462721893,,,121.5079176278636,,,0.0727,10.6,6.530757145147023
-18.0,-15.25946063133367,,,121.56677988057253,,,0.0727,10.6,6.530757145147023
-17.5,-37.318057954270365,,,121.6704093257415,,,0.0727,10.6,6.530757145147023
-17.0,-44.78471777142915,79.76713199131835,-702.9415812433997,121.89498109396729,567.5037780325785,271.5753726266742,0.0727,10.6,6.530757145147023
-16.5,-58.911992916657255,,,121.45574026385316,,,0.0727,10.6,6.530757145147023
-16.0,-31.042104237629445,,,120.84877017306819,,,0.0727,10.6,6.530757145147023
-15.5,-41.71762935721855,,,122.09027667363208,,,0.0727,10.6,6.530757145147023
