relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0076,15.5,1.5055858955532524
-29.5,,,,,,,0.0076,15.5,1.5055858955532524
-29.0,,,,,,,0.0076,15.5,1.5055858955532524
-28.5,,,,,,,0.0076,15.5,1.5055858955532524
-28.0,,,,,,,0.0076,15.5,1.5055858955532524
-27.5,,,,,,,0.0076,15.5,1.5055858955532524
-27.0,,,,,,,0.0076,15.5,1.5055858955532524
-26.5,,,,,,,0.0076,15.5,1.5055858955532524
-26.0,,,,,,,0.0076,15.5,1.5055858955532524
-25.5,,,,,,,0.0076,15.5,1.5055858955532524
-25.0,,3.471372919489981,-32.69851041255072,,24.158958265074535,22.23337469125212,0.0076,15.5,1.5055858955532524
-24.5,,,,,,,0.0076,15.5,1.5055858955532524
-24.0,,,,,,,0.0076,15.5,1.5055858955532524
-23.5,,,,,,,0.0076,15.5,1.5055858955532524
-23.0,,,,,,,0.0076,15.5,1.5055858955532524
-22.5,,,,,,,0.0076,15.5,1.5055858955532524
-22.0,,-8.177829938128326,20.45860955315313,,25.187107239366114,25.17931853526814,0.0076,15.5,1.5055858955532524
-21.5,,,,,,,0.0076,15.5,1.5055858955532524
-21.0,,7.377507244556681,-3.5890190894777367,,35.0054601996663,27.8598806284073,0.0076,15.5,1.5055858955532524
-20.5,,,,,,,0.0076,15.5,1.5055858955532524
-20.0,,7.2285932044801555,0.9913829006410801,,31.72589009367486,27.9031915263815,0.0076,15.5,1.5055858955532524
-19.5,,,,,,,0.0076,15.5,1.5055858955532524
-19.0,,-3.32151535294894,15.85296104830566,,22.055357107960376,20.661220095171256,0.0076,15.5,1.5055858955532524
-18.5,,,,,,,0.0076,15.5,1.5055858955532524
-18.0,,0.5839000265870167,-24.424805173644483,,21.8289186971482,17.4614406733993,0.0076,15.5,1.5055858955532524
-17.5,,,,,,,0.0076,15.5,1.5055858955532524
-17.0,,-42.66848158009469,-61.600302268292424,,51.4807787120309,46.2396398080644,0.0076,15.5,1.5055858955532524
-16.5,,,,,,,0.0076,15.5,1.5055858955532524
-16.0,,70.62086960576981,3.1650854114218747,,59.8183579885755,33.06627657156166,0.0076,15.5,1.5055858955532524
-15.5,,,,,,,0.0076,15.5,1.5055858955532524
-15.0,,-2.767527591854911,,,46.912295597107324,,0.0076,15.5,1.5055858955532524
-14.5,,,,,,,0.0076,15.5,1.5055858955532524
-14.0,,,,,,,0.0076,15.5,1.5055858955532524
-13.5,,,,,,,0.0076,15.5,1.5055858955532524
-13.0,,,,,,,0.0076,15.5,1.5055858955532524
-12.5,,,,,,,0.0076,15.5,1.5055858955532524
-12.0,,-24.672806014621468,18.982712997173575,,73.82172437165302,89.6288561724223,0.0076,15.5,1.5055858955532524
-11.5,,,,,,,0.0076,15.5,1.5055858955532524
-11.0,,-15.575576837289606,,,79.83305470861907,,0.0076,15.5,1.5055858955532524
-10.5,,,,,,,0.0076,15.5,1.5055858955532524
-10.0,,14.41862887510304,,,80.2938455752297,,0.0076,15.5,1.5055858955532524
-9.5,,,,,,,0.0076,15.5,1.5055858955532524
-9.0,,39.20545580490291,35.87019017076167,,48.89371194730745,55.2716781822867,0.0076,15.5,1.5055858955532524
-8.5,,,,,,,0.0076,15.5,1.5055858955532524
-8.0,,21.968271922377884,,,37.6461672886101,,0.0076,15.5,1.5055858955532524
-7.5,,,,,,,0.0076,15.5,1.5055858955532524
-7.0,,-27.571660859668633,5.80334884435053,,24.279470645775675,28.99591191594268,0.0076,15.5,1.5055858955532524
-6.5,,,,,,,0.0076,15.5,1.5055858955532524
-6.0,,,,,,,0.0076,15.5,1.5055858955532524
-5.5,,,,,,,0.0076,15.5,1.5055858955532524
-5.0,,,9.76339351180654,,,25.5409603368511,0.0076,15.5,1.5055858955532524
-4.5,,,,,,,0.0076,15.5,1.5055858955532524
-4.0,,92.83171221384518,60.46862504771589,,27.284609663871976,22.7638265279078,0.0076,15.5,1.5055858955532524
-3.5,,,,,,,0.0076,15.5,1.5055858955532524
-3.0,,,,,,,0.0076,15.5,1.5055858955532524
-2.5,,,,,,,0.0076,15.5,1.5055858955532524
