relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-29.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-29.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-28.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-28.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-27.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-27.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-26.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-26.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-25.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-25.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-24.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-24.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-23.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-23.0,,15.022135121836937,-32.832469021337694,,39.1796283399007,31.752710326256643,0.0241,5.700000000000003,2.2412199059143365
-22.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-22.0,,58.128170260881156,51.16806048558716,,41.5204218727962,31.6703231267982,0.0241,5.700000000000003,2.2412199059143365
-21.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-21.0,,24.737590781733584,-41.776753521446416,,25.4481609779467,27.0147895113933,0.0241,5.700000000000003,2.2412199059143365
-20.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-20.0,,,-16.48586058739267,,,28.8503712798081,0.0241,5.700000000000003,2.2412199059143365
-19.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-19.0,,,14.340633141759694,,,60.1595145271451,0.0241,5.700000000000003,2.2412199059143365
-18.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-18.0,,,22.431149517146615,,,27.05533078863453,0.0241,5.700000000000003,2.2412199059143365
-17.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-17.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-16.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-16.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-15.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-15.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-14.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-14.0,,10.946946645350486,,,56.181198439240035,,0.0241,5.700000000000003,2.2412199059143365
-13.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-13.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-12.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-12.0,,5.784788267831459,,,61.95685471780229,,0.0241,5.700000000000003,2.2412199059143365
-11.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-11.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-10.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-10.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-9.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-9.0,,104.92763550482427,96.6272165533707,,30.3600959771728,40.2888965341146,0.0241,5.700000000000003,2.2412199059143365
-8.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-8.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-7.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-7.0,,162.62052388602874,108.74220443228685,,30.95279215113788,30.5644453287535,0.0241,5.700000000000003,2.2412199059143365
-6.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-6.0,,141.109680151772,163.8279902675606,,35.1900691995828,36.2460489919357,0.0241,5.700000000000003,2.2412199059143365
-5.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-5.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-4.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-4.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-3.5,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-3.0,,,,,,,0.0241,5.700000000000003,2.2412199059143365
-2.5,490.42863469813085,,,123.47082460491215,,,0.0241,5.700000000000003,2.2412199059143365
-2.0,496.4527498965713,379.159532329302,287.92350644828196,121.97261319343531,37.875544572033824,34.904815722044766,0.0241,5.700000000000003,2.2412199059143365
-1.5,573.828076277467,,,121.24736052838033,,,0.0241,5.700000000000003,2.2412199059143365
