relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0147,9.6,1.7849338612085572
-29.5,,,,,,,0.0147,9.6,1.7849338612085572
-29.0,,,,,,,0.0147,9.6,1.7849338612085572
-28.5,,,,,,,0.0147,9.6,1.7849338612085572
-28.0,,,,,,,0.0147,9.6,1.7849338612085572
-27.5,,,,,,,0.0147,9.6,1.7849338612085572
-27.0,,,,,,,0.0147,9.6,1.7849338612085572
-26.5,,,,,,,0.0147,9.6,1.7849338612085572
-26.0,,,-23.847746710953277,,,33.1297522622018,0.0147,9.6,1.7849338612085572
-25.5,,,,,,,0.0147,9.6,1.7849338612085572
-25.0,,,-29.078073054881223,,,26.9322036108575,0.0147,9.6,1.7849338612085572
-24.5,,,,,,,0.0147,9.6,1.7849338612085572
-24.0,,-72.01231534087479,27.312484409920874,,26.9093607663942,28.1688529883237,0.0147,9.6,1.7849338612085572
-23.5,,,,,,,0.0147,9.6,1.7849338612085572
-23.0,,,-8.387047661471698,,,29.1561253641496,0.0147,9.6,1.7849338612085572
-22.5,,,,,,,0.0147,9.6,1.7849338612085572
-22.0,,,21.907442790174517,,,49.0840642501306,0.0147,9.6,1.7849338612085572
-21.5,,,,,,,0.0147,9.6,1.7849338612085572
-21.0,,,,,,,0.0147,9.6,1.7849338612085572
-20.5,,,,,,,0.0147,9.6,1.7849338612085572
-20.0,,,,,,,0.0147,9.6,1.7849338612085572
-19.5,,,,,,,0.0147,9.6,1.7849338612085572
-19.0,,,,,,,0.0147,9.6,1.7849338612085572
-18.5,,,,,,,0.0147,9.6,1.7849338612085572
-18.0,,,,,,,0.0147,9.6,1.7849338612085572
-17.5,,,,,,,0.0147,9.6,1.7849338612085572
-17.0,,,,,,,0.0147,9.6,1.7849338612085572
-16.5,,,,,,,0.0147,9.6,1.7849338612085572
-16.0,,,,,,,0.0147,9.6,1.7849338612085572
-15.5,,,,,,,0.0147,9.6,1.7849338612085572
-15.0,,-94.92059632008588,,,56.64919681180164,,0.0147,9.6,1.7849338612085572
-14.5,,,,,,,0.0147,9.6,1.7849338612085572
-14.0,,,,,,,0.0147,9.6,1.7849338612085572
-13.5,,,,,,,0.0147,9.6,1.7849338612085572
-13.0,,,,,,,0.0147,9.6,1.7849338612085572
-12.5,,,,,,,0.0147,9.6,1.7849338612085572
-12.0,,,,,,,0.0147,9.6,1.7849338612085572
-11.5,,,,,,,0.0147,9.6,1.7849338612085572
-11.0,,,,,,,0.0147,9.6,1.7849338612085572
-10.5,,,,,,,0.0147,9.6,1.7849338612085572
-10.0,,-67.09057207555435,-50.07068387526702,,33.4165454603672,46.1371095099522,0.0147,9.6,1.7849338612085572
-9.5,,,,,,,0.0147,9.6,1.7849338612085572
-9.0,,,,,,,0.0147,9.6,1.7849338612085572
-8.5,,,,,,,0.0147,9.6,1.7849338612085572
-8.0,,,,,,,0.0147,9.6,1.7849338612085572
-7.5,,,,,,,0.0147,9.6,1.7849338612085572
-7.0,,,,,,,0.0147,9.6,1.7849338612085572
-6.5,,,,,,,0.0147,9.6,1.7849338612085572
-6.0,-71.80067270366011,,,74.2522347790849,,,0.0147,9.6,1.7849338612085572
-5.5,-39.85335619704441,,,72.9582515371143,,,0.0147,9.6,1.7849338612085572
-5.0,78.56717483335453,,,69.93316568078976,,,0.0147,9.6,1.7849338612085572
-4.5,122.03654750605035,,,69.63878922063212,,,0.0147,9.6,1.7849338612085572
-4.0,59.88142757299469,,,71.30879324975245,,,0.0147,9.6,1.7849338612085572
-3.5,83.84236625533686,,,72.46893896160276,,,0.0147,9.6,1.7849338612085572
-3.0,83.49516766164481,-38.418953374870355,-47.64347799266501,71.6763927672307,28.0596128314686,19.9667209135943,0.0147,9.6,1.7849338612085572
-2.5,97.86997402610301,,,71.57532600143314,,,0.0147,9.6,1.7849338612085572
-2.0,108.63334707648002,,,69.74600724382182,,,0.0147,9.6,1.7849338612085572
-1.5,208.35015907491209,,,70.16921291428991,,,0.0147,9.6,1.7849338612085572
-1.0,274.136763182535,280.2608977154539,220.15692723143076,70.53232562000663,31.5860437008497,30.1056110281909,0.0147,9.6,1.7849338612085572
-0.5,434.92043834351193,,,69.9807362333186,,,0.0147,9.6,1.7849338612085572
0.0,531.6575802781094,559.9854601937881,597.7658745608979,70.45684241451261,27.2625566856292,24.1078399574859,0.0147,9.6,1.7849338612085572
0.5,558.5362341192074,,,71.91131658561825,,,0.0147,9.6,1.7849338612085572
1.0,630.100910098465,627.6650241426247,666.8946313251328,72.43653690597269,30.9779464991316,32.9008479049657,0.0147,9.6,1.7849338612085572
1.5,758.4077752208211,,,72.42825727356836,,,0.0147,9.6,1.7849338612085572
2.0,832.6266266104773,720.5077313889758,856.2346328182439,71.41025366791072,45.4116096150876,34.1361020982878,0.0147,9.6,1.7849338612085572
2.5,884.8323685664476,,,71.44354960681268,,,0.0147,9.6,1.7849338612085572
3.0,912.776703673449,635.2413094516726,935.6531192927159,70.76809791546472,60.0524114375773,35.2997187078636,0.0147,9.6,1.7849338612085572
3.5,908.2057110902861,,,69.80111737501421,,,0.0147,9.6,1.7849338612085572
4.0,939.2989954685088,998.7058641312968,1001.1877015773827,71.09047956366986,37.2397278004082,30.338306430071,0.0147,9.6,1.7849338612085572
4.5,1051.6189041070859,,,72.74880675535523,,,0.0147,9.6,1.7849338612085572
5.0,1099.1285794217667,1212.9136586102866,1219.1525531645004,70.52212520853374,33.6127749570409,28.2672850067103,0.0147,9.6,1.7849338612085572
5.5,1174.6394790556476,,,70.32767442252265,,,0.0147,9.6,1.7849338612085572
6.0,1131.704195088258,,,70.7212751283442,,,0.0147,9.6,1.7849338612085572
6.5,1157.2039895349635,,,72.37213686346459,,,0.0147,9.6,1.7849338612085572
7.0,1144.780859116356,1111.6779048346884,1082.874979377003,72.61164169988768,45.2162321756308,45.2613672727702,0.0147,9.6,1.7849338612085572
7.5,,,,,,,0.0147,9.6,1.7849338612085572
8.0,,,,,,,0.0147,9.6,1.7849338612085572
8.5,,,,,,,0.0147,9.6,1.7849338612085572
9.0,,1400.9014693253741,,,36.4500922134931,,0.0147,9.6,1.7849338612085572
9.5,1095.0941386295249,,,75.74957085825068,,,0.0147,9.6,1.7849338612085572
10.0,1115.433719113387,1376.1419159177813,1355.6750246728814,72.54076638503076,38.973209522696,50.858406561883,0.0147,9.6,1.7849338612085572
10.5,1153.3296521004347,,,70.9757253354729,,,0.0147,9.6,1.7849338612085572
11.0,1156.0445691811815,,1229.7377079643427,70.3973917498995,,59.5754401981975,0.0147,9.6,1.7849338612085572
11.5,1139.0100635526221,,,71.9706583760292,,,0.0147,9.6,1.7849338612085572
12.0,1136.7107271262607,,,72.85839199781937,,,0.0147,9.6,1.7849338612085572
12.5,1113.6006185179199,,,74.9995016911792,,,0.0147,9.6,1.7849338612085572
13.0,1064.9531148273281,,,73.18886645664884,,,0.0147,9.6,1.7849338612085572
13.5,1115.2707544586426,,,74.54938011425317,,,0.0147,9.6,1.7849338612085572
14.0,1121.6772787032598,,,73.57020105463523,,,0.0147,9.6,1.7849338612085572
14.5,1093.3818996180664,,,72.4538272751898,,,0.0147,9.6,1.7849338612085572
15.0,1067.829556224218,,1021.5267212661419,73.00391007174295,,46.4415980088371,0.0147,9.6,1.7849338612085572
15.5,1066.832508501922,,,73.3557294878962,,,0.0147,9.6,1.7849338612085572
16.0,995.4482467195725,1008.2425700140002,970.1459472113718,73.65796469091192,39.7596785195469,37.3269257401092,0.0147,9.6,1.7849338612085572
16.5,1020.508827239584,,,72.5032445338871,,,0.0147,9.6,1.7849338612085572
17.0,1029.9609964630736,1043.472627861742,902.4222284096759,72.69834229158042,33.9723309163904,34.8462779201001,0.0147,9.6,1.7849338612085572
17.5,985.1373068951216,,,71.35241578827137,,,0.0147,9.6,1.7849338612085572
18.0,967.5763396537294,1011.1505618813683,829.7928292322754,72.49668964635924,33.1671734280752,33.2519168162423,0.0147,9.6,1.7849338612085572
18.5,986.0821014669441,,,71.89992662693462,,,0.0147,9.6,1.7849338612085572
19.0,958.6878254944739,967.5627401867397,820.5762588733211,73.67641436348069,32.4201226970321,28.999233202538,0.0147,9.6,1.7849338612085572
19.5,1016.9451292399256,,,73.04995950631074,,,0.0147,9.6,1.7849338612085572
20.0,978.391658933243,,,73.87828001475003,,,0.0147,9.6,1.7849338612085572
20.5,957.1874000801378,,,73.74128577679478,,,0.0147,9.6,1.7849338612085572
21.0,,,,,,,0.0147,9.6,1.7849338612085572
21.5,,,,,,,0.0147,9.6,1.7849338612085572
22.0,,907.7579346455191,646.3789707401712,,25.7773117630028,21.0756233599822,0.0147,9.6,1.7849338612085572
22.5,,,,,,,0.0147,9.6,1.7849338612085572
23.0,,798.9212677939179,548.4825384600098,,31.61217975993,25.0697496770105,0.0147,9.6,1.7849338612085572
23.5,,,,,,,0.0147,9.6,1.7849338612085572
24.0,,428.4821306330912,317.0707973019516,,37.6573761842273,23.8354817744764,0.0147,9.6,1.7849338612085572
24.5,,,,,,,0.0147,9.6,1.7849338612085572
25.0,,,,,,,0.0147,9.6,1.7849338612085572
25.5,,,,,,,0.0147,9.6,1.7849338612085572
26.0,,,,,,,0.0147,9.6,1.7849338612085572
26.5,,,,,,,0.0147,9.6,1.7849338612085572
27.0,,703.5734570458225,430.92517476163533,,28.1921994237087,19.980516037001,0.0147,9.6,1.7849338612085572
27.5,,,,,,,0.0147,9.6,1.7849338612085572
28.0,,593.7490908813412,448.2136934043984,,33.7817118226653,53.2556568075933,0.0147,9.6,1.7849338612085572
28.5,,,,,,,0.0147,9.6,1.7849338612085572
29.0,,,272.45670959623186,,,45.5973652649011,0.0147,9.6,1.7849338612085572
29.5,,,,,,,0.0147,9.6,1.7849338612085572
30.0,,423.6949326065393,234.19383562762906,,37.4285903717252,34.8033399760041,0.0147,9.6,1.7849338612085572
30.5,,,,,,,0.0147,9.6,1.7849338612085572
31.0,,,,,,,0.0147,9.6,1.7849338612085572
31.5,,,,,,,0.0147,9.6,1.7849338612085572
32.0,,538.1203488147528,334.90987844812696,,27.3233133771193,33.7313493219632,0.0147,9.6,1.7849338612085572
32.5,,,,,,,0.0147,9.6,1.7849338612085572
33.0,,,,,,,0.0147,9.6,1.7849338612085572
33.5,,,,,,,0.0147,9.6,1.7849338612085572
34.0,,,,,,,0.0147,9.6,1.7849338612085572
34.5,,,,,,,0.0147,9.6,1.7849338612085572
35.0,,351.99853917527014,216.49368955098606,,37.0857276703711,29.7234618775888,0.0147,9.6,1.7849338612085572
35.5,,,,,,,0.0147,9.6,1.7849338612085572
36.0,,392.56221765312733,219.32911055589156,,26.7701545800156,20.0603920453623,0.0147,9.6,1.7849338612085572
36.5,,,,,,,0.0147,9.6,1.7849338612085572
37.0,,334.9350109200767,221.48007339776865,,26.7488092406587,19.4784270508348,0.0147,9.6,1.7849338612085572
37.5,,,,,,,0.0147,9.6,1.7849338612085572
38.0,,376.8355104152325,129.9902307791632,,23.1138952859301,26.0857211841726,0.0147,9.6,1.7849338612085572
38.5,,,,,,,0.0147,9.6,1.7849338612085572
39.0,,106.01859214150348,,,54.5651971102025,,0.0147,9.6,1.7849338612085572
39.5,,,,,,,0.0147,9.6,1.7849338612085572
40.0,,,,,,,0.0147,9.6,1.7849338612085572
40.5,,,,,,,0.0147,9.6,1.7849338612085572
41.0,,,,,,,0.0147,9.6,1.7849338612085572
41.5,,,,,,,0.0147,9.6,1.7849338612085572
42.0,,,,,,,0.0147,9.6,1.7849338612085572
42.5,,,,,,,0.0147,9.6,1.7849338612085572
43.0,,,,,,,0.0147,9.6,1.7849338612085572
43.5,,,,,,,0.0147,9.6,1.7849338612085572
44.0,,,,,,,0.0147,9.6,1.7849338612085572
44.5,,,,,,,0.0147,9.6,1.7849338612085572
45.0,,,,,,,0.0147,9.6,1.7849338612085572
45.5,,,,,,,0.0147,9.6,1.7849338612085572
46.0,,,,,,,0.0147,9.6,1.7849338612085572
46.5,,,,,,,0.0147,9.6,1.7849338612085572
47.0,,,,,,,0.0147,9.6,1.7849338612085572
47.5,,,,,,,0.0147,9.6,1.7849338612085572
48.0,,,,,,,0.0147,9.6,1.7849338612085572
48.5,,,,,,,0.0147,9.6,1.7849338612085572
49.0,,,,,,,0.0147,9.6,1.7849338612085572
49.5,,,,,,,0.0147,9.6,1.7849338612085572
50.0,,,,,,,0.0147,9.6,1.7849338612085572
50.5,,,,,,,0.0147,9.6,1.7849338612085572
51.0,,,,,,,0.0147,9.6,1.7849338612085572
51.5,,,,,,,0.0147,9.6,1.7849338612085572
52.0,,,,,,,0.0147,9.6,1.7849338612085572
52.5,,,,,,,0.0147,9.6,1.7849338612085572
53.0,,,,,,,0.0147,9.6,1.7849338612085572
53.5,,,,,,,0.0147,9.6,1.7849338612085572
54.0,,,,,,,0.0147,9.6,1.7849338612085572
54.5,,,,,,,0.0147,9.6,1.7849338612085572
55.0,,,,,,,0.0147,9.6,1.7849338612085572
55.5,,,,,,,0.0147,9.6,1.7849338612085572
56.0,,,,,,,0.0147,9.6,1.7849338612085572
56.5,,,,,,,0.0147,9.6,1.7849338612085572
57.0,,,,,,,0.0147,9.6,1.7849338612085572
57.5,,,,,,,0.0147,9.6,1.7849338612085572
58.0,,,,,,,0.0147,9.6,1.7849338612085572
58.5,,,,,,,0.0147,9.6,1.7849338612085572
59.0,,,,,,,0.0147,9.6,1.7849338612085572
59.5,,,,,,,0.0147,9.6,1.7849338612085572
60.0,,204.6919728530656,85.62474224496857,,24.881843388744,20.7649294468492,0.0147,9.6,1.7849338612085572
60.5,,,,,,,0.0147,9.6,1.7849338612085572
61.0,,,,,,,0.0147,9.6,1.7849338612085572
61.5,,,,,,,0.0147,9.6,1.7849338612085572
62.0,,,,,,,0.0147,9.6,1.7849338612085572
62.5,,,,,,,0.0147,9.6,1.7849338612085572
63.0,,-73.79369573879868,86.15937872217417,,44.952065289475,30.1477068584215,0.0147,9.6,1.7849338612085572
63.5,,,,,,,0.0147,9.6,1.7849338612085572
64.0,,72.35603307441174,50.96706610760609,,31.3082298029117,24.2969860486023,0.0147,9.6,1.7849338612085572
64.5,,,,,,,0.0147,9.6,1.7849338612085572
65.0,,65.00903051720005,33.444963140232495,,32.4132109565354,23.0684128871188,0.0147,9.6,1.7849338612085572
65.5,,,,,,,0.0147,9.6,1.7849338612085572
66.0,,,,,,,0.0147,9.6,1.7849338612085572
66.5,,,,,,,0.0147,9.6,1.7849338612085572
67.0,,115.75542427035981,71.12480201196213,,30.6000391534003,43.0681661054823,0.0147,9.6,1.7849338612085572
67.5,,,,,,,0.0147,9.6,1.7849338612085572
68.0,,112.78755403476113,96.76934393941572,,28.1302632352981,31.2373153855082,0.0147,9.6,1.7849338612085572
68.5,,,,,,,0.0147,9.6,1.7849338612085572
