relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-5.762434346973184,,,28.21281771442083,,0.0374,13.5,2.881085829258746
-29.5,,,,,,,0.0374,13.5,2.881085829258746
-29.0,,,-18.428860240166042,,,43.3685096350391,0.0374,13.5,2.881085829258746
-28.5,,-0.9726857719838087,,,50.0586734381413,,0.0374,13.5,2.881085829258746
-28.0,,-7.16566697500237,,,44.369037043421855,,0.0374,13.5,2.881085829258746
-27.5,,,,,,,0.0374,13.5,2.881085829258746
-27.0,,35.007594795659905,,,27.2743415810016,,0.0374,13.5,2.881085829258746
-26.5,,,-2.047099811189507,,,23.1000162173527,0.0374,13.5,2.881085829258746
-26.0,,3.9281455841937207,,,34.45298451905653,,0.0374,13.5,2.881085829258746
-25.5,,,7.210569007398642,,,23.6922905799404,0.0374,13.5,2.881085829258746
-25.0,,,,,,,0.0374,13.5,2.881085829258746
-24.5,,,20.615811412560603,,,57.8647860267688,0.0374,13.5,2.881085829258746
-24.0,,-8.81957004448785,55.69065049736698,,44.156911338208,84.8474778285725,0.0374,13.5,2.881085829258746
-23.5,,,,,,,0.0374,13.5,2.881085829258746
-23.0,,-59.48648807754084,,,68.6744459421458,,0.0374,13.5,2.881085829258746
-22.5,,,,,,,0.0374,13.5,2.881085829258746
-22.0,,,,,,,0.0374,13.5,2.881085829258746
-21.5,,,,,,,0.0374,13.5,2.881085829258746
-21.0,,,,,,,0.0374,13.5,2.881085829258746
-20.5,,,,,,,0.0374,13.5,2.881085829258746
-20.0,,,,,,,0.0374,13.5,2.881085829258746
-19.5,,,,,,,0.0374,13.5,2.881085829258746
-19.0,,118.4439505342428,,,85.4982630251161,,0.0374,13.5,2.881085829258746
-18.5,,,,,,,0.0374,13.5,2.881085829258746
-18.0,,46.66823891839756,-12.559093963479347,,88.8094506442172,51.4499660340815,0.0374,13.5,2.881085829258746
-17.5,,,,,,,0.0374,13.5,2.881085829258746
-17.0,,-15.90143613646771,,,44.36374966056265,,0.0374,13.5,2.881085829258746
-16.5,,,,,,,0.0374,13.5,2.881085829258746
-16.0,,16.41632894973092,-8.238081887124263,,43.927240061343,39.2291263693416,0.0374,13.5,2.881085829258746
-15.5,,,,,,,0.0374,13.5,2.881085829258746
-15.0,,-29.66331824022165,34.475417970415265,,26.1148549216603,27.806358264511,0.0374,13.5,2.881085829258746
-14.5,,,,,,,0.0374,13.5,2.881085829258746
-14.0,,,,,,,0.0374,13.5,2.881085829258746
-13.5,,,,,,,0.0374,13.5,2.881085829258746
-13.0,,,,,,,0.0374,13.5,2.881085829258746
-12.5,,,,,,,0.0374,13.5,2.881085829258746
-12.0,,1.2183235053268826,15.673753479770324,,32.189326685021,26.8485385100859,0.0374,13.5,2.881085829258746
-11.5,,,,,,,0.0374,13.5,2.881085829258746
-11.0,,,,,,,0.0374,13.5,2.881085829258746
-10.5,,,,,,,0.0374,13.5,2.881085829258746
-10.0,,,,,,,0.0374,13.5,2.881085829258746
-9.5,,,,,,,0.0374,13.5,2.881085829258746
-9.0,,,,,,,0.0374,13.5,2.881085829258746
-8.5,,,,,,,0.0374,13.5,2.881085829258746
-8.0,,11.182535702752206,,,29.41135151673581,,0.0374,13.5,2.881085829258746
-7.5,,,,,,,0.0374,13.5,2.881085829258746
-7.0,,,,,,,0.0374,13.5,2.881085829258746
-6.5,,,,,,,0.0374,13.5,2.881085829258746
-6.0,,31.127165103082156,,,27.0462731040218,,0.0374,13.5,2.881085829258746
-5.5,,,,,,,0.0374,13.5,2.881085829258746
-5.0,,84.27984754815543,,,29.7827377503106,,0.0374,13.5,2.881085829258746
-4.5,,,,,,,0.0374,13.5,2.881085829258746
-4.0,,171.28119957937065,,,30.2217938405556,,0.0374,13.5,2.881085829258746
-3.5,,,,,,,0.0374,13.5,2.881085829258746
-3.0,,233.46997105914502,265.26501752564593,,25.6728284705812,23.9187497507418,0.0374,13.5,2.881085829258746
-2.5,,,,,,,0.0374,13.5,2.881085829258746
-2.0,,296.61684420869994,327.3998126607059,,30.2805848503733,28.2210403951366,0.0374,13.5,2.881085829258746
-1.5,,,,,,,0.0374,13.5,2.881085829258746
-1.0,,361.101955241166,443.1883523673834,,48.46444319807998,41.2332226686527,0.0374,13.5,2.881085829258746
-0.5,,,,,,,0.0374,13.5,2.881085829258746
0.0,,428.7717419280888,556.7811216736491,,44.23820414768603,38.56770335735749,0.0374,13.5,2.881085829258746
0.5,,,,,,,0.0374,13.5,2.881085829258746
1.0,,579.8335617698596,741.5824799394056,,34.63732093970654,34.1147183344279,0.0374,13.5,2.881085829258746
1.5,,,,,,,0.0374,13.5,2.881085829258746
2.0,,693.4442891460101,840.3131456802006,,35.81278619430537,42.163808887148434,0.0374,13.5,2.881085829258746
2.5,,,,,,,0.0374,13.5,2.881085829258746
3.0,,656.3358718880913,,,63.33522086284721,,0.0374,13.5,2.881085829258746
3.5,,,,,,,0.0374,13.5,2.881085829258746
4.0,,520.1032902533718,,,81.5233144245864,,0.0374,13.5,2.881085829258746
4.5,,,,,,,0.0374,13.5,2.881085829258746
5.0,,995.8024364316523,,,81.28269891390548,,0.0374,13.5,2.881085829258746
5.5,,,,,,,0.0374,13.5,2.881085829258746
6.0,,,,,,,0.0374,13.5,2.881085829258746
6.5,,,,,,,0.0374,13.5,2.881085829258746
7.0,,,,,,,0.0374,13.5,2.881085829258746
7.5,,,,,,,0.0374,13.5,2.881085829258746
8.0,,,,,,,0.0374,13.5,2.881085829258746
8.5,,,,,,,0.0374,13.5,2.881085829258746
9.0,,,,,,,0.0374,13.5,2.881085829258746
9.5,,,,,,,0.0374,13.5,2.881085829258746
10.0,,,,,,,0.0374,13.5,2.881085829258746
10.5,,,,,,,0.0374,13.5,2.881085829258746
11.0,,1205.77019126104,1401.8746704085404,,66.6603229268203,69.1893176845363,0.0374,13.5,2.881085829258746
11.5,,,,,,,0.0374,13.5,2.881085829258746
12.0,,1218.7431061169016,1527.4962956478291,,36.4189131340134,42.00035453154413,0.0374,13.5,2.881085829258746
12.5,,,,,,,0.0374,13.5,2.881085829258746
13.0,,1241.8144647640656,,,43.5358353099156,,0.0374,13.5,2.881085829258746
13.5,,,,,,,0.0374,13.5,2.881085829258746
14.0,,1304.9694819878423,1421.1960942617989,,29.8852252974519,29.5757918253144,0.0374,13.5,2.881085829258746
14.5,,,,,,,0.0374,13.5,2.881085829258746
15.0,,1193.4310554572385,1382.0290725058003,,34.418969732404996,29.1228470356706,0.0374,13.5,2.881085829258746
15.5,,,,,,,0.0374,13.5,2.881085829258746
16.0,,1203.9087373536508,1296.1868667912863,,31.3263531719336,31.464067596327265,0.0374,13.5,2.881085829258746
16.5,,,,,,,0.0374,13.5,2.881085829258746
17.0,,1220.6926256144695,1304.484484146238,,32.5334920739419,30.7376030700353,0.0374,13.5,2.881085829258746
17.5,,,,,,,0.0374,13.5,2.881085829258746
18.0,,,,,,,0.0374,13.5,2.881085829258746
18.5,,,,,,,0.0374,13.5,2.881085829258746
19.0,,1154.1480537860498,1124.9636903657183,,29.538814934416457,25.8658123618974,0.0374,13.5,2.881085829258746
19.5,,,,,,,0.0374,13.5,2.881085829258746
20.0,,1064.5911524725575,1072.7059537288333,,29.85902148391533,28.978638769243,0.0374,13.5,2.881085829258746
20.5,,,,,,,0.0374,13.5,2.881085829258746
21.0,,790.9042362314694,924.0586400287895,,36.61638676682821,31.232372249344543,0.0374,13.5,2.881085829258746
21.5,,,,,,,0.0374,13.5,2.881085829258746
22.0,,,,,,,0.0374,13.5,2.881085829258746
22.5,,,,,,,0.0374,13.5,2.881085829258746
