relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,14.392275674139611,,,62.8535151451676,0.0175,14.0,4.6620584390255
-29.5,,,,,,,0.0175,14.0,4.6620584390255
-29.0,,,-1.3312290310211639,,,32.315687588917925,0.0175,14.0,4.6620584390255
-28.5,,,,,,,0.0175,14.0,4.6620584390255
-28.0,,,,,,,0.0175,14.0,4.6620584390255
-27.5,,,,,,,0.0175,14.0,4.6620584390255
-27.0,,,,,,,0.0175,14.0,4.6620584390255
-26.5,,,,,,,0.0175,14.0,4.6620584390255
-26.0,,,,,,,0.0175,14.0,4.6620584390255
-25.5,,,,,,,0.0175,14.0,4.6620584390255
-25.0,,-37.23677092287717,,,61.56365494874534,,0.0175,14.0,4.6620584390255
-24.5,,,,,,,0.0175,14.0,4.6620584390255
-24.0,,,,,,,0.0175,14.0,4.6620584390255
-23.5,,,,,,,0.0175,14.0,4.6620584390255
-23.0,,17.27583479978313,,,68.5124589190281,,0.0175,14.0,4.6620584390255
-22.5,,,,,,,0.0175,14.0,4.6620584390255
-22.0,,,,,,,0.0175,14.0,4.6620584390255
-21.5,,,,,,,0.0175,14.0,4.6620584390255
-21.0,,,,,,,0.0175,14.0,4.6620584390255
-20.5,,,,,,,0.0175,14.0,4.6620584390255
-20.0,,-50.26147270293511,-19.342098177503566,,30.8465887498635,43.8527265615966,0.0175,14.0,4.6620584390255
-19.5,,,,,,,0.0175,14.0,4.6620584390255
-19.0,,,,,,,0.0175,14.0,4.6620584390255
-18.5,,,,,,,0.0175,14.0,4.6620584390255
-18.0,,-21.25524177037995,-61.750138126289194,,32.799701393912,30.2260440746582,0.0175,14.0,4.6620584390255
-17.5,,,,,,,0.0175,14.0,4.6620584390255
-17.0,,10.710741616073637,-68.62938787214907,,43.0259337968023,36.1845339827496,0.0175,14.0,4.6620584390255
-16.5,,,,,,,0.0175,14.0,4.6620584390255
-16.0,,,,,,,0.0175,14.0,4.6620584390255
-15.5,,,,,,,0.0175,14.0,4.6620584390255
-15.0,,,,,,,0.0175,14.0,4.6620584390255
-14.5,,,,,,,0.0175,14.0,4.6620584390255
-14.0,,,,,,,0.0175,14.0,4.6620584390255
-13.5,218.93731312801685,,,133.03353211051092,,,0.0175,14.0,4.6620584390255
-13.0,39.762653073524135,-18.772292787905023,31.487267351608317,130.46893248393178,41.840163876205295,38.07042414019965,0.0175,14.0,4.6620584390255
-12.5,-1.5321034349945464,,,130.4927704930896,,,0.0175,14.0,4.6620584390255
-12.0,28.419678863340607,-17.208336466088877,21.739984594069693,129.9498067251339,24.9875383158316,29.078203993302,0.0175,14.0,4.6620584390255
-11.5,42.26791447390714,,,128.54386763490822,,,0.0175,14.0,4.6620584390255
-11.0,6.229440219688305,-67.10821116916016,-34.36831825729748,128.9835435718415,26.8226816803991,22.3772318394473,0.0175,14.0,4.6620584390255
-10.5,63.65050573813755,,,129.27942273646264,,,0.0175,14.0,4.6620584390255
-10.0,71.57728946711046,,,129.10358041414239,,,0.0175,14.0,4.6620584390255
-9.5,44.897057764755345,,,128.76519746363763,,,0.0175,14.0,4.6620584390255
-9.0,-50.99028861195579,-35.727475777046955,-14.96905071661857,129.14944132038002,35.965537983469,25.7577789263673,0.0175,14.0,4.6620584390255
-8.5,14.041562721329296,,,128.88423077011126,,,0.0175,14.0,4.6620584390255
-8.0,71.20101017619203,-40.06015698236302,-2.2121540698690203,130.46909944332663,21.9242080346743,27.3646210286637,0.0175,14.0,4.6620584390255
-7.5,29.812028712863103,,,129.55107870148726,,,0.0175,14.0,4.6620584390255
-7.0,-66.33513190157265,-18.776928396533048,7.695089873773546,127.73236049977915,30.7176553163157,30.6016270975785,0.0175,14.0,4.6620584390255
-6.5,-33.13942870516878,,,128.81434332051134,,,0.0175,14.0,4.6620584390255
-6.0,-45.65488461794229,-62.723427323137834,26.525907929901475,127.70969687385238,58.2918928823798,34.186715484913,0.0175,14.0,4.6620584390255
-5.5,-18.271630439573954,,,128.07524668546645,,,0.0175,14.0,4.6620584390255
-5.0,-26.458799323264174,,-31.612696459667287,127.48770732910242,,32.9905012251662,0.0175,14.0,4.6620584390255
-4.5,74.08852227668251,,,128.29614471588602,,,0.0175,14.0,4.6620584390255
-4.0,9.899455407832821,65.82178851784991,46.09896289321416,127.6928662982565,35.8482445996141,29.4263481401532,0.0175,14.0,4.6620584390255
-3.5,-27.119953775144324,,,127.78638974745506,,,0.0175,14.0,4.6620584390255
-3.0,-35.58546842613609,102.08411868016405,107.47764570388124,127.05522773395779,27.2111185137331,21.8575724030722,0.0175,14.0,4.6620584390255
-2.5,133.86553983516632,,,127.46809394990511,,,0.0175,14.0,4.6620584390255
-2.0,152.0181984957703,,,127.363917528044,,,0.0175,14.0,4.6620584390255
-1.5,260.54205994809485,,,126.87642374088368,,,0.0175,14.0,4.6620584390255
-1.0,330.71228344855695,210.72299508782635,120.54151410606868,126.75664038246671,45.084561689772,46.6824668456244,0.0175,14.0,4.6620584390255
-0.5,,,,,,,0.0175,14.0,4.6620584390255
0.0,,243.00047532996354,378.05306112316265,,39.1239154402271,61.1411969526387,0.0175,14.0,4.6620584390255
0.5,,,,,,,0.0175,14.0,4.6620584390255
1.0,,332.85071189329256,392.6299332864315,,36.9870616940724,78.6681023529859,0.0175,14.0,4.6620584390255
1.5,,,,,,,0.0175,14.0,4.6620584390255
2.0,675.3834166885237,520.6051125322203,583.8905573097225,133.67492028160825,33.5824447210405,54.1227470444342,0.0175,14.0,4.6620584390255
2.5,627.1685867609369,,,131.9259907278726,,,0.0175,14.0,4.6620584390255
3.0,633.8195010306565,489.6535871928241,508.2434186925486,129.56837861226242,44.6584474988536,69.6451107600088,0.0175,14.0,4.6620584390255
3.5,542.0940968640775,,,129.0940415299537,,,0.0175,14.0,4.6620584390255
4.0,716.4425359892327,,,129.6251406251797,,,0.0175,14.0,4.6620584390255
4.5,613.0488233359108,,,127.08075569190541,,,0.0175,14.0,4.6620584390255
5.0,697.1466121374684,,,126.92510878465286,,,0.0175,14.0,4.6620584390255
5.5,604.0476213011405,,,128.57702576129026,,,0.0175,14.0,4.6620584390255
6.0,692.8828398459301,,,128.2344875096575,,,0.0175,14.0,4.6620584390255
6.5,663.8955835652749,,,127.9159390721168,,,0.0175,14.0,4.6620584390255
7.0,779.8164193736303,,954.3458602143759,127.03241551875966,,57.3049679402898,0.0175,14.0,4.6620584390255
7.5,931.420036705874,,,127.50468896849004,,,0.0175,14.0,4.6620584390255
8.0,908.5968296681142,905.3339264271305,856.1662685651145,127.40329108926055,40.2353209327177,62.7137742428315,0.0175,14.0,4.6620584390255
8.5,922.0441913479757,,,126.78024401214768,,,0.0175,14.0,4.6620584390255
9.0,837.5323810722506,1034.9845289215573,1106.8682377309437,125.72697144862697,35.1590284181665,39.9242791478199,0.0175,14.0,4.6620584390255
9.5,831.3332713108182,,,128.26416344471022,,,0.0175,14.0,4.6620584390255
10.0,943.8054863093051,961.9361323488541,1166.5843957177326,127.90263089584938,33.6944644004343,34.6467885570447,0.0175,14.0,4.6620584390255
10.5,933.3441530893201,,,127.25979405790356,,,0.0175,14.0,4.6620584390255
11.0,982.1308452755542,995.152540766231,1110.8853423552823,126.87018486528933,35.8763865053298,32.5858287571835,0.0175,14.0,4.6620584390255
11.5,912.0439933863779,,,127.26604973805185,,,0.0175,14.0,4.6620584390255
12.0,920.5427454067119,,,126.7640085832556,,,0.0175,14.0,4.6620584390255
12.5,870.3508768217891,,,128.0318945640403,,,0.0175,14.0,4.6620584390255
13.0,905.015069188416,,,129.82358751374508,,,0.0175,14.0,4.6620584390255
13.5,,,,,,,0.0175,14.0,4.6620584390255
14.0,,1060.3215979963402,1130.5154904125022,,26.2279017954679,25.2057656288492,0.0175,14.0,4.6620584390255
14.5,,,,,,,0.0175,14.0,4.6620584390255
15.0,,1040.6170852142786,1047.648491112957,,33.7329332361734,26.901911678324,0.0175,14.0,4.6620584390255
15.5,,,,,,,0.0175,14.0,4.6620584390255
16.0,,40.66517873773093,357.4690494866786,,50.2339027158269,27.6194523601352,0.0175,14.0,4.6620584390255
16.5,,,,,,,0.0175,14.0,4.6620584390255
17.0,,,,,,,0.0175,14.0,4.6620584390255
17.5,,,,,,,0.0175,14.0,4.6620584390255
18.0,,,,,,,0.0175,14.0,4.6620584390255
18.5,,,,,,,0.0175,14.0,4.6620584390255
19.0,,1068.0368730450846,944.7894730569345,,27.5240441351666,26.2032083311933,0.0175,14.0,4.6620584390255
19.5,,,,,,,0.0175,14.0,4.6620584390255
20.0,,1017.5690931025366,1076.7111933462197,,37.4057792931972,68.7770246801288,0.0175,14.0,4.6620584390255
20.5,,,,,,,0.0175,14.0,4.6620584390255
21.0,,,843.3889233330686,,,45.7710966618136,0.0175,14.0,4.6620584390255
21.5,,,,,,,0.0175,14.0,4.6620584390255
22.0,,911.0834579666137,590.2470670727555,,36.5162104592044,40.858173728599,0.0175,14.0,4.6620584390255
22.5,,,,,,,0.0175,14.0,4.6620584390255
23.0,,,,,,,0.0175,14.0,4.6620584390255
23.5,,,,,,,0.0175,14.0,4.6620584390255
24.0,,876.2567916253005,760.4711083313324,,29.7572976435609,24.9100605051256,0.0175,14.0,4.6620584390255
24.5,,,,,,,0.0175,14.0,4.6620584390255
25.0,,,,,,,0.0175,14.0,4.6620584390255
25.5,,,,,,,0.0175,14.0,4.6620584390255
26.0,,,,,,,0.0175,14.0,4.6620584390255
26.5,,,,,,,0.0175,14.0,4.6620584390255
27.0,,722.7773521049978,591.2012836425313,,41.907421285471,36.6637904818514,0.0175,14.0,4.6620584390255
27.5,,,,,,,0.0175,14.0,4.6620584390255
28.0,,706.2320684595327,572.1664659624515,,27.9579000674235,23.0807753053969,0.0175,14.0,4.6620584390255
28.5,,,,,,,0.0175,14.0,4.6620584390255
29.0,,576.7756730181807,435.1156889594826,,32.2232160798116,21.6211705266814,0.0175,14.0,4.6620584390255
29.5,,,,,,,0.0175,14.0,4.6620584390255
30.0,,739.7914153408526,571.2731781937302,,23.703133509175,40.6093850295099,0.0175,14.0,4.6620584390255
30.5,,,,,,,0.0175,14.0,4.6620584390255
31.0,,49.9344519200287,385.69657820814444,,60.6611884959197,72.5377079529945,0.0175,14.0,4.6620584390255
31.5,,,,,,,0.0175,14.0,4.6620584390255
32.0,,,,,,,0.0175,14.0,4.6620584390255
32.5,,,,,,,0.0175,14.0,4.6620584390255
33.0,,,,,,,0.0175,14.0,4.6620584390255
33.5,,,,,,,0.0175,14.0,4.6620584390255
34.0,,,,,,,0.0175,14.0,4.6620584390255
34.5,,,,,,,0.0175,14.0,4.6620584390255
35.0,,,,,,,0.0175,14.0,4.6620584390255
35.5,,,,,,,0.0175,14.0,4.6620584390255
36.0,,,,,,,0.0175,14.0,4.6620584390255
36.5,,,,,,,0.0175,14.0,4.6620584390255
37.0,,,,,,,0.0175,14.0,4.6620584390255
37.5,,,,,,,0.0175,14.0,4.6620584390255
38.0,,,,,,,0.0175,14.0,4.6620584390255
38.5,,,,,,,0.0175,14.0,4.6620584390255
39.0,,,,,,,0.0175,14.0,4.6620584390255
39.5,,,,,,,0.0175,14.0,4.6620584390255
40.0,,,,,,,0.0175,14.0,4.6620584390255
40.5,,,,,,,0.0175,14.0,4.6620584390255
41.0,,,,,,,0.0175,14.0,4.6620584390255
41.5,,,,,,,0.0175,14.0,4.6620584390255
42.0,,,,,,,0.0175,14.0,4.6620584390255
42.5,,,,,,,0.0175,14.0,4.6620584390255
43.0,,,,,,,0.0175,14.0,4.6620584390255
43.5,,,,,,,0.0175,14.0,4.6620584390255
