relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-2.6471506452355857,4.535234401764301,,63.16130883169558,56.80977441817245,0.0154,4.0,2.333835660214508
-29.5,,,,,,,0.0154,4.0,2.333835660214508
-29.0,,-9.582827393873856,-23.803249709239505,,32.19535692990206,39.69431771936233,0.0154,4.0,2.333835660214508
-28.5,,,,,,,0.0154,4.0,2.333835660214508
-28.0,,43.40784831242599,5.383950202731171,,32.49102036598189,35.4948474960524,0.0154,4.0,2.333835660214508
-27.5,,,,,,,0.0154,4.0,2.333835660214508
-27.0,,,,,,,0.0154,4.0,2.333835660214508
-26.5,,,,,,,0.0154,4.0,2.333835660214508
-26.0,,36.45077074445719,3.9238866432426014,,27.6111637171302,32.277342935226955,0.0154,4.0,2.333835660214508
-25.5,,,,,,,0.0154,4.0,2.333835660214508
-25.0,,-19.996355595870693,-29.171120965601265,,29.71002707233367,26.23627892661369,0.0154,4.0,2.333835660214508
-24.5,,,,,,,0.0154,4.0,2.333835660214508
-24.0,,,,,,,0.0154,4.0,2.333835660214508
-23.5,,,,,,,0.0154,4.0,2.333835660214508
-23.0,,,,,,,0.0154,4.0,2.333835660214508
-22.5,,,,,,,0.0154,4.0,2.333835660214508
-22.0,,,,,,,0.0154,4.0,2.333835660214508
-21.5,64.54502442674817,,,138.59950166715623,,,0.0154,4.0,2.333835660214508
-21.0,35.67072388482478,-19.454569518641716,-43.90078352299457,136.4528720478153,34.074201480822026,27.923648786562808,0.0154,4.0,2.333835660214508
-20.5,52.44562685235751,,,136.13695583999052,,,0.0154,4.0,2.333835660214508
-20.0,-91.0903920801099,,-11.010112970882522,135.79575026486978,,18.76094928038308,0.0154,4.0,2.333835660214508
-19.5,-36.124802192826266,,,136.2036867585353,,,0.0154,4.0,2.333835660214508
-19.0,-4.827981165862623,53.615682774629704,-24.118249084874066,135.915722956525,26.672549947627243,19.466120609930304,0.0154,4.0,2.333835660214508
-18.5,-99.19118474428606,,,135.66353677634612,,,0.0154,4.0,2.333835660214508
-18.0,-27.359328097714222,65.53460918650916,13.094281361551843,135.66749643458436,26.843149964121906,24.1981651221306,0.0154,4.0,2.333835660214508
-17.5,-99.53654618963833,,,135.69212124761737,,,0.0154,4.0,2.333835660214508
-17.0,-184.5857733278121,11.660538882930457,,135.6966939904391,27.739384064666872,,0.0154,4.0,2.333835660214508
-16.5,-35.03917753397494,,,135.17933607054906,,,0.0154,4.0,2.333835660214508
-16.0,-19.0840980268309,50.242631998854336,-40.15326424838358,134.87286292143781,28.93238042304385,21.00414087547488,0.0154,4.0,2.333835660214508
-15.5,-46.2454975026584,,,135.54954522969152,,,0.0154,4.0,2.333835660214508
-15.0,-32.29870596504401,24.860407781280927,-45.66357565707722,134.68443279251883,33.897977457176474,28.011950923954927,0.0154,4.0,2.333835660214508
-14.5,-97.22159695696034,,,135.03544285062887,,,0.0154,4.0,2.333835660214508
-14.0,-115.91453592489033,-33.23056439296661,-38.49074569759745,135.52377654201956,40.010975229004735,30.17549990546843,0.0154,4.0,2.333835660214508
-13.5,-37.43494916828506,,,135.53909174681212,,,0.0154,4.0,2.333835660214508
-13.0,-14.491020737429107,-13.204752560032764,-13.205257512389792,134.79814994116043,51.64657281661501,34.02032728603481,0.0154,4.0,2.333835660214508
-12.5,-13.509615156626825,,,134.77527466831944,,,0.0154,4.0,2.333835660214508
-12.0,11.98410012636759,114.39899383050818,69.89672057925337,134.46651485288888,37.1901243914793,23.128154001029138,0.0154,4.0,2.333835660214508
-11.5,39.94258847402875,,,134.8887182651829,,,0.0154,4.0,2.333835660214508
-11.0,177.43461195560155,122.21715083142578,117.93481175151405,134.73117646967265,30.175863323712996,21.26181512831597,0.0154,4.0,2.333835660214508
-10.5,71.94068324083112,,,134.99917500016997,,,0.0154,4.0,2.333835660214508
-10.0,179.6195284638928,,,135.691859393988,,,0.0154,4.0,2.333835660214508
-9.5,95.66596053910138,,,135.4996674170588,,,0.0154,4.0,2.333835660214508
-9.0,165.49747818087673,213.5473058138202,148.70217266759292,136.1141006503424,39.71218582020104,34.34543440147636,0.0154,4.0,2.333835660214508
-8.5,,,,,,,0.0154,4.0,2.333835660214508
-8.0,,146.82771344254118,185.3293219366411,,53.73753274620398,53.38797499797085,0.0154,4.0,2.333835660214508
-7.5,,,,,,,0.0154,4.0,2.333835660214508
-7.0,,197.9365648717976,169.2314154168382,,40.842618171026864,69.78559450088572,0.0154,4.0,2.333835660214508
-6.5,,,,,,,0.0154,4.0,2.333835660214508
-6.0,,210.23640374330782,195.334071982203,,52.19423539607557,54.46947295468402,0.0154,4.0,2.333835660214508
-5.5,456.003380851605,,,138.85393632640393,,,0.0154,4.0,2.333835660214508
-5.0,276.4479850695693,288.5185878347323,276.2625806890071,138.54692169178244,52.896209397146606,80.86988072742169,0.0154,4.0,2.333835660214508
-4.5,327.05725961153473,,,137.46457289559163,,,0.0154,4.0,2.333835660214508
-4.0,385.5432876990727,297.4006221494953,171.20970565404198,136.37102318906318,82.68498555395662,97.1026504734201,0.0154,4.0,2.333835660214508
-3.5,377.66511183561386,,,137.49105693997652,,,0.0154,4.0,2.333835660214508
-3.0,399.2787953512328,,,136.6590871167037,,,0.0154,4.0,2.333835660214508
-2.5,443.39343548122736,,,136.38933432298717,,,0.0154,4.0,2.333835660214508
-2.0,516.9361707514499,405.36062335944337,270.5331398253946,135.81146936816208,83.76146960207244,97.20317889629096,0.0154,4.0,2.333835660214508
-1.5,356.08522520292695,,,135.77514129622674,,,0.0154,4.0,2.333835660214508
-1.0,361.23677889429166,514.5126285867241,281.9719996645292,135.10117938178823,39.9261988200477,56.28378302614449,0.0154,4.0,2.333835660214508
-0.5,549.9700351951285,,,135.8931123692355,,,0.0154,4.0,2.333835660214508
0.0,470.93110773879584,434.605396803062,344.5615496639063,135.4444565321928,51.83268130408877,45.33888869479112,0.0154,4.0,2.333835660214508
0.5,529.195691054416,,,135.89366974427875,,,0.0154,4.0,2.333835660214508
1.0,460.4292346724245,480.28553794296715,352.3368938653131,135.62906046941663,33.537380378371004,34.07437624600368,0.0154,4.0,2.333835660214508
1.5,555.4359034281821,,,135.53664169201298,,,0.0154,4.0,2.333835660214508
2.0,501.49167404180616,532.6309732270505,391.85020367733114,134.5266871970896,33.463755893503325,28.88643243596696,0.0154,4.0,2.333835660214508
2.5,551.789563419363,,,134.54595010948165,,,0.0154,4.0,2.333835660214508
3.0,531.4237587214363,551.1256276853718,354.8744375979845,133.97037321553375,32.0561915983094,25.607436523021278,0.0154,4.0,2.333835660214508
3.5,534.6641246419822,,,135.02977904919587,,,0.0154,4.0,2.333835660214508
4.0,606.7102637190956,,,134.02004979505134,,,0.0154,4.0,2.333835660214508
4.5,526.4924148569764,,,133.31294461334437,,,0.0154,4.0,2.333835660214508
5.0,461.56727880282335,,,132.52063820719152,,,0.0154,4.0,2.333835660214508
5.5,,,,,,,0.0154,4.0,2.333835660214508
6.0,,547.2550066533854,305.21992957200126,,23.468374727059164,18.122655041293363,0.0154,4.0,2.333835660214508
6.5,,,,,,,0.0154,4.0,2.333835660214508
7.0,,524.8157456828567,326.9348115548124,,26.76817781791356,22.448929133930935,0.0154,4.0,2.333835660214508
7.5,,,,,,,0.0154,4.0,2.333835660214508
8.0,,305.66254111514775,235.47215212010025,,36.94210486653732,23.634341789200203,0.0154,4.0,2.333835660214508
8.5,,,,,,,0.0154,4.0,2.333835660214508
9.0,,526.5746786606055,,,24.444798886891,,0.0154,4.0,2.333835660214508
9.5,,,,,,,0.0154,4.0,2.333835660214508
10.0,,,,,,,0.0154,4.0,2.333835660214508
10.5,,,,,,,0.0154,4.0,2.333835660214508
11.0,,457.1832677202618,218.86662076150026,,22.599465318009,20.4666912045199,0.0154,4.0,2.333835660214508
11.5,,,,,,,0.0154,4.0,2.333835660214508
12.0,,451.51088886228285,269.8754019704279,,27.47882799377667,23.12673568384058,0.0154,4.0,2.333835660214508
