relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,18.863951900148386,22.206005990048208,,62.29201986887102,33.95628946828861,0.009,17.0,1.3486248139823354
-29.5,,,,,,,0.009,17.0,1.3486248139823354
-29.0,,-19.200572559935058,,,46.9434545424255,,0.009,17.0,1.3486248139823354
-28.5,,,,,,,0.009,17.0,1.3486248139823354
-28.0,,,,,,,0.009,17.0,1.3486248139823354
-27.5,,,,,,,0.009,17.0,1.3486248139823354
-27.0,,,,,,,0.009,17.0,1.3486248139823354
-26.5,,,,,,,0.009,17.0,1.3486248139823354
-26.0,,-49.31258390898968,29.21499559279653,,75.8712247859348,79.22844155731572,0.009,17.0,1.3486248139823354
-25.5,,,,,,,0.009,17.0,1.3486248139823354
-25.0,,42.616311734333856,,,75.64132297454321,,0.009,17.0,1.3486248139823354
-24.5,,,,,,,0.009,17.0,1.3486248139823354
-24.0,,116.52298230037779,67.45158265325891,,82.75712984566239,81.92103340046687,0.009,17.0,1.3486248139823354
-23.5,,,,,,,0.009,17.0,1.3486248139823354
-23.0,,19.53352247888822,-7.20686968003745,,43.545770488104395,54.12957646777241,0.009,17.0,1.3486248139823354
-22.5,,,,,,,0.009,17.0,1.3486248139823354
-22.0,,-3.1821407421881056,-24.1350957844338,,40.1226776202804,40.202371451444186,0.009,17.0,1.3486248139823354
-21.5,,,,,,,0.009,17.0,1.3486248139823354
-21.0,,24.71911418734715,22.933746386284092,,24.973053876391926,26.059276960895016,0.009,17.0,1.3486248139823354
-20.5,,,,,,,0.009,17.0,1.3486248139823354
-20.0,,,,,,,0.009,17.0,1.3486248139823354
-19.5,,,,,,,0.009,17.0,1.3486248139823354
-19.0,,-8.051405234551579,1.013924611546268,,27.032649522115978,23.3207507943586,0.009,17.0,1.3486248139823354
-18.5,,,,,,,0.009,17.0,1.3486248139823354
-18.0,,22.526173605894325,-17.093807454846594,,28.463501625078017,23.720553317588724,0.009,17.0,1.3486248139823354
-17.5,,,,,,,0.009,17.0,1.3486248139823354
-17.0,,,,,,,0.009,17.0,1.3486248139823354
-16.5,,,,,,,0.009,17.0,1.3486248139823354
-16.0,,,,,,,0.009,17.0,1.3486248139823354
-15.5,,,,,,,0.009,17.0,1.3486248139823354
-15.0,,,,,,,0.009,17.0,1.3486248139823354
-14.5,92.45071137516435,,,137.3708077497194,,,0.009,17.0,1.3486248139823354
-14.0,0.9021564967456221,21.22506143778068,14.225842706759686,135.14895044264372,31.36313621125591,27.710171183545523,0.009,17.0,1.3486248139823354
-13.5,-38.57329541068012,,,132.22172310491652,,,0.009,17.0,1.3486248139823354
-13.0,-33.8208221097091,65.6144434971544,27.784607777902274,131.51636744687823,34.194685719297006,22.479449361362615,0.009,17.0,1.3486248139823354
-12.5,53.69437550212605,,,131.15014225426467,,,0.009,17.0,1.3486248139823354
-12.0,10.851221572575255,1.958460765821286,38.18487787287299,131.54358455893052,24.191826061128292,19.513467809432523,0.009,17.0,1.3486248139823354
-11.5,0.3422221173287596,,,131.46338012981448,,,0.009,17.0,1.3486248139823354
-11.0,70.59838247979513,34.453314685851794,17.209526313955013,132.06652919072488,21.288400741649703,16.99915096481846,0.009,17.0,1.3486248139823354
-10.5,-9.58650075193033,,,132.0629605803507,,,0.009,17.0,1.3486248139823354
-10.0,57.85410587324451,33.35652484498044,24.011856591884314,131.84955838341003,25.923381563120245,23.05151753206554,0.009,17.0,1.3486248139823354
-9.5,70.68096270252337,,,132.2006407529535,,,0.009,17.0,1.3486248139823354
-9.0,98.67482413444982,36.23209204955307,16.156952587488533,131.14390674616712,23.583189033215586,20.4844526176997,0.009,17.0,1.3486248139823354
-8.5,12.382535260331036,,,131.36915197987997,,,0.009,17.0,1.3486248139823354
-8.0,64.1828566201345,42.176016163494204,36.28410025966111,131.37720167925053,31.61327830875306,29.516834358624926,0.009,17.0,1.3486248139823354
-7.5,54.6200532626807,,,131.56234295694492,,,0.009,17.0,1.3486248139823354
-7.0,28.642016118919187,57.97702422837107,44.247656370723384,131.76684955815747,35.4719559478417,49.356534766136704,0.009,17.0,1.3486248139823354
-6.5,66.25145970582577,,,131.96634253727288,,,0.009,17.0,1.3486248139823354
-6.0,79.521105347164,16.350301375177676,9.178755085503628,132.21755734278483,51.06252538933028,37.49785770917577,0.009,17.0,1.3486248139823354
-5.5,60.29861311487039,,,131.62455875014274,,,0.009,17.0,1.3486248139823354
-5.0,45.427830895541504,4.882583235540861,21.927179842120527,131.77525356848247,30.05930947969048,26.82298791305447,0.009,17.0,1.3486248139823354
