relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0134,16.1,4.353751894120237
-29.5,,,,,,,0.0134,16.1,4.353751894120237
-29.0,,,11.273780342337139,,,23.9295558796145,0.0134,16.1,4.353751894120237
-28.5,,,,,,,0.0134,16.1,4.353751894120237
-28.0,,-0.7155801692163896,-10.92811171848841,,31.3468922839896,27.8768361963643,0.0134,16.1,4.353751894120237
-27.5,,,,,,,0.0134,16.1,4.353751894120237
-27.0,,11.43287197850516,29.20893175559176,,23.729735084531512,21.403244725982102,0.0134,16.1,4.353751894120237
-26.5,,,,,,,0.0134,16.1,4.353751894120237
-26.0,,,,,,,0.0134,16.1,4.353751894120237
-25.5,,,,,,,0.0134,16.1,4.353751894120237
-25.0,,12.07395543465111,0.9650105629887642,,44.9516518158378,29.4706767509073,0.0134,16.1,4.353751894120237
-24.5,,,,,,,0.0134,16.1,4.353751894120237
-24.0,,,,,,,0.0134,16.1,4.353751894120237
-23.5,,,,,,,0.0134,16.1,4.353751894120237
-23.0,,-6.6178492637751605,-8.6483785188478,,27.436691460650252,26.265653721550926,0.0134,16.1,4.353751894120237
-22.5,,,,,,,0.0134,16.1,4.353751894120237
-22.0,,-3.8414884803551894,-36.695960189165696,,26.5690698682267,21.0008079210107,0.0134,16.1,4.353751894120237
-21.5,,,,,,,0.0134,16.1,4.353751894120237
-21.0,,,,,,,0.0134,16.1,4.353751894120237
-20.5,,,,,,,0.0134,16.1,4.353751894120237
-20.0,,-22.82701306648113,6.985295992851634,,38.67332688206837,35.2749349157198,0.0134,16.1,4.353751894120237
-19.5,,,,,,,0.0134,16.1,4.353751894120237
-19.0,,25.00509317776734,13.84722001598155,,45.670410563880914,45.5848759125882,0.0134,16.1,4.353751894120237
-18.5,,,,,,,0.0134,16.1,4.353751894120237
-18.0,,-36.42534611216892,11.177646453097076,,29.76629827738192,54.978936534120265,0.0134,16.1,4.353751894120237
-17.5,,,,,,,0.0134,16.1,4.353751894120237
-17.0,,13.336316502083537,-32.70698258917,,33.545280323018474,50.62680133873331,0.0134,16.1,4.353751894120237
-16.5,,,,,,,0.0134,16.1,4.353751894120237
-16.0,,-22.064773138839353,-23.885570737249452,,40.7836117647121,59.99687244666716,0.0134,16.1,4.353751894120237
-15.5,,,,,,,0.0134,16.1,4.353751894120237
-15.0,,,,,,,0.0134,16.1,4.353751894120237
-14.5,,,,,,,0.0134,16.1,4.353751894120237
-14.0,,,,,,,0.0134,16.1,4.353751894120237
-13.5,,,,,,,0.0134,16.1,4.353751894120237
-13.0,,,,,,,0.0134,16.1,4.353751894120237
-12.5,,,,,,,0.0134,16.1,4.353751894120237
-12.0,,-35.997824268263905,43.75678242621281,,37.998606358936996,55.12461125693586,0.0134,16.1,4.353751894120237
-11.5,,,,,,,0.0134,16.1,4.353751894120237
-11.0,,-12.633592176964768,79.16353201833122,,34.963470441297495,53.129884114656136,0.0134,16.1,4.353751894120237
-10.5,,,,,,,0.0134,16.1,4.353751894120237
