relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,66.55443596125502,-15.475615815605051,,21.0102199654559,18.4354942526205,0.023,11.0,2.1983225928471515
-29.5,,,,,,,0.023,11.0,2.1983225928471515
-29.0,,123.63165068692504,,,37.3358357097227,,0.023,11.0,2.1983225928471515
-28.5,,,,,,,0.023,11.0,2.1983225928471515
-28.0,,6.483634029124743,-39.46693574411858,,24.9822735540312,21.77459040103894,0.023,11.0,2.1983225928471515
-27.5,,,,,,,0.023,11.0,2.1983225928471515
-27.0,,118.4728102908361,-26.47405115746345,,32.01387228784469,30.257463858403355,0.023,11.0,2.1983225928471515
-26.5,,,,,,,0.023,11.0,2.1983225928471515
-26.0,,73.13863240361667,3.801139632437245,,39.205671557895705,32.61550334330547,0.023,11.0,2.1983225928471515
-25.5,,,,,,,0.023,11.0,2.1983225928471515
-25.0,,162.6357343002827,-106.87913520335627,,60.11408390685287,33.4541946505171,0.023,11.0,2.1983225928471515
-24.5,,,20.954215951741055,,,28.7808757807433,0.023,11.0,2.1983225928471515
-24.0,,73.84404388265561,-54.40077932681121,,36.76472519577176,24.138140536798584,0.023,11.0,2.1983225928471515
-23.5,,72.72471502623353,,,33.0057007990571,,0.023,11.0,2.1983225928471515
-23.0,,80.80658040535633,-34.85232202966224,,33.08583456333154,24.49562365526854,0.023,11.0,2.1983225928471515
-22.5,,,,,,,0.023,11.0,2.1983225928471515
-22.0,,,,,,,0.023,11.0,2.1983225928471515
-21.5,,,,,,,0.023,11.0,2.1983225928471515
-21.0,,81.68226681675013,-39.952197464655754,,61.9588157495582,36.8197895369218,0.023,11.0,2.1983225928471515
-20.5,,150.72599427989513,,,54.75824360244711,,0.023,11.0,2.1983225928471515
-20.0,,103.22638127755228,,,48.4037198225584,,0.023,11.0,2.1983225928471515
-19.5,,138.34544631691108,,,79.4220793498335,,0.023,11.0,2.1983225928471515
-19.0,,72.72450484976213,59.63930022164721,,79.58265161138524,65.75913719985164,0.023,11.0,2.1983225928471515
-18.5,,,,,,,0.023,11.0,2.1983225928471515
-18.0,,-7.138264704800221,59.44904399708807,,67.0803077564537,62.648267186942185,0.023,11.0,2.1983225928471515
-17.5,,,,,,,0.023,11.0,2.1983225928471515
-17.0,,,-156.95588462216554,,,95.7065752019932,0.023,11.0,2.1983225928471515
-16.5,,,,,,,0.023,11.0,2.1983225928471515
-16.0,,,,,,,0.023,11.0,2.1983225928471515
-15.5,,,,,,,0.023,11.0,2.1983225928471515
-15.0,,,,,,,0.023,11.0,2.1983225928471515
-14.5,,,,,,,0.023,11.0,2.1983225928471515
-14.0,,,,,,,0.023,11.0,2.1983225928471515
-13.5,,,,,,,0.023,11.0,2.1983225928471515
-13.0,,-34.89627432563306,-44.20819581967,,66.31491999840648,79.94213448261678,0.023,11.0,2.1983225928471515
-12.5,,,,,,,0.023,11.0,2.1983225928471515
-12.0,,30.134187373454346,20.1347457961403,,51.97580740089424,53.62423769043863,0.023,11.0,2.1983225928471515
-11.5,,,,,,,0.023,11.0,2.1983225928471515
-11.0,,20.681510768290973,-8.23403936974475,,29.610008976947903,36.749960482183425,0.023,11.0,2.1983225928471515
-10.5,,,,,,,0.023,11.0,2.1983225928471515
-10.0,,69.9462550676301,-27.027480923498615,,32.57360486582296,31.450316628882955,0.023,11.0,2.1983225928471515
-9.5,,,,,,,0.023,11.0,2.1983225928471515
-9.0,,15.758292260330604,-1.9984052973394364,,26.722045321872837,30.311525681652,0.023,11.0,2.1983225928471515
-8.5,,,,,,,0.023,11.0,2.1983225928471515
-8.0,,118.86721073514501,,,29.013303524905,,0.023,11.0,2.1983225928471515
-7.5,,,,,,,0.023,11.0,2.1983225928471515
-7.0,,,,,,,0.023,11.0,2.1983225928471515
-6.5,,,,,,,0.023,11.0,2.1983225928471515
-6.0,,99.03562298100178,58.261688951819515,,21.298026102696102,19.43858061586775,0.023,11.0,2.1983225928471515
-5.5,,,,,,,0.023,11.0,2.1983225928471515
-5.0,,156.2136648794864,104.29826260970312,,23.88390572999441,22.13720001444094,0.023,11.0,2.1983225928471515
-4.5,,,,,,,0.023,11.0,2.1983225928471515
-4.0,,225.36023610477363,147.21305992449987,,24.177327271252487,25.017284676690668,0.023,11.0,2.1983225928471515
-3.5,563.345601027946,,,243.67493835886654,,,0.023,11.0,2.1983225928471515
-3.0,628.1169667437837,272.3584303603113,,240.05174295187888,27.978280019055696,,0.023,11.0,2.1983225928471515
-2.5,431.2460306678587,,,235.55672572514433,,,0.023,11.0,2.1983225928471515
-2.0,421.5529245207148,,,232.0894884131395,,,0.023,11.0,2.1983225928471515
-1.5,259.9094788759705,,,230.06943290992166,,,0.023,11.0,2.1983225928471515
-1.0,402.8411207048205,,326.75116239950574,229.71157607173186,,24.3222635051043,0.023,11.0,2.1983225928471515
-0.5,391.41372663053914,,,229.18472783570155,,,0.023,11.0,2.1983225928471515
0.0,345.49642803280324,472.05373062123294,379.880405529027,227.10938560811977,30.369854692060272,26.707438712452117,0.023,11.0,2.1983225928471515
0.5,335.3075849169395,,,226.27982004713812,,,0.023,11.0,2.1983225928471515
1.0,376.0555647336399,428.34264688693054,425.0953192992285,225.38654568770244,38.8876725974492,35.9223259031457,0.023,11.0,2.1983225928471515
1.5,384.7705676444041,,,225.2363427857986,,,0.023,11.0,2.1983225928471515
2.0,491.3594996025597,601.1834718537494,497.83818871233797,225.77287825752586,44.74565789108129,30.441742428946714,0.023,11.0,2.1983225928471515
2.5,274.87137519962573,,,225.3398641712188,,,0.023,11.0,2.1983225928471515
3.0,432.65383997077106,,,225.60511193006906,,,0.023,11.0,2.1983225928471515
3.5,572.5122273424985,,,226.46192437954508,,,0.023,11.0,2.1983225928471515
4.0,642.0194051307864,,411.18819048366754,226.5614889700606,,32.6782956401909,0.023,11.0,2.1983225928471515
4.5,522.4662784798589,,,227.10186897405137,,,0.023,11.0,2.1983225928471515
5.0,658.8136554943853,729.1498047709098,576.2834479862903,227.15311191559184,29.1837159633532,54.805937366855396,0.023,11.0,2.1983225928471515
5.5,660.6124967567391,,,226.63390222491935,,,0.023,11.0,2.1983225928471515
6.0,661.1382313698865,,,227.00660950631956,,,0.023,11.0,2.1983225928471515
6.5,627.8366178390743,,,227.5179328904918,,,0.023,11.0,2.1983225928471515
7.0,729.0123552602154,725.7663853742534,593.1616685819145,228.0261914627838,59.16914856039972,36.18633575055157,0.023,11.0,2.1983225928471515
7.5,606.0672031510786,,,227.78586407702284,,,0.023,11.0,2.1983225928471515
8.0,,816.2531292393884,667.2104130761327,,32.30778675555768,39.78630838324082,0.023,11.0,2.1983225928471515
8.5,,,,,,,0.023,11.0,2.1983225928471515
9.0,,690.5869542578821,639.1732025696136,,40.71541383159573,44.648334193458304,0.023,11.0,2.1983225928471515
9.5,,,,,,,0.023,11.0,2.1983225928471515
10.0,,790.6668512209776,238.2133927009125,,49.25065914995857,92.13257552214355,0.023,11.0,2.1983225928471515
