relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,15.824161126317028,10.318197948114612,,57.5543362646798,69.8957207459057,0.0106,-1.0,2.463734744019512
-29.5,,,,,,,0.0106,-1.0,2.463734744019512
-29.0,,-55.993152740269636,-15.697799345361616,,50.251781137543944,59.711704708697006,0.0106,-1.0,2.463734744019512
-28.5,,,,,,,0.0106,-1.0,2.463734744019512
-28.0,,92.38630628566042,1.8799262890030555,,60.150307816965,65.40807381258928,0.0106,-1.0,2.463734744019512
-27.5,,,,,,,0.0106,-1.0,2.463734744019512
-27.0,,6.318511784090101,,,83.14044986819256,,0.0106,-1.0,2.463734744019512
-26.5,,,,,,,0.0106,-1.0,2.463734744019512
-26.0,,,,,,,0.0106,-1.0,2.463734744019512
-25.5,,,,,,,0.0106,-1.0,2.463734744019512
-25.0,,6.428909371611355,87.50767253026874,,83.55561237166286,89.0916490102793,0.0106,-1.0,2.463734744019512
-24.5,,,,,,,0.0106,-1.0,2.463734744019512
-24.0,,-14.722224038455215,31.779830489240915,,43.621464526566264,58.063531183415364,0.0106,-1.0,2.463734744019512
-23.5,,,,,,,0.0106,-1.0,2.463734744019512
-23.0,,27.08947078358117,22.346005230699603,,47.160288764998135,47.457844377356885,0.0106,-1.0,2.463734744019512
-22.5,,,,,,,0.0106,-1.0,2.463734744019512
-22.0,,-17.40133990875913,-23.587899908274057,,31.354953298005213,33.8334470917822,0.0106,-1.0,2.463734744019512
-21.5,,,,,,,0.0106,-1.0,2.463734744019512
-21.0,,-3.560339455206055,-14.254475697643505,,31.55898772398245,28.099851205228322,0.0106,-1.0,2.463734744019512
-20.5,,,,,,,0.0106,-1.0,2.463734744019512
-20.0,,-16.5797849420455,-21.058161194830006,,29.35201787452019,26.693039857994922,0.0106,-1.0,2.463734744019512
-19.5,,,,,,,0.0106,-1.0,2.463734744019512
-19.0,,2.5131136167235195,,,32.0923310177677,,0.0106,-1.0,2.463734744019512
-18.5,,,,,,,0.0106,-1.0,2.463734744019512
-18.0,,,,,,,0.0106,-1.0,2.463734744019512
-17.5,,,,,,,0.0106,-1.0,2.463734744019512
-17.0,,-12.51549346540727,-32.14809546921486,,20.033255094298354,17.718259637902175,0.0106,-1.0,2.463734744019512
-16.5,,,,,,,0.0106,-1.0,2.463734744019512
-16.0,,-22.60057228798233,-11.169096056579832,,25.686155933335968,21.626034532209303,0.0106,-1.0,2.463734744019512
-15.5,,,,,,,0.0106,-1.0,2.463734744019512
-15.0,14.965916230668432,10.685602269390142,-4.132357738089621,359.2826823782622,32.607934598771024,23.150037011731055,0.0106,-1.0,2.463734744019512
-14.5,-46.02387191925454,,,328.6148957519554,,,0.0106,-1.0,2.463734744019512
-14.0,-246.91762976730948,18.762392541059103,,311.7540572582794,27.478409937136774,,0.0106,-1.0,2.463734744019512
-13.5,-202.7862971801311,,,302.96646414156993,,,0.0106,-1.0,2.463734744019512
-13.0,-30.977379883103108,,,296.9440345977511,,,0.0106,-1.0,2.463734744019512
-12.5,-17.197510827306637,,,293.41399990853284,,,0.0106,-1.0,2.463734744019512
