relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-11.578760205217499,9.659751373712234,,26.900243885187,17.810087058542,0.009,15.0,4.3298755435026335
-29.5,,,,,,,0.009,15.0,4.3298755435026335
-29.0,,17.87615453563732,-3.5232444873308943,,18.8414650595471,42.3776117292959,0.009,15.0,4.3298755435026335
-28.5,,,,,,,0.009,15.0,4.3298755435026335
-28.0,,,23.568123121946922,,,79.8173229214683,0.009,15.0,4.3298755435026335
-27.5,,,,,,,0.009,15.0,4.3298755435026335
-27.0,,,,,,,0.009,15.0,4.3298755435026335
-26.5,,,,,,,0.009,15.0,4.3298755435026335
-26.0,,,,,,,0.009,15.0,4.3298755435026335
-25.5,,,,,,,0.009,15.0,4.3298755435026335
-25.0,,,,,,,0.009,15.0,4.3298755435026335
-24.5,,,,,,,0.009,15.0,4.3298755435026335
-24.0,,,,,,,0.009,15.0,4.3298755435026335
-23.5,,,,,,,0.009,15.0,4.3298755435026335
-23.0,,,,,,,0.009,15.0,4.3298755435026335
-22.5,,,,,,,0.009,15.0,4.3298755435026335
-22.0,,,,,,,0.009,15.0,4.3298755435026335
-21.5,,,,,,,0.009,15.0,4.3298755435026335
-21.0,,,,,,,0.009,15.0,4.3298755435026335
-20.5,,,,,,,0.009,15.0,4.3298755435026335
-20.0,,,,,,,0.009,15.0,4.3298755435026335
-19.5,,,,,,,0.009,15.0,4.3298755435026335
-19.0,,,,,,,0.009,15.0,4.3298755435026335
-18.5,,,,,,,0.009,15.0,4.3298755435026335
-18.0,,,,,,,0.009,15.0,4.3298755435026335
-17.5,,,,,,,0.009,15.0,4.3298755435026335
-17.0,,,,,,,0.009,15.0,4.3298755435026335
-16.5,,,,,,,0.009,15.0,4.3298755435026335
-16.0,,,,,,,0.009,15.0,4.3298755435026335
-15.5,,,,,,,0.009,15.0,4.3298755435026335
-15.0,,,,,,,0.009,15.0,4.3298755435026335
-14.5,,,,,,,0.009,15.0,4.3298755435026335
-14.0,23.292066725075436,,,228.4369781939867,,,0.009,15.0,4.3298755435026335
-13.5,88.16980642890195,,,176.2017415932536,,,0.009,15.0,4.3298755435026335
-13.0,-67.21410935405187,,,157.24250528419202,,,0.009,15.0,4.3298755435026335
-12.5,-223.4139595257165,,,133.0570287058453,,,0.009,15.0,4.3298755435026335
-12.0,-310.04145645928537,,,124.0736745743138,,,0.009,15.0,4.3298755435026335
-11.5,22.857542644250557,,,111.79123971212452,,,0.009,15.0,4.3298755435026335
-11.0,70.41562350169926,,,109.28463071535276,,,0.009,15.0,4.3298755435026335
-10.5,77.96608154494888,,,104.16178588022808,,,0.009,15.0,4.3298755435026335
-10.0,41.294236060586066,,,103.1045145941783,,,0.009,15.0,4.3298755435026335
-9.5,40.3221205172473,,,101.13919012857274,,,0.009,15.0,4.3298755435026335
-9.0,45.58797974410245,,,99.89938375723914,,,0.009,15.0,4.3298755435026335
-8.5,-28.010982605477622,,,97.76818806372505,,,0.009,15.0,4.3298755435026335
-8.0,-17.785374623685023,,,97.04282708646657,,,0.009,15.0,4.3298755435026335
-7.5,-43.27240563304836,,,96.23179633527614,,,0.009,15.0,4.3298755435026335
-7.0,-52.50657625361444,23.02049740844049,-30.90549698837528,95.34491509005649,24.65515230905968,20.478033014005835,0.009,15.0,4.3298755435026335
-6.5,-29.937713957961826,,,94.36142999193507,,,0.009,15.0,4.3298755435026335
-6.0,12.256138288169183,,,93.80351957906537,,,0.009,15.0,4.3298755435026335
-5.5,54.57009171227916,,,93.71442809284189,,,0.009,15.0,4.3298755435026335
-5.0,-12.404459301971464,,,93.73327275015626,,,0.009,15.0,4.3298755435026335
-4.5,37.61161659925614,,,93.77503063214819,,,0.009,15.0,4.3298755435026335
-4.0,48.927807534968935,65.69902913539975,38.38943988958565,93.7924728560073,48.6299927614313,26.6853756169708,0.009,15.0,4.3298755435026335
-3.5,-62.725050857982964,,,93.8411788168037,,,0.009,15.0,4.3298755435026335
-3.0,-26.46934795996625,,13.188472983317437,93.82323414652696,,21.5993155795644,0.009,15.0,4.3298755435026335
-2.5,,,,,,,0.009,15.0,4.3298755435026335
-2.0,,39.576802909075134,,,24.995495313580605,,0.009,15.0,4.3298755435026335
-1.5,,,,,,,0.009,15.0,4.3298755435026335
-1.0,,,,,,,0.009,15.0,4.3298755435026335
-0.5,,,,,,,0.009,15.0,4.3298755435026335
0.0,,210.93535191588538,161.80030035131563,,36.0550213956314,51.8542160236896,0.009,15.0,4.3298755435026335
0.5,110.24873977373133,,,224.27278041727578,,,0.009,15.0,4.3298755435026335
1.0,248.89161059217167,197.5750178742326,250.03182949584917,187.54499857761968,45.47997432849963,45.98501223053094,0.009,15.0,4.3298755435026335
1.5,272.2296652382482,,,162.67539162268633,,,0.009,15.0,4.3298755435026335
2.0,157.1518487436123,,,145.9894592135576,,,0.009,15.0,4.3298755435026335
2.5,151.04926527309152,,,130.55560431438184,,,0.009,15.0,4.3298755435026335
3.0,1.0271984924356783,,,120.41841866919766,,,0.009,15.0,4.3298755435026335
3.5,290.1565182063163,,,112.43604315181784,,,0.009,15.0,4.3298755435026335
4.0,387.1925205479115,,,109.77378076728886,,,0.009,15.0,4.3298755435026335
4.5,425.1242259021981,,,105.26949557060463,,,0.009,15.0,4.3298755435026335
5.0,398.9479144599119,,,103.43530168229226,,,0.009,15.0,4.3298755435026335
5.5,453.9154209345176,,,100.59394463374515,,,0.009,15.0,4.3298755435026335
6.0,463.05868731148354,,,98.97398578876442,,,0.009,15.0,4.3298755435026335
6.5,503.2555151689937,,,97.65735405964809,,,0.009,15.0,4.3298755435026335
7.0,532.0217588027938,,,96.71857149031,,,0.009,15.0,4.3298755435026335
7.5,452.49559050580746,,,95.41923278737502,,,0.009,15.0,4.3298755435026335
8.0,490.24793594722587,,,94.09145577479823,,,0.009,15.0,4.3298755435026335
8.5,505.21370158282105,,,93.62492432691245,,,0.009,15.0,4.3298755435026335
9.0,537.7307012964229,,,93.41735333373896,,,0.009,15.0,4.3298755435026335
9.5,569.7115657290058,,,93.32709139806389,,,0.009,15.0,4.3298755435026335
10.0,610.9040473753105,,,93.2602079280105,,,0.009,15.0,4.3298755435026335
10.5,581.5702067441207,,,93.33251400201137,,,0.009,15.0,4.3298755435026335
11.0,709.788582661187,744.3339537786952,779.5801678075659,93.47434870609118,31.29009799785354,31.371754415365338,0.009,15.0,4.3298755435026335
11.5,,,,,,,0.009,15.0,4.3298755435026335
12.0,,736.5141117609868,782.0296035092455,,31.51849856853484,28.270991209872644,0.009,15.0,4.3298755435026335
