relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0293,11.5,4.886439285296492
-29.5,,,,,,,0.0293,11.5,4.886439285296492
-29.0,,,,,,,0.0293,11.5,4.886439285296492
-28.5,,,,,,,0.0293,11.5,4.886439285296492
-28.0,,,,,,,0.0293,11.5,4.886439285296492
-27.5,,,,,,,0.0293,11.5,4.886439285296492
-27.0,,,,,,,0.0293,11.5,4.886439285296492
-26.5,,,,,,,0.0293,11.5,4.886439285296492
-26.0,,,,,,,0.0293,11.5,4.886439285296492
-25.5,,,,,,,0.0293,11.5,4.886439285296492
-25.0,,18.927732376902533,,,27.7403367806414,,0.0293,11.5,4.886439285296492
-24.5,,,,,,,0.0293,11.5,4.886439285296492
-24.0,,23.943677551351385,5.114824296878939,,28.988128597468332,29.9188796700375,0.0293,11.5,4.886439285296492
-23.5,,,,,,,0.0293,11.5,4.886439285296492
-23.0,,-35.76365207677239,-10.477469550866573,,23.8779631787832,23.0461253469875,0.0293,11.5,4.886439285296492
-22.5,,,,,,,0.0293,11.5,4.886439285296492
-22.0,,-17.992621391420624,-19.430955085308028,,25.832203199670342,20.25448841753444,0.0293,11.5,4.886439285296492
-21.5,,,,,,,0.0293,11.5,4.886439285296492
-21.0,,,,,,,0.0293,11.5,4.886439285296492
-20.5,,,,,,,0.0293,11.5,4.886439285296492
-20.0,,,,,,,0.0293,11.5,4.886439285296492
-19.5,,,,,,,0.0293,11.5,4.886439285296492
-19.0,,,,,,,0.0293,11.5,4.886439285296492
-18.5,,,,,,,0.0293,11.5,4.886439285296492
-18.0,,,,,,,0.0293,11.5,4.886439285296492
-17.5,,,,,,,0.0293,11.5,4.886439285296492
-17.0,,-12.814681501279992,,,31.070521290147564,,0.0293,11.5,4.886439285296492
-16.5,,,,,,,0.0293,11.5,4.886439285296492
-16.0,,-15.24984643244491,4.193453449352524,,25.010523980791376,29.31117256131904,0.0293,11.5,4.886439285296492
-15.5,,,,,,,0.0293,11.5,4.886439285296492
-15.0,,,-6.729318348704773,,,30.610144325645585,0.0293,11.5,4.886439285296492
-14.5,,,,,,,0.0293,11.5,4.886439285296492
-14.0,,14.245367423990283,0.026086037031115932,,20.755933288304714,19.23333341395298,0.0293,11.5,4.886439285296492
-13.5,,,,,,,0.0293,11.5,4.886439285296492
-13.0,,-16.099816884081473,12.04167381366776,,19.880977483197356,16.650239398554767,0.0293,11.5,4.886439285296492
-12.5,,,,,,,0.0293,11.5,4.886439285296492
-12.0,,14.557343161797531,0.19279306147494543,,24.02170163616931,18.091398875955047,0.0293,11.5,4.886439285296492
-11.5,,,,,,,0.0293,11.5,4.886439285296492
-11.0,,-0.6905385666611471,-20.08788819458231,,22.387692064363115,18.194171268317888,0.0293,11.5,4.886439285296492
-10.5,,,,,,,0.0293,11.5,4.886439285296492
-10.0,,-52.5824205548035,-34.190603132485045,,20.25514669961274,18.864598453710713,0.0293,11.5,4.886439285296492
-9.5,,,,,,,0.0293,11.5,4.886439285296492
-9.0,,-17.688909582840353,,,28.06922041733177,,0.0293,11.5,4.886439285296492
-8.5,,,,,,,0.0293,11.5,4.886439285296492
-8.0,,-57.16344610270827,-27.964215854220896,,23.097327937594827,22.331687222849656,0.0293,11.5,4.886439285296492
-7.5,,,,,,,0.0293,11.5,4.886439285296492
-7.0,,-33.02470629214267,-32.6031785073912,,25.235483388552222,18.56629355944915,0.0293,11.5,4.886439285296492
-6.5,,,,,,,0.0293,11.5,4.886439285296492
-6.0,,-1.9932672236831597,-20.56727181040994,,32.7747635231016,18.383920579225137,0.0293,11.5,4.886439285296492
-5.5,,,,,,,0.0293,11.5,4.886439285296492
-5.0,,19.753866156033297,-4.40539647159541,,40.457043633441096,31.149019317904852,0.0293,11.5,4.886439285296492
-4.5,,,,,,,0.0293,11.5,4.886439285296492
-4.0,,-15.756907250482536,-11.155067076870216,,42.73837486211905,53.52396923798739,0.0293,11.5,4.886439285296492
-3.5,,,,,,,0.0293,11.5,4.886439285296492
-3.0,,6.918537550343835,51.82670575234975,,50.69761695471574,70.00042706816718,0.0293,11.5,4.886439285296492
-2.5,,,,,,,0.0293,11.5,4.886439285296492
-2.0,,8.835470557974734,159.3452248682673,,59.05908724819692,64.26589400796038,0.0293,11.5,4.886439285296492
-1.5,,,,,,,0.0293,11.5,4.886439285296492
-1.0,,349.74920525446396,234.1581221317855,,64.1023555539795,75.9492147881724,0.0293,11.5,4.886439285296492
-0.5,,,,,,,0.0293,11.5,4.886439285296492
0.0,,510.28492790822605,580.8662048791251,,46.94082435472466,58.61358395008339,0.0293,11.5,4.886439285296492
0.5,,,,,,,0.0293,11.5,4.886439285296492
