relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0447,14.1,1.7959089311234266
-29.5,,,,,,,0.0447,14.1,1.7959089311234266
-29.0,,,,,,,0.0447,14.1,1.7959089311234266
-28.5,,,,,,,0.0447,14.1,1.7959089311234266
-28.0,,,,,,,0.0447,14.1,1.7959089311234266
-27.5,,,,,,,0.0447,14.1,1.7959089311234266
-27.0,,,,,,,0.0447,14.1,1.7959089311234266
-26.5,,,,,,,0.0447,14.1,1.7959089311234266
-26.0,,,,,,,0.0447,14.1,1.7959089311234266
-25.5,,,,,,,0.0447,14.1,1.7959089311234266
-25.0,,,,,,,0.0447,14.1,1.7959089311234266
-24.5,,,,,,,0.0447,14.1,1.7959089311234266
-24.0,,,,,,,0.0447,14.1,1.7959089311234266
-23.5,,,,,,,0.0447,14.1,1.7959089311234266
-23.0,,,,,,,0.0447,14.1,1.7959089311234266
-22.5,,,,,,,0.0447,14.1,1.7959089311234266
-22.0,,,,,,,0.0447,14.1,1.7959089311234266
-21.5,,,,,,,0.0447,14.1,1.7959089311234266
-21.0,,,,,,,0.0447,14.1,1.7959089311234266
-20.5,,,,,,,0.0447,14.1,1.7959089311234266
-20.0,,-25.91714590600717,10.215131164499926,,33.6303008423753,27.0056311080278,0.0447,14.1,1.7959089311234266
-19.5,,,,,,,0.0447,14.1,1.7959089311234266
-19.0,56.90325753073186,43.609019785651384,,118.76278927897924,26.3274054826746,,0.0447,14.1,1.7959089311234266
-18.5,16.82968575222332,,,133.7830765165631,,,0.0447,14.1,1.7959089311234266
-18.0,-21.313704889508998,10.563678052696151,27.659810186967558,203.10895499423074,20.92872793648659,25.0671759568457,0.0447,14.1,1.7959089311234266
-17.5,-104.90932803282554,,,209.75026616758146,,,0.0447,14.1,1.7959089311234266
-17.0,-136.63450740081902,,,206.73141720765813,,,0.0447,14.1,1.7959089311234266
-16.5,75.55843884861191,,,190.66365513702758,,,0.0447,14.1,1.7959089311234266
-16.0,210.65615699215374,,,181.6439122763423,,,0.0447,14.1,1.7959089311234266
-15.5,-23.256262187747957,,,164.1677146740822,,,0.0447,14.1,1.7959089311234266
-15.0,25.550212374053118,,,159.54685541896401,,,0.0447,14.1,1.7959089311234266
-14.5,92.67666489466096,,,149.1500865140477,,,0.0447,14.1,1.7959089311234266
-14.0,199.70095979727847,,,147.29276853120544,,,0.0447,14.1,1.7959089311234266
-13.5,195.52690944007412,,,141.3138562634475,,,0.0447,14.1,1.7959089311234266
-13.0,269.075044698112,12.177493036834251,,140.82629017125436,38.32547209146468,,0.0447,14.1,1.7959089311234266
-12.5,41.7117519458062,,,136.4291632751268,,,0.0447,14.1,1.7959089311234266
-12.0,50.44219591350452,-8.499470340662343,-16.9177102487104,136.70385528737967,25.610046767563922,19.6758536316882,0.0447,14.1,1.7959089311234266
-11.5,-40.94044307924892,,,133.7184655001343,,,0.0447,14.1,1.7959089311234266
-11.0,-99.59961369437451,,-13.965716477309241,134.68455087159126,,20.3339087759826,0.0447,14.1,1.7959089311234266
