relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,20.532617220828982,,,48.5482849087714,,0.0216,19.05,2.427701244661981
-29.5,,,,,,,0.0216,19.05,2.427701244661981
-29.0,,,-9.042242828462113,,,18.1829334996899,0.0216,19.05,2.427701244661981
-28.5,,,,,,,0.0216,19.05,2.427701244661981
-28.0,,-17.51685337959321,-56.31654872276222,,30.2625318526416,19.7772719739404,0.0216,19.05,2.427701244661981
-27.5,,,,,,,0.0216,19.05,2.427701244661981
-27.0,,,,,,,0.0216,19.05,2.427701244661981
-26.5,,,,,,,0.0216,19.05,2.427701244661981
-26.0,,20.144125223728615,50.190983632442936,,27.2775989757374,34.1863819362386,0.0216,19.05,2.427701244661981
-25.5,,,,,,,0.0216,19.05,2.427701244661981
-25.0,,-14.069071358865719,26.084223497039847,,30.1320871011551,38.8971305185081,0.0216,19.05,2.427701244661981
-24.5,,,,,,,0.0216,19.05,2.427701244661981
-24.0,,,,,,,0.0216,19.05,2.427701244661981
-23.5,,,,,,,0.0216,19.05,2.427701244661981
-23.0,,,,,,,0.0216,19.05,2.427701244661981
-22.5,,,,,,,0.0216,19.05,2.427701244661981
-22.0,,,,,,,0.0216,19.05,2.427701244661981
-21.5,,,,,,,0.0216,19.05,2.427701244661981
-21.0,,,,,,,0.0216,19.05,2.427701244661981
-20.5,,,,,,,0.0216,19.05,2.427701244661981
-20.0,,,,,,,0.0216,19.05,2.427701244661981
-19.5,,,,,,,0.0216,19.05,2.427701244661981
-19.0,,,,,,,0.0216,19.05,2.427701244661981
-18.5,,,,,,,0.0216,19.05,2.427701244661981
-18.0,,,,,,,0.0216,19.05,2.427701244661981
-17.5,,,,,,,0.0216,19.05,2.427701244661981
-17.0,,,,,,,0.0216,19.05,2.427701244661981
-16.5,,,,,,,0.0216,19.05,2.427701244661981
-16.0,,23.01572796661368,,,27.2091978861648,,0.0216,19.05,2.427701244661981
-15.5,,,,,,,0.0216,19.05,2.427701244661981
-15.0,,5.557316409929444,-8.799242317643511,,29.887939214264232,28.6342927190444,0.0216,19.05,2.427701244661981
-14.5,209.67447696819562,,,58.60890934222615,,,0.0216,19.05,2.427701244661981
-14.0,129.8155482856176,-13.330371628535701,-32.77370840559874,60.970399052093825,27.0841023285647,19.9130054331341,0.0216,19.05,2.427701244661981
-13.5,-32.7357458430367,,,84.93197309890205,,,0.0216,19.05,2.427701244661981
-13.0,-89.01476361031749,8.03566865397782,-21.56232411212668,100.31352764002766,27.8424369160521,24.2353430190592,0.0216,19.05,2.427701244661981
-12.5,-52.491775196634784,,,93.36999909082697,,,0.0216,19.05,2.427701244661981
-12.0,-51.256640808722786,,,96.39565802350073,,,0.0216,19.05,2.427701244661981
-11.5,-48.30181869102183,,,85.57742788758739,,,0.0216,19.05,2.427701244661981
-11.0,-89.52551634455628,,,90.47882947152166,,,0.0216,19.05,2.427701244661981
-10.5,66.28619200515372,,,82.99167694484908,,,0.0216,19.05,2.427701244661981
-10.0,-15.525298028641224,,,79.49363978851294,,,0.0216,19.05,2.427701244661981
-9.5,145.29903659720782,,,77.58789833613932,,,0.0216,19.05,2.427701244661981
-9.0,131.83092763425728,,,77.86014379989857,,,0.0216,19.05,2.427701244661981
-8.5,163.83077023109482,,,74.2136669978956,,,0.0216,19.05,2.427701244661981
-8.0,147.09757545032386,,,78.37592641740882,,,0.0216,19.05,2.427701244661981
-7.5,118.36091255529189,,,75.72396047888772,,,0.0216,19.05,2.427701244661981
-7.0,164.3860849551305,9.893937118781766,-7.832513160416636,72.6757441521825,23.6164398507737,30.694524005009463,0.0216,19.05,2.427701244661981
-6.5,117.84535597832614,,,73.37276689172734,,,0.0216,19.05,2.427701244661981
-6.0,132.21667391346313,,41.16321592475544,75.42839914138051,,33.934658386744374,0.0216,19.05,2.427701244661981
-5.5,64.95887765241227,,,72.68404466409257,,,0.0216,19.05,2.427701244661981
-5.0,159.6416130628245,-19.70622757506524,1.0290279066156867,77.23375927062912,17.2838269251795,18.0435510633833,0.0216,19.05,2.427701244661981
-4.5,108.44856235787131,,,71.26990490014441,,,0.0216,19.05,2.427701244661981
-4.0,109.12986945340745,-31.013864524771478,-8.552921638233993,68.73107129950175,17.4015168021633,17.1482381000157,0.0216,19.05,2.427701244661981
-3.5,156.60975373365753,,,70.96963099907276,,,0.0216,19.05,2.427701244661981
-3.0,259.797268471546,-31.670121641423012,-16.511717246050548,68.52526104026755,19.2952457899032,17.5338167783693,0.0216,19.05,2.427701244661981
-2.5,189.06934087131228,,,64.72068492818006,,,0.0216,19.05,2.427701244661981
-2.0,173.18117217621813,-1.3912367899831466,6.798955313261751,60.99281191061097,18.1828884885437,19.4206134278485,0.0216,19.05,2.427701244661981
-1.5,,,,,,,0.0216,19.05,2.427701244661981
-1.0,209.91316368993972,47.42211448028772,9.546137450787926,64.79499123336213,17.8427061028972,15.9580707471405,0.0216,19.05,2.427701244661981
-0.5,125.70386828927525,,,64.22040509249518,,,0.0216,19.05,2.427701244661981
0.0,118.6876149645945,,,74.89339781897327,,,0.0216,19.05,2.427701244661981
0.5,-2.783249816363046,,,92.53727574238252,,,0.0216,19.05,2.427701244661981
1.0,-60.183746790543644,75.09951591616286,101.9391258043178,96.52345032979153,21.01726467475674,18.632278291024484,0.0216,19.05,2.427701244661981
1.5,149.414066164638,,,93.84023770549182,,,0.0216,19.05,2.427701244661981
2.0,15.219040565428713,123.86315368257581,132.8262701977469,91.74734318011767,27.641017358822992,21.846837730534084,0.0216,19.05,2.427701244661981
2.5,-80.05251189488922,,,90.2267123303018,,,0.0216,19.05,2.427701244661981
3.0,-74.26494355614832,191.27300389877502,181.66124862722955,87.07776058461688,28.493156389273246,21.7583881033679,0.0216,19.05,2.427701244661981
3.5,-41.72058038702291,,,82.2657874439671,,,0.0216,19.05,2.427701244661981
4.0,-15.784904997068075,209.1524421087733,254.38547894216453,80.667826288337,36.5912250473949,39.676558357317674,0.0216,19.05,2.427701244661981
