relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-5.254906164789689,,,31.8052017813464,,0.0201,10.0,4.21215173304835
-29.5,,,,,,,0.0201,10.0,4.21215173304835
-29.0,,-51.51461150603168,,,46.8394111117471,,0.0201,10.0,4.21215173304835
-28.5,,,,,,,0.0201,10.0,4.21215173304835
-28.0,,,,,,,0.0201,10.0,4.21215173304835
-27.5,,,,,,,0.0201,10.0,4.21215173304835
-27.0,,,,,,,0.0201,10.0,4.21215173304835
-26.5,,,,,,,0.0201,10.0,4.21215173304835
-26.0,,,,,,,0.0201,10.0,4.21215173304835
-25.5,,,,,,,0.0201,10.0,4.21215173304835
-25.0,,,,,,,0.0201,10.0,4.21215173304835
-24.5,,,,,,,0.0201,10.0,4.21215173304835
-24.0,,,,,,,0.0201,10.0,4.21215173304835
-23.5,,,,,,,0.0201,10.0,4.21215173304835
-23.0,,,,,,,0.0201,10.0,4.21215173304835
-22.5,,,,,,,0.0201,10.0,4.21215173304835
-22.0,,,,,,,0.0201,10.0,4.21215173304835
-21.5,,,,,,,0.0201,10.0,4.21215173304835
-21.0,,,,,,,0.0201,10.0,4.21215173304835
-20.5,,,,,,,0.0201,10.0,4.21215173304835
-20.0,,,,,,,0.0201,10.0,4.21215173304835
-19.5,,,,,,,0.0201,10.0,4.21215173304835
-19.0,,-3.8349239045855876,,,31.7364653659444,,0.0201,10.0,4.21215173304835
-18.5,,,,,,,0.0201,10.0,4.21215173304835
-18.0,-97.69139240359806,22.20522190068487,-13.435624758116912,67.75140380694982,25.5881630493447,18.9102360250896,0.0201,10.0,4.21215173304835
-17.5,-81.23766198574089,,,74.41026974882965,,,0.0201,10.0,4.21215173304835
-17.0,-32.11799245458307,-24.83632576675898,-21.659320221254394,104.61933552312588,22.42802457857254,17.4260800617313,0.0201,10.0,4.21215173304835
-16.5,,,,,,,0.0201,10.0,4.21215173304835
-16.0,,,,,,,0.0201,10.0,4.21215173304835
-15.5,-88.9194170483272,,,109.11246006500907,,,0.0201,10.0,4.21215173304835
-15.0,-35.15018275043686,,,108.89193336261096,,,0.0201,10.0,4.21215173304835
-14.5,88.88426765389084,,,100.36635241102519,,,0.0201,10.0,4.21215173304835
-14.0,6.887410152695058,,,98.81484297007766,,,0.0201,10.0,4.21215173304835
-13.5,171.7707208225735,,,98.72201901228745,,,0.0201,10.0,4.21215173304835
-13.0,51.50029982613079,,,95.12502605825587,,,0.0201,10.0,4.21215173304835
-12.5,-23.803903971064763,,,92.65255949840999,,,0.0201,10.0,4.21215173304835
-12.0,-70.16469405755277,-34.68678619156285,,88.93352800093587,31.478008443503942,,0.0201,10.0,4.21215173304835
-11.5,-33.601270636158475,,,92.05828220009062,,,0.0201,10.0,4.21215173304835
-11.0,-28.93360698371515,-41.172083311000534,-42.86861245929826,83.79559720715645,26.1451109779818,20.2743253573611,0.0201,10.0,4.21215173304835
-10.5,36.89799812887598,,,84.93773993873124,,,0.0201,10.0,4.21215173304835
-10.0,68.68414983429864,,-7.639157459582888,86.12846625664156,,19.14642597831704,0.0201,10.0,4.21215173304835
