relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0376,6.5,1.852157900636144
-29.5,,,,,,,0.0376,6.5,1.852157900636144
-29.0,,,,,,,0.0376,6.5,1.852157900636144
-28.5,,,,,,,0.0376,6.5,1.852157900636144
-28.0,,,,,,,0.0376,6.5,1.852157900636144
-27.5,,,,,,,0.0376,6.5,1.852157900636144
-27.0,,-45.273708797671176,25.42810342722278,,37.9211152758153,28.9847934332739,0.0376,6.5,1.852157900636144
-26.5,,,,,,,0.0376,6.5,1.852157900636144
-26.0,,-132.7548467298611,,,33.1889362198592,,0.0376,6.5,1.852157900636144
-25.5,,,,,,,0.0376,6.5,1.852157900636144
-25.0,,-122.30536678085997,22.784412612462997,,28.53148788892705,27.8965479994289,0.0376,6.5,1.852157900636144
-24.5,,,,,,,0.0376,6.5,1.852157900636144
-24.0,,,,,,,0.0376,6.5,1.852157900636144
-23.5,,,,,,,0.0376,6.5,1.852157900636144
-23.0,,,,,,,0.0376,6.5,1.852157900636144
-22.5,,,,,,,0.0376,6.5,1.852157900636144
-22.0,,,,,,,0.0376,6.5,1.852157900636144
-21.5,,,,,,,0.0376,6.5,1.852157900636144
-21.0,,,,,,,0.0376,6.5,1.852157900636144
-20.5,,,,,,,0.0376,6.5,1.852157900636144
-20.0,,-176.45339007190375,,,42.73322023222313,,0.0376,6.5,1.852157900636144
-19.5,,,,,,,0.0376,6.5,1.852157900636144
-19.0,,-85.80963580096166,27.927498403156253,,32.15121706924375,23.7830080502497,0.0376,6.5,1.852157900636144
-18.5,,,,,,,0.0376,6.5,1.852157900636144
-18.0,,,-21.780946689328097,,,23.223256683937983,0.0376,6.5,1.852157900636144
-17.5,,,,,,,0.0376,6.5,1.852157900636144
-17.0,,-158.66490498437008,-14.211929417240091,,26.204703883340123,22.306861025416037,0.0376,6.5,1.852157900636144
-16.5,,,,,,,0.0376,6.5,1.852157900636144
-16.0,,-197.96245939996697,-39.74050182951392,,26.13607824266905,18.92544274129223,0.0376,6.5,1.852157900636144
-15.5,,,,,,,0.0376,6.5,1.852157900636144
-15.0,,-148.10135779770496,7.298079943061985,,28.96257841865856,21.794387089986603,0.0376,6.5,1.852157900636144
-14.5,,,,,,,0.0376,6.5,1.852157900636144
-14.0,,-61.065884851219835,99.48024350130498,,26.942473827224728,24.97896012891541,0.0376,6.5,1.852157900636144
-13.5,,,,,,,0.0376,6.5,1.852157900636144
-13.0,,-26.63429304764192,67.01145129613178,,24.609574642898263,22.735212907805145,0.0376,6.5,1.852157900636144
-12.5,,,,,,,0.0376,6.5,1.852157900636144
-12.0,,-12.85391476920186,-21.750261797916917,,31.9529361624097,24.85357530176604,0.0376,6.5,1.852157900636144
-11.5,,,,,,,0.0376,6.5,1.852157900636144
-11.0,,-85.96299622012094,49.71144765065613,,28.453048172518237,31.71274909579804,0.0376,6.5,1.852157900636144
-10.5,,,,,,,0.0376,6.5,1.852157900636144
-10.0,,-73.55875704584948,49.74959133700681,,38.38347419077636,23.4590350485769,0.0376,6.5,1.852157900636144
-9.5,,,,,,,0.0376,6.5,1.852157900636144
-9.0,,-36.250976061560735,71.43390791781115,,49.375577213893386,46.18264231883089,0.0376,6.5,1.852157900636144
-8.5,,,,,,,0.0376,6.5,1.852157900636144
-8.0,,3.6423508207717834,56.14039835647268,,47.65419960489074,59.21813759759092,0.0376,6.5,1.852157900636144
-7.5,,,,,,,0.0376,6.5,1.852157900636144
-7.0,,17.018028219580803,138.97416370924455,,55.0867838763935,69.9576531381328,0.0376,6.5,1.852157900636144
-6.5,,,,,,,0.0376,6.5,1.852157900636144
-6.0,,123.77935903544203,141.70879171943668,,79.72209153281447,85.0884336420551,0.0376,6.5,1.852157900636144
-5.5,,,,,,,0.0376,6.5,1.852157900636144
-5.0,,170.8203316060441,61.97730565135532,,80.44686798371151,100.23673545828917,0.0376,6.5,1.852157900636144
-4.5,,,,,,,0.0376,6.5,1.852157900636144
-4.0,,239.19807408131857,,,100.84538298944038,,0.0376,6.5,1.852157900636144
-3.5,,,,,,,0.0376,6.5,1.852157900636144
-3.0,,261.0768433117746,207.77757103574262,,52.70036109070862,77.79496638751554,0.0376,6.5,1.852157900636144
-2.5,,,,,,,0.0376,6.5,1.852157900636144
-2.0,,210.35769274351628,282.96941311035033,,47.28998373398368,50.042938995111605,0.0376,6.5,1.852157900636144
-1.5,,,,,,,0.0376,6.5,1.852157900636144
-1.0,,296.09413650052613,385.2703153902241,,32.29485027645776,48.34292170870611,0.0376,6.5,1.852157900636144
-0.5,,,,,,,0.0376,6.5,1.852157900636144
0.0,,297.72077640196636,358.8407097610314,,36.83038670624061,35.102055120671515,0.0376,6.5,1.852157900636144
0.5,,,,,,,0.0376,6.5,1.852157900636144
1.0,,,,,,,0.0376,6.5,1.852157900636144
1.5,,,,,,,0.0376,6.5,1.852157900636144
2.0,,,,,,,0.0376,6.5,1.852157900636144
2.5,,,,,,,0.0376,6.5,1.852157900636144
3.0,,493.64692182241527,,,32.9816097841401,,0.0376,6.5,1.852157900636144
3.5,,,,,,,0.0376,6.5,1.852157900636144
4.0,,504.72888344830426,475.3099684698856,,29.472726801170687,25.5281797134317,0.0376,6.5,1.852157900636144
4.5,,,,,,,0.0376,6.5,1.852157900636144
5.0,,468.3402745236701,444.19588136093955,,29.3558101712604,26.348344736593667,0.0376,6.5,1.852157900636144
5.5,,,,,,,0.0376,6.5,1.852157900636144
6.0,,528.192616013305,477.27880358836035,,23.7296081190417,23.93590387632351,0.0376,6.5,1.852157900636144
6.5,,,,,,,0.0376,6.5,1.852157900636144
7.0,,,,,,,0.0376,6.5,1.852157900636144
7.5,,,,,,,0.0376,6.5,1.852157900636144
8.0,,,,,,,0.0376,6.5,1.852157900636144
8.5,,,,,,,0.0376,6.5,1.852157900636144
9.0,,,,,,,0.0376,6.5,1.852157900636144
9.5,,,,,,,0.0376,6.5,1.852157900636144
10.0,,441.28499095526234,398.1559923256483,,27.969070228814807,24.766367289801074,0.0376,6.5,1.852157900636144
10.5,,,,,,,0.0376,6.5,1.852157900636144
11.0,,460.1549324074992,290.18403036588245,,26.27627526141012,26.193815283022378,0.0376,6.5,1.852157900636144
11.5,,,,,,,0.0376,6.5,1.852157900636144
12.0,,384.51813714784464,,,28.604910736978,,0.0376,6.5,1.852157900636144
12.5,,,,,,,0.0376,6.5,1.852157900636144
13.0,,444.940428537852,287.87626290550264,,28.636759047882,26.644647739355513,0.0376,6.5,1.852157900636144
13.5,,,,,,,0.0376,6.5,1.852157900636144
14.0,,366.4293105687506,219.62988338748562,,27.80257023465752,23.261668355128425,0.0376,6.5,1.852157900636144
14.5,,,,,,,0.0376,6.5,1.852157900636144
15.0,,320.5319283966062,209.9146940921229,,25.806881010904586,23.725486714028182,0.0376,6.5,1.852157900636144
15.5,,,,,,,0.0376,6.5,1.852157900636144
16.0,,277.39316608685283,188.18272568868727,,26.920034505879546,24.400268241371464,0.0376,6.5,1.852157900636144
16.5,,,,,,,0.0376,6.5,1.852157900636144
17.0,,285.8611820883079,148.49640008226334,,27.054274571043766,22.678765532959584,0.0376,6.5,1.852157900636144
17.5,,,,,,,0.0376,6.5,1.852157900636144
18.0,,223.35910360824505,104.8864558210895,,37.12594832231475,38.12978102411829,0.0376,6.5,1.852157900636144
18.5,,,,,,,0.0376,6.5,1.852157900636144
19.0,,77.52055697886563,94.48916894073432,,79.4685792535177,33.2097209438939,0.0376,6.5,1.852157900636144
19.5,,,,,,,0.0376,6.5,1.852157900636144
20.0,,135.78268739433142,166.33265213527125,,50.52163309831322,50.2431331954171,0.0376,6.5,1.852157900636144
20.5,,,,,,,0.0376,6.5,1.852157900636144
21.0,,,,,,,0.0376,6.5,1.852157900636144
21.5,,,,,,,0.0376,6.5,1.852157900636144
22.0,,,,,,,0.0376,6.5,1.852157900636144
22.5,,,,,,,0.0376,6.5,1.852157900636144
23.0,,,,,,,0.0376,6.5,1.852157900636144
23.5,,,,,,,0.0376,6.5,1.852157900636144
24.0,,,,,,,0.0376,6.5,1.852157900636144
24.5,,,,,,,0.0376,6.5,1.852157900636144
25.0,,,,,,,0.0376,6.5,1.852157900636144
25.5,,,,,,,0.0376,6.5,1.852157900636144
26.0,,,,,,,0.0376,6.5,1.852157900636144
26.5,,,,,,,0.0376,6.5,1.852157900636144
27.0,,,,,,,0.0376,6.5,1.852157900636144
27.5,,,,,,,0.0376,6.5,1.852157900636144
28.0,,,128.26998117997707,,,33.0310760286436,0.0376,6.5,1.852157900636144
28.5,,,,,,,0.0376,6.5,1.852157900636144
29.0,,,,,,,0.0376,6.5,1.852157900636144
29.5,,,,,,,0.0376,6.5,1.852157900636144
30.0,,,,,,,0.0376,6.5,1.852157900636144
30.5,,,,,,,0.0376,6.5,1.852157900636144
31.0,,72.3396711394635,61.749385584510776,,25.3899944961332,24.9080022815393,0.0376,6.5,1.852157900636144
31.5,,,,,,,0.0376,6.5,1.852157900636144
32.0,,,,,,,0.0376,6.5,1.852157900636144
32.5,,,,,,,0.0376,6.5,1.852157900636144
33.0,,,,,,,0.0376,6.5,1.852157900636144
