relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-121.9604753616433,-103.79778950797726,,23.3449317260709,19.5663243586524,0.0263,14.0,3.5309488809667013
-29.5,,,,,,,0.0263,14.0,3.5309488809667013
-29.0,,,,,,,0.0263,14.0,3.5309488809667013
-28.5,,,,,,,0.0263,14.0,3.5309488809667013
-28.0,,,,,,,0.0263,14.0,3.5309488809667013
-27.5,,,,,,,0.0263,14.0,3.5309488809667013
-27.0,,39.92045777421374,-100.59635934930847,,27.245614536407,18.7617394085492,0.0263,14.0,3.5309488809667013
-26.5,,,,,,,0.0263,14.0,3.5309488809667013
-26.0,,,,,,,0.0263,14.0,3.5309488809667013
-25.5,,,,,,,0.0263,14.0,3.5309488809667013
-25.0,,-71.6623191972258,,,23.2898096872144,,0.0263,14.0,3.5309488809667013
-24.5,,,,,,,0.0263,14.0,3.5309488809667013
-24.0,,-9.68047863828269,57.39260686945916,,22.69819905955692,20.50898016605893,0.0263,14.0,3.5309488809667013
-23.5,,,,,,,0.0263,14.0,3.5309488809667013
-23.0,,14.738527159123219,,,31.2088281670971,,0.0263,14.0,3.5309488809667013
-22.5,,,,,,,0.0263,14.0,3.5309488809667013
-22.0,,36.55103920854823,-24.08334680849824,,23.1049351005058,18.7349843794792,0.0263,14.0,3.5309488809667013
-21.5,,,,,,,0.0263,14.0,3.5309488809667013
-21.0,,-14.685424944341877,-56.21840107969068,,39.41021692515893,28.75982307962441,0.0263,14.0,3.5309488809667013
-20.5,,,,,,,0.0263,14.0,3.5309488809667013
-20.0,,-7.247334770636313,-47.91400408791425,,47.7892777857548,45.8274174171509,0.0263,14.0,3.5309488809667013
-19.5,,,,,,,0.0263,14.0,3.5309488809667013
-19.0,,-116.13231069939756,-104.80440826389108,,53.9309815721081,63.6571005688309,0.0263,14.0,3.5309488809667013
-18.5,,,,,,,0.0263,14.0,3.5309488809667013
-18.0,,-253.75485792061195,-44.292404914664004,,71.7039140443667,78.2367570089138,0.0263,14.0,3.5309488809667013
-17.5,,,,,,,0.0263,14.0,3.5309488809667013
-17.0,,,201.1508296678454,,,94.1652992618084,0.0263,14.0,3.5309488809667013
-16.5,,,,,,,0.0263,14.0,3.5309488809667013
-16.0,,-36.23359153239525,-92.64737167660127,,46.9311938350602,80.01197708466634,0.0263,14.0,3.5309488809667013
-15.5,,,,,,,0.0263,14.0,3.5309488809667013
-15.0,,-0.8608703903367447,2.203989303113845,,42.0032633759801,42.74499368414221,0.0263,14.0,3.5309488809667013
-14.5,,,,,,,0.0263,14.0,3.5309488809667013
-14.0,,-128.7709921423807,5.911218997990623,,39.6773178436339,51.0734429339998,0.0263,14.0,3.5309488809667013
-13.5,,,,,,,0.0263,14.0,3.5309488809667013
-13.0,,137.453153348949,,,35.9125458130092,,0.0263,14.0,3.5309488809667013
-12.5,,,,,,,0.0263,14.0,3.5309488809667013
-12.0,,,,,,,0.0263,14.0,3.5309488809667013
-11.5,,,,,,,0.0263,14.0,3.5309488809667013
-11.0,,376.10476803902634,,,29.392662848891803,,0.0263,14.0,3.5309488809667013
-10.5,,,,,,,0.0263,14.0,3.5309488809667013
-10.0,,300.23260127209596,,,27.248650578094935,,0.0263,14.0,3.5309488809667013
-9.5,,,,,,,0.0263,14.0,3.5309488809667013
-9.0,,,94.38201471043695,,,21.625302695282972,0.0263,14.0,3.5309488809667013
-8.5,,,,,,,0.0263,14.0,3.5309488809667013
-8.0,,130.51267073670567,,,23.676492981719232,,0.0263,14.0,3.5309488809667013
-7.5,,,,,,,0.0263,14.0,3.5309488809667013
-7.0,,296.5679961095897,110.50581996912905,,23.6218112647004,20.192989535815915,0.0263,14.0,3.5309488809667013
-6.5,,,,,,,0.0263,14.0,3.5309488809667013
-6.0,,,,,,,0.0263,14.0,3.5309488809667013
-5.5,,,,,,,0.0263,14.0,3.5309488809667013
-5.0,,,,,,,0.0263,14.0,3.5309488809667013
-4.5,,,,,,,0.0263,14.0,3.5309488809667013
-4.0,,,,,,,0.0263,14.0,3.5309488809667013
