relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-239.43940568796572,-116.32381794958742,,34.011209316745976,18.8323282441552,0.0154,14.0,4.08326666612244
-29.5,,,,,,,0.0154,14.0,4.08326666612244
-29.0,,-212.595689291856,-76.57017672524603,,24.390004051857705,18.4744900536663,0.0154,14.0,4.08326666612244
-28.5,,,,,,,0.0154,14.0,4.08326666612244
-28.0,,-91.03766684421177,,,32.93814185487659,,0.0154,14.0,4.08326666612244
-27.5,,,,,,,0.0154,14.0,4.08326666612244
-27.0,,-266.4130868564492,-173.98920511502754,,29.125572973063832,17.45380132594069,0.0154,14.0,4.08326666612244
-26.5,,,,,,,0.0154,14.0,4.08326666612244
-26.0,,-156.15435380967068,-84.87724090041517,,32.79058878582717,19.35586662855584,0.0154,14.0,4.08326666612244
-25.5,,,,,,,0.0154,14.0,4.08326666612244
-25.0,,-163.00449846820044,-174.28822640384803,,45.01993817745663,19.012981957293736,0.0154,14.0,4.08326666612244
-24.5,,,,,,,0.0154,14.0,4.08326666612244
-24.0,,-71.86914436769538,-73.83708857912099,,57.98866795364371,36.93240889153943,0.0154,14.0,4.08326666612244
-23.5,,,,,,,0.0154,14.0,4.08326666612244
-23.0,,-130.85724740435973,7.7661590266211675,,64.08221122296251,44.20942805650996,0.0154,14.0,4.08326666612244
-22.5,,,,,,,0.0154,14.0,4.08326666612244
-22.0,,-109.21217036543503,,,66.56346303351225,,0.0154,14.0,4.08326666612244
-21.5,,,,,,,0.0154,14.0,4.08326666612244
-21.0,,-176.81193580003537,27.865801725463427,,104.12468385969996,71.31419640423677,0.0154,14.0,4.08326666612244
-20.5,,,,,,,0.0154,14.0,4.08326666612244
-20.0,,-131.60970369697836,,,86.37702996403827,,0.0154,14.0,4.08326666612244
-19.5,,,,,,,0.0154,14.0,4.08326666612244
-19.0,,-146.79057551097526,6.568610198375602,,69.11758492131803,60.32957837713359,0.0154,14.0,4.08326666612244
-18.5,,,,,,,0.0154,14.0,4.08326666612244
-18.0,,-90.52314715465002,-53.706466018620716,,54.21523583602444,41.79867731682199,0.0154,14.0,4.08326666612244
-17.5,,,,,,,0.0154,14.0,4.08326666612244
-17.0,,-132.8997646399016,-3.6162152629919824,,43.17974396604783,43.06177944925705,0.0154,14.0,4.08326666612244
-16.5,,,,,,,0.0154,14.0,4.08326666612244
-16.0,,-201.09019264804675,-128.06211349076358,,43.04275348505326,27.365123080780158,0.0154,14.0,4.08326666612244
-15.5,,,,,,,0.0154,14.0,4.08326666612244
-15.0,,,,,,,0.0154,14.0,4.08326666612244
-14.5,,,,,,,0.0154,14.0,4.08326666612244
-14.0,,,,,,,0.0154,14.0,4.08326666612244
-13.5,,,,,,,0.0154,14.0,4.08326666612244
-13.0,,-100.83733442271955,-86.85292415562782,,28.97320818673634,67.998278951367,0.0154,14.0,4.08326666612244
-12.5,,,,,,,0.0154,14.0,4.08326666612244
-12.0,,-197.15497243289207,-41.642451256240115,,27.281815289281166,19.21508636880226,0.0154,14.0,4.08326666612244
-11.5,,,,,,,0.0154,14.0,4.08326666612244
-11.0,,-197.88129921497114,-60.21258127666637,,28.08218212916984,17.116178036376947,0.0154,14.0,4.08326666612244
-10.5,,,,,,,0.0154,14.0,4.08326666612244
-10.0,,-116.38505197010926,-128.86048572953584,,24.61323529752403,16.23005367159964,0.0154,14.0,4.08326666612244
-9.5,,,,,,,0.0154,14.0,4.08326666612244
-9.0,,,,,,,0.0154,14.0,4.08326666612244
-8.5,,,,,,,0.0154,14.0,4.08326666612244
-8.0,,,,,,,0.0154,14.0,4.08326666612244
-7.5,,,,,,,0.0154,14.0,4.08326666612244
-7.0,,,,,,,0.0154,14.0,4.08326666612244
-6.5,,,,,,,0.0154,14.0,4.08326666612244
-6.0,,-209.78267549672518,-144.03353921741333,,35.76410007129231,18.299645884352373,0.0154,14.0,4.08326666612244
-5.5,,,,,,,0.0154,14.0,4.08326666612244
-5.0,,-229.95709373455645,-100.7212725991359,,25.766303124146607,18.636501597384694,0.0154,14.0,4.08326666612244
-4.5,,,,,,,0.0154,14.0,4.08326666612244
-4.0,,,-67.16046029327643,,,19.6926551369652,0.0154,14.0,4.08326666612244
-3.5,,,,,,,0.0154,14.0,4.08326666612244
-3.0,,-62.71341494977728,-15.346737983674583,,23.739323284693707,19.71834557542182,0.0154,14.0,4.08326666612244
-2.5,,,,,,,0.0154,14.0,4.08326666612244
-2.0,,22.18711159661488,71.83427995176972,,27.140620842133664,18.49948727014871,0.0154,14.0,4.08326666612244
-1.5,,,,,,,0.0154,14.0,4.08326666612244
