relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,65.29621574982704,-34.63386657487013,,22.475398901932,20.3028667257466,0.0741,9.0,3.7000585580951735
-29.5,,,,,,,0.0741,9.0,3.7000585580951735
-29.0,,,,,,,0.0741,9.0,3.7000585580951735
-28.5,,,,,,,0.0741,9.0,3.7000585580951735
-28.0,,,-29.33426613104896,,,21.9037434024598,0.0741,9.0,3.7000585580951735
-27.5,,,,,,,0.0741,9.0,3.7000585580951735
-27.0,,20.72831348044002,11.884214853303593,,32.9290919569229,18.8655435146398,0.0741,9.0,3.7000585580951735
-26.5,,,,,,,0.0741,9.0,3.7000585580951735
-26.0,,39.86452920066233,-13.197250942391737,,23.5227470785464,20.7585004885687,0.0741,9.0,3.7000585580951735
-25.5,,,,,,,0.0741,9.0,3.7000585580951735
-25.0,,18.592934181953083,8.413916742817868,,22.3310531373061,18.6951655997563,0.0741,9.0,3.7000585580951735
-24.5,,,,,,,0.0741,9.0,3.7000585580951735
-24.0,,-26.481647615567937,-30.493491408943964,,25.2394617739684,18.9354591356646,0.0741,9.0,3.7000585580951735
-23.5,,,,,,,0.0741,9.0,3.7000585580951735
-23.0,,46.515469035830634,22.281370137529684,,32.8201959269696,44.0034987210096,0.0741,9.0,3.7000585580951735
-22.5,,,,,,,0.0741,9.0,3.7000585580951735
-22.0,,,,,,,0.0741,9.0,3.7000585580951735
-21.5,,,,,,,0.0741,9.0,3.7000585580951735
-21.0,,,30.686857436317723,,,25.6750235523404,0.0741,9.0,3.7000585580951735
-20.5,,,,,,,0.0741,9.0,3.7000585580951735
-20.0,,,14.433624610241388,,,42.3617849131377,0.0741,9.0,3.7000585580951735
-19.5,,,,,,,0.0741,9.0,3.7000585580951735
-19.0,,,,,,,0.0741,9.0,3.7000585580951735
-18.5,,,,,,,0.0741,9.0,3.7000585580951735
-18.0,,,,,,,0.0741,9.0,3.7000585580951735
-17.5,,,,,,,0.0741,9.0,3.7000585580951735
-17.0,,,-15.673290710212253,,,77.0437707796483,0.0741,9.0,3.7000585580951735
-16.5,,,,,,,0.0741,9.0,3.7000585580951735
-16.0,,,,,,,0.0741,9.0,3.7000585580951735
-15.5,,,,,,,0.0741,9.0,3.7000585580951735
-15.0,,,,,,,0.0741,9.0,3.7000585580951735
-14.5,,,,,,,0.0741,9.0,3.7000585580951735
-14.0,,,,,,,0.0741,9.0,3.7000585580951735
-13.5,,,,,,,0.0741,9.0,3.7000585580951735
-13.0,,172.4375873559745,-52.32542462838645,,52.5345297482705,57.7453689524462,0.0741,9.0,3.7000585580951735
-12.5,-279.1363325610839,,,168.95836495031813,,,0.0741,9.0,3.7000585580951735
-12.0,-376.3984646453166,,,183.3900699015748,,,0.0741,9.0,3.7000585580951735
-11.5,-99.28731010884127,,,170.97592135459948,,,0.0741,9.0,3.7000585580951735
-11.0,-311.4184516187209,28.22738816014917,20.194762324118603,169.59957603701724,26.4952411255311,21.9883177373956,0.0741,9.0,3.7000585580951735
-10.5,-240.08573526021092,,,151.58160003716677,,,0.0741,9.0,3.7000585580951735
-10.0,-210.98175591131965,,,149.59391070242626,,,0.0741,9.0,3.7000585580951735
-9.5,90.40766956040662,,,140.04796410506452,,,0.0741,9.0,3.7000585580951735
-9.0,-60.048205479638206,19.00627736010366,10.508327913587886,145.64691318761572,28.579824179151,31.7127771253495,0.0741,9.0,3.7000585580951735
-8.5,56.03213859280348,,,137.77053777933912,,,0.0741,9.0,3.7000585580951735
-8.0,83.2221067996712,13.648568664123877,23.598008697960324,139.6772753812843,24.3829990680145,21.1673586562727,0.0741,9.0,3.7000585580951735
-7.5,134.81780682710684,,,135.746088861166,,,0.0741,9.0,3.7000585580951735
-7.0,117.41252924739894,118.43551501106315,,136.08043828069515,23.6434134443006,,0.0741,9.0,3.7000585580951735
-6.5,166.17073748992456,,,130.7397515343101,,,0.0741,9.0,3.7000585580951735
-6.0,178.66867805485435,-38.66437563125969,35.2554646884905,133.57778845436712,40.8731507667215,18.5456728319761,0.0741,9.0,3.7000585580951735
-5.5,190.97101327392917,,,128.2918126908041,,,0.0741,9.0,3.7000585580951735
-5.0,245.1975142742556,,70.29937409392296,137.02815031354922,,19.1169180635669,0.0741,9.0,3.7000585580951735
-4.5,394.430926737104,,,134.35779592492244,,,0.0741,9.0,3.7000585580951735
-4.0,326.96125361808646,197.29594108619509,137.82995753747875,138.6229634522612,33.4772387755994,19.6325454847482,0.0741,9.0,3.7000585580951735
-3.5,410.11767259637014,,,133.6627167561063,,,0.0741,9.0,3.7000585580951735
-3.0,437.7569525129238,217.2177920950507,214.44222360922527,133.66429715165458,20.7603290088791,21.9298754738096,0.0741,9.0,3.7000585580951735
-2.5,476.3190055629152,,,129.95415895033508,,,0.0741,9.0,3.7000585580951735
-2.0,418.66037336783523,297.9519830674923,276.7294005893494,131.2409120155903,20.8637821562507,17.6075815708448,0.0741,9.0,3.7000585580951735
-1.5,557.0544432202048,,,129.8417705676902,,,0.0741,9.0,3.7000585580951735
-1.0,303.8008603013248,,,112.76364164216749,,,0.0741,9.0,3.7000585580951735
-0.5,312.63135675812606,,,109.74030569693599,,,0.0741,9.0,3.7000585580951735
0.0,,397.5847552515523,395.55946967194376,,24.4302601396352,21.6505789743383,0.0741,9.0,3.7000585580951735
0.5,449.1054165847827,,,158.2318916753791,,,0.0741,9.0,3.7000585580951735
1.0,636.4940751060778,530.0125991940579,453.7571048949702,173.01886121088177,23.3188289925099,21.9522567359376,0.0741,9.0,3.7000585580951735
1.5,404.41021792352177,,,169.5870167384599,,,0.0741,9.0,3.7000585580951735
2.0,587.5884365963894,274.9129073291893,312.5330328483531,171.69682128697167,28.5646399961272,27.0877638741337,0.0741,9.0,3.7000585580951735
2.5,505.101824563372,,,156.99517239432657,,,0.0741,9.0,3.7000585580951735
3.0,433.2895932980748,611.9695740301704,604.934479711651,152.15640376275383,31.5141557035916,22.2694630625915,0.0741,9.0,3.7000585580951735
3.5,624.918111724139,,,143.41793691062227,,,0.0741,9.0,3.7000585580951735
4.0,651.4552904556131,647.0244025434662,554.2743283866089,153.05655448738,23.4459694757405,24.6210953031747,0.0741,9.0,3.7000585580951735
4.5,614.01027749834,,,149.79478353539588,,,0.0741,9.0,3.7000585580951735
5.0,669.3413257561373,545.3500180863884,494.71021808634583,158.31908601585465,26.0446495121289,28.6590475299594,0.0741,9.0,3.7000585580951735
5.5,576.4494263372497,,,149.65564850316596,,,0.0741,9.0,3.7000585580951735
6.0,587.0558211115679,597.8017333720107,,148.4562263051923,30.4030063244703,,0.0741,9.0,3.7000585580951735
6.5,573.527011636956,,,141.17879501483625,,,0.0741,9.0,3.7000585580951735
7.0,554.0423528709075,,528.4006062539123,144.5111802731997,,49.0840018141111,0.0741,9.0,3.7000585580951735
7.5,637.7561018559264,,,141.0872292739003,,,0.0741,9.0,3.7000585580951735
8.0,543.7774106466354,,564.7523531264854,141.49364128370286,,43.486059579361,0.0741,9.0,3.7000585580951735
8.5,476.26363203371193,,,137.17753129517192,,,0.0741,9.0,3.7000585580951735
9.0,610.8483077382492,657.5464176119596,535.9201024362841,141.5786887894474,29.294301770757,41.8298637502775,0.0741,9.0,3.7000585580951735
9.5,544.9703722786306,,,138.1843119765871,,,0.0741,9.0,3.7000585580951735
10.0,470.76046351471535,719.4496389912578,575.6019245649713,141.1346099814507,40.1168614583948,32.7412388005436,0.0741,9.0,3.7000585580951735
10.5,522.4180792774156,,,140.2178333916018,,,0.0741,9.0,3.7000585580951735
11.0,490.2034961793935,601.9014834704425,660.532560016093,141.84388934797704,46.5542803992931,58.5304389642164,0.0741,9.0,3.7000585580951735
11.5,496.9815110852379,,,137.48625324521973,,,0.0741,9.0,3.7000585580951735
12.0,402.64703015660814,824.6279285339914,475.3880492157277,119.32620501615658,45.6804296418004,63.4579048277798,0.0741,9.0,3.7000585580951735
12.5,544.8459731578622,,,112.68970014006112,,,0.0741,9.0,3.7000585580951735
13.0,,524.8775962389991,501.99575929229786,,46.7046952708065,86.0556993555623,0.0741,9.0,3.7000585580951735
13.5,,,,,,,0.0741,9.0,3.7000585580951735
14.0,,,,,,,0.0741,9.0,3.7000585580951735
14.5,,,,,,,0.0741,9.0,3.7000585580951735
15.0,,,,,,,0.0741,9.0,3.7000585580951735
15.5,,,,,,,0.0741,9.0,3.7000585580951735
16.0,,566.9560750026108,392.22725447752066,,45.6567615637017,58.0920628362793,0.0741,9.0,3.7000585580951735
16.5,,,,,,,0.0741,9.0,3.7000585580951735
17.0,,,,,,,0.0741,9.0,3.7000585580951735
17.5,,,,,,,0.0741,9.0,3.7000585580951735
18.0,,,,,,,0.0741,9.0,3.7000585580951735
18.5,,,,,,,0.0741,9.0,3.7000585580951735
19.0,,441.9589065886894,292.95055724230144,,23.4984438155557,28.1443188322821,0.0741,9.0,3.7000585580951735
19.5,,,,,,,0.0741,9.0,3.7000585580951735
20.0,,,,,,,0.0741,9.0,3.7000585580951735
20.5,,,,,,,0.0741,9.0,3.7000585580951735
21.0,,,,,,,0.0741,9.0,3.7000585580951735
21.5,,,,,,,0.0741,9.0,3.7000585580951735
22.0,,423.0610666744792,230.56495145213532,,28.1095539826049,23.3314155367048,0.0741,9.0,3.7000585580951735
22.5,,,,,,,0.0741,9.0,3.7000585580951735
23.0,,,,,,,0.0741,9.0,3.7000585580951735
23.5,,,,,,,0.0741,9.0,3.7000585580951735
24.0,,,,,,,0.0741,9.0,3.7000585580951735
24.5,,,,,,,0.0741,9.0,3.7000585580951735
25.0,,388.3574490300171,187.30439919237006,,26.2292002167699,22.8757673311783,0.0741,9.0,3.7000585580951735
25.5,,,,,,,0.0741,9.0,3.7000585580951735
26.0,,,,,,,0.0741,9.0,3.7000585580951735
26.5,,,,,,,0.0741,9.0,3.7000585580951735
27.0,,,,,,,0.0741,9.0,3.7000585580951735
27.5,,,,,,,0.0741,9.0,3.7000585580951735
28.0,,341.9206840260302,109.3982696322346,,26.5872282767504,20.9181716792099,0.0741,9.0,3.7000585580951735
28.5,,,,,,,0.0741,9.0,3.7000585580951735
29.0,,,,,,,0.0741,9.0,3.7000585580951735
29.5,,,,,,,0.0741,9.0,3.7000585580951735
30.0,,,,,,,0.0741,9.0,3.7000585580951735
30.5,,,,,,,0.0741,9.0,3.7000585580951735
31.0,,336.2694122645702,92.89762306862595,,21.9267614595164,20.6724977392392,0.0741,9.0,3.7000585580951735
31.5,,,,,,,0.0741,9.0,3.7000585580951735
32.0,,,,,,,0.0741,9.0,3.7000585580951735
32.5,,,,,,,0.0741,9.0,3.7000585580951735
33.0,,,,,,,0.0741,9.0,3.7000585580951735
33.5,,,,,,,0.0741,9.0,3.7000585580951735
34.0,,271.0265710657567,104.37430082347016,,31.5871258384086,24.248912771094,0.0741,9.0,3.7000585580951735
34.5,,,,,,,0.0741,9.0,3.7000585580951735
35.0,,,,,,,0.0741,9.0,3.7000585580951735
35.5,,,,,,,0.0741,9.0,3.7000585580951735
36.0,,,,,,,0.0741,9.0,3.7000585580951735
36.5,,,,,,,0.0741,9.0,3.7000585580951735
37.0,,,,,,,0.0741,9.0,3.7000585580951735
37.5,,,,,,,0.0741,9.0,3.7000585580951735
38.0,,,,,,,0.0741,9.0,3.7000585580951735
38.5,,,,,,,0.0741,9.0,3.7000585580951735
39.0,,201.7281971970944,,,32.2238763276262,,0.0741,9.0,3.7000585580951735
39.5,,,,,,,0.0741,9.0,3.7000585580951735
40.0,,151.9135775417017,42.62199245371705,,43.5901955118028,55.707841773321,0.0741,9.0,3.7000585580951735
40.5,,,,,,,0.0741,9.0,3.7000585580951735
41.0,,216.46178261524776,,,50.5916271594025,,0.0741,9.0,3.7000585580951735
41.5,,,,,,,0.0741,9.0,3.7000585580951735
42.0,,192.77408228355554,,,69.4622866476661,,0.0741,9.0,3.7000585580951735
42.5,,,,,,,0.0741,9.0,3.7000585580951735
43.0,,174.31942713688642,76.1366423292028,,61.646045774332585,86.96936592652,0.0741,9.0,3.7000585580951735
43.5,,,,,,,0.0741,9.0,3.7000585580951735
44.0,,,157.4513794414635,,,66.4295407558248,0.0741,9.0,3.7000585580951735
44.5,,,,,,,0.0741,9.0,3.7000585580951735
45.0,,186.73489009985283,33.037760737658,,39.1985157389097,45.4898987758149,0.0741,9.0,3.7000585580951735
45.5,,,,,,,0.0741,9.0,3.7000585580951735
46.0,,163.2042156364511,57.82962019649677,,39.2975678981209,50.2755499645468,0.0741,9.0,3.7000585580951735
46.5,,,,,,,0.0741,9.0,3.7000585580951735
47.0,,220.29147478953308,80.72496496630906,,29.0324609149142,37.7673340326293,0.0741,9.0,3.7000585580951735
47.5,,,,,,,0.0741,9.0,3.7000585580951735
48.0,,133.61609028039896,37.57105964804152,,28.7912635264083,30.8226586604273,0.0741,9.0,3.7000585580951735
48.5,,,,,,,0.0741,9.0,3.7000585580951735
49.0,,191.20407727789834,0.4434558311768022,,29.1560575536537,33.2102638539669,0.0741,9.0,3.7000585580951735
49.5,,,,,,,0.0741,9.0,3.7000585580951735
50.0,,132.82016462674008,47.45811577371197,,32.094833588055,33.84741196692374,0.0741,9.0,3.7000585580951735
50.5,,,,,,,0.0741,9.0,3.7000585580951735
51.0,,128.32406019802852,91.40055983646975,,26.9814018062562,31.6307861297418,0.0741,9.0,3.7000585580951735
51.5,,,,,,,0.0741,9.0,3.7000585580951735
52.0,,,,,,,0.0741,9.0,3.7000585580951735
52.5,,,,,,,0.0741,9.0,3.7000585580951735
53.0,,,,,,,0.0741,9.0,3.7000585580951735
53.5,,,,,,,0.0741,9.0,3.7000585580951735
54.0,,,,,,,0.0741,9.0,3.7000585580951735
54.5,,,,,,,0.0741,9.0,3.7000585580951735
55.0,,,,,,,0.0741,9.0,3.7000585580951735
55.5,,,,,,,0.0741,9.0,3.7000585580951735
56.0,,,,,,,0.0741,9.0,3.7000585580951735
56.5,,,,,,,0.0741,9.0,3.7000585580951735
57.0,,,,,,,0.0741,9.0,3.7000585580951735
57.5,,,,,,,0.0741,9.0,3.7000585580951735
58.0,,,,,,,0.0741,9.0,3.7000585580951735
58.5,,,,,,,0.0741,9.0,3.7000585580951735
59.0,,,,,,,0.0741,9.0,3.7000585580951735
59.5,,,,,,,0.0741,9.0,3.7000585580951735
60.0,,,,,,,0.0741,9.0,3.7000585580951735
