relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-20.668483189837623,-27.53625430177108,,19.080274179476728,17.70637969337283,0.048,9.0,1.8265784650238517
-29.5,,,,,,,0.048,9.0,1.8265784650238517
-29.0,,8.988302962029344,,,18.09923978829694,,0.048,9.0,1.8265784650238517
-28.5,,,,,,,0.048,9.0,1.8265784650238517
-28.0,,5.625793674798075,-33.52745107127032,,30.123199570958036,21.97133355815572,0.048,9.0,1.8265784650238517
-27.5,,,,,,,0.048,9.0,1.8265784650238517
-27.0,,66.29850561561776,-4.925223623369564,,38.40585497458313,36.21526968793289,0.048,9.0,1.8265784650238517
-26.5,,,,,,,0.048,9.0,1.8265784650238517
-26.0,,7.124539869559295,-32.786590965754186,,20.3182848252039,18.954353998702228,0.048,9.0,1.8265784650238517
-25.5,,,,,,,0.048,9.0,1.8265784650238517
-25.0,,,,,,,0.048,9.0,1.8265784650238517
-24.5,,,,,,,0.048,9.0,1.8265784650238517
-24.0,,,,,,,0.048,9.0,1.8265784650238517
-23.5,,,,,,,0.048,9.0,1.8265784650238517
-23.0,,34.879359171811025,,,51.9023992604521,,0.048,9.0,1.8265784650238517
-22.5,,,,,,,0.048,9.0,1.8265784650238517
-22.0,,,-11.252530700302493,,,71.0728090090894,0.048,9.0,1.8265784650238517
-21.5,,,,,,,0.048,9.0,1.8265784650238517
-21.0,,,,,,,0.048,9.0,1.8265784650238517
-20.5,,,,,,,0.048,9.0,1.8265784650238517
-20.0,,,,,,,0.048,9.0,1.8265784650238517
-19.5,,,,,,,0.048,9.0,1.8265784650238517
-19.0,,,33.34684101817154,,,57.1348181052502,0.048,9.0,1.8265784650238517
-18.5,,,,,,,0.048,9.0,1.8265784650238517
-18.0,,-29.272775579648947,,,49.8601362438435,,0.048,9.0,1.8265784650238517
-17.5,,,,,,,0.048,9.0,1.8265784650238517
-17.0,,,,,,,0.048,9.0,1.8265784650238517
-16.5,,,,,,,0.048,9.0,1.8265784650238517
-16.0,,0.1343979830100503,-4.68850202307511,,24.8251867497279,16.206812019736,0.048,9.0,1.8265784650238517
-15.5,,,,,,,0.048,9.0,1.8265784650238517
-15.0,,-18.9496999100184,2.048079199958325,,18.3352498728777,19.4579963529956,0.048,9.0,1.8265784650238517
-14.5,,,,,,,0.048,9.0,1.8265784650238517
-14.0,,-11.596798971193236,,,20.2905848239712,,0.048,9.0,1.8265784650238517
-13.5,,,,,,,0.048,9.0,1.8265784650238517
-13.0,,11.549820022203082,-10.814409844358282,,23.7520176090072,17.4831317024812,0.048,9.0,1.8265784650238517
-12.5,,,,,,,0.048,9.0,1.8265784650238517
-12.0,,-51.47739854051966,13.018145469491119,,18.177603046883,19.3905572087626,0.048,9.0,1.8265784650238517
-11.5,,,,,,,0.048,9.0,1.8265784650238517
-11.0,,21.227558406746986,-10.78244405150451,,25.4637729488671,15.374872521316,0.048,9.0,1.8265784650238517
-10.5,,,,,,,0.048,9.0,1.8265784650238517
-10.0,,-10.932075077814199,,,15.8385258271203,,0.048,9.0,1.8265784650238517
