relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0285,6.0,2.4677902846248685
-29.5,,,,,,,0.0285,6.0,2.4677902846248685
-29.0,,38.12163704375792,46.959314064272775,,50.03372556325465,67.74941970126022,0.0285,6.0,2.4677902846248685
-28.5,,,,,,,0.0285,6.0,2.4677902846248685
-28.0,,46.72226573843281,-44.710900955294846,,52.74083642633161,75.09772763628574,0.0285,6.0,2.4677902846248685
-27.5,,,,,,,0.0285,6.0,2.4677902846248685
-27.0,,,,,,,0.0285,6.0,2.4677902846248685
-26.5,,,,,,,0.0285,6.0,2.4677902846248685
-26.0,,,,,,,0.0285,6.0,2.4677902846248685
-25.5,,,,,,,0.0285,6.0,2.4677902846248685
-25.0,,58.51384241377454,-110.35231781931569,,54.931315361893304,100.214352548032,0.0285,6.0,2.4677902846248685
-24.5,,,,,,,0.0285,6.0,2.4677902846248685
-24.0,,-40.57426118487796,46.9039354327031,,50.430278780210635,56.63330361080217,0.0285,6.0,2.4677902846248685
-23.5,,,,,,,0.0285,6.0,2.4677902846248685
-23.0,,,-61.83388193528379,,,48.2632494496949,0.0285,6.0,2.4677902846248685
-22.5,,,,,,,0.0285,6.0,2.4677902846248685
-22.0,,-4.633125049485322,-20.25249481768796,,30.878637102749206,29.65009916400558,0.0285,6.0,2.4677902846248685
-21.5,,,,,,,0.0285,6.0,2.4677902846248685
-21.0,,-19.646678077680086,36.37638673551462,,25.84821518004949,28.67155918092772,0.0285,6.0,2.4677902846248685
-20.5,,,,,,,0.0285,6.0,2.4677902846248685
-20.0,,4.645210902059628,10.29078739126671,,30.3811570404365,32.40949609922776,0.0285,6.0,2.4677902846248685
-19.5,,,,,,,0.0285,6.0,2.4677902846248685
-19.0,,-8.263596924665539,-0.1908751512960425,,32.39610936600866,29.948986898331032,0.0285,6.0,2.4677902846248685
-18.5,,,,,,,0.0285,6.0,2.4677902846248685
-18.0,,14.173199128931593,2.1293218681372865,,29.1336616378366,30.482020560933798,0.0285,6.0,2.4677902846248685
-17.5,,,,,,,0.0285,6.0,2.4677902846248685
-17.0,,44.58844852506445,16.06057141850245,,39.3147339141046,27.49541503859488,0.0285,6.0,2.4677902846248685
-16.5,,,,,,,0.0285,6.0,2.4677902846248685
-16.0,,-10.426339621702496,11.40254247224296,,26.972605582517463,26.17044126160922,0.0285,6.0,2.4677902846248685
-15.5,,,,,,,0.0285,6.0,2.4677902846248685
-15.0,,-97.30489113413505,-2.7996315601361204,,32.4715187301715,29.533659478013618,0.0285,6.0,2.4677902846248685
