relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,56.744761056792555,-11.907871093184866,,27.9153313387379,23.664650087018888,0.0189,8.5,2.069554434064385
-29.5,,,,,,,0.0189,8.5,2.069554434064385
-29.0,,16.133271602800995,1.10432303575109,,21.6789306784214,22.2189645442561,0.0189,8.5,2.069554434064385
-28.5,,,,,,,0.0189,8.5,2.069554434064385
-28.0,,49.821088864599304,,,23.4003930913706,,0.0189,8.5,2.069554434064385
-27.5,,,,,,,0.0189,8.5,2.069554434064385
-27.0,,3.921961559484791,2.9016514084467993,,25.6675638887955,26.6915684532082,0.0189,8.5,2.069554434064385
-26.5,,,,,,,0.0189,8.5,2.069554434064385
-26.0,,-4.204052457304391,,,29.243866169723,,0.0189,8.5,2.069554434064385
-25.5,,,,,,,0.0189,8.5,2.069554434064385
-25.0,,58.57516737868162,13.090000772807617,,30.0658173224949,25.9451295287123,0.0189,8.5,2.069554434064385
-24.5,,,,,,,0.0189,8.5,2.069554434064385
-24.0,,23.802415168224517,,,22.5365105817437,,0.0189,8.5,2.069554434064385
-23.5,,,,,,,0.0189,8.5,2.069554434064385
-23.0,,29.2888832624544,-61.60525952013577,,23.0969444457218,43.203915933385666,0.0189,8.5,2.069554434064385
-22.5,,,,,,,0.0189,8.5,2.069554434064385
-22.0,,,-12.953518939315549,,,67.9203527143844,0.0189,8.5,2.069554434064385
-21.5,,,,,,,0.0189,8.5,2.069554434064385
-21.0,,96.54003065537255,0.7393913709504858,,102.08319588106,100.21487763792916,0.0189,8.5,2.069554434064385
-20.5,,,,,,,0.0189,8.5,2.069554434064385
-20.0,,-43.758923406071794,48.468383640620544,,103.82094551814832,112.94433208393305,0.0189,8.5,2.069554434064385
-19.5,,,,,,,0.0189,8.5,2.069554434064385
-19.0,,-54.445634872418424,79.9079258547635,,94.94823554566199,132.434390054754,0.0189,8.5,2.069554434064385
-18.5,,,,,,,0.0189,8.5,2.069554434064385
-18.0,,-64.22674910494547,,,79.5587780115621,,0.0189,8.5,2.069554434064385
-17.5,,,,,,,0.0189,8.5,2.069554434064385
-17.0,,,,,,,0.0189,8.5,2.069554434064385
-16.5,,,,,,,0.0189,8.5,2.069554434064385
-16.0,,,,,,,0.0189,8.5,2.069554434064385
-15.5,,,,,,,0.0189,8.5,2.069554434064385
-15.0,,,-108.49678166066606,,,84.9841864547289,0.0189,8.5,2.069554434064385
-14.5,,,,,,,0.0189,8.5,2.069554434064385
-14.0,,,,,,,0.0189,8.5,2.069554434064385
-13.5,,,,,,,0.0189,8.5,2.069554434064385
-13.0,,,,,,,0.0189,8.5,2.069554434064385
-12.5,,,,,,,0.0189,8.5,2.069554434064385
-12.0,,-29.482493259651864,,,85.7452762878341,,0.0189,8.5,2.069554434064385
-11.5,,,,,,,0.0189,8.5,2.069554434064385
-11.0,,,,,,,0.0189,8.5,2.069554434064385
-10.5,,,,,,,0.0189,8.5,2.069554434064385
-10.0,,,,,,,0.0189,8.5,2.069554434064385
-9.5,,,,,,,0.0189,8.5,2.069554434064385
-9.0,,,,,,,0.0189,8.5,2.069554434064385
-8.5,,,,,,,0.0189,8.5,2.069554434064385
-8.0,,,,,,,0.0189,8.5,2.069554434064385
-7.5,,,,,,,0.0189,8.5,2.069554434064385
-7.0,,,,,,,0.0189,8.5,2.069554434064385
-6.5,,,,,,,0.0189,8.5,2.069554434064385
