relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0155,10.4,2.3251379887367256
-29.5,,,,,,,0.0155,10.4,2.3251379887367256
-29.0,,,,,,,0.0155,10.4,2.3251379887367256
-28.5,,,,,,,0.0155,10.4,2.3251379887367256
-28.0,,,,,,,0.0155,10.4,2.3251379887367256
-27.5,,,,,,,0.0155,10.4,2.3251379887367256
-27.0,,-72.09750403882947,51.67351117267023,,76.4857929967662,74.8938043915383,0.0155,10.4,2.3251379887367256
-26.5,,,,,,,0.0155,10.4,2.3251379887367256
-26.0,,,,,,,0.0155,10.4,2.3251379887367256
-25.5,,,,,,,0.0155,10.4,2.3251379887367256
-25.0,,,,,,,0.0155,10.4,2.3251379887367256
-24.5,,,,,,,0.0155,10.4,2.3251379887367256
-24.0,,,,,,,0.0155,10.4,2.3251379887367256
-23.5,,,,,,,0.0155,10.4,2.3251379887367256
-23.0,,,,,,,0.0155,10.4,2.3251379887367256
-22.5,,,,,,,0.0155,10.4,2.3251379887367256
-22.0,,,,,,,0.0155,10.4,2.3251379887367256
-21.5,,,,,,,0.0155,10.4,2.3251379887367256
-21.0,,,,,,,0.0155,10.4,2.3251379887367256
-20.5,,,,,,,0.0155,10.4,2.3251379887367256
-20.0,,,,,,,0.0155,10.4,2.3251379887367256
-19.5,,,,,,,0.0155,10.4,2.3251379887367256
-19.0,,,,,,,0.0155,10.4,2.3251379887367256
-18.5,,,,,,,0.0155,10.4,2.3251379887367256
-18.0,,-14.819068841385436,,,30.766893212404547,,0.0155,10.4,2.3251379887367256
-17.5,,,,,,,0.0155,10.4,2.3251379887367256
-17.0,,,,,,,0.0155,10.4,2.3251379887367256
-16.5,,,,,,,0.0155,10.4,2.3251379887367256
-16.0,,,,,,,0.0155,10.4,2.3251379887367256
-15.5,,,,,,,0.0155,10.4,2.3251379887367256
-15.0,,-14.313851779102222,2.86100897986627,,30.548869271811597,28.257708730900607,0.0155,10.4,2.3251379887367256
-14.5,,,,,,,0.0155,10.4,2.3251379887367256
-14.0,,,,,,,0.0155,10.4,2.3251379887367256
-13.5,,,,,,,0.0155,10.4,2.3251379887367256
-13.0,,,,,,,0.0155,10.4,2.3251379887367256
-12.5,,,,,,,0.0155,10.4,2.3251379887367256
-12.0,,-82.82328511489011,38.162290335104665,,29.8392575205235,28.94805795005,0.0155,10.4,2.3251379887367256
-11.5,,,,,,,0.0155,10.4,2.3251379887367256
-11.0,-181.9706993851368,,,248.65752062063183,,,0.0155,10.4,2.3251379887367256
-10.5,-36.50640302688498,,,248.68026851831036,,,0.0155,10.4,2.3251379887367256
-10.0,-54.8628230013983,,,249.0881316230298,,,0.0155,10.4,2.3251379887367256
-9.5,8.531073557692647,,,249.2712757553473,,,0.0155,10.4,2.3251379887367256
-9.0,-46.641954529002355,-2.3421737474413487,-39.403256393265565,248.9539876198342,22.1730441053549,28.1100036604156,0.0155,10.4,2.3251379887367256
-8.5,-209.93469319216706,,,249.11436297998375,,,0.0155,10.4,2.3251379887367256
-8.0,-40.56143294137179,,,248.9951981050164,,,0.0155,10.4,2.3251379887367256
-7.5,31.60503379710432,,,250.08449002438007,,,0.0155,10.4,2.3251379887367256
-7.0,40.47608460835805,,,251.09427792957268,,,0.0155,10.4,2.3251379887367256
-6.5,43.308675481930194,,,250.6849900815764,,,0.0155,10.4,2.3251379887367256
-6.0,139.5197193035374,,,250.9044551325685,,,0.0155,10.4,2.3251379887367256
-5.5,192.67596029941728,,,251.590881857697,,,0.0155,10.4,2.3251379887367256
-5.0,257.0771220065167,,,252.00643818591442,,,0.0155,10.4,2.3251379887367256
-4.5,301.8901359111869,,,251.800460408345,,,0.0155,10.4,2.3251379887367256
-4.0,440.93071053534595,,,252.85217693758867,,,0.0155,10.4,2.3251379887367256
-3.5,527.3622897837478,,,252.65699665129702,,,0.0155,10.4,2.3251379887367256
-3.0,718.0387332643643,,,252.4297190882308,,,0.0155,10.4,2.3251379887367256
-2.5,708.356634209948,,,253.01989145908314,,,0.0155,10.4,2.3251379887367256
-2.0,737.060253134094,,,253.80682525230745,,,0.0155,10.4,2.3251379887367256
-1.5,954.8753045157422,,,254.4860625636155,,,0.0155,10.4,2.3251379887367256
-1.0,990.4915341596881,,1050.1515312968247,254.93317305750028,,112.754077597755,0.0155,10.4,2.3251379887367256
-0.5,,,,,,,0.0155,10.4,2.3251379887367256
0.0,,1022.7517908173888,1215.010278972721,,70.6611405631749,91.358375512434,0.0155,10.4,2.3251379887367256
0.5,,,,,,,0.0155,10.4,2.3251379887367256
1.0,,,,,,,0.0155,10.4,2.3251379887367256
1.5,,,,,,,0.0155,10.4,2.3251379887367256
2.0,,1311.89994842138,1563.1166590599703,,62.51697426837025,65.6864810341074,0.0155,10.4,2.3251379887367256
2.5,,,,,,,0.0155,10.4,2.3251379887367256
3.0,,,,,,,0.0155,10.4,2.3251379887367256
3.5,2035.3735914764015,,,250.50526865956067,,,0.0155,10.4,2.3251379887367256
4.0,2107.4516531941854,1888.4001207211084,2269.5004995882723,250.78617826271835,40.25702462889146,52.08701675882603,0.0155,10.4,2.3251379887367256
4.5,2097.7660332559185,,,250.6434483627794,,,0.0155,10.4,2.3251379887367256
5.0,2151.963111038716,,,250.81292009418763,,,0.0155,10.4,2.3251379887367256
5.5,2153.9955539944654,,,250.52905043720983,,,0.0155,10.4,2.3251379887367256
6.0,2084.344371168024,,,249.6320719753702,,,0.0155,10.4,2.3251379887367256
6.5,2185.8552323208473,,,250.10484597375296,,,0.0155,10.4,2.3251379887367256
7.0,2252.7739404728827,,,249.66298366698797,,,0.0155,10.4,2.3251379887367256
7.5,2187.778309724692,,,249.84565714879972,,,0.0155,10.4,2.3251379887367256
8.0,2200.7773384704274,2083.105523068503,2477.0467726837596,250.06843488665064,50.68528587501677,43.84018811784159,0.0155,10.4,2.3251379887367256
8.5,2128.993610631707,,,250.26428768421255,,,0.0155,10.4,2.3251379887367256
9.0,2262.252040944425,2120.0018769863163,2660.156181955643,250.12554803864805,45.0261838070853,37.8052521098303,0.0155,10.4,2.3251379887367256
9.5,2230.892890660258,,,250.48369838675163,,,0.0155,10.4,2.3251379887367256
10.0,2164.827273164594,2506.855005617121,2805.3908249490023,249.30968504100173,37.1118707848449,39.38302541926536,0.0155,10.4,2.3251379887367256
10.5,2187.8095606821366,,,248.39493384451708,,,0.0155,10.4,2.3251379887367256
11.0,2148.1026407952277,,,248.1349516776351,,,0.0155,10.4,2.3251379887367256
11.5,2129.6074998092977,,,248.15279395124261,,,0.0155,10.4,2.3251379887367256
12.0,2040.043776882671,2076.1208317530795,2035.5926214480198,247.62836928873003,49.89381632494744,42.29795062487378,0.0155,10.4,2.3251379887367256
12.5,2047.2597739899272,,,247.98912410577228,,,0.0155,10.4,2.3251379887367256
13.0,2025.791813804245,,,249.0695592411479,,,0.0155,10.4,2.3251379887367256
13.5,2046.2763151699878,,,249.39754022121963,,,0.0155,10.4,2.3251379887367256
14.0,2045.5165045417193,2146.385229051893,,253.70099119654523,39.5174763647345,,0.0155,10.4,2.3251379887367256
14.5,,,,,,,0.0155,10.4,2.3251379887367256
15.0,,849.6570610518091,1945.7209346459474,,44.6155815457787,32.6267232595279,0.0155,10.4,2.3251379887367256
15.5,,,,,,,0.0155,10.4,2.3251379887367256
16.0,,,,,,,0.0155,10.4,2.3251379887367256
16.5,,,,,,,0.0155,10.4,2.3251379887367256
17.0,,2010.8568261179141,1966.891475756487,,36.585566305427,33.5466432595589,0.0155,10.4,2.3251379887367256
17.5,,,,,,,0.0155,10.4,2.3251379887367256
18.0,,1712.7664939699011,1823.2889452281026,,32.8640931176821,31.8163748452924,0.0155,10.4,2.3251379887367256
18.5,,,,,,,0.0155,10.4,2.3251379887367256
19.0,,1687.6410421578676,1867.928054364326,,34.0675561971338,31.9293135532969,0.0155,10.4,2.3251379887367256
19.5,,,,,,,0.0155,10.4,2.3251379887367256
20.0,,629.1747559781026,,,58.2035342096153,,0.0155,10.4,2.3251379887367256
20.5,,,,,,,0.0155,10.4,2.3251379887367256
21.0,,1102.1891841386907,,,105.368620931447,,0.0155,10.4,2.3251379887367256
21.5,,,,,,,0.0155,10.4,2.3251379887367256
22.0,,,,,,,0.0155,10.4,2.3251379887367256
22.5,,,,,,,0.0155,10.4,2.3251379887367256
23.0,,,,,,,0.0155,10.4,2.3251379887367256
23.5,,,,,,,0.0155,10.4,2.3251379887367256
24.0,,1184.4358952337886,,,99.2592666021489,,0.0155,10.4,2.3251379887367256
24.5,,,,,,,0.0155,10.4,2.3251379887367256
25.0,,1148.5283293933073,1279.5271473692271,,105.870739003151,116.177416910603,0.0155,10.4,2.3251379887367256
25.5,,,,,,,0.0155,10.4,2.3251379887367256
26.0,,1184.8080292707205,1144.5107657222788,,93.0817906599031,115.70805374455915,0.0155,10.4,2.3251379887367256
26.5,,,,,,,0.0155,10.4,2.3251379887367256
27.0,,1210.5989828228023,901.5605268401403,,114.68494696559094,117.11628205855901,0.0155,10.4,2.3251379887367256
27.5,,,,,,,0.0155,10.4,2.3251379887367256
28.0,,,1049.0883076373839,,,121.94203556269,0.0155,10.4,2.3251379887367256
28.5,,,,,,,0.0155,10.4,2.3251379887367256
29.0,,1210.131737669748,796.8867001074532,,64.3272222632818,102.194136672998,0.0155,10.4,2.3251379887367256
29.5,,,,,,,0.0155,10.4,2.3251379887367256
30.0,,1242.8947914162086,,,56.79146912240795,,0.0155,10.4,2.3251379887367256
30.5,,,,,,,0.0155,10.4,2.3251379887367256
31.0,,,,,,,0.0155,10.4,2.3251379887367256
31.5,,,,,,,0.0155,10.4,2.3251379887367256
32.0,,1054.1487947202415,559.7577165523328,,56.62836503577175,67.13674257542858,0.0155,10.4,2.3251379887367256
32.5,,,,,,,0.0155,10.4,2.3251379887367256
33.0,,,,,,,0.0155,10.4,2.3251379887367256
33.5,,,,,,,0.0155,10.4,2.3251379887367256
34.0,,,,,,,0.0155,10.4,2.3251379887367256
34.5,,,,,,,0.0155,10.4,2.3251379887367256
35.0,,,,,,,0.0155,10.4,2.3251379887367256
35.5,,,,,,,0.0155,10.4,2.3251379887367256
36.0,,,,,,,0.0155,10.4,2.3251379887367256
36.5,,,,,,,0.0155,10.4,2.3251379887367256
37.0,,,,,,,0.0155,10.4,2.3251379887367256
37.5,,,,,,,0.0155,10.4,2.3251379887367256
38.0,,894.2726719140971,286.7751744383308,,61.760467744336516,77.7248182675768,0.0155,10.4,2.3251379887367256
38.5,,,,,,,0.0155,10.4,2.3251379887367256
39.0,,915.6303348557867,369.300488694858,,33.607472922457575,31.078093861230652,0.0155,10.4,2.3251379887367256
39.5,,,,,,,0.0155,10.4,2.3251379887367256
40.0,,,,,,,0.0155,10.4,2.3251379887367256
40.5,,,,,,,0.0155,10.4,2.3251379887367256
41.0,,909.9759224530061,313.6492048506645,,48.1450240901391,48.5823318177522,0.0155,10.4,2.3251379887367256
41.5,,,,,,,0.0155,10.4,2.3251379887367256
42.0,,731.2260275752444,277.6132322029629,,46.730360460376026,34.56200273429967,0.0155,10.4,2.3251379887367256
42.5,,,,,,,0.0155,10.4,2.3251379887367256
43.0,,706.0941124214835,261.076851210935,,60.1360061635957,37.5281139636611,0.0155,10.4,2.3251379887367256
43.5,,,,,,,0.0155,10.4,2.3251379887367256
