relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0128,13.5,3.5280006928696723
-29.5,,,,,,,0.0128,13.5,3.5280006928696723
-29.0,,,,,,,0.0128,13.5,3.5280006928696723
-28.5,,,,,,,0.0128,13.5,3.5280006928696723
-28.0,,,,,,,0.0128,13.5,3.5280006928696723
-27.5,,,,,,,0.0128,13.5,3.5280006928696723
-27.0,,,,,,,0.0128,13.5,3.5280006928696723
-26.5,,,,,,,0.0128,13.5,3.5280006928696723
-26.0,,-11.426133245644323,,,40.9809376801862,,0.0128,13.5,3.5280006928696723
-25.5,,,,,,,0.0128,13.5,3.5280006928696723
-25.0,,,,,,,0.0128,13.5,3.5280006928696723
-24.5,,,,,,,0.0128,13.5,3.5280006928696723
-24.0,,-10.512652366540047,-6.476425553567212,,30.9739491474886,22.8555270759562,0.0128,13.5,3.5280006928696723
-23.5,,,,,,,0.0128,13.5,3.5280006928696723
-23.0,,,14.419103223485012,,,23.2790288238492,0.0128,13.5,3.5280006928696723
-22.5,,,,,,,0.0128,13.5,3.5280006928696723
-22.0,,-0.9458950511612301,7.277953053148345,,30.584074941947872,25.4896161713728,0.0128,13.5,3.5280006928696723
-21.5,,,,,,,0.0128,13.5,3.5280006928696723
-21.0,,74.43966634551893,42.33059713570067,,40.3902868365654,24.3707251661995,0.0128,13.5,3.5280006928696723
-20.5,,,,,,,0.0128,13.5,3.5280006928696723
-20.0,,29.395747629181603,-37.31795640546012,,34.3290852157824,31.2643942193275,0.0128,13.5,3.5280006928696723
-19.5,,,,,,,0.0128,13.5,3.5280006928696723
-19.0,,13.410915844385668,-13.7992827561108,,34.018828987127975,26.639375166702024,0.0128,13.5,3.5280006928696723
-18.5,,,,,,,0.0128,13.5,3.5280006928696723
-18.0,,-8.011480853897252,33.09682780653868,,28.5878835755045,20.7360057139797,0.0128,13.5,3.5280006928696723
-17.5,,,,,,,0.0128,13.5,3.5280006928696723
-17.0,,,57.029981171823806,,,26.359447335773,0.0128,13.5,3.5280006928696723
-16.5,,,,,,,0.0128,13.5,3.5280006928696723
-16.0,,,,,,,0.0128,13.5,3.5280006928696723
-15.5,,,,,,,0.0128,13.5,3.5280006928696723
-15.0,-33.83046178152228,,,183.33390858632137,,,0.0128,13.5,3.5280006928696723
-14.5,-68.72475858841779,,,184.62433157793348,,,0.0128,13.5,3.5280006928696723
-14.0,11.738113738281136,,,184.72317802455987,,,0.0128,13.5,3.5280006928696723
-13.5,-99.56996373157634,,,184.2054593612456,,,0.0128,13.5,3.5280006928696723
-13.0,-63.053229456441876,12.517764251058297,,184.41360623859907,21.1734720849711,,0.0128,13.5,3.5280006928696723
-12.5,-30.04525604953997,,,184.10228829494753,,,0.0128,13.5,3.5280006928696723
-12.0,-76.44169045272558,,,183.18619567498934,,,0.0128,13.5,3.5280006928696723
-11.5,42.57952929970403,,,183.19245169540315,,,0.0128,13.5,3.5280006928696723
-11.0,7.865878854638227,,,183.3591859833522,,,0.0128,13.5,3.5280006928696723
-10.5,-22.592233246661742,,,182.66250070689847,,,0.0128,13.5,3.5280006928696723
-10.0,-33.10667864211542,,,182.69035177122979,,,0.0128,13.5,3.5280006928696723
-9.5,-44.952808340043546,,,182.98404751745764,,,0.0128,13.5,3.5280006928696723
-9.0,31.500323565732288,,,182.88340328594526,,,0.0128,13.5,3.5280006928696723
-8.5,-73.61790527068239,,,183.2138907789435,,,0.0128,13.5,3.5280006928696723
-8.0,-61.315521121885375,,,183.59660355067444,,,0.0128,13.5,3.5280006928696723
-7.5,28.559185292028772,,,184.17233649023052,,,0.0128,13.5,3.5280006928696723
-7.0,127.41278447924209,,,183.48848180351055,,,0.0128,13.5,3.5280006928696723
-6.5,116.88475333432191,,,183.33377290811083,,,0.0128,13.5,3.5280006928696723
-6.0,110.1098265551773,,,184.50899445831598,,,0.0128,13.5,3.5280006928696723
-5.5,168.15069477899834,,,184.02520976307966,,,0.0128,13.5,3.5280006928696723
-5.0,289.0295851534614,,108.85475700052578,185.23126900836635,,104.006355420456,0.0128,13.5,3.5280006928696723
-4.5,366.2082340287034,,,187.59005403753423,,,0.0128,13.5,3.5280006928696723
-4.0,,,,,,,0.0128,13.5,3.5280006928696723
-3.5,,,,,,,0.0128,13.5,3.5280006928696723
-3.0,,,,,,,0.0128,13.5,3.5280006928696723
-2.5,,,,,,,0.0128,13.5,3.5280006928696723
-2.0,,106.89075761027372,195.5912183333779,,72.23330315402042,58.75255844475371,0.0128,13.5,3.5280006928696723
-1.5,,,,,,,0.0128,13.5,3.5280006928696723
-1.0,,,317.6657154357767,,,47.92058313853924,0.0128,13.5,3.5280006928696723
-0.5,365.70770074104917,,,184.83704050993123,,,0.0128,13.5,3.5280006928696723
0.0,302.0919623122249,366.55687301825844,425.82507112631174,183.46243790136583,33.80851863859838,44.57433891631518,0.0128,13.5,3.5280006928696723
0.5,320.76684646947535,,,182.42366169065718,,,0.0128,13.5,3.5280006928696723
1.0,417.07686464397,,,181.40461608706863,,,0.0128,13.5,3.5280006928696723
1.5,404.07868002361255,,,182.99788779376593,,,0.0128,13.5,3.5280006928696723
2.0,446.44886284870574,,,180.92016114477218,,,0.0128,13.5,3.5280006928696723
2.5,453.95760377610054,,,179.47373552611913,,,0.0128,13.5,3.5280006928696723
3.0,559.6781523458252,,,179.3261750610039,,,0.0128,13.5,3.5280006928696723
3.5,505.3478017824241,,,182.04725264003525,,,0.0128,13.5,3.5280006928696723
4.0,542.8133993416315,471.77449632003,633.6350575338577,180.47298426408554,46.973045553273536,34.96314256057764,0.0128,13.5,3.5280006928696723
4.5,583.4437592835266,,,180.19982202217477,,,0.0128,13.5,3.5280006928696723
5.0,581.396862820527,576.5290327741036,707.3248375256271,181.967175851305,39.21733392961205,28.18258994364377,0.0128,13.5,3.5280006928696723
5.5,554.0979351664015,,,181.2616056975382,,,0.0128,13.5,3.5280006928696723
6.0,587.4058954022707,,756.1756207285591,180.31483647618768,,31.3387713082275,0.0128,13.5,3.5280006928696723
6.5,564.6080048571221,,,181.58990961831893,,,0.0128,13.5,3.5280006928696723
7.0,562.9154716210826,555.0309484353877,488.4226610435406,181.66033572618338,35.872968566482,26.985036734613754,0.0128,13.5,3.5280006928696723
7.5,611.0665548572437,,,181.49076828170575,,,0.0128,13.5,3.5280006928696723
8.0,572.6791746841657,599.1734247264496,585.6569484260028,181.1748478463597,46.41640499485635,37.7031794519965,0.0128,13.5,3.5280006928696723
8.5,571.5431748635066,,,181.47526802957074,,,0.0128,13.5,3.5280006928696723
9.0,647.6183461741408,640.4504416795431,,181.19140867433939,32.50411717945029,,0.0128,13.5,3.5280006928696723
9.5,634.0113818946221,,,180.7911107871485,,,0.0128,13.5,3.5280006928696723
10.0,849.3546114697016,,,181.56892295883856,,,0.0128,13.5,3.5280006928696723
10.5,1119.572265271894,,,186.89166700543655,,,0.0128,13.5,3.5280006928696723
11.0,,255.50252150282074,689.2375339540872,,49.98380448321547,28.682854184066464,0.0128,13.5,3.5280006928696723
11.5,,,,,,,0.0128,13.5,3.5280006928696723
12.0,,,,,,,0.0128,13.5,3.5280006928696723
12.5,,,,,,,0.0128,13.5,3.5280006928696723
13.0,,767.7937816280132,684.0381573409094,,31.973011368295605,28.7032194225111,0.0128,13.5,3.5280006928696723
13.5,,,,,,,0.0128,13.5,3.5280006928696723
14.0,,,,,,,0.0128,13.5,3.5280006928696723
14.5,,,,,,,0.0128,13.5,3.5280006928696723
15.0,,686.3010091083454,667.0333424844607,,33.180110200029326,28.08992389616574,0.0128,13.5,3.5280006928696723
15.5,,,,,,,0.0128,13.5,3.5280006928696723
16.0,,356.8926977375287,,,62.00408652094351,,0.0128,13.5,3.5280006928696723
16.5,,,,,,,0.0128,13.5,3.5280006928696723
17.0,,553.1802879502682,,,103.61276594511999,,0.0128,13.5,3.5280006928696723
17.5,,,,,,,0.0128,13.5,3.5280006928696723
18.0,,,,,,,0.0128,13.5,3.5280006928696723
18.5,,,,,,,0.0128,13.5,3.5280006928696723
19.0,,,644.3046822480418,,,129.2274092008266,0.0128,13.5,3.5280006928696723
19.5,,,,,,,0.0128,13.5,3.5280006928696723
20.0,,,,,,,0.0128,13.5,3.5280006928696723
20.5,,,,,,,0.0128,13.5,3.5280006928696723
21.0,,540.3070514832144,450.25466598493574,,97.98079818048726,108.25987084785599,0.0128,13.5,3.5280006928696723
21.5,,,,,,,0.0128,13.5,3.5280006928696723
22.0,,590.9985754934177,460.68170647759575,,98.2135879100305,113.72204408294205,0.0128,13.5,3.5280006928696723
22.5,,,,,,,0.0128,13.5,3.5280006928696723
23.0,,464.4095668858721,391.8454080956393,,108.42701397420214,123.02137868146671,0.0128,13.5,3.5280006928696723
23.5,,,,,,,0.0128,13.5,3.5280006928696723
24.0,,392.4173042059198,396.3991111129705,,123.35309963901474,110.46511978400608,0.0128,13.5,3.5280006928696723
24.5,,,,,,,0.0128,13.5,3.5280006928696723
25.0,,,,,,,0.0128,13.5,3.5280006928696723
25.5,,,,,,,0.0128,13.5,3.5280006928696723
26.0,,457.4596297859856,248.14440852777082,,53.29191294261108,73.551185174185,0.0128,13.5,3.5280006928696723
26.5,,,,,,,0.0128,13.5,3.5280006928696723
27.0,,,,,,,0.0128,13.5,3.5280006928696723
27.5,,,,,,,0.0128,13.5,3.5280006928696723
28.0,,370.8513266773199,226.19331688914528,,58.42246276748363,72.12896704150474,0.0128,13.5,3.5280006928696723
28.5,,,,,,,0.0128,13.5,3.5280006928696723
29.0,,,,,,,0.0128,13.5,3.5280006928696723
29.5,,,,,,,0.0128,13.5,3.5280006928696723
30.0,,,,,,,0.0128,13.5,3.5280006928696723
30.5,,,,,,,0.0128,13.5,3.5280006928696723
31.0,,,,,,,0.0128,13.5,3.5280006928696723
31.5,,,,,,,0.0128,13.5,3.5280006928696723
32.0,,,,,,,0.0128,13.5,3.5280006928696723
32.5,,,,,,,0.0128,13.5,3.5280006928696723
33.0,,,,,,,0.0128,13.5,3.5280006928696723
33.5,,,,,,,0.0128,13.5,3.5280006928696723
34.0,,354.4953870756396,115.53100145918765,,65.60300389067447,83.5317821179466,0.0128,13.5,3.5280006928696723
34.5,,,,,,,0.0128,13.5,3.5280006928696723
35.0,,345.5497347877676,111.71439364873656,,33.11520630201006,29.493347940259145,0.0128,13.5,3.5280006928696723
35.5,,,,,,,0.0128,13.5,3.5280006928696723
36.0,,,,,,,0.0128,13.5,3.5280006928696723
36.5,,,,,,,0.0128,13.5,3.5280006928696723
37.0,,368.8405078478249,,,65.7348495641443,,0.0128,13.5,3.5280006928696723
37.5,,,,,,,0.0128,13.5,3.5280006928696723
38.0,,317.9262117996551,94.39926880682259,,52.44545399733491,32.74971789218932,0.0128,13.5,3.5280006928696723
38.5,,,,,,,0.0128,13.5,3.5280006928696723
39.0,,335.422205929744,165.29026315246114,,55.7112322455188,35.3407688354116,0.0128,13.5,3.5280006928696723
39.5,,,,,,,0.0128,13.5,3.5280006928696723
40.0,,208.56158317972591,93.89397620212694,,54.43290783889338,38.292218568346364,0.0128,13.5,3.5280006928696723
40.5,,,,,,,0.0128,13.5,3.5280006928696723
41.0,,,15.537349730269424,,,25.0078131558902,0.0128,13.5,3.5280006928696723
41.5,,,,,,,0.0128,13.5,3.5280006928696723
42.0,,296.25209564456566,73.65585873761584,,44.7269424557118,29.3065611251596,0.0128,13.5,3.5280006928696723
42.5,,,,,,,0.0128,13.5,3.5280006928696723
43.0,,249.80856257835023,78.03593763558452,,35.8304285525266,34.6643185514031,0.0128,13.5,3.5280006928696723
43.5,,,,,,,0.0128,13.5,3.5280006928696723
44.0,,,50.643449870443675,,,51.48408178046193,0.0128,13.5,3.5280006928696723
44.5,,,,,,,0.0128,13.5,3.5280006928696723
45.0,,,,,,,0.0128,13.5,3.5280006928696723
45.5,,,,,,,0.0128,13.5,3.5280006928696723
46.0,,149.78962389179418,7.075104127058019,,69.7271321203266,64.67092883911573,0.0128,13.5,3.5280006928696723
46.5,,,,,,,0.0128,13.5,3.5280006928696723
47.0,,,,,,,0.0128,13.5,3.5280006928696723
47.5,,,,,,,0.0128,13.5,3.5280006928696723
48.0,,71.19915415513296,32.637779991770174,,67.1534741101445,68.23595933820964,0.0128,13.5,3.5280006928696723
48.5,,,,,,,0.0128,13.5,3.5280006928696723
49.0,,232.3254450419357,76.09540162476709,,64.5675201765706,83.0827413679171,0.0128,13.5,3.5280006928696723
49.5,,,,,,,0.0128,13.5,3.5280006928696723
50.0,,,-144.51746426920067,,,157.479207687717,0.0128,13.5,3.5280006928696723
50.5,,,,,,,0.0128,13.5,3.5280006928696723
51.0,,,50.527864130467634,,,108.0483285095827,0.0128,13.5,3.5280006928696723
51.5,,,,,,,0.0128,13.5,3.5280006928696723
52.0,,151.40663815619442,64.87498427792718,,67.48314993307956,97.95887958029671,0.0128,13.5,3.5280006928696723
52.5,,,,,,,0.0128,13.5,3.5280006928696723
53.0,,115.4627659613428,-6.256326832051821,,75.14947737116061,96.73294624358641,0.0128,13.5,3.5280006928696723
53.5,,,,,,,0.0128,13.5,3.5280006928696723
54.0,,143.41987630838247,-38.84196402175156,,96.68271707918122,88.34263677434558,0.0128,13.5,3.5280006928696723
54.5,,,,,,,0.0128,13.5,3.5280006928696723
55.0,,32.43189499674771,-27.535782862167952,,80.0522155120525,85.2618631657863,0.0128,13.5,3.5280006928696723
55.5,,,,,,,0.0128,13.5,3.5280006928696723
56.0,,,-3.8495389683813834,,,136.519271305375,0.0128,13.5,3.5280006928696723
56.5,,,,,,,0.0128,13.5,3.5280006928696723
57.0,,,,,,,0.0128,13.5,3.5280006928696723
57.5,,,,,,,0.0128,13.5,3.5280006928696723
58.0,,155.12185399466284,,,63.7480066756971,,0.0128,13.5,3.5280006928696723
58.5,,,,,,,0.0128,13.5,3.5280006928696723
59.0,,,38.50665728826014,,,38.5981795690562,0.0128,13.5,3.5280006928696723
59.5,,,,,,,0.0128,13.5,3.5280006928696723
60.0,,99.02112558465541,,,46.7422316793722,,0.0128,13.5,3.5280006928696723
60.5,,,,,,,0.0128,13.5,3.5280006928696723
61.0,,,,,,,0.0128,13.5,3.5280006928696723
61.5,,,,,,,0.0128,13.5,3.5280006928696723
62.0,,,,,,,0.0128,13.5,3.5280006928696723
62.5,,,,,,,0.0128,13.5,3.5280006928696723
63.0,,,25.381308921412227,,,39.679541980864414,0.0128,13.5,3.5280006928696723
63.5,,,,,,,0.0128,13.5,3.5280006928696723
64.0,,,,,,,0.0128,13.5,3.5280006928696723
64.5,,,,,,,0.0128,13.5,3.5280006928696723
65.0,,113.66785226333994,16.892507502293277,,42.75106320313778,45.289744802301364,0.0128,13.5,3.5280006928696723
65.5,,,,,,,0.0128,13.5,3.5280006928696723
66.0,,,,,,,0.0128,13.5,3.5280006928696723
66.5,,,,,,,0.0128,13.5,3.5280006928696723
67.0,,120.26004221224626,119.24740872673797,,99.13874455596515,58.4032067271769,0.0128,13.5,3.5280006928696723
67.5,,,,,,,0.0128,13.5,3.5280006928696723
68.0,,,,,,,0.0128,13.5,3.5280006928696723
68.5,,,,,,,0.0128,13.5,3.5280006928696723
69.0,,52.584859493234816,-80.70353562649724,,90.2239354186996,56.1649516974142,0.0128,13.5,3.5280006928696723
69.5,,,,,,,0.0128,13.5,3.5280006928696723
70.0,,,,,,,0.0128,13.5,3.5280006928696723
