relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0163,15.35,1.4648321860654665
-29.5,,,,,,,0.0163,15.35,1.4648321860654665
-29.0,,,,,,,0.0163,15.35,1.4648321860654665
-28.5,,,,,,,0.0163,15.35,1.4648321860654665
-28.0,,,44.968611534750394,,,59.55708253894446,0.0163,15.35,1.4648321860654665
-27.5,,,,,,,0.0163,15.35,1.4648321860654665
-27.0,,,-44.35985217848082,,,69.218354279599,0.0163,15.35,1.4648321860654665
-26.5,,,,,,,0.0163,15.35,1.4648321860654665
-26.0,,,,,,,0.0163,15.35,1.4648321860654665
-25.5,,,,,,,0.0163,15.35,1.4648321860654665
-25.0,,-24.40853349300557,-42.336387451331674,,95.67589510619689,130.66941280938815,0.0163,15.35,1.4648321860654665
-24.5,,,,,,,0.0163,15.35,1.4648321860654665
-24.0,,24.6976152904222,-6.603568850538876,,96.8650021290446,102.583992394749,0.0163,15.35,1.4648321860654665
-23.5,,,,,,,0.0163,15.35,1.4648321860654665
-23.0,,24.44680754043779,39.529830821057374,,82.08296154979136,98.81672356296191,0.0163,15.35,1.4648321860654665
-22.5,,,,,,,0.0163,15.35,1.4648321860654665
-22.0,,,,,,,0.0163,15.35,1.4648321860654665
-21.5,,,,,,,0.0163,15.35,1.4648321860654665
-21.0,,37.06022595971439,-21.00863598488826,,73.8167686563509,81.88520510635675,0.0163,15.35,1.4648321860654665
-20.5,,,,,,,0.0163,15.35,1.4648321860654665
-20.0,,19.72079001516228,26.623146430369406,,40.4793234768281,44.241920227445895,0.0163,15.35,1.4648321860654665
-19.5,,,,,,,0.0163,15.35,1.4648321860654665
-19.0,,10.004901834516819,19.055863552897325,,34.29005991805724,40.928374484127765,0.0163,15.35,1.4648321860654665
-18.5,,,,,,,0.0163,15.35,1.4648321860654665
-18.0,,,13.632262331800746,,,41.95709972919978,0.0163,15.35,1.4648321860654665
-17.5,,,,,,,0.0163,15.35,1.4648321860654665
-17.0,,,,,,,0.0163,15.35,1.4648321860654665
-16.5,,,,,,,0.0163,15.35,1.4648321860654665
-16.0,,,,,,,0.0163,15.35,1.4648321860654665
-15.5,,,,,,,0.0163,15.35,1.4648321860654665
-15.0,,-26.19225015256894,-30.775733619973074,,41.93540742959572,36.977575496431754,0.0163,15.35,1.4648321860654665
-14.5,,,,,,,0.0163,15.35,1.4648321860654665
-14.0,,29.86366441737589,3.322732845430585,,27.0336432842489,21.601253329860583,0.0163,15.35,1.4648321860654665
-13.5,,,,,,,0.0163,15.35,1.4648321860654665
-13.0,,-7.924236257319841,2.699396452988151,,26.740195670364848,22.279561770348362,0.0163,15.35,1.4648321860654665
-12.5,,,,,,,0.0163,15.35,1.4648321860654665
-12.0,,26.615080225114827,-40.22909358206439,,27.133350912136148,26.3507901175555,0.0163,15.35,1.4648321860654665
-11.5,,,,,,,0.0163,15.35,1.4648321860654665
-11.0,,-0.45937849249956475,-29.90644886276131,,30.17690982079723,31.702341208113893,0.0163,15.35,1.4648321860654665
-10.5,,,,,,,0.0163,15.35,1.4648321860654665
-10.0,,48.62936433806677,,,26.546585413700157,,0.0163,15.35,1.4648321860654665
-9.5,,,,,,,0.0163,15.35,1.4648321860654665
-9.0,,-33.65772642513111,-26.442425427184887,,28.638638545285307,28.461064589179234,0.0163,15.35,1.4648321860654665
-8.5,,,,,,,0.0163,15.35,1.4648321860654665
-8.0,,-12.469861612614858,-20.403513707471884,,35.455350611569,22.141012571412475,0.0163,15.35,1.4648321860654665
-7.5,,,,,,,0.0163,15.35,1.4648321860654665
-7.0,,16.170346111342635,-25.260449946024103,,28.10911284814672,24.02604376262741,0.0163,15.35,1.4648321860654665
-6.5,,,,,,,0.0163,15.35,1.4648321860654665
-6.0,,-25.041105818686027,17.90592524451101,,24.24286725047475,22.165216338117,0.0163,15.35,1.4648321860654665
-5.5,-75.73121969094557,,,243.8718021462058,,,0.0163,15.35,1.4648321860654665
-5.0,-45.15912095676043,-3.565635166061569,20.315792576385334,243.79066624727824,21.3633807959405,18.043899669774618,0.0163,15.35,1.4648321860654665
-4.5,-148.79637122693032,,,243.70380103374848,,,0.0163,15.35,1.4648321860654665
-4.0,-149.60408141415058,,22.62473413807944,243.53125952742215,,22.416505268228537,0.0163,15.35,1.4648321860654665
-3.5,-135.05326383941787,,,243.5977800683998,,,0.0163,15.35,1.4648321860654665
-3.0,-85.18608703543259,142.25311413912098,,243.44234913519745,52.881224004995914,,0.0163,15.35,1.4648321860654665
-2.5,18.86624545180687,,,243.37922442090766,,,0.0163,15.35,1.4648321860654665
-2.0,61.23858769991003,-60.66746358820137,,243.2883274189879,83.3943231549408,,0.0163,15.35,1.4648321860654665
-1.5,178.30161273365388,,,243.28211301686187,,,0.0163,15.35,1.4648321860654665
-1.0,168.44592007874365,,,243.3168691358288,,,0.0163,15.35,1.4648321860654665
-0.5,261.678692254795,,,243.264714788808,,,0.0163,15.35,1.4648321860654665
0.0,357.6972364834218,140.55421499293732,285.11506187061303,243.31922701128667,71.1442835235944,86.99431171237045,0.0163,15.35,1.4648321860654665
0.5,445.00472667255895,,,243.32286686553178,,,0.0163,15.35,1.4648321860654665
1.0,463.41690089249136,307.90183628039813,,243.27259055169264,72.87158088795928,,0.0163,15.35,1.4648321860654665
1.5,492.24673197108234,,,243.18904658207205,,,0.0163,15.35,1.4648321860654665
2.0,504.77621572064606,570.1453245365807,577.9417023146381,243.23204472877526,80.4298642904532,90.57751208212954,0.0163,15.35,1.4648321860654665
2.5,616.4534171207537,,,243.28815662900124,,,0.0163,15.35,1.4648321860654665
3.0,783.6431603546529,421.8390890800028,625.3014671906489,243.4200979674841,109.976370775885,101.30589953502,0.0163,15.35,1.4648321860654665
3.5,867.9560331368675,,,243.5950072785442,,,0.0163,15.35,1.4648321860654665
4.0,887.269660282096,890.258028726822,1124.6663183793955,243.85646910498568,102.25168128305982,117.920115432903,0.0163,15.35,1.4648321860654665
4.5,1087.1340441606417,,,244.54465170997526,,,0.0163,15.35,1.4648321860654665
5.0,1086.1317765878619,,1182.3379565607124,245.29213095308708,,113.209764066503,0.0163,15.35,1.4648321860654665
5.5,,,,,,,0.0163,15.35,1.4648321860654665
6.0,,1152.1070794038478,1325.247803372957,,70.24163477248425,92.64660109501126,0.0163,15.35,1.4648321860654665
6.5,,,,,,,0.0163,15.35,1.4648321860654665
7.0,,,1655.7244582477792,,,73.0291162138083,0.0163,15.35,1.4648321860654665
7.5,,,,,,,0.0163,15.35,1.4648321860654665
8.0,,1395.6241000418859,,,54.52468895010264,,0.0163,15.35,1.4648321860654665
8.5,,,,,,,0.0163,15.35,1.4648321860654665
9.0,1506.1288944044259,1499.776638217783,1850.8311034144176,243.43644845777786,66.57670993898758,69.69325277834443,0.0163,15.35,1.4648321860654665
9.5,1530.9864560581136,,,243.1163429763666,,,0.0163,15.35,1.4648321860654665
10.0,1521.4223387930024,,,242.70013969764653,,,0.0163,15.35,1.4648321860654665
10.5,1569.872126681726,,,242.35608395949234,,,0.0163,15.35,1.4648321860654665
11.0,1559.298910883044,,,242.14146928512122,,,0.0163,15.35,1.4648321860654665
11.5,1539.1859756441108,,,242.00804225631487,,,0.0163,15.35,1.4648321860654665
12.0,1669.7670977590124,,,242.02555777071873,,,0.0163,15.35,1.4648321860654665
12.5,1731.276917914396,,,242.0129450899281,,,0.0163,15.35,1.4648321860654665
13.0,1694.523961176221,,,241.97366324535253,,,0.0163,15.35,1.4648321860654665
