relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,18.00185266977657,22.98059403771136,,34.6750774202592,47.35417496478563,0.0342,11.0,4.057501968233931
-29.5,,,,,,,0.0342,11.0,4.057501968233931
-29.0,,,-155.60193579511122,,,62.9072508351693,0.0342,11.0,4.057501968233931
-28.5,,,,,,,0.0342,11.0,4.057501968233931
-28.0,,,-72.66492609134214,,,82.9450539204112,0.0342,11.0,4.057501968233931
-27.5,,,,,,,0.0342,11.0,4.057501968233931
-27.0,,72.3972539733673,,,103.891891041877,,0.0342,11.0,4.057501968233931
-26.5,,,,,,,0.0342,11.0,4.057501968233931
-26.0,,,,,,,0.0342,11.0,4.057501968233931
-25.5,,,,,,,0.0342,11.0,4.057501968233931
-25.0,,,,,,,0.0342,11.0,4.057501968233931
-24.5,,,,,,,0.0342,11.0,4.057501968233931
-24.0,,,,,,,0.0342,11.0,4.057501968233931
-23.5,,,,,,,0.0342,11.0,4.057501968233931
-23.0,,,,,,,0.0342,11.0,4.057501968233931
-22.5,,,,,,,0.0342,11.0,4.057501968233931
-22.0,,58.62832176426756,,,90.6886512250993,,0.0342,11.0,4.057501968233931
-21.5,,,,,,,0.0342,11.0,4.057501968233931
-21.0,,,,,,,0.0342,11.0,4.057501968233931
-20.5,,,,,,,0.0342,11.0,4.057501968233931
-20.0,,-66.01685289869316,-28.611972523421944,,32.8119050696502,45.6417675501935,0.0342,11.0,4.057501968233931
-19.5,,,,,,,0.0342,11.0,4.057501968233931
-19.0,,,,,,,0.0342,11.0,4.057501968233931
-18.5,,,,,,,0.0342,11.0,4.057501968233931
-18.0,,,,,,,0.0342,11.0,4.057501968233931
-17.5,,,,,,,0.0342,11.0,4.057501968233931
-17.0,,,,,,,0.0342,11.0,4.057501968233931
-16.5,,,,,,,0.0342,11.0,4.057501968233931
-16.0,,-29.402067430179876,-8.48506318750625,,31.2474419916985,26.6034382842698,0.0342,11.0,4.057501968233931
-15.5,,,,,,,0.0342,11.0,4.057501968233931
-15.0,,,,,,,0.0342,11.0,4.057501968233931
-14.5,,,,,,,0.0342,11.0,4.057501968233931
-14.0,,12.564987206424266,6.144122032830311,,29.5786976439742,24.2678603621707,0.0342,11.0,4.057501968233931
-13.5,,,,,,,0.0342,11.0,4.057501968233931
-13.0,,,,,,,0.0342,11.0,4.057501968233931
-12.5,,,,,,,0.0342,11.0,4.057501968233931
-12.0,,1.2285265082935242,39.870187716779505,,31.2428698210334,27.1373863529906,0.0342,11.0,4.057501968233931
-11.5,,,,,,,0.0342,11.0,4.057501968233931
-11.0,,,,,,,0.0342,11.0,4.057501968233931
-10.5,,,,,,,0.0342,11.0,4.057501968233931
-10.0,,28.86603014884842,24.741607937579982,,25.7487834366358,26.9758928748963,0.0342,11.0,4.057501968233931
-9.5,,,,,,,0.0342,11.0,4.057501968233931
-9.0,,,,,,,0.0342,11.0,4.057501968233931
-8.5,,,,,,,0.0342,11.0,4.057501968233931
-8.0,,40.58405050304036,,,27.7624352209165,,0.0342,11.0,4.057501968233931
-7.5,,,,,,,0.0342,11.0,4.057501968233931
-7.0,,,24.669415564028714,,,20.3475892207337,0.0342,11.0,4.057501968233931
-6.5,-10.26898775971162,,,60.02657033945246,,,0.0342,11.0,4.057501968233931
-6.0,-19.186829750729153,129.83685751996853,86.69430635445693,60.051432585032714,23.52054152276,19.411899395292394,0.0342,11.0,4.057501968233931
-5.5,60.28491741279549,,,59.94893425285645,,,0.0342,11.0,4.057501968233931
-5.0,97.37407805117223,195.65804726214705,96.0047948308668,60.00716811541647,25.0257215461894,22.2213725380822,0.0342,11.0,4.057501968233931
-4.5,115.75346323700879,,,60.58571382269346,,,0.0342,11.0,4.057501968233931
-4.0,178.87062294009124,26.327391752658432,54.8020641254384,60.137636747117575,38.32493437563605,22.2560981864705,0.0342,11.0,4.057501968233931
-3.5,246.0306356503264,,,60.04663865911879,,,0.0342,11.0,4.057501968233931
-3.0,271.94176518209247,,,60.319847831246804,,,0.0342,11.0,4.057501968233931
-2.5,294.13250405905774,,,60.713141714245126,,,0.0342,11.0,4.057501968233931
-2.0,325.5804714179981,,,60.638423248383056,,,0.0342,11.0,4.057501968233931
-1.5,401.56182602942323,,,60.44878136757524,,,0.0342,11.0,4.057501968233931
-1.0,398.2077625442997,411.8394966083272,318.27534207431324,60.68759229142692,63.5941888492951,59.9892817909595,0.0342,11.0,4.057501968233931
