relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-29.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-29.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-28.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-28.0,,7.827213708404058,0.7065403060351901,,25.8950089528832,22.4583160170312,0.0455,24.200000000000003,0.7139483330201298
-27.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-27.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-26.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-26.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-25.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-25.0,,28.971589701739994,4.633656740243436,,23.2975941805597,25.2275747476703,0.0455,24.200000000000003,0.7139483330201298
-24.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-24.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-23.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-23.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-22.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-22.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-21.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-21.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-20.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-20.0,,-38.288429900252495,-24.08267673136975,,23.8229582578301,25.6687948108805,0.0455,24.200000000000003,0.7139483330201298
-19.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-19.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-18.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-18.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-17.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-17.0,,7.220612939765739,2.315895399546833,,17.9188669887192,19.8194463313885,0.0455,24.200000000000003,0.7139483330201298
-16.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-16.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-15.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-15.0,,-25.324311675213483,-17.837606994263027,,41.9626589871677,47.64980334437524,0.0455,24.200000000000003,0.7139483330201298
-14.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-14.0,,,14.886091331721936,,,70.5950576936555,0.0455,24.200000000000003,0.7139483330201298
-13.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-13.0,,-57.91769248649735,-118.2539428981865,,83.8179733635929,107.672104462857,0.0455,24.200000000000003,0.7139483330201298
-12.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-12.0,,-26.476190370405057,-136.52784612075283,,84.9510633620292,86.6033266631332,0.0455,24.200000000000003,0.7139483330201298
-11.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-11.0,,-19.652501363262395,,,64.48407488534383,,0.0455,24.200000000000003,0.7139483330201298
-10.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-10.0,,-24.622201452066196,56.046560467834475,,79.3005452695423,94.2359886735235,0.0455,24.200000000000003,0.7139483330201298
-9.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-9.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-8.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-8.0,,142.5605050982009,-60.285375814870484,,100.132738859554,112.587579403194,0.0455,24.200000000000003,0.7139483330201298
-7.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-7.0,,-60.55051298466185,-4.872552851583464,,40.85729525057368,52.047435521102756,0.0455,24.200000000000003,0.7139483330201298
-6.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-6.0,,-22.88151065555218,-10.713951347553666,,34.9112749098541,46.11560760204882,0.0455,24.200000000000003,0.7139483330201298
-5.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-5.0,,9.54695352277482,1.8958576166795247,,93.54593046736835,48.29268451374167,0.0455,24.200000000000003,0.7139483330201298
-4.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-4.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-3.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-3.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-2.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-2.0,,-5.013789579227598,-9.33793612275642,,35.91923793300919,30.555492161199012,0.0455,24.200000000000003,0.7139483330201298
-1.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
-1.0,,22.34535158933508,17.25383457553605,,24.2900684852428,24.2550322169479,0.0455,24.200000000000003,0.7139483330201298
-0.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
0.0,,48.097324771628536,22.488951890554077,,26.026325012545975,25.061134393612924,0.0455,24.200000000000003,0.7139483330201298
0.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
1.0,,-15.912405050669097,-8.711377443634154,,29.94045874118127,26.098017687020196,0.0455,24.200000000000003,0.7139483330201298
1.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
2.0,,,,,,,0.0455,24.200000000000003,0.7139483330201298
2.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
3.0,,-17.67462061056621,5.93472477695372,,25.94210208700063,22.59433709899869,0.0455,24.200000000000003,0.7139483330201298
3.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
4.0,,,23.58777777252631,,,29.00736508481008,0.0455,24.200000000000003,0.7139483330201298
4.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
5.0,,30.867801570816777,2.1977740920688467,,29.31132361288526,25.134813718483915,0.0455,24.200000000000003,0.7139483330201298
5.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
6.0,,10.365255070349521,25.51544874152695,,29.6766512433909,25.28112813952579,0.0455,24.200000000000003,0.7139483330201298
6.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
7.0,,-6.32879408218884,-3.958155390328969,,23.05024485652261,19.3250020412206,0.0455,24.200000000000003,0.7139483330201298
7.5,4.407893408787061,,,172.63242947038634,,,0.0455,24.200000000000003,0.7139483330201298
8.0,99.83716169660892,-19.50606694075521,1.0601700853305844,172.52258051547142,22.606366182014686,19.805090466083527,0.0455,24.200000000000003,0.7139483330201298
8.5,62.25850138509372,,21.19095947058482,172.43522322853008,,27.429857601244546,0.0455,24.200000000000003,0.7139483330201298
9.0,68.99188717184762,36.91475885403233,-11.446369629307085,172.42872054241369,21.0081870470268,18.54845643548973,0.0455,24.200000000000003,0.7139483330201298
9.5,79.10806456393237,,,172.4033278884642,,,0.0455,24.200000000000003,0.7139483330201298
10.0,124.33907290081754,-7.9158906178529005,,172.4171340822994,41.17494977856767,,0.0455,24.200000000000003,0.7139483330201298
10.5,46.99768494436262,,,172.39472019508946,,,0.0455,24.200000000000003,0.7139483330201298
11.0,49.473333038544865,51.80152235297746,,172.35019054046592,90.47104377345224,,0.0455,24.200000000000003,0.7139483330201298
11.5,96.85271598414042,,,172.35675814201346,,,0.0455,24.200000000000003,0.7139483330201298
12.0,46.0686361915437,,,172.31217398209915,,,0.0455,24.200000000000003,0.7139483330201298
12.5,176.58982890701174,,,172.38716548096227,,,0.0455,24.200000000000003,0.7139483330201298
13.0,136.98305933465346,33.31973588564129,-25.257063814351273,172.39911326670648,55.22011401486866,102.07892059987607,0.0455,24.200000000000003,0.7139483330201298
13.5,87.71640056490514,,,172.5256687980838,,,0.0455,24.200000000000003,0.7139483330201298
14.0,82.86020585822868,78.14394206099666,37.25949652539438,172.49058728662067,63.06827395769178,56.646833356880265,0.0455,24.200000000000003,0.7139483330201298
14.5,65.0528062628074,,,172.5296762204642,,,0.0455,24.200000000000003,0.7139483330201298
15.0,158.9689093935022,21.4390667931514,156.95718868933727,172.6477501875775,80.60185475141891,95.60906373629926,0.0455,24.200000000000003,0.7139483330201298
15.5,191.9228577100659,,,172.79961551754067,,,0.0455,24.200000000000003,0.7139483330201298
16.0,114.15135992942706,71.23213494363219,9.541283439920662,172.93427374478335,76.92193579386053,90.40085931400628,0.0455,24.200000000000003,0.7139483330201298
16.5,178.89640437720806,,,173.20981893166632,,,0.0455,24.200000000000003,0.7139483330201298
17.0,248.9447491581191,234.7219986069319,,173.53822977594166,92.42510579268317,,0.0455,24.200000000000003,0.7139483330201298
17.5,297.6281556849435,,,173.8350504590553,,,0.0455,24.200000000000003,0.7139483330201298
18.0,283.39172487046756,,192.00059468646123,174.30378389741216,,109.597163213905,0.0455,24.200000000000003,0.7139483330201298
18.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
19.0,,202.07347400136396,102.0705226996196,,66.54624538736356,80.6686819109857,0.0455,24.200000000000003,0.7139483330201298
19.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
20.0,,271.1340193607418,239.22021340100068,,57.01057406908336,82.97131440268583,0.0455,24.200000000000003,0.7139483330201298
20.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
21.0,,252.57775054054898,350.97011296387416,,72.48489839651724,73.21845085721355,0.0455,24.200000000000003,0.7139483330201298
21.5,,,,,,,0.0455,24.200000000000003,0.7139483330201298
22.0,388.64228940371476,336.86029383472317,394.8480867123174,173.48062264555028,72.82933204506638,80.28906551585466,0.0455,24.200000000000003,0.7139483330201298
22.5,425.1856233087718,,,173.40650416244262,,,0.0455,24.200000000000003,0.7139483330201298
23.0,424.12302966220955,,,173.10225735652483,,,0.0455,24.200000000000003,0.7139483330201298
23.5,408.7271010080482,,,172.9120277154663,,,0.0455,24.200000000000003,0.7139483330201298
24.0,401.33139105150235,,,172.9123245706852,,,0.0455,24.200000000000003,0.7139483330201298
24.5,502.8565719125942,,,172.93964220697146,,,0.0455,24.200000000000003,0.7139483330201298
25.0,473.4131826680042,,,172.85897749880738,,,0.0455,24.200000000000003,0.7139483330201298
25.5,487.9727556074564,,,172.89786958628224,,,0.0455,24.200000000000003,0.7139483330201298
26.0,507.5865222484347,,,172.95753410157883,,,0.0455,24.200000000000003,0.7139483330201298
26.5,469.41225368852315,,,172.97574206602152,,,0.0455,24.200000000000003,0.7139483330201298
27.0,508.4552178384479,,,173.0151196139765,,,0.0455,24.200000000000003,0.7139483330201298
27.5,467.29582383117577,,,173.10990867321186,,,0.0455,24.200000000000003,0.7139483330201298
28.0,494.99814240563956,576.8737640647295,577.1927562874532,173.22732072217656,36.26429366582178,33.35017002112556,0.0455,24.200000000000003,0.7139483330201298
28.5,470.7836520215981,,,173.10658799224692,,,0.0455,24.200000000000003,0.7139483330201298
29.0,527.9395626275216,676.7931106987102,608.3983556070755,173.09971057703007,27.598910129711246,28.657340702081907,0.0455,24.200000000000003,0.7139483330201298
29.5,546.1980504002811,,,173.10262867767713,,,0.0455,24.200000000000003,0.7139483330201298
30.0,475.4774919625951,667.4381207162114,582.1150468648382,172.9952844045427,27.9488211089243,27.6296615460507,0.0455,24.200000000000003,0.7139483330201298
30.5,584.3049765467874,,,173.06319673805274,,,0.0455,24.200000000000003,0.7139483330201298
31.0,555.3396603235997,644.232904063198,600.8839328210227,173.23852922225126,34.56560028264706,44.17730948426743,0.0455,24.200000000000003,0.7139483330201298
31.5,586.1955363440845,,,173.31287255179268,,,0.0455,24.200000000000003,0.7139483330201298
32.0,534.6815423546896,658.1154125923822,584.6578185019152,173.3996483772785,41.71870870904733,30.019286809369095,0.0455,24.200000000000003,0.7139483330201298
32.5,530.8137166155666,,,173.47329793673714,,,0.0455,24.200000000000003,0.7139483330201298
33.0,634.8702926421638,636.0339122929634,604.3968034647678,173.59139514005616,33.6889573101489,36.520409418688125,0.0455,24.200000000000003,0.7139483330201298
33.5,,,552.9825056093697,,,31.48317367459135,0.0455,24.200000000000003,0.7139483330201298
