relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,-31.00625795018911,,,91.8437608209796,0.0985,9.0,2.11072394110541
-29.5,,,,,,,0.0985,9.0,2.11072394110541
-29.0,,-51.38074885113762,-11.824150554464568,,42.5416137062261,45.70257702612226,0.0985,9.0,2.11072394110541
-28.5,,,,,,,0.0985,9.0,2.11072394110541
-28.0,,-60.21221880935403,7.769581975810603,,29.9405571753605,39.1175284492404,0.0985,9.0,2.11072394110541
-27.5,,,,,,,0.0985,9.0,2.11072394110541
-27.0,,,,,,,0.0985,9.0,2.11072394110541
-26.5,,,,,,,0.0985,9.0,2.11072394110541
-26.0,,,,,,,0.0985,9.0,2.11072394110541
-25.5,,,,,,,0.0985,9.0,2.11072394110541
-25.0,,,,,,,0.0985,9.0,2.11072394110541
-24.5,,,,,,,0.0985,9.0,2.11072394110541
-24.0,,-74.76286125301628,,,32.57307855555513,,0.0985,9.0,2.11072394110541
-23.5,,,,,,,0.0985,9.0,2.11072394110541
-23.0,,,,,,,0.0985,9.0,2.11072394110541
-22.5,,,,,,,0.0985,9.0,2.11072394110541
-22.0,,-85.16957619228803,-7.644193434082046,,25.7776397659809,18.396397676094523,0.0985,9.0,2.11072394110541
-21.5,,,,,,,0.0985,9.0,2.11072394110541
-21.0,,,,,,,0.0985,9.0,2.11072394110541
-20.5,,,,,,,0.0985,9.0,2.11072394110541
-20.0,,24.41688105875527,,,30.703110319873232,,0.0985,9.0,2.11072394110541
-19.5,,,,,,,0.0985,9.0,2.11072394110541
-19.0,,,,,,,0.0985,9.0,2.11072394110541
-18.5,,,,,,,0.0985,9.0,2.11072394110541
-18.0,,-53.65065678287735,-16.898281028425593,,23.29325191092964,22.11859151619995,0.0985,9.0,2.11072394110541
-17.5,,,,,,,0.0985,9.0,2.11072394110541
-17.0,,,,,,,0.0985,9.0,2.11072394110541
-16.5,,,,,,,0.0985,9.0,2.11072394110541
-16.0,,24.611300744073567,-17.513187586234157,,23.90346327181667,20.330723369564048,0.0985,9.0,2.11072394110541
-15.5,,,,,,,0.0985,9.0,2.11072394110541
-15.0,,-18.16729981264775,-15.984180181784938,,23.82237312122312,18.996939843727844,0.0985,9.0,2.11072394110541
-14.5,-298.747319977046,,,330.1313190571497,,,0.0985,9.0,2.11072394110541
-14.0,11.207796861167548,-26.21563464434868,10.296857839735807,339.94836449557874,20.264035125011247,16.439573229383694,0.0985,9.0,2.11072394110541
-13.5,-63.0834617211912,,,346.1991195757295,,,0.0985,9.0,2.11072394110541
-13.0,63.78898893547711,-32.18032037431637,-41.11007395608279,346.3097494348578,19.460514436137807,15.2646443444039,0.0985,9.0,2.11072394110541
-12.5,6.7597510026135845,,,345.97535154443625,,,0.0985,9.0,2.11072394110541
-12.0,-75.46626654188286,9.24319561921085,-6.033112960991722,348.0136560505245,28.33378095472826,27.22051977182043,0.0985,9.0,2.11072394110541
-11.5,47.723343887074776,,,348.2240448151506,,,0.0985,9.0,2.11072394110541
-11.0,-97.67351446623186,,,351.9572258587383,,,0.0985,9.0,2.11072394110541
-10.5,93.84826487099842,,,351.9775942558844,,,0.0985,9.0,2.11072394110541
-10.0,-112.79856079673975,,,347.5206205307486,,,0.0985,9.0,2.11072394110541
-9.5,94.19688621555964,,,347.76420805596075,,,0.0985,9.0,2.11072394110541
-9.0,94.23056832175267,-79.2273579862778,-13.712158578247214,348.48018960546364,47.69769092998164,43.6193087756402,0.0985,9.0,2.11072394110541
-8.5,-49.22584298588576,,,352.07347662756627,,,0.0985,9.0,2.11072394110541
-8.0,128.06245777239607,-21.809983749648534,5.014552805516061,349.7640821159283,54.02500590743093,53.4576697747523,0.0985,9.0,2.11072394110541
-7.5,51.946994450305255,,,341.6482956655226,,,0.0985,9.0,2.11072394110541
-7.0,11.266511273222578,118.77631088387784,36.5052425602785,339.63407489947446,63.65826458308578,74.14237938963005,0.0985,9.0,2.11072394110541
-6.5,-28.288315866166496,,,338.4173789201888,,,0.0985,9.0,2.11072394110541
-6.0,41.34832230254499,88.77755822304762,26.009386523435932,344.4327142775578,69.45673522320783,88.8278113926418,0.0985,9.0,2.11072394110541
-5.5,-86.20492282787148,,,343.65009847434567,,,0.0985,9.0,2.11072394110541
-5.0,182.63856095061675,,,336.25507473971703,,,0.0985,9.0,2.11072394110541
-4.5,307.787280229772,,,346.503431595684,,,0.0985,9.0,2.11072394110541
-4.0,320.5275383957967,,,350.2764585863753,,,0.0985,9.0,2.11072394110541
-3.5,358.6734062354395,,,346.80768127692954,,,0.0985,9.0,2.11072394110541
-3.0,653.8466357950261,,,349.4533498395813,,,0.0985,9.0,2.11072394110541
-2.5,,,,,,,0.0985,9.0,2.11072394110541
-2.0,,263.7389962865516,236.23611080279443,,88.23744143969195,76.68005687412104,0.0985,9.0,2.11072394110541
-1.5,,,,,,,0.0985,9.0,2.11072394110541
-1.0,,224.27419707206923,239.52208638038272,,65.09628411799373,68.04301755313402,0.0985,9.0,2.11072394110541
-0.5,,,,,,,0.0985,9.0,2.11072394110541
0.0,382.56233361762423,292.9920203781942,300.1254392015823,352.3913869798915,57.50480012504952,56.49094248351284,0.0985,9.0,2.11072394110541
0.5,554.7472899465406,,,350.64810321558576,,,0.0985,9.0,2.11072394110541
1.0,626.7206085640122,,,353.5148997871548,,,0.0985,9.0,2.11072394110541
1.5,645.8887454190839,,,343.8882744885733,,,0.0985,9.0,2.11072394110541
