relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.092,0.3999999999999986,3.0886890422961
-29.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-29.0,,-7.1136410255714715,-8.873317309198502,,26.5879639609293,18.58860478210895,0.092,0.3999999999999986,3.0886890422961
-28.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-28.0,,,,,,,0.092,0.3999999999999986,3.0886890422961
-27.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-27.0,,-9.855572808086778,,,29.055483568380666,,0.092,0.3999999999999986,3.0886890422961
-26.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-26.0,,,,,,,0.092,0.3999999999999986,3.0886890422961
-25.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-25.0,,-16.62020875862171,26.959624466066508,,21.2149382319319,23.889089044755,0.092,0.3999999999999986,3.0886890422961
-24.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-24.0,,,,,,,0.092,0.3999999999999986,3.0886890422961
-23.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-23.0,,-21.983199883574528,32.96214557001149,,23.299774547466043,19.978864432591845,0.092,0.3999999999999986,3.0886890422961
-22.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-22.0,,-21.55527864743121,9.845939496934419,,23.255161340966886,18.922292408888058,0.092,0.3999999999999986,3.0886890422961
-21.5,-52.88509079782007,,,134.58243813930346,,,0.092,0.3999999999999986,3.0886890422961
-21.0,-84.8360117015995,-23.484406760484106,14.109844115815221,136.51292769522843,19.854664890956265,16.019733827297387,0.092,0.3999999999999986,3.0886890422961
-20.5,-41.027733629307235,,,137.71249521490498,,,0.092,0.3999999999999986,3.0886890422961
-20.0,-55.035369128822126,0.3927080203702431,18.10738798212651,136.39809127683642,19.82947666218051,16.2974037286727,0.092,0.3999999999999986,3.0886890422961
-19.5,-88.02539589449644,,,138.73855110600456,,,0.092,0.3999999999999986,3.0886890422961
-19.0,-68.77110537662989,2.7542952365139968,12.754786650137094,140.7373463503787,27.881051832132165,27.327711918277164,0.092,0.3999999999999986,3.0886890422961
-18.5,-20.565273068937596,,,140.42258762093087,,,0.092,0.3999999999999986,3.0886890422961
-18.0,-37.55970006405566,,,136.00346274929447,,,0.092,0.3999999999999986,3.0886890422961
-17.5,-6.0176346132605545,,,141.60463522323133,,,0.092,0.3999999999999986,3.0886890422961
-17.0,3.8654726680366203,,,139.47909011427518,,,0.092,0.3999999999999986,3.0886890422961
-16.5,34.06224004725391,,,144.2674680160415,,,0.092,0.3999999999999986,3.0886890422961
-16.0,-8.387369020996331,22.789768352859817,30.51581631447132,145.8383245308635,47.136965340281655,41.4092179820389,0.092,0.3999999999999986,3.0886890422961
-15.5,9.589967086661074,,,146.3210230305819,,,0.092,0.3999999999999986,3.0886890422961
-15.0,46.66757678423682,-18.332027062148352,7.829124881205002,149.46294594105908,51.943035307460086,54.07336735955324,0.092,0.3999999999999986,3.0886890422961
-14.5,-34.597176505823654,,,150.55577966398667,,,0.092,0.3999999999999986,3.0886890422961
-14.0,24.431393706151503,73.74947484276007,-45.57250314599397,151.4387355154681,66.00641211964748,72.94660056877005,0.092,0.3999999999999986,3.0886890422961
-13.5,15.733532890729807,,,152.00854908596352,,,0.092,0.3999999999999986,3.0886890422961
-13.0,56.83092172618292,107.887758470982,-14.104372021594477,155.43044748766428,68.2350435233998,89.58394554124712,0.092,0.3999999999999986,3.0886890422961
-12.5,90.08994980554957,,,151.86658298126358,,,0.092,0.3999999999999986,3.0886890422961
-12.0,78.89834668340164,,,153.53367013646883,,,0.092,0.3999999999999986,3.0886890422961
-11.5,122.24455682436101,,,153.59150700475095,,,0.092,0.3999999999999986,3.0886890422961
-11.0,145.29795425867465,,,156.66425093059522,,,0.092,0.3999999999999986,3.0886890422961
-10.5,141.28299980400337,,,158.75910390959524,,,0.092,0.3999999999999986,3.0886890422961
-10.0,50.5558012179206,,,162.34205042241396,,,0.092,0.3999999999999986,3.0886890422961
-9.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-9.0,,194.34165599264173,117.24209025663167,,87.39969182532252,76.39054287104184,0.092,0.3999999999999986,3.0886890422961
-8.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-8.0,,59.14354149130335,149.91528646157366,,67.89532115606868,67.7648362898531,0.092,0.3999999999999986,3.0886890422961
-7.5,,,,,,,0.092,0.3999999999999986,3.0886890422961
-7.0,47.9526372663703,179.24531015161625,168.82663859701418,148.72257981832422,58.60889959077082,55.56851380785048,0.092,0.3999999999999986,3.0886890422961
-6.5,65.25484570515837,,,144.9559591757346,,,0.092,0.3999999999999986,3.0886890422961
-6.0,160.5999056778536,,,148.6493875621973,,,0.092,0.3999999999999986,3.0886890422961
-5.5,108.5567631102109,,,154.06356452736125,,,0.092,0.3999999999999986,3.0886890422961
-5.0,196.63807742192407,,,146.71136935826416,,,0.092,0.3999999999999986,3.0886890422961
-4.5,180.12260224881155,,,144.9531801956612,,,0.092,0.3999999999999986,3.0886890422961
-4.0,166.349793505611,,,146.10845775843381,,,0.092,0.3999999999999986,3.0886890422961
-3.5,163.10311891523494,,,149.42655224361675,,,0.092,0.3999999999999986,3.0886890422961
