relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-29.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-29.0,,,8.420780102391602,,,23.577638123122263,0.0673,-1.6000000000000014,2.730231980375782
-28.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-28.0,,-14.494717522300325,,,28.442190618593557,,0.0673,-1.6000000000000014,2.730231980375782
-27.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-27.0,,69.00493736867885,,,37.3288577845588,,0.0673,-1.6000000000000014,2.730231980375782
-26.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-26.0,,-49.34515588059041,,,24.6491992401168,,0.0673,-1.6000000000000014,2.730231980375782
-25.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-25.0,,,9.177620313376671,,,28.72631243236744,0.0673,-1.6000000000000014,2.730231980375782
-24.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-24.0,,,2.68862766258205,,,23.388855017282044,0.0673,-1.6000000000000014,2.730231980375782
-23.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-23.0,,-24.18720118616678,-2.50633296148232,,27.4223142377722,21.041228269539026,0.0673,-1.6000000000000014,2.730231980375782
-22.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-22.0,,,-24.065123457494693,,,20.8016713722932,0.0673,-1.6000000000000014,2.730231980375782
-21.5,252.52975857408512,,,328.0270243667135,,,0.0673,-1.6000000000000014,2.730231980375782
-21.0,112.30009631011256,-7.362106137755177,-13.454729888608147,331.3660873070314,20.500773545161547,17.497530276637406,0.0673,-1.6000000000000014,2.730231980375782
-20.5,72.50248541040438,,,335.45995248342734,,,0.0673,-1.6000000000000014,2.730231980375782
-20.0,144.24618588007505,,20.46195730210349,329.3200553751147,,23.543562987229535,0.0673,-1.6000000000000014,2.730231980375782
-19.5,54.29300644101474,,,331.5301528639891,,,0.0673,-1.6000000000000014,2.730231980375782
-19.0,-37.11843150971151,32.69543022654651,,333.292055890665,41.33013191721342,,0.0673,-1.6000000000000014,2.730231980375782
-18.5,210.24989924960002,,,335.9806564919251,,,0.0673,-1.6000000000000014,2.730231980375782
-18.0,162.03264797641816,-71.85515410772148,,335.78110134705724,57.663993702440614,,0.0673,-1.6000000000000014,2.730231980375782
-17.5,23.41686850190976,,,339.98210557271284,,,0.0673,-1.6000000000000014,2.730231980375782
-17.0,51.534301117397405,,,336.01344111071734,,,0.0673,-1.6000000000000014,2.730231980375782
-16.5,177.15407488118586,,,337.55831831288833,,,0.0673,-1.6000000000000014,2.730231980375782
-16.0,25.765807040941638,31.497763875482637,17.445122242688143,338.6049295405347,57.9149516080624,88.9952100696826,0.0673,-1.6000000000000014,2.730231980375782
-15.5,102.79960494742411,,,338.24347405407485,,,0.0673,-1.6000000000000014,2.730231980375782
-15.0,31.50897069531527,20.36384128811869,51.79227789322346,333.9407911457307,67.36940197303213,65.4811380177325,0.0673,-1.6000000000000014,2.730231980375782
-14.5,159.67199890692035,,,340.62365841635153,,,0.0673,-1.6000000000000014,2.730231980375782
-14.0,166.2620223216898,120.40326104453439,139.01223685530113,341.32616277752896,78.42193983601018,89.98108523287337,0.0673,-1.6000000000000014,2.730231980375782
-13.5,68.50102903203982,,,338.4309040112714,,,0.0673,-1.6000000000000014,2.730231980375782
-13.0,141.4072853669774,-44.594461228609276,209.1479144667301,340.23172557875995,81.9978174953986,110.946315084217,0.0673,-1.6000000000000014,2.730231980375782
-12.5,257.974664646774,,,336.89922677668034,,,0.0673,-1.6000000000000014,2.730231980375782
-12.0,116.33886012848129,46.34422774092767,,330.8708296540836,99.72882976009383,,0.0673,-1.6000000000000014,2.730231980375782
-11.5,327.736572746484,,,333.06669010033863,,,0.0673,-1.6000000000000014,2.730231980375782
-11.0,256.35744345245587,,,336.21964645023706,,,0.0673,-1.6000000000000014,2.730231980375782
-10.5,314.4015720323244,,,338.12767003971453,,,0.0673,-1.6000000000000014,2.730231980375782
-10.0,260.0974045024811,140.06934939659573,209.29070182161115,344.459867415515,71.19071880341835,80.92909325675183,0.0673,-1.6000000000000014,2.730231980375782
-9.5,1379.1636538140756,,,354.73991717453293,,,0.0673,-1.6000000000000014,2.730231980375782
-9.0,,,145.27743462142246,,,88.49368458101057,0.0673,-1.6000000000000014,2.730231980375782
-8.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-8.0,,157.2626613029991,200.7774044667865,,69.6398610370585,68.1471726819836,0.0673,-1.6000000000000014,2.730231980375782
-7.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
-7.0,409.3816129393027,220.00131524314074,164.4018151031263,341.5669995885418,66.97008669429547,65.198776522938,0.0673,-1.6000000000000014,2.730231980375782
-6.5,396.2558910452999,,,337.25269958657276,,,0.0673,-1.6000000000000014,2.730231980375782
-6.0,479.99942204482556,,,342.8105854717797,,,0.0673,-1.6000000000000014,2.730231980375782
-5.5,494.84687949045156,,,340.3126749707138,,,0.0673,-1.6000000000000014,2.730231980375782
-5.0,497.59331615097744,,,340.7481587226762,,,0.0673,-1.6000000000000014,2.730231980375782
-4.5,432.00610585991876,,,337.4776686456456,,,0.0673,-1.6000000000000014,2.730231980375782
-4.0,620.9544614312044,,,336.33823811424475,,,0.0673,-1.6000000000000014,2.730231980375782
-3.5,305.3161441935131,,,336.5420513982551,,,0.0673,-1.6000000000000014,2.730231980375782
-3.0,421.3556254674468,,,330.4395980125859,,,0.0673,-1.6000000000000014,2.730231980375782
-2.5,271.90757038059166,,,331.7532519148105,,,0.0673,-1.6000000000000014,2.730231980375782
-2.0,335.5977874861544,,,331.33392287809573,,,0.0673,-1.6000000000000014,2.730231980375782
-1.5,421.04411280334233,,,329.51640947959885,,,0.0673,-1.6000000000000014,2.730231980375782
-1.0,279.2213892435971,289.25345283310645,209.7013638958522,331.13756671090994,42.8844359166309,33.6649471263277,0.0673,-1.6000000000000014,2.730231980375782
-0.5,413.1022520841551,,,334.0312473677447,,,0.0673,-1.6000000000000014,2.730231980375782
0.0,231.5448825980711,230.13242636419199,202.4224369035544,330.59459552995446,28.168216612527708,25.492331407952193,0.0673,-1.6000000000000014,2.730231980375782
0.5,244.33726344555464,,,330.72854067135586,,,0.0673,-1.6000000000000014,2.730231980375782
1.0,281.2777585687986,213.75573291690793,199.67153274484735,329.19599406249137,28.2778885559234,29.7696103702829,0.0673,-1.6000000000000014,2.730231980375782
1.5,203.29223230464711,,,325.26139286124015,,,0.0673,-1.6000000000000014,2.730231980375782
2.0,126.97183262671311,247.78639713085346,129.56485340846942,322.7476632523517,40.60430801763428,41.669784176546194,0.0673,-1.6000000000000014,2.730231980375782
2.5,55.552246116865405,,,326.64229828003914,,,0.0673,-1.6000000000000014,2.730231980375782
3.0,384.699091108331,224.6946622788574,203.394678920754,330.0183930555181,39.794818073622984,29.16850855011777,0.0673,-1.6000000000000014,2.730231980375782
3.5,264.2306048409173,,,329.1312704600234,,,0.0673,-1.6000000000000014,2.730231980375782
4.0,100.60918304683692,198.70146566843061,170.79728710491418,330.0729859477353,38.22353758372572,34.80551824112153,0.0673,-1.6000000000000014,2.730231980375782
4.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
5.0,,203.63032989205735,,,39.19097216969924,,0.0673,-1.6000000000000014,2.730231980375782
5.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
6.0,,233.13208931677536,193.99855765971654,,30.479153321911674,29.44376355084848,0.0673,-1.6000000000000014,2.730231980375782
6.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
7.0,,195.5772425111425,159.39334516424375,,30.147601627641272,30.034949217713155,0.0673,-1.6000000000000014,2.730231980375782
7.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
8.0,,171.7064771808291,78.57461545586268,,26.764347070852573,28.815080189371,0.0673,-1.6000000000000014,2.730231980375782
8.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
9.0,,,27.329626591007642,,,29.966395536054982,0.0673,-1.6000000000000014,2.730231980375782
9.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
10.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
10.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
11.0,,118.33823094347558,92.36584756390305,,54.78239034668577,29.3962249926653,0.0673,-1.6000000000000014,2.730231980375782
11.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
12.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
12.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
13.0,,135.06460577828565,,,44.186778805928725,,0.0673,-1.6000000000000014,2.730231980375782
13.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
14.0,,112.23491052008833,,,67.26308809689448,,0.0673,-1.6000000000000014,2.730231980375782
14.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
15.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
15.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
16.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
16.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
17.0,,79.37388461880806,31.624845325776022,,101.732402022415,101.5659621982,0.0673,-1.6000000000000014,2.730231980375782
17.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
18.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
18.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
19.0,,133.84912826327246,34.032876294325966,,82.970785963829,96.7214659822712,0.0673,-1.6000000000000014,2.730231980375782
19.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
20.0,,126.32458769240496,16.52297060461656,,82.66209578944608,89.91556745526313,0.0673,-1.6000000000000014,2.730231980375782
20.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
21.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
21.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
22.0,,-54.142631822900086,61.25395681888838,,70.3953789159691,81.78714724782762,0.0673,-1.6000000000000014,2.730231980375782
22.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
23.0,,86.82329361241212,56.55613045902395,,49.65426195261995,71.09616418048,0.0673,-1.6000000000000014,2.730231980375782
23.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
24.0,,64.75096257257648,,,35.53175657543686,,0.0673,-1.6000000000000014,2.730231980375782
24.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
25.0,,89.88365273552182,-16.79250908342894,,32.95869285667613,52.02514376262122,0.0673,-1.6000000000000014,2.730231980375782
25.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
26.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
26.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
27.0,,51.018430549828736,-60.40943870521831,,68.6545010706037,68.03478115059231,0.0673,-1.6000000000000014,2.730231980375782
27.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
28.0,,58.31199131224673,33.827559222149034,,31.53871755194107,35.34191488629567,0.0673,-1.6000000000000014,2.730231980375782
28.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
29.0,,64.25631096633661,25.31882868450002,,35.4893481867203,36.01198703412429,0.0673,-1.6000000000000014,2.730231980375782
29.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
30.0,,80.51431953368899,41.34479098485654,,38.09516934516346,47.954063603585546,0.0673,-1.6000000000000014,2.730231980375782
30.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
31.0,,-7.596880107980598,-55.33377082385951,,69.9158265777649,60.0957972087643,0.0673,-1.6000000000000014,2.730231980375782
31.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
32.0,,-37.791358121848596,,,55.0251826765281,,0.0673,-1.6000000000000014,2.730231980375782
32.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
33.0,,104.29710463782476,68.97301571343016,,52.72545569076551,44.650358439898184,0.0673,-1.6000000000000014,2.730231980375782
33.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
34.0,,74.75417204581562,-15.589297713486685,,59.4306731179583,53.81904434797694,0.0673,-1.6000000000000014,2.730231980375782
34.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
35.0,,91.73452769282092,2.661559302085766,,32.41772072218275,28.507276485764997,0.0673,-1.6000000000000014,2.730231980375782
35.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
36.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
36.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
37.0,,84.89609774636168,31.5190216114014,,55.294471144678994,40.66796609620003,0.0673,-1.6000000000000014,2.730231980375782
37.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
38.0,,116.47302067087836,52.4609882549695,,52.1981640668303,53.02047099887716,0.0673,-1.6000000000000014,2.730231980375782
38.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
39.0,,90.43176076567714,74.7590004601561,,42.4534577193878,49.0156979242535,0.0673,-1.6000000000000014,2.730231980375782
39.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
40.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
40.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
41.0,,-9.101478370441411,-180.15864695916318,,113.84691018796,100.490334613147,0.0673,-1.6000000000000014,2.730231980375782
41.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
42.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
42.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
43.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
43.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
44.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
44.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
45.0,,87.64971779468567,111.41586361035942,,76.6062449819969,105.858422126244,0.0673,-1.6000000000000014,2.730231980375782
45.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
46.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
46.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
47.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
47.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
48.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
48.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
49.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
49.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
50.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
50.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
51.0,,103.70263971103307,-20.34347332997222,,47.8840353905118,64.2107426514587,0.0673,-1.6000000000000014,2.730231980375782
51.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
52.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
52.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
53.0,,92.38998092426955,,,40.5949687637737,,0.0673,-1.6000000000000014,2.730231980375782
53.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
54.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
54.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
55.0,,68.60485373459834,,,37.3961175489566,,0.0673,-1.6000000000000014,2.730231980375782
55.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
56.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
56.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
57.0,,68.76867459696957,-76.1928956487358,,56.4279076080784,36.6401950758842,0.0673,-1.6000000000000014,2.730231980375782
57.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
58.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
58.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
59.0,,-24.911481952902797,-3.579569586338569,,57.2843390188826,48.0926429003728,0.0673,-1.6000000000000014,2.730231980375782
59.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
60.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
60.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
61.0,,118.86477000376838,,,48.0059320551387,,0.0673,-1.6000000000000014,2.730231980375782
61.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
62.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
62.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
63.0,,59.36206618183311,,,37.8010308410909,,0.0673,-1.6000000000000014,2.730231980375782
63.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
64.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
64.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
65.0,,-23.638664442268624,,,45.453056255139,,0.0673,-1.6000000000000014,2.730231980375782
65.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
66.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
66.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
67.0,,62.08948140300548,-48.911278894629966,,33.3016818815375,32.7454674057809,0.0673,-1.6000000000000014,2.730231980375782
67.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
68.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
68.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
69.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
69.5,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
70.0,,,,,,,0.0673,-1.6000000000000014,2.730231980375782
