relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,86.90206697487585,-32.73058405681828,,67.5011142282691,89.0722856377557,0.0099,9.0,2.9737275523415985
-29.5,,,,,,,0.0099,9.0,2.9737275523415985
-29.0,,,,,,,0.0099,9.0,2.9737275523415985
-28.5,,,,,,,0.0099,9.0,2.9737275523415985
-28.0,,113.66007511266601,43.54342326382769,,83.8675518452393,75.7517498535461,0.0099,9.0,2.9737275523415985
-27.5,,,,,,,0.0099,9.0,2.9737275523415985
-27.0,,,,,,,0.0099,9.0,2.9737275523415985
-26.5,,,,,,,0.0099,9.0,2.9737275523415985
-26.0,,56.21616014898822,35.73662321025544,,39.6040358663084,45.4911052329981,0.0099,9.0,2.9737275523415985
-25.5,,,,,,,0.0099,9.0,2.9737275523415985
-25.0,,,,,,,0.0099,9.0,2.9737275523415985
-24.5,,,,,,,0.0099,9.0,2.9737275523415985
-24.0,,,,,,,0.0099,9.0,2.9737275523415985
-23.5,,,,,,,0.0099,9.0,2.9737275523415985
-23.0,,,,,,,0.0099,9.0,2.9737275523415985
-22.5,,,,,,,0.0099,9.0,2.9737275523415985
-22.0,,,,,,,0.0099,9.0,2.9737275523415985
-21.5,,,,,,,0.0099,9.0,2.9737275523415985
-21.0,,33.940898886410096,-4.050488949529373,,33.4631822193762,25.4153366542951,0.0099,9.0,2.9737275523415985
-20.5,,,,,,,0.0099,9.0,2.9737275523415985
-20.0,,,,,,,0.0099,9.0,2.9737275523415985
-19.5,,,,,,,0.0099,9.0,2.9737275523415985
-19.0,,,23.579642720686813,,,30.6852306578361,0.0099,9.0,2.9737275523415985
-18.5,,,,,,,0.0099,9.0,2.9737275523415985
-18.0,,,,,,,0.0099,9.0,2.9737275523415985
-17.5,,,,,,,0.0099,9.0,2.9737275523415985
-17.0,,,-47.9768160013981,,,25.0460522481444,0.0099,9.0,2.9737275523415985
-16.5,,,,,,,0.0099,9.0,2.9737275523415985
-16.0,,,,,,,0.0099,9.0,2.9737275523415985
-15.5,,,,,,,0.0099,9.0,2.9737275523415985
-15.0,,40.98980235767681,38.559828840696966,,35.0183611900637,25.0498471914278,0.0099,9.0,2.9737275523415985
-14.5,,,,,,,0.0099,9.0,2.9737275523415985
-14.0,,,,,,,0.0099,9.0,2.9737275523415985
-13.5,,,,,,,0.0099,9.0,2.9737275523415985
-13.0,,,15.289794807253397,,,21.8539554726917,0.0099,9.0,2.9737275523415985
-12.5,-54.8746784132441,,,169.75676448233344,,,0.0099,9.0,2.9737275523415985
-12.0,-62.940618489142366,,,164.3718213697201,,,0.0099,9.0,2.9737275523415985
-11.5,-129.52612476718394,,,164.16761557389228,,,0.0099,9.0,2.9737275523415985
-11.0,-34.60232993253865,-13.154674779760237,14.192479239984005,164.11950709979305,24.2181413823136,20.6066555939366,0.0099,9.0,2.9737275523415985
-10.5,-32.94879668015369,,,164.91714027488376,,,0.0099,9.0,2.9737275523415985
-10.0,-68.0973906782827,,,162.88360118829993,,,0.0099,9.0,2.9737275523415985
-9.5,-57.96335242934012,,,163.5579207507339,,,0.0099,9.0,2.9737275523415985
-9.0,-0.2002000044906609,,,162.13118913019147,,,0.0099,9.0,2.9737275523415985
-8.5,1.3960321607968567,,,162.15799948639108,,,0.0099,9.0,2.9737275523415985
-8.0,71.37002282684497,,,160.3240176251652,,,0.0099,9.0,2.9737275523415985
-7.5,57.40719227204991,,,161.1720011579678,,,0.0099,9.0,2.9737275523415985
-7.0,43.024470672323076,160.74294028785215,5.2629469034800085,163.70389103516447,78.3271708118535,45.1415473229019,0.0099,9.0,2.9737275523415985
-6.5,119.15241773491054,,,162.80184595310533,,,0.0099,9.0,2.9737275523415985
-6.0,141.74751509349272,126.19861637448001,,164.1402936307692,57.3471166756948,,0.0099,9.0,2.9737275523415985
-5.5,184.22820888445776,,,162.7521754495107,,,0.0099,9.0,2.9737275523415985
-5.0,209.8631462800446,184.76976941676153,-40.98005495297178,162.29660411034516,89.6094334034829,89.6396695075555,0.0099,9.0,2.9737275523415985
-4.5,95.11707026127121,,,159.63926497412294,,,0.0099,9.0,2.9737275523415985
-4.0,174.88497463812686,180.7230334731512,120.70664378479992,160.54404069308467,117.256395569407,95.1736286692398,0.0099,9.0,2.9737275523415985
-3.5,144.23316803337133,,,163.1508444145923,,,0.0099,9.0,2.9737275523415985
-3.0,216.0780130802113,298.9166427607991,172.71493482706072,166.04462587241613,99.73436513717238,109.943478530477,0.0099,9.0,2.9737275523415985
-2.5,340.04702280491875,,,166.38397595613034,,,0.0099,9.0,2.9737275523415985
-2.0,361.15865986800156,,35.140030641192226,167.1204247733844,,100.63831074937596,0.0099,9.0,2.9737275523415985
-1.5,289.861347647705,,,158.6029248914168,,,0.0099,9.0,2.9737275523415985
-1.0,259.46590592283184,,337.9488723959582,162.45031258762162,,86.683730204395,0.0099,9.0,2.9737275523415985
-0.5,,,,,,,0.0099,9.0,2.9737275523415985
0.0,,,288.3377585545305,,,89.7074384799987,0.0099,9.0,2.9737275523415985
0.5,,,,,,,0.0099,9.0,2.9737275523415985
1.0,,,246.07101885097993,,,71.5366428354658,0.0099,9.0,2.9737275523415985
1.5,,,,,,,0.0099,9.0,2.9737275523415985
2.0,421.1343240956021,392.9478748096774,223.77616318442367,164.87933811766473,80.4930297512725,85.9193957011134,0.0099,9.0,2.9737275523415985
2.5,452.32052708133654,,,165.84553085020926,,,0.0099,9.0,2.9737275523415985
3.0,398.5509385411277,,,164.46865353709546,,,0.0099,9.0,2.9737275523415985
3.5,477.9980516286134,,,164.25978173085605,,,0.0099,9.0,2.9737275523415985
4.0,413.813416372445,,,165.4150532876632,,,0.0099,9.0,2.9737275523415985
4.5,404.4534274439557,,,164.24022033740673,,,0.0099,9.0,2.9737275523415985
5.0,538.2460605770428,,,163.15771623979788,,,0.0099,9.0,2.9737275523415985
5.5,410.3145332931592,,,163.9011103442174,,,0.0099,9.0,2.9737275523415985
6.0,448.2277195743374,,,162.3822050713247,,,0.0099,9.0,2.9737275523415985
6.5,495.23603773468557,,,160.77033398154109,,,0.0099,9.0,2.9737275523415985
7.0,434.032565008208,,,160.68473396771682,,,0.0099,9.0,2.9737275523415985
7.5,537.2851501428256,,,157.2099642459133,,,0.0099,9.0,2.9737275523415985
8.0,420.72104421881113,,,159.88807021309265,,,0.0099,9.0,2.9737275523415985
8.5,536.8351176023776,,,164.72637113446967,,,0.0099,9.0,2.9737275523415985
9.0,601.7049164158733,494.506317741006,340.8517778692577,162.57656648473264,40.3611012246168,37.0826098695426,0.0099,9.0,2.9737275523415985
9.5,557.5597528938911,,,161.55152954279689,,,0.0099,9.0,2.9737275523415985
10.0,517.5059215691748,479.8753040164876,279.5849696200725,157.60415337273503,39.413558561964685,35.43596660150506,0.0099,9.0,2.9737275523415985
10.5,440.241259982893,,,158.86790262536718,,,0.0099,9.0,2.9737275523415985
11.0,490.2816386462919,,,165.591478011432,,,0.0099,9.0,2.9737275523415985
11.5,493.6519902456393,,,163.78300194928931,,,0.0099,9.0,2.9737275523415985
12.0,463.81342925812464,521.6268953389075,271.3981184003988,162.56457117165414,53.9549567817631,41.1701335444891,0.0099,9.0,2.9737275523415985
12.5,388.631576448106,,,157.6870133941879,,,0.0099,9.0,2.9737275523415985
13.0,451.4511529514205,503.0700407317878,345.7542832265903,161.0965346912795,50.9781540535666,40.5013472621635,0.0099,9.0,2.9737275523415985
13.5,,,,,,,0.0099,9.0,2.9737275523415985
14.0,,472.2427468715307,262.83808217610044,,43.1852598255425,43.2696851414325,0.0099,9.0,2.9737275523415985
14.5,,,,,,,0.0099,9.0,2.9737275523415985
15.0,,266.56864016767355,217.00382072419342,,33.119046308406,34.5287721574358,0.0099,9.0,2.9737275523415985
15.5,,,,,,,0.0099,9.0,2.9737275523415985
16.0,,,262.31526506590325,,,30.6058943440107,0.0099,9.0,2.9737275523415985
16.5,,,,,,,0.0099,9.0,2.9737275523415985
17.0,,,,,,,0.0099,9.0,2.9737275523415985
17.5,,,,,,,0.0099,9.0,2.9737275523415985
18.0,,225.83964716349055,80.01097012136783,,61.5498049269235,38.9278261599218,0.0099,9.0,2.9737275523415985
18.5,,,,,,,0.0099,9.0,2.9737275523415985
19.0,,,,,,,0.0099,9.0,2.9737275523415985
19.5,,,,,,,0.0099,9.0,2.9737275523415985
20.0,,389.0707625821415,132.09590413225288,,49.8274174439839,34.5854839437694,0.0099,9.0,2.9737275523415985
20.5,,,,,,,0.0099,9.0,2.9737275523415985
21.0,,386.91839649527685,,,45.0059896521709,,0.0099,9.0,2.9737275523415985
21.5,,,,,,,0.0099,9.0,2.9737275523415985
22.0,,,,,,,0.0099,9.0,2.9737275523415985
22.5,,,,,,,0.0099,9.0,2.9737275523415985
23.0,,148.12900228047485,193.21376257557523,,94.8326670805371,71.9380071741111,0.0099,9.0,2.9737275523415985
23.5,,,,,,,0.0099,9.0,2.9737275523415985
24.0,,,,,,,0.0099,9.0,2.9737275523415985
24.5,,,,,,,0.0099,9.0,2.9737275523415985
25.0,,295.3191738499668,,,111.07421456296946,,0.0099,9.0,2.9737275523415985
25.5,,,,,,,0.0099,9.0,2.9737275523415985
26.0,,,,,,,0.0099,9.0,2.9737275523415985
26.5,,,,,,,0.0099,9.0,2.9737275523415985
27.0,,,,,,,0.0099,9.0,2.9737275523415985
27.5,,,,,,,0.0099,9.0,2.9737275523415985
28.0,,,,,,,0.0099,9.0,2.9737275523415985
28.5,,,,,,,0.0099,9.0,2.9737275523415985
29.0,,303.3703720310389,161.96653905233242,,70.20440966399039,83.96277255414799,0.0099,9.0,2.9737275523415985
29.5,,,,,,,0.0099,9.0,2.9737275523415985
30.0,,,,,,,0.0099,9.0,2.9737275523415985
30.5,,,,,,,0.0099,9.0,2.9737275523415985
31.0,,292.32475078717357,121.30947499413193,,90.84424137818286,82.0427776177179,0.0099,9.0,2.9737275523415985
31.5,,,,,,,0.0099,9.0,2.9737275523415985
32.0,,,,,,,0.0099,9.0,2.9737275523415985
32.5,,,,,,,0.0099,9.0,2.9737275523415985
33.0,,225.7715215987414,128.1429616386704,,39.0502819643974,44.4667541858797,0.0099,9.0,2.9737275523415985
33.5,,,,,,,0.0099,9.0,2.9737275523415985
34.0,,,,,,,0.0099,9.0,2.9737275523415985
34.5,,,,,,,0.0099,9.0,2.9737275523415985
35.0,,,,,,,0.0099,9.0,2.9737275523415985
35.5,,,,,,,0.0099,9.0,2.9737275523415985
36.0,,,63.69895618084906,,,60.105028597985644,0.0099,9.0,2.9737275523415985
36.5,,,,,,,0.0099,9.0,2.9737275523415985
37.0,,237.48515648185446,126.1818728908186,,32.7926236181688,35.0068788097714,0.0099,9.0,2.9737275523415985
37.5,,,,,,,0.0099,9.0,2.9737275523415985
38.0,,213.54701704963134,39.380046213805244,,43.46504033985429,41.340816363015705,0.0099,9.0,2.9737275523415985
38.5,,,,,,,0.0099,9.0,2.9737275523415985
39.0,,216.31744265630746,36.567615921033564,,49.2252605360814,42.7644980479923,0.0099,9.0,2.9737275523415985
39.5,,,,,,,0.0099,9.0,2.9737275523415985
40.0,,159.00110843019536,-30.498558814011062,,73.5219122454914,67.013494451015,0.0099,9.0,2.9737275523415985
40.5,,,,,,,0.0099,9.0,2.9737275523415985
41.0,,,,,,,0.0099,9.0,2.9737275523415985
41.5,,,,,,,0.0099,9.0,2.9737275523415985
42.0,,142.072430219188,40.31002721978049,,71.01865992242004,49.797819853883425,0.0099,9.0,2.9737275523415985
42.5,,,,,,,0.0099,9.0,2.9737275523415985
43.0,,155.06688236035632,,,56.488377707554,,0.0099,9.0,2.9737275523415985
43.5,,,-19.176380093390105,,,39.9820994784037,0.0099,9.0,2.9737275523415985
44.0,,258.4247464431854,,,34.4940357528957,,0.0099,9.0,2.9737275523415985
44.5,,,,,,,0.0099,9.0,2.9737275523415985
45.0,,,,,,,0.0099,9.0,2.9737275523415985
45.5,,,,,,,0.0099,9.0,2.9737275523415985
46.0,,,,,,,0.0099,9.0,2.9737275523415985
46.5,,59.3536916561585,,,51.11124648671644,,0.0099,9.0,2.9737275523415985
47.0,,,85.06978909919256,,,63.0280080289972,0.0099,9.0,2.9737275523415985
47.5,,,,,,,0.0099,9.0,2.9737275523415985
48.0,,,,,,,0.0099,9.0,2.9737275523415985
48.5,,105.77840236425155,,,40.4671838632906,,0.0099,9.0,2.9737275523415985
49.0,,138.67058409453034,11.559846140135152,,44.84195927038028,39.4163893858891,0.0099,9.0,2.9737275523415985
49.5,,,,,,,0.0099,9.0,2.9737275523415985
50.0,,,,,,,0.0099,9.0,2.9737275523415985
50.5,,,,,,,0.0099,9.0,2.9737275523415985
51.0,,,,,,,0.0099,9.0,2.9737275523415985
51.5,,,,,,,0.0099,9.0,2.9737275523415985
52.0,,,,,,,0.0099,9.0,2.9737275523415985
52.5,,,,,,,0.0099,9.0,2.9737275523415985
53.0,,,,,,,0.0099,9.0,2.9737275523415985
53.5,,,,,,,0.0099,9.0,2.9737275523415985
54.0,,,,,,,0.0099,9.0,2.9737275523415985
54.5,,,,,,,0.0099,9.0,2.9737275523415985
