relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.063,14.35,4.020462936307487
-29.5,,,,,,,0.063,14.35,4.020462936307487
-29.0,,,,,,,0.063,14.35,4.020462936307487
-28.5,,-68.87839403064226,,,51.3300300269049,,0.063,14.35,4.020462936307487
-28.0,,,,,,,0.063,14.35,4.020462936307487
-27.5,,-45.544165448944014,,,31.130763226913057,,0.063,14.35,4.020462936307487
-27.0,,,,,,,0.063,14.35,4.020462936307487
-26.5,,90.72773323303679,42.075283657607514,,49.05437758908393,43.55425457643303,0.063,14.35,4.020462936307487
-26.0,,,,,,,0.063,14.35,4.020462936307487
-25.5,,-7.520035450067758,1.6438618283619846,,60.9961871649041,44.53110084014226,0.063,14.35,4.020462936307487
-25.0,,,,,,,0.063,14.35,4.020462936307487
-24.5,,,8.535401243938411,,,44.952545893306294,0.063,14.35,4.020462936307487
-24.0,,,,,,,0.063,14.35,4.020462936307487
-23.5,,,,,,,0.063,14.35,4.020462936307487
-23.0,,,,,,,0.063,14.35,4.020462936307487
-22.5,,,,,,,0.063,14.35,4.020462936307487
-22.0,-55.27455872423573,,,107.99430828883645,,,0.063,14.35,4.020462936307487
-21.5,21.667238769399425,,,107.77594117336352,,,0.063,14.35,4.020462936307487
-21.0,-11.741772147447133,,,105.67716159672104,,,0.063,14.35,4.020462936307487
-20.5,-16.146579408031556,,,108.94207320887207,,,0.063,14.35,4.020462936307487
-20.0,-141.58969196424843,,,108.31171077002168,,,0.063,14.35,4.020462936307487
-19.5,10.817812348732012,,,107.54970161075208,,,0.063,14.35,4.020462936307487
-19.0,-16.873320095776847,,,109.11389869755135,,,0.063,14.35,4.020462936307487
-18.5,-44.21182956343107,,,108.46051246689758,,,0.063,14.35,4.020462936307487
-18.0,11.700629437922466,56.703343274648994,9.837921289993213,109.10689795584123,32.07563231044353,27.9992491495992,0.063,14.35,4.020462936307487
-17.5,-50.38682255444476,,11.185528793214434,108.9337579149728,,29.3633529461243,0.063,14.35,4.020462936307487
-17.0,-54.949984348700994,,,109.27457732235212,,,0.063,14.35,4.020462936307487
-16.5,-56.75326490633793,,,108.46359575402782,,,0.063,14.35,4.020462936307487
-16.0,-68.53585574884363,,,108.34827213310844,,,0.063,14.35,4.020462936307487
-15.5,12.671138592506715,,,109.68608649351577,,,0.063,14.35,4.020462936307487
-15.0,-71.19153230077366,,,109.28744100184008,,,0.063,14.35,4.020462936307487
-14.5,17.10949041343295,,0.9881491848499309,109.54977469470658,,30.67748519389821,0.063,14.35,4.020462936307487
-14.0,-56.84764319939068,,,108.94216328419652,,,0.063,14.35,4.020462936307487
-13.5,-25.7307381450195,157.28021760278864,-70.80261403705475,107.6877394945274,52.119631835470635,41.0528636136815,0.063,14.35,4.020462936307487
-13.0,-73.21735477929793,,115.86808229400388,108.62835063881488,,51.5529299417425,0.063,14.35,4.020462936307487
-12.5,-8.97397619882118,-19.405328115250704,,108.77862575304206,39.01030694745252,,0.063,14.35,4.020462936307487
-12.0,-3.6411265096231986,,,108.13427795297895,,,0.063,14.35,4.020462936307487
-11.5,-4.103819626915286,,-14.048665970972463,109.54622447091987,,20.70267888330856,0.063,14.35,4.020462936307487
-11.0,9.759712815370001,,,108.15582258883722,,,0.063,14.35,4.020462936307487
-10.5,-6.480848398857653,,-38.96974907143051,107.61380370223502,,20.26488023706572,0.063,14.35,4.020462936307487
-10.0,-70.40057383194514,213.91062190555252,,107.47443634339949,88.33590635275162,,0.063,14.35,4.020462936307487
-9.5,,10.045517868982294,-1.3532655153272515,,61.90083982657286,49.8789698827134,0.063,14.35,4.020462936307487
-9.0,,19.326967710930255,26.64402721843314,,54.493174849489,87.68752184462055,0.063,14.35,4.020462936307487
-8.5,,,,,,,0.063,14.35,4.020462936307487
-8.0,,-139.3405979130452,12.325075936472043,,59.98671259416825,80.9572254297833,0.063,14.35,4.020462936307487
-7.5,,,,,,,0.063,14.35,4.020462936307487
-7.0,,,,,,,0.063,14.35,4.020462936307487
-6.5,,,,,,,0.063,14.35,4.020462936307487
-6.0,19.058921568068037,,,111.7761350986671,,,0.063,14.35,4.020462936307487
-5.5,-11.546811077159788,,,110.20699387757047,,,0.063,14.35,4.020462936307487
-5.0,-6.692220108221839,4.217787420736192,16.144939157613326,109.94031389101629,77.88354818563246,113.156812700429,0.063,14.35,4.020462936307487
-4.5,-9.130488543304772,,,109.51951801436846,,,0.063,14.35,4.020462936307487
-4.0,44.32743695569871,107.76889700251783,72.52861973792803,108.1776641479658,77.56562716235334,103.27850943970118,0.063,14.35,4.020462936307487
-3.5,79.7877700053777,,,108.16559739472848,,,0.063,14.35,4.020462936307487
-3.0,119.67770816817836,76.46705542358498,104.5977691856319,106.74576317778843,70.79664942935013,42.00915069833318,0.063,14.35,4.020462936307487
-2.5,108.81467720449655,,,108.56664413665135,,,0.063,14.35,4.020462936307487
-2.0,254.85383090079466,321.44754811549893,,108.85549339941434,39.38234279393675,,0.063,14.35,4.020462936307487
-1.5,253.6681318820401,,172.04291735210134,107.23147272335017,,76.7636636924775,0.063,14.35,4.020462936307487
-1.0,339.861889252515,24.1192198779504,27.467919387980327,108.11730306240938,48.00531290849332,35.137759842925114,0.063,14.35,4.020462936307487
-0.5,469.14949510462264,,,108.01950789173635,,,0.063,14.35,4.020462936307487
0.0,522.4354801931825,664.4702930213244,520.9197079210951,108.41211971687669,24.68164087073809,25.668390443628322,0.063,14.35,4.020462936307487
0.5,719.0687443511183,,,108.14270738560079,,,0.063,14.35,4.020462936307487
1.0,918.1536958685359,,,108.4027042209978,,,0.063,14.35,4.020462936307487
1.5,1062.8446773319197,,,109.21459754298135,,,0.063,14.35,4.020462936307487
2.0,1213.5684477723578,,,108.20917927123763,,,0.063,14.35,4.020462936307487
2.5,1321.2625353114843,,,109.03905655367463,,,0.063,14.35,4.020462936307487
3.0,1482.6102491973525,1558.583573697887,1522.2960431151014,108.99329143038209,33.055745818250436,30.499714353524652,0.063,14.35,4.020462936307487
3.5,1621.5705894723483,,,108.7128682295021,,,0.063,14.35,4.020462936307487
4.0,1651.147665859314,,,106.1476795188028,,,0.063,14.35,4.020462936307487
4.5,,,,,,,0.063,14.35,4.020462936307487
5.0,,,,,,,0.063,14.35,4.020462936307487
5.5,,,,,,,0.063,14.35,4.020462936307487
6.0,,,,,,,0.063,14.35,4.020462936307487
6.5,,,,,,,0.063,14.35,4.020462936307487
7.0,,,,,,,0.063,14.35,4.020462936307487
7.5,,,,,,,0.063,14.35,4.020462936307487
8.0,,2443.5723689981037,3125.915172057178,,33.69636499897988,34.997192114645166,0.063,14.35,4.020462936307487
8.5,,,,,,,0.063,14.35,4.020462936307487
9.0,,3144.1826550203937,3115.677981996266,,39.663759398497625,38.672981253810896,0.063,14.35,4.020462936307487
9.5,,,,,,,0.063,14.35,4.020462936307487
10.0,,2409.3290286893266,2429.8901772804775,,36.072202525075895,32.635980725981234,0.063,14.35,4.020462936307487
10.5,,,,,,,0.063,14.35,4.020462936307487
11.0,,3154.2395739814806,3018.800204003711,,37.85943126601959,37.35166309767972,0.063,14.35,4.020462936307487
11.5,,,,,,,0.063,14.35,4.020462936307487
12.0,,3207.590154505793,3130.4464160376024,,36.71494070157023,34.803604644856385,0.063,14.35,4.020462936307487
12.5,,,,,,,0.063,14.35,4.020462936307487
13.0,,3048.494339312433,3008.2548244754253,,42.61256953407389,41.3781195100096,0.063,14.35,4.020462936307487
13.5,,,,,,,0.063,14.35,4.020462936307487
14.0,,3242.156414694832,2818.029802314528,,61.31047883176882,54.82135817434272,0.063,14.35,4.020462936307487
14.5,,,,,,,0.063,14.35,4.020462936307487
15.0,,3333.200420397516,2404.6416023613374,,58.51580328878674,50.69943428530464,0.063,14.35,4.020462936307487
15.5,,,,,,,0.063,14.35,4.020462936307487
16.0,,2917.058195864402,2384.8255883076326,,38.936169441126175,38.22473957227204,0.063,14.35,4.020462936307487
16.5,,,,,,,0.063,14.35,4.020462936307487
17.0,,2907.605825316019,2156.4272902818125,,43.548482689060194,47.75801555449393,0.063,14.35,4.020462936307487
17.5,,,,,,,0.063,14.35,4.020462936307487
18.0,,2763.496680425224,,,62.63058551527196,,0.063,14.35,4.020462936307487
18.5,,,,,,,0.063,14.35,4.020462936307487
19.0,,1950.557321716017,,,81.71762220648361,,0.063,14.35,4.020462936307487
19.5,,,,,,,0.063,14.35,4.020462936307487
20.0,,2486.638964532344,1435.1791358914265,,83.49573587279923,76.40195569494338,0.063,14.35,4.020462936307487
20.5,,,,,,,0.063,14.35,4.020462936307487
21.0,,2119.034729595443,1241.3157892104327,,96.78512827727633,90.52365935502907,0.063,14.35,4.020462936307487
21.5,,,,,,,0.063,14.35,4.020462936307487
22.0,,2430.845278088193,1167.8617025243393,,72.93594454703145,83.13462072244903,0.063,14.35,4.020462936307487
22.5,,,,,,,0.063,14.35,4.020462936307487
23.0,,2206.2456506574995,961.6588894142085,,70.98925704322627,87.0147083569452,0.063,14.35,4.020462936307487
23.5,,,,,,,0.063,14.35,4.020462936307487
24.0,,,772.9626530057085,,,85.1695998737221,0.063,14.35,4.020462936307487
24.5,,,,,,,0.063,14.35,4.020462936307487
25.0,,,,,,,0.063,14.35,4.020462936307487
25.5,,,,,,,0.063,14.35,4.020462936307487
26.0,,2096.163807626358,618.7093938718269,,69.9729612222074,71.34004692156157,0.063,14.35,4.020462936307487
26.5,,,,,,,0.063,14.35,4.020462936307487
27.0,,1705.5096928279604,564.6290181234178,,33.42093349862823,31.914363948019393,0.063,14.35,4.020462936307487
27.5,,,,,,,0.063,14.35,4.020462936307487
28.0,,1678.4282513228131,474.4438020842404,,38.65888292775292,21.5184629493591,0.063,14.35,4.020462936307487
28.5,,,,,,,0.063,14.35,4.020462936307487
29.0,,1661.267334005589,398.7022133792783,,31.818022819219163,21.269714247665483,0.063,14.35,4.020462936307487
29.5,,,,,,,0.063,14.35,4.020462936307487
30.0,,1432.7989136120932,398.44408454213567,,29.842483130587823,23.55329897860215,0.063,14.35,4.020462936307487
30.5,,,,,,,0.063,14.35,4.020462936307487
31.0,,1199.599782252734,328.2848397080467,,31.21152825062887,25.410668069691752,0.063,14.35,4.020462936307487
31.5,,,,,,,0.063,14.35,4.020462936307487
32.0,,1238.1814852476675,377.0160072030076,,30.025427665862928,24.038243415662908,0.063,14.35,4.020462936307487
32.5,,,,,,,0.063,14.35,4.020462936307487
33.0,,,,,,,0.063,14.35,4.020462936307487
33.5,,,,,,,0.063,14.35,4.020462936307487
34.0,,873.355454238061,283.81558067750524,,26.90783556859574,21.88538703859241,0.063,14.35,4.020462936307487
34.5,,,,,,,0.063,14.35,4.020462936307487
35.0,,934.0470785937221,304.27508441050963,,27.8985482983624,22.98924201134012,0.063,14.35,4.020462936307487
35.5,,,,,,,0.063,14.35,4.020462936307487
36.0,,416.7718248700099,239.12732870088925,,31.86053224287368,30.5808258891902,0.063,14.35,4.020462936307487
36.5,,,,,,,0.063,14.35,4.020462936307487
37.0,,,,,,,0.063,14.35,4.020462936307487
37.5,,,,,,,0.063,14.35,4.020462936307487
38.0,,,,,,,0.063,14.35,4.020462936307487
38.5,,,,,,,0.063,14.35,4.020462936307487
39.0,,741.4631762098082,308.08430680195556,,28.572253080277584,22.664744929055434,0.063,14.35,4.020462936307487
39.5,,,,,,,0.063,14.35,4.020462936307487
40.0,,602.4047091763389,219.80125260173565,,27.177180086808562,22.340794920141036,0.063,14.35,4.020462936307487
40.5,,,,,,,0.063,14.35,4.020462936307487
41.0,,744.5887675845078,330.39276899415654,,47.09383567381535,41.653009627422094,0.063,14.35,4.020462936307487
41.5,,,,,,,0.063,14.35,4.020462936307487
42.0,,672.5069743012857,224.38540321612305,,35.62579066779607,37.57716878691879,0.063,14.35,4.020462936307487
42.5,,,,,,,0.063,14.35,4.020462936307487
43.0,,,,,,,0.063,14.35,4.020462936307487
43.5,,,,,,,0.063,14.35,4.020462936307487
44.0,,,,,,,0.063,14.35,4.020462936307487
44.5,,,,,,,0.063,14.35,4.020462936307487
45.0,,575.5867847588969,259.2819709788385,,78.41633519009716,52.55763186859996,0.063,14.35,4.020462936307487
45.5,,,,,,,0.063,14.35,4.020462936307487
46.0,,,,,,,0.063,14.35,4.020462936307487
46.5,,,,,,,0.063,14.35,4.020462936307487
47.0,,571.1078068080959,,,72.52698182516198,,0.063,14.35,4.020462936307487
47.5,,,,,,,0.063,14.35,4.020462936307487
48.0,,529.9515124731163,291.6675826733922,,41.58309780943816,48.00678919813035,0.063,14.35,4.020462936307487
48.5,,,,,,,0.063,14.35,4.020462936307487
49.0,,404.1270950437466,221.54974946777014,,57.06388975803875,57.118283180137695,0.063,14.35,4.020462936307487
49.5,,,,,,,0.063,14.35,4.020462936307487
50.0,,378.1552020752327,67.64529024254726,,103.85341919162676,93.94678083481169,0.063,14.35,4.020462936307487
50.5,,,,,,,0.063,14.35,4.020462936307487
51.0,,403.41218686837345,251.6109373393217,,52.50707142079714,65.7810112299312,0.063,14.35,4.020462936307487
51.5,,,,,,,0.063,14.35,4.020462936307487
