relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-24.331988434707387,9.451611837218465,,29.721178788400074,26.610579309541627,0.0425,13.5,3.4179526035332906
-29.5,,,,,,,0.0425,13.5,3.4179526035332906
-29.0,,,,,,,0.0425,13.5,3.4179526035332906
-28.5,,,,,,,0.0425,13.5,3.4179526035332906
-28.0,,-12.322820062229297,17.25977824823583,,26.381657650084172,24.311067161865637,0.0425,13.5,3.4179526035332906
-27.5,,,,,,,0.0425,13.5,3.4179526035332906
-27.0,,,2.439848298792665,,,31.04196865755466,0.0425,13.5,3.4179526035332906
-26.5,,,,,,,0.0425,13.5,3.4179526035332906
-26.0,,46.69706568094503,10.001902872282706,,29.33995722725547,25.29505743630873,0.0425,13.5,3.4179526035332906
-25.5,,,,,,,0.0425,13.5,3.4179526035332906
-25.0,,-1.6754503883248428,22.086813124433714,,27.1546063482191,24.877142093530267,0.0425,13.5,3.4179526035332906
-24.5,,,,,,,0.0425,13.5,3.4179526035332906
-24.0,,-4.303339838800555,-11.489715884470597,,22.941969356415875,19.7725724025943,0.0425,13.5,3.4179526035332906
-23.5,,,,,,,0.0425,13.5,3.4179526035332906
-23.0,,-10.586945782715183,4.361460872093647,,23.182694969783316,20.56313834302247,0.0425,13.5,3.4179526035332906
-22.5,,,,,,,0.0425,13.5,3.4179526035332906
-22.0,,12.903504926879135,-8.317523798847267,,22.0658092167844,22.91093117354936,0.0425,13.5,3.4179526035332906
-21.5,,,,,,,0.0425,13.5,3.4179526035332906
-21.0,,16.98926950423057,,,40.50984151999887,,0.0425,13.5,3.4179526035332906
-20.5,,,,,,,0.0425,13.5,3.4179526035332906
-20.0,,-156.94830947403545,,,89.03895792967816,,0.0425,13.5,3.4179526035332906
-19.5,,,,,,,0.0425,13.5,3.4179526035332906
-19.0,,,,,,,0.0425,13.5,3.4179526035332906
-18.5,,,,,,,0.0425,13.5,3.4179526035332906
-18.0,,-43.306792014297706,-61.575340189160016,,57.22853688783603,99.05585781449298,0.0425,13.5,3.4179526035332906
-17.5,,,,,,,0.0425,13.5,3.4179526035332906
-17.0,,7.81753664556579,17.25307735178563,,60.15874701285341,59.04204887152579,0.0425,13.5,3.4179526035332906
-16.5,,,,,,,0.0425,13.5,3.4179526035332906
-16.0,,-23.2247535975203,36.734383382310774,,77.9001865797169,91.57836945425093,0.0425,13.5,3.4179526035332906
-15.5,,,,,,,0.0425,13.5,3.4179526035332906
-15.0,,101.24434724674855,-1.742451250492255,,77.23871296400667,87.84429010964843,0.0425,13.5,3.4179526035332906
-14.5,,,,,,,0.0425,13.5,3.4179526035332906
-14.0,,70.431753756175,,,97.80463413689215,,0.0425,13.5,3.4179526035332906
-13.5,,,,,,,0.0425,13.5,3.4179526035332906
-13.0,,,-77.37017453576023,,,100.345181464768,0.0425,13.5,3.4179526035332906
-12.5,,,,,,,0.0425,13.5,3.4179526035332906
-12.0,,-23.242121455761918,-6.3261467553818065,,64.63492156719504,78.3054857910226,0.0425,13.5,3.4179526035332906
-11.5,,,,,,,0.0425,13.5,3.4179526035332906
-11.0,,-34.962981188939025,-4.338040579865383,,56.52899414177944,81.72074208216796,0.0425,13.5,3.4179526035332906
-10.5,,,,,,,0.0425,13.5,3.4179526035332906
-10.0,,32.57873972096982,65.48565488796464,,79.36782044644303,77.0953503416772,0.0425,13.5,3.4179526035332906
-9.5,,,,,,,0.0425,13.5,3.4179526035332906
-9.0,,64.61064095451393,96.14681899885188,,72.29894623469552,80.1714206375589,0.0425,13.5,3.4179526035332906
-8.5,,,,,,,0.0425,13.5,3.4179526035332906
-8.0,,,,,,,0.0425,13.5,3.4179526035332906
-7.5,,,,,,,0.0425,13.5,3.4179526035332906
-7.0,,,,,,,0.0425,13.5,3.4179526035332906
-6.5,,,,,,,0.0425,13.5,3.4179526035332906
-6.0,,,,,,,0.0425,13.5,3.4179526035332906
-5.5,,,,,,,0.0425,13.5,3.4179526035332906
-5.0,,,,,,,0.0425,13.5,3.4179526035332906
-4.5,,,,,,,0.0425,13.5,3.4179526035332906
-4.0,,,,,,,0.0425,13.5,3.4179526035332906
-3.5,,,,,,,0.0425,13.5,3.4179526035332906
-3.0,,102.0524265190067,117.93274137191673,,35.25027060491445,32.35334384118039,0.0425,13.5,3.4179526035332906
-2.5,,,,,,,0.0425,13.5,3.4179526035332906
-2.0,,95.940486804628,85.03210854137619,,25.65420787617515,27.663451398797324,0.0425,13.5,3.4179526035332906
-1.5,,,,,,,0.0425,13.5,3.4179526035332906
-1.0,,161.3644851513312,133.2044766707095,,26.5277700315054,27.0976347876418,0.0425,13.5,3.4179526035332906
-0.5,,,,,,,0.0425,13.5,3.4179526035332906
0.0,,192.41528013954238,199.88310138766775,,33.75912809500289,44.23990879750609,0.0425,13.5,3.4179526035332906
0.5,,,,,,,0.0425,13.5,3.4179526035332906
1.0,,264.2625004952214,287.5564282221835,,39.24725161099907,29.588002248968454,0.0425,13.5,3.4179526035332906
1.5,,,,,,,0.0425,13.5,3.4179526035332906
2.0,,366.6650651555863,377.0392187254077,,33.48335986777096,36.588748832978666,0.0425,13.5,3.4179526035332906
2.5,,,,,,,0.0425,13.5,3.4179526035332906
3.0,,349.253182223828,374.0385287614372,,38.43370470456252,31.642499277303436,0.0425,13.5,3.4179526035332906
3.5,,,,,,,0.0425,13.5,3.4179526035332906
4.0,,149.08309775540587,548.5463558352635,,22.5757682806421,28.05489380387208,0.0425,13.5,3.4179526035332906
4.5,,,,,,,0.0425,13.5,3.4179526035332906
5.0,,527.735070535621,578.9463211405354,,38.852192271037715,32.704449020023866,0.0425,13.5,3.4179526035332906
5.5,,,,,,,0.0425,13.5,3.4179526035332906
6.0,,534.9387621358952,555.9785830882465,,31.800486728357228,29.755635998166074,0.0425,13.5,3.4179526035332906
6.5,,,,,,,0.0425,13.5,3.4179526035332906
7.0,,,307.0241634915462,,,32.81558296625085,0.0425,13.5,3.4179526035332906
7.5,,,,,,,0.0425,13.5,3.4179526035332906
8.0,,333.13193897589133,244.0835675733283,,29.99989793560084,40.01640965777027,0.0425,13.5,3.4179526035332906
8.5,,,,,,,0.0425,13.5,3.4179526035332906
9.0,,552.8968210903274,500.040811682528,,55.26085712129826,49.287106996434396,0.0425,13.5,3.4179526035332906
9.5,,,,,,,0.0425,13.5,3.4179526035332906
10.0,,,748.3513233863839,,,35.6108249198256,0.0425,13.5,3.4179526035332906
10.5,,,,,,,0.0425,13.5,3.4179526035332906
