relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.2669,10.4,2.5011197492323314
-29.5,,,,,,,0.2669,10.4,2.5011197492323314
-29.0,,2.987561412471246,-53.36549082148835,,20.3554609341086,22.8466388849278,0.2669,10.4,2.5011197492323314
-28.5,,,,,,,0.2669,10.4,2.5011197492323314
-28.0,,,,,,,0.2669,10.4,2.5011197492323314
-27.5,,,,,,,0.2669,10.4,2.5011197492323314
-27.0,,,,,,,0.2669,10.4,2.5011197492323314
-26.5,,,,,,,0.2669,10.4,2.5011197492323314
-26.0,,23.68815821278152,,,22.2240101310918,,0.2669,10.4,2.5011197492323314
-25.5,,,,,,,0.2669,10.4,2.5011197492323314
-25.0,,,,,,,0.2669,10.4,2.5011197492323314
-24.5,,,,,,,0.2669,10.4,2.5011197492323314
-24.0,,15.719432569528273,5.413844576390798,,19.2089993836197,16.5131800802911,0.2669,10.4,2.5011197492323314
-23.5,,,,,,,0.2669,10.4,2.5011197492323314
-23.0,,,,,,,0.2669,10.4,2.5011197492323314
-22.5,,,,,,,0.2669,10.4,2.5011197492323314
-22.0,,52.98053374724293,-81.20643718408441,,20.7179586962194,17.2259944152512,0.2669,10.4,2.5011197492323314
-21.5,,,,,,,0.2669,10.4,2.5011197492323314
-21.0,,,,,,,0.2669,10.4,2.5011197492323314
-20.5,,,,,,,0.2669,10.4,2.5011197492323314
-20.0,,-6.7726563638489585,-23.97558881787878,,21.328246793385,17.5854799057577,0.2669,10.4,2.5011197492323314
-19.5,,,,,,,0.2669,10.4,2.5011197492323314
-19.0,,,,,,,0.2669,10.4,2.5011197492323314
-18.5,,,,,,,0.2669,10.4,2.5011197492323314
-18.0,,40.39813501832355,23.43119172343719,,20.2963299799289,20.7702293161473,0.2669,10.4,2.5011197492323314
-17.5,,,,,,,0.2669,10.4,2.5011197492323314
-17.0,,,,,,,0.2669,10.4,2.5011197492323314
-16.5,,,,,,,0.2669,10.4,2.5011197492323314
-16.0,,99.27938774405763,-12.293957324762655,,22.5851335147725,19.3418467715594,0.2669,10.4,2.5011197492323314
-15.5,,,,,,,0.2669,10.4,2.5011197492323314
-15.0,,,,,,,0.2669,10.4,2.5011197492323314
-14.5,,,,,,,0.2669,10.4,2.5011197492323314
-14.0,,,-7.684859269568496,,,17.3371740195831,0.2669,10.4,2.5011197492323314
-13.5,,,,,,,0.2669,10.4,2.5011197492323314
-13.0,,,,,,,0.2669,10.4,2.5011197492323314
-12.5,,,,,,,0.2669,10.4,2.5011197492323314
-12.0,,,,,,,0.2669,10.4,2.5011197492323314
-11.5,,,,,,,0.2669,10.4,2.5011197492323314
-11.0,,-25.90997818215541,-199.76191405548033,,36.3565662606065,65.1965203479064,0.2669,10.4,2.5011197492323314
-10.5,,,,,,,0.2669,10.4,2.5011197492323314
-10.0,,,,,,,0.2669,10.4,2.5011197492323314
-9.5,,,,,,,0.2669,10.4,2.5011197492323314
-9.0,,9.174508061391343,-104.26846164448118,,47.3701203846617,54.7790490685071,0.2669,10.4,2.5011197492323314
-8.5,,,,,,,0.2669,10.4,2.5011197492323314
-8.0,,,,,,,0.2669,10.4,2.5011197492323314
-7.5,,,,,,,0.2669,10.4,2.5011197492323314
-7.0,,,,,,,0.2669,10.4,2.5011197492323314
-6.5,,,,,,,0.2669,10.4,2.5011197492323314
-6.0,,,,,,,0.2669,10.4,2.5011197492323314
-5.5,,,,,,,0.2669,10.4,2.5011197492323314
-5.0,,,,,,,0.2669,10.4,2.5011197492323314
-4.5,,,,,,,0.2669,10.4,2.5011197492323314
-4.0,,,,,,,0.2669,10.4,2.5011197492323314
-3.5,,,,,,,0.2669,10.4,2.5011197492323314
-3.0,,35.62605009062408,-59.52900611672095,,93.6277020482678,89.1942209474092,0.2669,10.4,2.5011197492323314
-2.5,,,,,,,0.2669,10.4,2.5011197492323314
-2.0,,,,,,,0.2669,10.4,2.5011197492323314
-1.5,,,,,,,0.2669,10.4,2.5011197492323314
-1.0,,,,,,,0.2669,10.4,2.5011197492323314
-0.5,,,,,,,0.2669,10.4,2.5011197492323314
0.0,,346.93425021706304,239.57140147186814,,28.6516902842884,29.464026738304,0.2669,10.4,2.5011197492323314
0.5,,,,,,,0.2669,10.4,2.5011197492323314
1.0,,,,,,,0.2669,10.4,2.5011197492323314
1.5,,,,,,,0.2669,10.4,2.5011197492323314
