relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0372,10.0,6.387532126468459
-29.5,,,,,,,0.0372,10.0,6.387532126468459
-29.0,,,,,,,0.0372,10.0,6.387532126468459
-28.5,,,,,,,0.0372,10.0,6.387532126468459
-28.0,,,23.252976844366497,,,31.9451926615202,0.0372,10.0,6.387532126468459
-27.5,,,,,,,0.0372,10.0,6.387532126468459
-27.0,,,,,,,0.0372,10.0,6.387532126468459
-26.5,,,,,,,0.0372,10.0,6.387532126468459
-26.0,,12.759124004960483,-171.29706611629467,,72.1637130294374,96.1383907577018,0.0372,10.0,6.387532126468459
-25.5,,,,,,,0.0372,10.0,6.387532126468459
-25.0,,,,,,,0.0372,10.0,6.387532126468459
-24.5,,,,,,,0.0372,10.0,6.387532126468459
-24.0,,61.94729271781216,13.546667655218856,,64.2167825779994,76.3560884496205,0.0372,10.0,6.387532126468459
-23.5,,,,,,,0.0372,10.0,6.387532126468459
-23.0,,,,,,,0.0372,10.0,6.387532126468459
-22.5,,,,,,,0.0372,10.0,6.387532126468459
-22.0,,,,,,,0.0372,10.0,6.387532126468459
-21.5,,,,,,,0.0372,10.0,6.387532126468459
-21.0,,,,,,,0.0372,10.0,6.387532126468459
-20.5,,,,,,,0.0372,10.0,6.387532126468459
-20.0,,,-131.49401550487016,,,74.2464272943701,0.0372,10.0,6.387532126468459
-19.5,,,,,,,0.0372,10.0,6.387532126468459
-19.0,,,,,,,0.0372,10.0,6.387532126468459
-18.5,,,,,,,0.0372,10.0,6.387532126468459
-18.0,,,,,,,0.0372,10.0,6.387532126468459
-17.5,,,,,,,0.0372,10.0,6.387532126468459
-17.0,,,,,,,0.0372,10.0,6.387532126468459
-16.5,,,,,,,0.0372,10.0,6.387532126468459
-16.0,,,,,,,0.0372,10.0,6.387532126468459
-15.5,,,,,,,0.0372,10.0,6.387532126468459
-15.0,,,,,,,0.0372,10.0,6.387532126468459
-14.5,,,,,,,0.0372,10.0,6.387532126468459
-14.0,,106.0889750879075,94.63285010102264,,40.0882117791686,34.0192502054471,0.0372,10.0,6.387532126468459
-13.5,,,,,,,0.0372,10.0,6.387532126468459
-13.0,,,,,,,0.0372,10.0,6.387532126468459
-12.5,,,,,,,0.0372,10.0,6.387532126468459
-12.0,,,,,,,0.0372,10.0,6.387532126468459
-11.5,,,,,,,0.0372,10.0,6.387532126468459
-11.0,,,,,,,0.0372,10.0,6.387532126468459
-10.5,,,,,,,0.0372,10.0,6.387532126468459
-10.0,,,,,,,0.0372,10.0,6.387532126468459
-9.5,,,,,,,0.0372,10.0,6.387532126468459
-9.0,,,,,,,0.0372,10.0,6.387532126468459
-8.5,,,,,,,0.0372,10.0,6.387532126468459
-8.0,,,,,,,0.0372,10.0,6.387532126468459
-7.5,,,,,,,0.0372,10.0,6.387532126468459
-7.0,,114.03806185800381,62.607107768015744,,35.4657061034717,32.8470607568856,0.0372,10.0,6.387532126468459
-6.5,,,,,,,0.0372,10.0,6.387532126468459
-6.0,,,,,,,0.0372,10.0,6.387532126468459
-5.5,,,,,,,0.0372,10.0,6.387532126468459
-5.0,,,,,,,0.0372,10.0,6.387532126468459
-4.5,,,,,,,0.0372,10.0,6.387532126468459
-4.0,,,,,,,0.0372,10.0,6.387532126468459
-3.5,-110.84547248838987,,,346.9227655675666,,,0.0372,10.0,6.387532126468459
-3.0,-298.0005298558468,,202.92613022308433,342.62143039247553,,32.4721228933112,0.0372,10.0,6.387532126468459
-2.5,-232.22444137005164,,,340.9106995086986,,,0.0372,10.0,6.387532126468459
-2.0,-118.50025946261133,,,339.5972813632524,,,0.0372,10.0,6.387532126468459
-1.5,-213.91572764909324,,,338.1844233974543,,,0.0372,10.0,6.387532126468459
-1.0,-60.171431865747024,,,336.7503954732111,,,0.0372,10.0,6.387532126468459
-0.5,-96.6963590806318,,,335.3831347544499,,,0.0372,10.0,6.387532126468459
0.0,-25.154008022839434,160.5543268529755,270.85185069293203,334.0464972926016,81.8013316478405,35.1682734801616,0.0372,10.0,6.387532126468459
0.5,-148.89508631367335,,,332.7200822113706,,,0.0372,10.0,6.387532126468459
1.0,-8.582597769490633,,,331.5068848667834,,,0.0372,10.0,6.387532126468459
1.5,-48.48270014280786,,,330.2832371006189,,,0.0372,10.0,6.387532126468459
2.0,59.04909783967949,,,329.01342135011987,,,0.0372,10.0,6.387532126468459
2.5,-7.809854134152829,,,328.03492230241875,,,0.0372,10.0,6.387532126468459
3.0,-55.54693124750412,,,326.92627038610925,,,0.0372,10.0,6.387532126468459
3.5,82.88195220464186,,,325.8761728430024,,,0.0372,10.0,6.387532126468459
4.0,11.159951264230187,,,324.64850058703945,,,0.0372,10.0,6.387532126468459
4.5,109.85371393295682,,,323.67158564810114,,,0.0372,10.0,6.387532126468459
5.0,60.66730326889646,,,322.71794033754963,,,0.0372,10.0,6.387532126468459
5.5,-102.532045557777,,,321.98485298545955,,,0.0372,10.0,6.387532126468459
6.0,23.531790117090168,199.58015970603145,222.05839864791756,321.865586191792,46.7637167919374,60.6568667444667,0.0372,10.0,6.387532126468459
6.5,-150.09928505343635,,,322.5635219265644,,,0.0372,10.0,6.387532126468459
7.0,172.10207076847217,,,323.38002620474407,,,0.0372,10.0,6.387532126468459
7.5,107.17075922659896,,,323.15495715442523,,,0.0372,10.0,6.387532126468459
8.0,,,,,,,0.0372,10.0,6.387532126468459
8.5,,,,,,,0.0372,10.0,6.387532126468459
9.0,,228.37310534569534,,,50.5023153263858,,0.0372,10.0,6.387532126468459
9.5,,,,,,,0.0372,10.0,6.387532126468459
10.0,,,,,,,0.0372,10.0,6.387532126468459
10.5,,,,,,,0.0372,10.0,6.387532126468459
11.0,104.53310978333826,,,313.0247974621588,,,0.0372,10.0,6.387532126468459
11.5,255.45204186011415,,,310.49002865787907,,,0.0372,10.0,6.387532126468459
12.0,251.0356059832245,,,309.1419842841058,,,0.0372,10.0,6.387532126468459
12.5,196.0684792232887,,,308.1513410098438,,,0.0372,10.0,6.387532126468459
13.0,312.6397834317094,,,307.3063326282452,,,0.0372,10.0,6.387532126468459
13.5,292.2599757813998,,,306.4877492212212,,,0.0372,10.0,6.387532126468459
14.0,401.29252869146615,,,305.67736419792334,,,0.0372,10.0,6.387532126468459
14.5,368.8306793341013,,,305.004149295281,,,0.0372,10.0,6.387532126468459
15.0,344.2466504986474,229.66489883593403,119.3331431831904,304.29365500092996,25.3274873904909,24.60581691672,0.0372,10.0,6.387532126468459
15.5,240.183159155586,,,303.7458383553622,,,0.0372,10.0,6.387532126468459
16.0,226.9850951625171,,,303.33231288068816,,,0.0372,10.0,6.387532126468459
16.5,218.70696379369116,,,302.4471210875693,,,0.0372,10.0,6.387532126468459
17.0,273.6541039913203,,,301.6967101465035,,,0.0372,10.0,6.387532126468459
17.5,238.81268293483728,,,300.8552033410273,,,0.0372,10.0,6.387532126468459
18.0,289.3732565093473,,,300.14272471652504,,,0.0372,10.0,6.387532126468459
18.5,341.9104467036214,,,299.6220570127696,,,0.0372,10.0,6.387532126468459
19.0,400.0488547250159,152.873901922973,110.89923877917109,299.29267496473716,23.7038939862102,26.7723918133578,0.0372,10.0,6.387532126468459
19.5,266.20743857531943,,,298.5301846603944,,,0.0372,10.0,6.387532126468459
20.0,300.6017417377708,,,297.7617446269517,,,0.0372,10.0,6.387532126468459
20.5,-51.27651039471715,,,297.4201757590572,,,0.0372,10.0,6.387532126468459
21.0,,211.5340606118943,90.63855032884446,,25.2175453150254,21.0261847142591,0.0372,10.0,6.387532126468459
21.5,,,,,,,0.0372,10.0,6.387532126468459
22.0,,,,,,,0.0372,10.0,6.387532126468459
22.5,,,,,,,0.0372,10.0,6.387532126468459
23.0,,117.55126027748508,88.8363531028514,,26.7016054913833,20.4250480098532,0.0372,10.0,6.387532126468459
23.5,,,,,,,0.0372,10.0,6.387532126468459
24.0,,,,,,,0.0372,10.0,6.387532126468459
24.5,,,,,,,0.0372,10.0,6.387532126468459
25.0,,,,,,,0.0372,10.0,6.387532126468459
25.5,,,,,,,0.0372,10.0,6.387532126468459
26.0,,124.91085397249208,72.21733673418389,,36.9479087427415,31.2295737228684,0.0372,10.0,6.387532126468459
26.5,,,,,,,0.0372,10.0,6.387532126468459
27.0,,,,,,,0.0372,10.0,6.387532126468459
27.5,,,,,,,0.0372,10.0,6.387532126468459
28.0,,110.66461298363134,45.065279574367146,,28.3994616634628,26.5672751192246,0.0372,10.0,6.387532126468459
28.5,,,,,,,0.0372,10.0,6.387532126468459
29.0,,,,,,,0.0372,10.0,6.387532126468459
29.5,,,,,,,0.0372,10.0,6.387532126468459
30.0,,,,,,,0.0372,10.0,6.387532126468459
30.5,,,,,,,0.0372,10.0,6.387532126468459
31.0,,,,,,,0.0372,10.0,6.387532126468459
31.5,,,,,,,0.0372,10.0,6.387532126468459
32.0,,,,,,,0.0372,10.0,6.387532126468459
32.5,,,,,,,0.0372,10.0,6.387532126468459
33.0,,51.424334424301826,32.88348626496232,,43.8303468630378,76.073334895634,0.0372,10.0,6.387532126468459
33.5,,,,,,,0.0372,10.0,6.387532126468459
34.0,,,,,,,0.0372,10.0,6.387532126468459
34.5,,,,,,,0.0372,10.0,6.387532126468459
35.0,,,,,,,0.0372,10.0,6.387532126468459
35.5,,,,,,,0.0372,10.0,6.387532126468459
36.0,,,,,,,0.0372,10.0,6.387532126468459
36.5,,,,,,,0.0372,10.0,6.387532126468459
37.0,,,,,,,0.0372,10.0,6.387532126468459
37.5,,,,,,,0.0372,10.0,6.387532126468459
38.0,,,,,,,0.0372,10.0,6.387532126468459
38.5,,,,,,,0.0372,10.0,6.387532126468459
39.0,,,,,,,0.0372,10.0,6.387532126468459
39.5,,,,,,,0.0372,10.0,6.387532126468459
40.0,,,,,,,0.0372,10.0,6.387532126468459
40.5,,,,,,,0.0372,10.0,6.387532126468459
41.0,,,,,,,0.0372,10.0,6.387532126468459
41.5,,,,,,,0.0372,10.0,6.387532126468459
42.0,,,,,,,0.0372,10.0,6.387532126468459
42.5,,,,,,,0.0372,10.0,6.387532126468459
43.0,,,,,,,0.0372,10.0,6.387532126468459
43.5,,,,,,,0.0372,10.0,6.387532126468459
44.0,,,,,,,0.0372,10.0,6.387532126468459
44.5,,,,,,,0.0372,10.0,6.387532126468459
45.0,,,,,,,0.0372,10.0,6.387532126468459
45.5,,,,,,,0.0372,10.0,6.387532126468459
46.0,,,,,,,0.0372,10.0,6.387532126468459
46.5,,,,,,,0.0372,10.0,6.387532126468459
47.0,,77.05435277454076,6.021003055981445,,24.316275671934,26.0908843144303,0.0372,10.0,6.387532126468459
47.5,,,,,,,0.0372,10.0,6.387532126468459
48.0,,,,,,,0.0372,10.0,6.387532126468459
48.5,,,,,,,0.0372,10.0,6.387532126468459
49.0,,,,,,,0.0372,10.0,6.387532126468459
49.5,,,,,,,0.0372,10.0,6.387532126468459
50.0,,,,,,,0.0372,10.0,6.387532126468459
50.5,,,,,,,0.0372,10.0,6.387532126468459
51.0,,,,,,,0.0372,10.0,6.387532126468459
51.5,,,,,,,0.0372,10.0,6.387532126468459
52.0,,,,,,,0.0372,10.0,6.387532126468459
52.5,,,,,,,0.0372,10.0,6.387532126468459
53.0,,,,,,,0.0372,10.0,6.387532126468459
53.5,,,,,,,0.0372,10.0,6.387532126468459
54.0,,,,,,,0.0372,10.0,6.387532126468459
54.5,,,,,,,0.0372,10.0,6.387532126468459
55.0,,,,,,,0.0372,10.0,6.387532126468459
55.5,,,,,,,0.0372,10.0,6.387532126468459
56.0,,,,,,,0.0372,10.0,6.387532126468459
56.5,,,,,,,0.0372,10.0,6.387532126468459
57.0,,,,,,,0.0372,10.0,6.387532126468459
57.5,,,,,,,0.0372,10.0,6.387532126468459
58.0,,,,,,,0.0372,10.0,6.387532126468459
58.5,,,,,,,0.0372,10.0,6.387532126468459
59.0,,,,,,,0.0372,10.0,6.387532126468459
59.5,,,,,,,0.0372,10.0,6.387532126468459
60.0,,,,,,,0.0372,10.0,6.387532126468459
60.5,,,,,,,0.0372,10.0,6.387532126468459
61.0,,,,,,,0.0372,10.0,6.387532126468459
61.5,,,,,,,0.0372,10.0,6.387532126468459
62.0,,,,,,,0.0372,10.0,6.387532126468459
62.5,,,,,,,0.0372,10.0,6.387532126468459
63.0,,,,,,,0.0372,10.0,6.387532126468459
63.5,,,,,,,0.0372,10.0,6.387532126468459
64.0,,,,,,,0.0372,10.0,6.387532126468459
64.5,,,,,,,0.0372,10.0,6.387532126468459
65.0,,,,,,,0.0372,10.0,6.387532126468459
