relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-29.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-29.0,,51.80412485448844,72.65188715829699,,25.3116160025275,26.9391567489221,0.3886,14.799999999999995,5.018024179561779
-28.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-28.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-27.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-27.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-26.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-26.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-25.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-25.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-24.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-24.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-23.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-23.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-22.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-22.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-21.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-21.0,,33.00842883312188,-22.83510182809293,,29.2263402049443,24.2790197862528,0.3886,14.799999999999995,5.018024179561779
-20.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-20.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-19.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-19.0,,49.46465731886651,,,24.5697409862672,,0.3886,14.799999999999995,5.018024179561779
-18.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-18.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-17.5,-159.51098071689276,,,179.24062770951525,,,0.3886,14.799999999999995,5.018024179561779
-17.0,-30.237953058760045,,,179.03374392911647,,,0.3886,14.799999999999995,5.018024179561779
-16.5,-105.13210375080673,,,179.25203988244357,,,0.3886,14.799999999999995,5.018024179561779
-16.0,-115.00930959437729,,,178.51815716571733,,,0.3886,14.799999999999995,5.018024179561779
-15.5,10.771548488337634,,,178.27676025537178,,,0.3886,14.799999999999995,5.018024179561779
-15.0,-249.8188743405054,,-28.921121397038412,178.1646150918583,,32.0970781560694,0.3886,14.799999999999995,5.018024179561779
-14.5,-4.572207067774685,,,178.02189965854166,,,0.3886,14.799999999999995,5.018024179561779
-14.0,-26.751107681827705,,,177.9676951250724,,,0.3886,14.799999999999995,5.018024179561779
-13.5,-81.13365461551221,,,178.2912213989991,,,0.3886,14.799999999999995,5.018024179561779
-13.0,169.19731062537807,23.923800505436965,34.31486185735117,177.98299409898104,21.9145958598465,23.8643100808445,0.3886,14.799999999999995,5.018024179561779
-12.5,51.25383066713095,,,178.08553426887613,,,0.3886,14.799999999999995,5.018024179561779
-12.0,56.30140178018226,,,178.20332696151712,,,0.3886,14.799999999999995,5.018024179561779
-11.5,76.11266777667463,,,178.65210694033894,,,0.3886,14.799999999999995,5.018024179561779
-11.0,-18.555661960729726,,,178.49738704181448,,,0.3886,14.799999999999995,5.018024179561779
-10.5,257.0297847439655,,,178.91780370506402,,,0.3886,14.799999999999995,5.018024179561779
-10.0,-40.38855146903415,,,178.36129723202475,,,0.3886,14.799999999999995,5.018024179561779
-9.5,22.593195104551533,,,178.60778349880886,,,0.3886,14.799999999999995,5.018024179561779
-9.0,120.17521095445204,,,179.10677392603904,,,0.3886,14.799999999999995,5.018024179561779
-8.5,-53.666637766299445,,,179.10159791918576,,,0.3886,14.799999999999995,5.018024179561779
-8.0,168.4039854323132,,,180.54870439400014,,,0.3886,14.799999999999995,5.018024179561779
-7.5,-388.4011977378952,,,182.29374330157117,,,0.3886,14.799999999999995,5.018024179561779
-7.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-6.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-6.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-5.5,,,,,,,0.3886,14.799999999999995,5.018024179561779
-5.0,,,,,,,0.3886,14.799999999999995,5.018024179561779
-4.5,-58.26018733897468,,,179.5568830670147,,,0.3886,14.799999999999995,5.018024179561779
-4.0,115.65724793424359,,,179.21266154911962,,,0.3886,14.799999999999995,5.018024179561779
-3.5,93.72002970673987,,,179.4884133700942,,,0.3886,14.799999999999995,5.018024179561779
-3.0,234.9018385623078,,,179.63615952093437,,,0.3886,14.799999999999995,5.018024179561779
-2.5,351.0796709164292,,,178.53541844920207,,,0.3886,14.799999999999995,5.018024179561779
-2.0,104.17645150484272,,,178.73774740360474,,,0.3886,14.799999999999995,5.018024179561779
-1.5,572.0277844249608,,,178.73824118162176,,,0.3886,14.799999999999995,5.018024179561779
-1.0,428.6034451459817,,,179.53135451783197,,,0.3886,14.799999999999995,5.018024179561779
-0.5,485.7392055274267,,,179.7408951395585,,,0.3886,14.799999999999995,5.018024179561779
0.0,500.488142355396,,323.66083866167247,179.7321439581658,,23.0416802978436,0.3886,14.799999999999995,5.018024179561779
0.5,628.5745032804923,,,179.59159002863316,,,0.3886,14.799999999999995,5.018024179561779
1.0,622.1667091131405,,,180.0324914514978,,,0.3886,14.799999999999995,5.018024179561779
1.5,713.4981870746296,,,180.11434793344583,,,0.3886,14.799999999999995,5.018024179561779
2.0,640.1171848460347,,,180.76872637411248,,,0.3886,14.799999999999995,5.018024179561779
2.5,817.5656200323801,,,181.1808043932487,,,0.3886,14.799999999999995,5.018024179561779
3.0,805.6860369798787,,,181.20912214930107,,,0.3886,14.799999999999995,5.018024179561779
3.5,665.1888342047866,,,181.06957343630063,,,0.3886,14.799999999999995,5.018024179561779
4.0,853.863571209564,839.8461281357415,565.3921267591342,180.81636559362877,26.1352464211901,19.5907844456071,0.3886,14.799999999999995,5.018024179561779
